GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "02000","Alaska *",8,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),343426,373806,408462,439818,470480,516028,542288,620872,558984,647324,626512,628112,639517,657053,653189,648641,653663,621815,615347,626271,622574,639502,646774,653902,660928,671400,683824,691168,667275,683335,681167,645459,660651,653887,674767,699439,712612,704116,679876,704564,753392,807540,820296,844136,815448,790292,791684,788484,804084,810820,848608,860428,874316,892796,910744,925032,962576,993920,1024824,1052976,1060088,1081492,1105120,1107124,1117408,1137344,1170412,1209552,1222280,1248944,1277792,1305576,1326296,1354888,1377508,1401744,1491136,1558756,1593172,1658160,1758960,1773592,1811136,1852124,1891888,1954044,2018152,2072412,2077628,2090988,2182352,2316064,2400392,2458728,2553312,2618172,2650508,2898912,3137400,3483760,3777232,4010868,4264336,4574796,4603616,4943280,5049952,4976324,5319684,5201636,4868060,4938128,5206672,5221900,5214188,5300780,5406116,5446532,5604452,5730100,5960916,6148676,6315288,6715308,6733680,6950020,7303160,7622288,8084208,8638844,9012116,9198316,9331552,9388260,9560184,9773824,10004800,10072520,10129544,10275608,10851076,10899096,11036892,11076108,11153220,11103920,11042508,10962660,10636792,10573528,10568184,10694056,10814340,10943692,11134956,11377312,11565332,12083068,12496648,12296968,12486536,12776868,12962320,13147624,13205852,13236948,13473104,13704388,14078452,14174516,14379896,14449844,14883928,14913240,15019860,15212188,15346972,15423500,15569644,15712444,15856084,15882820,15991084,16093352,16167516,16296364,16500924,16647244,16892872,17253984,17378524,17581116,17949369,17998353,18113881,18396213,18402890,18551614,18608326,19139882,19691240,19973304,20255804,20394312,20772868,21288308,21305388,21595008,21873384,22054484,22312832,22745432,22725272,23128416,23415260,23689588,23857760,24100180,24459024,24936420,25213672,25650700,26185584,26777552,27236740,27647948,27768744,28253260,29318444,29868456,29949116,30219420,32026456,33079012,32965716,33229088,32306112,32919376,33001800,33358476,34492204,35060792,35608440,36013880,36831392,37576680,38148876,38754288,38870288,39200980,39041132,39564560,38590532,38606208,39036496,39204728,40396928,40986312,41322868,41735496,42340888,42507684,42513084,42517944,41488736,41472404,41511420,41672256,41670232,41753480,42122576,42514812,43220008,43482060,44155152,44415580,44881505,45496617
 "02000","Alaska *",8,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),8452,8704,8912,7680,7360,7160,7164,7644,8876,9644,10140,11052,11316,11196,12252,13380,12900,12664,13164,17844,15348,17068,13680,15648,16884,16580,13568,16364,16968,16980,20732,17904,21564,21712,21056,21300,20652,21024,22284,21648,21652,21488,21528,23152,25052,27204,29700,26520,26696,26860,25400,25704,27256,26792,27024,27772,29556,29032,28956,28924,30948,29364,31424,31744,32916,33444,33692,36412,37604,37476,39404,40460,44192,47940,48692,50656,51268,52216,53336,54340,58052,73012,75368,81060,82004,94732,93492,93404,91992,90836,99148,134300,210256,243032,262724,269680,219820,208584,202588,202420,215520,243248,238480,250224,228304,223184,234316,249076,258112,274372,289312,291476,284460,307224,307632,296984,279252,278364,305768,309232,324400,327532,345804,378920,397144,383588,422376,426068,649924,848440,964712,994716,756348,646220,585220,545184,621620,642400,689092,777152,868724,886808,891340,900252,938268,1002888,1022720,1026400,1041272,1048056,1034104,1034120,1086564,1105772,1127928,1151016,1203928,1222032,1245560,1284248,1336304,1370480,1368324,1406964,1430228,1463372,1474768,1523504,1580532,1607504,1659032,1693692,1761216,1817604,1845992,1858372,1880756,1863060,1848932,1869232,1932112,1960000,1955704,1974892,2066232,2111420,2110380,2132564,2216948,2251016,2290944,2333672,2402160,2462900,2481740,2536092,2610552,2682284,2742504,2826492,2969340,3069464,3117696,3153116,3144108,3237832,3143484,3352708,3253252,3273280,3323060,3379992,3186288,3192084,3299772,3305300,3209556,3222388,3177756,3223932,3322520,3412672,3435492,3447124,3613640,3621004,3619108,3608112,4078268,4066384,4075760,4114860,5081712,5931060,5414648,5417976,4496520,4796756,4841088,4856332,5263612,5294368,5393904,5391996,5449096,5514144,5542184,5648556,5424324,5450492,5347368,5387004,5411000,5435260,5349268,5458324,6224024,6449000,6576584,6669916,6679056,6644656,6576988,6604604,6219312,6423496,6690548,6877248,6712076,6804004,6881572,7006260,7050028,6970344,7081704,7065560,7294560,7479850
 "02000","Alaska *",8,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),340,384,476,608,776,888,960,996,992,1020,1076,1168,1288,1396,1496,1580,1648,1716,1820,1956,2124,2280,2400,2468,2480,2528,2600,2712,2888,3036,3168,3280,3392,3428,3472,3532,3604,3688,3788,3904,4084,4268,4468,4504,4624,4776,4952,5176,5504,5648,5816,5896,5748,5780,5868,5864,6008,6164,6244,6336,6344,6412,7728,7264,7464,7664,7752,7828,7884,8008,8176,8480,9312,10664,11244,11556,11840,12084,11960,11536,11892,16800,14788,14956,14448,18468,18060,19320,18376,17576,19104,25648,29768,25372,22980,24468,24148,27964,30068,30968,30760,31776,36280,38484,34592,36704,41112,43260,40668,42892,47348,48904,49064,49432,53152,53828,52592,53248,60544,62580,61368,62928,74536,78788,86544,85360,87908,74616,85320,81592,83512,99640,102208,104020,103856,98664,113288,116136,121864,132844,139968,134116,132660,132172,137984,144088,150160,151460,157156,158244,157024,155928,164572,164340,166556,168688,179968,183856,187220,189340,198712,202240,204220,207228,220980,225196,229516,232652,245096,248768,252572,255300,267480,271856,276796,281652,291880,296504,299408,303548,316244,322396,326532,331488,343892,346148,349620,353248,364412,367732,372140,376640,389776,393416,399496,402456,415292,421256,426320,430880,449352,472400,470012,469916,499780,501868,511728,511656,538440,543304,547908,553220,565220,574072,577912,585452,608092,618132,620228,627564,650740,659628,660948,667588,704084,714864,719608,723584,756592,767252,772540,777764,807036,815944,824032,827436,889012,903416,911460,925684,934392,956036,967188,980220,989580,1007984,1016676,1027632,1082348,1092584,1101448,1109736,1145552,1152344,1162240,1170352,1200656,1210672,1217460,1232848,1263560,1276444,1290324,1314196,1323972,1343004,1359488,1380940,1399488,1412204,1427608,1446228,1492828,1507912,1524072,1542672,1619586,1635019
 "02000","Alaska *",8,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),368,1084,1420,1648,1800,1900,1980,2048,2128,2208,2076,2168,2192,2164,2268,2584,2432,2364,2128,2240,2312,2596,2696,2764,3192,3836,4560,4020,3816,4272,4388,4844,5108,5276,5284,5584,6100,6812,6440,7268,8072,8920,8936,9872,10704,11468,11876,12460,13068,13680,13868,14476,15564,16524,16484,17468,18896,21124,24428,25588,25020,22492,27752,29160,30576,36296,36532,36504,36264,33472,37336,37660,39564,42548,44064,42816,42316,43152,44304,46816,48556,49700,51444,51820,52428,53168,54096,55348,57000,58372,60004,62596,66324,71036,76484,81428,84836,86596,86664,88232,91168,94568,99908,103480,107284,110048,114332,115644,118204,121584,125580,130404,136168,143076,151688,159060,164760,169340,171964,173700,177424,181600,186800,189784,191172,190184,186276,185580,186564,189248,193496,198132,202880,207776,213560,218584,223320,227456,232280,236748,241888,248112,256656,264072,270564,276044,278352,285956,297836,314340,336088,353040,367080,375140,383064,383964,384124,383428,433408,432284,433104,435920,446608,452652,459856,468272,481324,493776,507724,523252,541916,558628,571596,580668,584688,592124,601408,612584,623624,635532,646008,655048,662700,670956,680236,690540,701948,695704,705824,715572,720356,728784,739104,751420,767252,781000,793560,804924,815440,826736,839196,852844,867824,882708,897584,912404,927940,947648,972296,1001880,1035029,1065616
 "02000","Alaska *",8,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0,0,0,0,0,0,0,0,516,732,1140,1688,2980,4092,5264,6748,6420,7288,7444,7740,8288,8988,9872,11968,11992,13072,14940,15612,14704,16632,16752,17612,19460,21700,22688,23668,23644,25072,27540,31908,35344,35852,40888,44508,47052,47412,42912,34956,39524,37500,37544,48048,57876,58736,58076,52872,56568,55488,58100,64200,71064,72492,74308,77228,79436,84652,89492,94236,100856,103376,104280,103048,101544,101832,105984,113280,124480,135084,144120,150720,153236,159220,165320,172164,171612,183296,186556,203336,185600,196208,215108,235364,274448,296636,331200,328352,310516,295424,281828,298268,305436,305752,308740,290092,319908,355732,347672,349288,366000,363396,372824,378204,366568,367008,358736,372720,385564,387676,416036,446656,480380,520420,550988,556592,571944,643760,582592,720260,713584,714844,764368,833968,856832,842952,949220,929704,937288,931312,879156,900856,982308,1041488,1046696,1055024,978540,978496,963328,932196,1007264,960680,949004,965404,899500,909276,924888,940792,1078580,1120904,1154976,1131264,1166932,1186344,1258032,1249848,1298420,1349408,1350816,1399460,1419748,1419904,1354924,1362788,1291184,1294076,1248304,1328800,1438760,1602300,1708304,1768308,1606556,1528052,1428244,1415808,1646608,1813444,2049244,2204824,1891984,1966796,2027816,2141704,2088552,2010832,2112912,2062720,2103560,2246273
 "02000","Alaska *",8,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2124,2288,2480,1280,1052,920,892,1232,2188,2668,2888,3580,3680,3404,4300,5256,4656,4248,4432,8660,5580,6696,2808,4420,5460,4968,1804,4420,4764,4524,7992,4832,7004,7060,6344,6528,5816,6100,7244,6440,5864,5400,4796,6100,6600,8996,10940,8272,7784,8096,6208,5904,6188,6512,6056,6092,6220,5720,5252,4748,5668,4716,5444,6252,6300,6812,6416,6816,6700,6816,7752,7356,8516,9136,7992,8304,7936,7000,7416,8212,8292,9700,13064,13592,15248,18224,16080,13576,18040,20560,15928,13292,13304,14344,16512,20768,22504,23844,19520,17604,22468,25036,28272,34300,43516,40448,48032,59580,81260,91136,98400,93984,82132,99984,91208,74652,54900,45896,48340,35904,43764,44492,31872,58840,62248,43876,65164,62384,57920,63288,75696,86424,88336,84944,73160,82800,87344,85132,82228,89056,104452,114256,109176,101308,118072,141884,134324,120208,97652,91612,70128,56464,61264,62716,57676,55048,55412,50624,46476,53412,69976,80360,66172,77636,86596,96368,94112,99360,129168,129992,133532,137176,137720,156360,138372,141408,135660,126968,115408,96604,95712,102072,79720,91660,102256,103228,89944,92728,95320,102384,93364,88192,98372,111040,96872,98844,111376,128736,114792,110204,103720,109052,102584,105932,104296,107000,97324,112864,155140,163580,157068,137776,157424,164776,155556,163136,133240,124204,110620,106200,102604,107148,98780,103884,99244,91688,91956,89968,91892,88316,86308,82104,80976,78772,96976,167500,168664,215872,221920,224864,269132,261856,253628,259040,260064,241160,248704,272168,259260,256984,187240,190004,205712,223052,158780,172220,122176,115096,108092,98872,91624,87788,91116,96016,105964,109608,108856,101288,99856,92756,88392,82524,78824,73652,71764,69500,70730,68761
 "02000","Alaska *",8,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5988,6032,5956,5792,5532,5352,5312,5416,5696,5956,6176,6304,6348,6396,6456,6544,6596,6700,6912,7228,7644,8092,8472,8760,8944,9084,9164,9232,9316,9420,9572,9792,11168,11224,11240,11240,11232,11236,11252,11304,11704,11820,12264,12548,13828,13432,13808,13072,13408,13116,13376,13904,15320,14500,15100,15816,17328,17148,17460,17840,18936,18236,18252,18228,19152,18968,19156,20684,21600,21004,21676,22724,24384,26092,27328,28588,29416,30964,31768,32428,35600,43928,45084,50148,50180,55800,57040,57912,52364,49204,59784,89836,159644,195204,214152,213424,162360,144644,140448,140832,148720,171864,157956,158660,131764,125692,122160,121704,112544,113840,116108,119508,121928,123648,127516,131156,134248,139672,153780,162316,167440,166792,179612,175660,176872,181352,201372,231620,439408,636900,737384,724308,471396,362016,313864,277376,327084,347984,387336,448504,509176,523128,532880,546392,558472,585448,600188,610796,634164,643004,650244,665512,705088,721536,740712,755628,784064,789872,801420,819740,837896,847232,847776,863340,864376,870280,873416,893588,920760,929056,950536,955804,967236,977108,981420,985376,1017120,1013760,1016120,1027736,1063032,1070720,1075952,1092312,1128212,1132612,1145720,1155700,1204416,1227720,1261444,1300452,1361168,1405856,1440072,1472824,1504824,1546484,1582476,1630976,1722328,1749008,1770792,1793220,1735808,1748456,1709952,1759816,1589432,1587480,1583152,1578984,1328460,1324328,1319248,1312668,1194848,1195700,1200672,1214172,1203804,1220444,1244944,1237200,1398364,1403672,1411112,1426444,1775912,1797484,1808052,1821316,2812876,3633292,3061028,2958996,1818348,1997936,1981136,1993852,2308468,2298008,2313648,2290304,2277408,2280060,2279980,2294248,2000268,2010064,2023520,2033936,2066604,2070084,2074120,2071380,2742076,2792148,2803624,2818468,2950064,2971372,2973744,2973660,2327328,2330704,2333764,2337352,2452924,2449540,2440172,2423400,2461884,2430300,2400660,2388788,2465655,2464181
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
