GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "05000","Arkansas",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1452232,1645368,1670396,1661832,1604220,1490604,1477052,1463424,1571416,1605908,1601720,1703880,1808712,1847604,1840028,1878012,1856680,1891328,2012744,1908004,1964148,1920076,1902572,1930936,1914064,1869468,1924120,1925080,1953676,2078396,2117560,2146168,2175988,2143560,2152400,2126616,2176612,2224180,2226072,2248776,2249684,2323356,2271712,2399600,2462632,2495856,2554388,2576228,2482144,2556308,2560208,2593268,2696792,2747624,2724556,2917504,2910124,2955320,2991604,3005340,3074348,3061672,3214124,3218472,3338200,3412848,3427304,3471024,3526396,3526776,3641208,3714108,3930244,3946772,4009252,4133104,4176212,4219648,4288836,4332460,4374792,4551936,4670240,4806760,5007980,5070692,5183468,5251984,5349536,5570204,5732320,5854020,6002468,6152840,6334904,6562220,6665944,6853448,7150020,7615476,7794620,8261100,8511464,8937136,9009732,9170068,9515196,9719196,9819964,10060876,10566604,10720892,11124232,11224900,11404736,11761824,12181724,12403556,12728312,13333412,14045876,14412432,15041724,15175140,15697100,15809380,16223116,16622272,16788036,16741856,17669012,18354404,19092104,19452884,20196568,20068932,20237808,20504812,20720948,21345472,21301248,21733940,22104164,22600020,23675352,24341424,24700816,25116084,25585360,25836368,26045636,26461932,26818888,27062956,27506288,27826488,27814640,28196948,28521368,29206372,29710484,30402372,30938860,30971776,32062908,32484128,32901664,33436052,33745172,34283164,34800120,35001712,35628208,36066552,36647128,37494348,38647708,39585536,40007736,40616424,40994552,41376196,41752620,42470396,43168712,44056956,44605952,45322836,46198088,46760076,47398036,48302652,48758508,50221988,50368884,50842080,51555288,51856296,52688476,53931760,54860692,55417316,55991908,56674500,57268191,57475867,58156299,58993223,59828408,60583656,61507712,61959752,63728680,64279692,64087336,64576876,64801588,65417840,65783404,66643368,68247440,68922524,69938420,71081104,72186084,73362544,74393224,76189988,76212060,77445928,78111180,80232188,81597468,82826640,83449476,84399404,86176272,87860120,88502660,91494152,90215812,94258364,91743528,91030776,90558592,90334952,89823764,90266736,90743684,92920824,94583944,94913384,98258748,98517804,100063076,101446192,105118044,106906408,105879332,110035076,106679864,107096016,107678940,107507940,110690324,113034372,114276564,116180744,115302244,116778488,118212132,118429532,118660820,119722936,120302156,121552144,123690652,124249284,124436604,126358468,128378220,129593536,130648240,132566712,133202081,134841145
 "05000","Arkansas",5,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",134036,129672,123216,116136,125860,131096,138000,145052,237268,165344,130164,128628,133104,135808,137868,137516,128152,128428,137860,135476,135084,132756,132908,136516,135140,139728,142476,149448,150048,153148,155812,157300,156768,158068,162628,163952,175656,184580,187144,202176,185764,207680,219128,223780,210792,222164,231040,236476,234924,236832,240808,247972,262856,265888,274048,271956,280804,283984,289472,298680,314428,303868,307688,312932,325652,321220,326684,331024,346560,343256,375508,364432,375244,376048,389548,424756,452536,461792,474884,482032,499968,527292,532224,540796,568148,580228,589444,598256,611176,701384,696704,725572,741768,817548,817180,830672,852088,850980,868932,1001128,1032644,1066676,1098060,1136112,1190804,1277212,1359124,1433688,1537948,1698408,1717216,1724180,1777964,1778504,1875688,1885560,1899732,1905760,1960296,2001716,2043532,2068028,2180984,2235140,2302712,2353584,2529744,2590608,2691324,2731792,3087400,3088112,3164696,3195240,3370300,3391268,3425984,3480516,3610956,3748880,3809660,3865244,3856756,3903620,3983660,4015828,4042624,4132812,4231008,4261732,4304672,4329332,4451156,4495980,4549596,4552616,4606872,4650268,4657164,4659696,4811300,4839736,4905616,4981888,5245468,5351084,5447408,5552144,5718764,5797476,5869252,6001768,6246848,6415340,6528364,6741976,7013852,7171812,7276956,7294784,7498404,7544352,7642980,7661264,7846420,7885692,7952064,8169088,8446776,8574000,8675280,8665476,8953808,9147392,9122908,9182212,9413472,9450520,9535368,9608604,9745784,9792188,9833548,9901544,10029376,10047136,10156240,10252160,10398384,10692216,10852604,11022384,11576488,11915404,11734940,12413016,12644540,12788208,12865872,13002940,13171628,13335572,13513324,13542784,13973592,14306480,14419756,14700024,15172768,15322052,15464204,15622228,16351036,16664560,17017460,17206896,17936856,18019252,18263388,18485452,18724668,22570012,19974232,19797772,20999432,22478220,22153840,22355040,23213232,23446628,23910608,23878988,24118912,23988696,24013416,24228332,24155344,24415648,24351972,24423524,24634884,24698200,24827584,24869224,25695496,26087460,26405176,26790668,27202600,27425516,27500056,27583588,28038960,28361928,28566112,28708996,28858332,28795976,28955568,29068272,29500996,29746928,30001228,30171900,31170840,31732640
 "05000","Arkansas",5,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",2772,2924,3056,3120,3240,3488,3668,3748,4072,4252,4332,8460,10624,11508,11864,11724,12368,12816,13344,16184,18292,19900,20844,20980,22888,24084,25224,28836,31888,34728,36928,37284,38992,40404,42476,43472,50284,58796,58644,61368,64660,68660,70784,73396,81588,85048,88280,90936,91920,94212,96608,99428,103680,107512,112512,118804,123692,128228,132352,136176,136988,139456,141752,143036,145392,147232,150040,151468,153956,156476,189772,178968,183024,187744,189740,192724,198400,203404,205828,207948,218004,239440,243404,245080,252612,256076,259060,261584,266548,337448,316604,320916,326460,388936,375444,383124,389584,393984,399888,486984,499768,512984,524024,535524,543004,594812,627748,642104,645728,653696,715468,724412,746032,755048,819120,838092,843284,854556,918428,929112,937352,940112,1011388,1027004,1039076,1055524,1163684,1173572,1186984,1193824,1374000,1381460,1403288,1405464,1566720,1573404,1584040,1593528,1699684,1752396,1739116,1757252,1755884,1792344,1822372,1837884,1834964,1872360,1928944,1936944,1971084,1960676,2032544,2040728,2077300,2072424,2110372,2141308,2141516,2149376,2264936,2262672,2270216,2276412,2395124,2412804,2429084,2443128,2558260,2581220,2587988,2605728,2767840,2799552,2819552,2831012,2967992,3001900,3012172,3016808,3151672,3169112,3185656,3207624,3305960,3337304,3346708,3364996,3464832,3490056,3502108,3514180,3616432,3648160,3661280,3687636,3785860,3810132,3830116,3843384,3923568,3938996,3963096,3965732,4027292,4043656,4057788,4071876,4169292,4290420,4276640,4278840,4451744,4470368,4533384,4537448,4705604,4739200,4770416,4805480,4887876,4948588,4970576,5015704,5159136,5226864,5241512,5301308,5476932,5559608,5586736,5656768,5951228,6050496,6096880,6131128,6366912,6443280,6478640,6512868,6715312,6781548,6851784,6899396,7346120,7460168,7520084,7606364,7637892,7746676,7788384,7837764,7874464,7955820,7991444,8048960,8369004,8429340,8483168,8534740,8710704,8756000,8819588,8876516,9024032,9087328,9133176,9219712,9371924,9428924,9480452,9566548,9578040,9636584,9688808,9768140,9839256,9887652,9950256,10029520,10233624,10299920,10370968,10452712,10790855,10858702
 "05000","Arkansas",5,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),8588,24956,32624,38224,41808,43716,44668,45372,46300,47636,48680,50596,52640,54780,57480,59900,61548,62456,62892,64080,65468,67816,70532,73076,75620,78548,79580,82148,85668,90284,96040,101908,107100,111380,114420,119348,125596,134224,145976,156364,166348,174896,182220,189196,196444,203576,210300,218448,228504,239932,252660,266680,281372,296416,312252,329484,348564,370176,394448,416912,436080,452744,466072,478840,491852,506336,521360,539124,557672,576276,595812,611788,626108,637788,644808,655952,666348,677652,690160,702552,715180,729452,748416,760612,770064,776928,770424,784012,809788,847568,903568,948696,985004,1010660,1018032,1039952,1073520,1117120,1177628,1230960,1272492,1295648,1321672,1332384,1341996,1349100,1391168,1393452,1415200,1457416,1523068,1581904,1635016,1682760,1726876,1766336,1802752,1833620,1861488,1893656,1925480,1962204,1999668,2030320,2049668,2055040,2063000,2047004,2033888,2023572,2012528,2011620,2017356,2029972,2049832,2087344,2142852,2217064,2306376,2385612,2447572,2491348,2514520,2547452,2582304,2619196,2664472,2714884,2775412,2845956,2927412,3006524,3092496,3162324,3227412,3292068,3364116,3443248,3976888,4065744,4158684,4255488,4344536,4432020,4508960,4574148,4619976,4675812,4739504,4811644,4888660,4953156,5010016,5059452,5100256,5145084,5195236,5250764,5304196,5354492,5395096,5425976,5452920,5478412,5509372,5545796,5591600,5558768,5603264,5650404,5705408,5767128,5833528,5904812,5979156,6048232,6107900,6157948,6199412,6243216,6290540,6341464,6395908,6454436,6517124,6583952,6658200,6751724,6867544,7005652,7159654,7301742
 "05000","Arkansas",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3112,5228,7096,8732,9856,10564,10344,9456,8072,9588,15716,24928,41012,55956,64964,72396,72476,79660,82876,89984,104016,112088,114436,124076,130976,129284,138896,139040,139760,150996,146568,148796,162636,177272,181836,185988,187344,193076,198148,214944,234396,227472,250728,263152,265768,275336,270168,259808,260308,269448,277820,285408,323036,335204,345608,353644,352808,352640,356344,363784,374876,385920,397300,408644,420624,426556,428236,425868,419320,415940,415980,418840,426608,437048,452580,473792,501488,530160,557608,582924,598756,624860,653060,684588,689384,752996,791364,905520,886564,952232,997280,995984,1026428,1022304,1094676,1085412,1073168,1067920,1064040,1172556,1242572,1259712,1264384,1153108,1213100,1313500,1253012,1246304,1304648,1304760,1351416,1391116,1384008,1402212,1379952,1433996,1477064,1453640,1510688,1543956,1532868,1598556,1654140,1660880,1829648,2004604,1875080,2224812,2236376,2231172,2302984,2371392,2294564,2305888,2404624,2350868,2587888,2783536,2770156,2855244,2973324,2921644,2810020,2883332,2772556,2873572,3037472,2986212,3267288,3102256,3195128,3285284,3328208,3394880,3378880,3386240,3532956,3635932,3594496,3573208,3605212,3814756,4151656,4138224,4311100,4100552,4065472,4193228,4154388,4329816,4153224,4179060,4152044,4272080,4328628,4312696,4990920,5156896,5336960,5527920,5598928,5632528,5585704,5536860,5859292,6090188,6243852,6337636,6398420,6297256,6349992,6294312,6307764,6387888,6475860,6425808,6599229,6964564
 "05000","Arkansas",5,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",3232,3576,3724,4328,5132,6696,8460,10340,11048,9028,7020,6096,4788,4588,5460,6140,7004,6568,7544,5812,6796,6160,6460,9388,10744,12984,13204,12812,10984,8908,8120,8176,8720,8964,10028,9812,11352,10996,11968,16392,11496,15672,16308,12864,10432,9164,8872,10396,11140,11404,12584,15064,15864,21888,20616,16456,15540,13740,12380,12908,13380,12736,12592,11896,12600,12888,13212,13812,13372,13052,10996,10640,10276,8808,10376,10360,10556,12336,14168,12624,14208,13564,11280,11184,11992,12112,13264,14536,15416,20388,23344,26424,29476,32564,35200,34048,34000,32428,28360,28884,26136,24516,26140,26180,32212,37368,40088,59440,108028,157844,154584,114468,94360,91780,110116,90588,87504,73608,59412,71012,64660,56972,64436,70268,76744,67224,73144,78464,89452,120852,175272,134344,132600,121568,105720,126416,148868,174780,165000,199156,207008,205572,150028,119112,121280,107016,108920,128148,136168,131496,117728,127536,129860,138780,145804,146040,145996,146992,148820,125500,129740,130300,134464,123956,128744,130648,128548,137860,139236,141316,148636,166276,178760,186308,192456,211980,267912,278512,277728,274032,243360,263576,256360,223652,207888,166628,161868,169484,153696,167888,184428,196556,206112,203432,186316,202364,210888,199868,190840,187656,188812,182308,209764,194588,185748,184532,179112,176552,182224,192364,202624,219284,269868,273880,313416,346932,351784,448268,394804,376972,405640,411444,391252,365400,310104,280372,271344,257696,255836,250192,254628,248728,237900,247756,266252,307992,306824,308556,313172,311996,314712,318840,477100,579316,807704,1010784,1070980,1102556,1077048,898604,840564,773544,726772,679900,664996,625456,619944,583148,572960,514820,494652,456516,429792,409176,270796,256940,250992,253168,268372,261492,247744,222148,202472,192256,180136,169732,156444,148936,145988,142040,133964,120504,113840,112740,115769,108635
 "05000","Arkansas",5,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",128032,123172,116436,108688,117488,120912,125872,130964,222148,152064,118812,114072,117692,119712,120544,119652,108780,109044,116972,113480,109996,106696,105604,106148,101508,102660,104048,107800,107176,109512,110764,111840,109056,108700,110124,110668,114020,114788,116532,124416,109608,123348,132036,137520,118772,127952,133888,135144,131864,131216,131616,133480,143312,136488,140920,136696,141572,142016,144740,149596,164060,151676,153344,158000,167660,161100,163432,165744,179232,173728,174740,174824,181944,179496,180844,196716,210956,207828,213080,217744,223088,228916,231240,236896,254864,261444,264480,267356,268620,278420,288112,307044,313084,321404,330724,336228,349900,341904,349348,381784,386148,391072,397264,411728,447072,463464,501312,530780,565756,655432,607132,627000,660620,646028,641208,642944,646964,637404,639444,649220,668584,675224,694820,711948,746888,771080,813396,827212,868240,860160,938836,938980,968592,975960,991612,978896,966696,963920,976600,1005584,1019140,1028092,1047564,1062244,1091388,1106500,1116288,1130732,1146212,1151420,1152212,1154824,1177968,1187364,1183076,1178832,1182768,1185416,1180784,1189052,1219592,1225704,1238568,1260160,1316544,1328776,1347164,1377572,1404480,1410128,1406048,1428056,1433236,1445524,1452500,1497816,1569712,1606784,1647780,1658860,1685776,1695908,1691088,1687160,1736336,1731936,1744432,1779292,1858800,1890008,1921608,1968012,2056676,2088644,2096820,2083704,2112408,2105440,2113328,2131408,2186396,2221668,2246848,2283656,2326744,2353688,2391296,2429804,2464168,2523532,2576348,2646316,2718852,2780940,2565488,2812476,2836256,2822116,2815364,2829900,2919076,2954768,2971460,2964856,2989052,3009184,3044248,3123452,3239264,3298540,3448704,3390152,3412464,3426992,3458172,3526076,3651296,3733140,3767488,3801156,3746460,7398932,4526964,4121176,4423992,5418180,4958264,5013460,5792824,5841508,5934768,5878692,5902380,5897932,5896408,5934712,5559088,5594932,5633248,5649108,5685884,5654836,5646312,5620432,5704340,5819168,5850520,5885056,5984220,6054340,6078256,6100084,6199744,6199684,6162776,6092024,6068304,6007696,5992208,6018448,6167444,6186892,6173016,6174988,6505333,6498997
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
