GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "12000","Florida",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",3090436,3139028,3266580,3294952,3270532,3317156,3320808,3389688,3766116,3697744,3794932,3922024,4114272,4275720,4365612,4415012,4699028,4806396,4929440,4996008,5331416,5406260,5429756,5498704,5644208,5654292,5719140,5812880,6300084,6462328,6620264,6736872,7394296,7527420,7601656,7741116,8227028,8322884,8447828,8500212,8848528,8966724,9176000,9433112,9659368,9989012,10209284,10355012,10350508,10488104,10486064,10801632,10878300,11037128,11264420,11481688,11700176,11982264,12187348,12353864,12628056,12724356,13028716,13374572,13717296,14053404,14247584,14603248,14939940,15208004,15650980,16094560,16392388,16741404,17209356,17559292,18110900,18475792,19016172,19484108,20309508,21193336,22053700,22765748,23817624,24402804,25413700,26385604,26969356,28108148,28729968,29297336,30289784,31378856,32204396,33152372,34526820,35568692,36785960,39318384,40095868,41811304,43562628,44843572,46103828,47391116,48714780,49322808,50433512,51776696,52779920,53681592,55184056,56297848,57362876,59204628,60602576,62523384,64801776,67449312,69759508,71901748,75305204,77566672,80551444,82593516,86189236,89306424,93964704,97422088,101650284,106270008,110402864,113840788,118701116,119979988,122538420,123688924,126241696,127744464,133161332,136382720,139229832,143598384,147719964,151710600,156038728,160081136,163258968,166808816,169726420,173515448,177883036,181186396,183694036,185732652,190665332,194437740,198977184,204660500,209280348,212865460,219534836,224738432,233946344,238794216,243460496,248370580,253124852,256748428,259768432,260644008,264162504,267084796,268993652,273259924,277069392,282049940,286252116,291692520,296942116,300444392,302501952,305681864,309541840,315832480,319609884,325715560,334026048,338901992,344040936,349365028,355845200,362163588,366507168,371111320,377253836,381703068,388208308,394442672,405931449,413836653,419736349,423997461,427850794,432962218,438879906,445051602,462057885,467860957,475911397,483124013,492120796,496597144,497156620,499474280,505783456,510838460,513610228,521017728,527305796,532097252,542164664,554843460,566016424,580481800,591608360,609033268,621375732,635391300,648846984,664412880,686540536,695465588,701499032,710398760,718556632,727842724,731156012,732063376,727742104,745364612,726021252,709426116,683390368,684451008,678357136,685368092,706320768,720292432,731470312,742212580,754841944,762898416,767471136,773323160,781170972,787980700,786809988,817753660,784154008,790826472,798512368,808206708,829487248,849152480,864705144,881301856,897245968,914460416,923955540,927920052,926829892,935678340,948007540,959329196,982592572,996538968,1008658768,1028786768,1049572588,1058701012,1074086740,1083427324,1101553183,1117600048
 "12000","Florida",5,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",198928,193232,184388,174912,187160,195752,206592,217592,374388,263264,209140,214608,232016,238016,242032,241224,233204,234624,250976,252772,268624,267740,269568,274988,285284,294520,301496,320996,347936,359756,369228,372712,398640,403816,416784,421472,462548,496848,501480,535764,522324,576792,596192,622692,611196,645524,674048,690316,691144,704796,719468,745916,800444,817908,838964,857068,891116,909848,939988,973104,1021464,997976,1004256,1020112,1054180,1043072,1055260,1065956,1112288,1112272,1254784,1204788,1231796,1241332,1304256,1445820,1546444,1597808,1657760,1709636,1794660,1929696,1984436,2033356,2131588,2182080,2219688,2245124,2303924,2751928,2703228,2823004,2889332,3265740,3246332,3349028,3507988,3561628,3669248,4279684,4397696,4514136,4608820,4722204,4924020,5315184,5697292,6053344,6568180,7193752,7370396,7599360,7833220,7754032,8085120,8240008,8371284,8505872,8942284,9100492,9273928,9385828,9960036,10173740,10468388,10765952,11734828,11978796,12387756,12487156,14193128,14447980,14798800,14980008,16288436,16450656,16712044,17087368,18097060,18857940,19035800,19290000,19333452,19705712,20190040,20485880,20620564,21091208,21796032,22020768,22461768,22616308,23437296,23738304,24216872,24388832,24831580,25302320,25533016,25879040,27137176,27485860,28001308,28596620,30480136,31111196,31677660,32210940,33594072,34142984,34519704,35270652,37097324,38161160,38828664,40453876,42889572,44123068,45004028,45363792,46794700,47007932,47870788,48253728,49503524,50161452,50700452,52108804,53868408,54578064,55118372,55125116,56922764,58058276,58060736,58344620,59634332,59835212,60178520,60373596,60854848,61214900,61433232,61972724,63016808,63353988,64071776,64744304,65880296,67722796,68703412,69732108,72285704,74275040,73077584,76915480,78497452,79422756,80102704,81447728,83518204,84633340,85904792,87004764,89211036,90647152,93592012,93398812,96389116,98151456,99195284,100209352,104019516,104715896,105439716,106134272,110073516,111043392,112323716,113785444,116102828,141179900,126023416,124649408,132328852,140488636,139732524,141383148,149198660,150392228,152639920,154513648,156974972,157778740,157954244,158323168,155061268,156038908,155967988,157383472,158663544,160194564,161987928,162835928,165236928,169183224,171635436,173722184,176983112,179182684,180058036,180778976,183385948,185522232,187259276,188908460,191174584,193358500,197043100,197093384,201669408,203259364,204345088,207121464,215656616,218181996
 "12000","Florida",5,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",8948,9432,9852,10064,10820,11672,12240,12524,13960,14564,14868,28976,37320,40404,41692,41180,43656,45252,47120,57148,65524,71296,74668,75144,82424,86732,90836,103860,119380,129996,138260,139544,153132,158648,166808,170708,195800,228940,228332,238932,246240,260336,267976,277892,309636,325028,339716,352504,357604,367440,378124,389256,405324,419776,438864,463428,482688,502556,521128,538684,546640,560512,572064,579344,591300,601716,615228,625348,643072,658004,799528,753056,764432,780656,789884,807864,838504,865248,881980,895728,939964,1037464,1061892,1076312,1120984,1140784,1156592,1168812,1185812,1541916,1443928,1478768,1506636,1818060,1758920,1804072,1852388,1888796,1934324,2399068,2487284,2559484,2602940,2642900,2673080,2920592,3088716,3178472,3258520,3353732,3690128,3741808,3829928,3840984,4182204,4299548,4347884,4457188,4856468,4949208,5022688,5052024,5464396,5541828,5614976,5712136,6361508,6428328,6552264,6584456,7717876,7766284,7886540,7879804,8852404,8865760,8910212,9004244,9710008,10094120,10092944,10228176,10209848,10411396,10616944,10691168,10650032,10894796,11355192,11422228,11674024,11625248,12109288,12183648,12468780,12462912,12686232,12934516,12982508,13104136,14005888,14067552,14171188,14245388,15185652,15305836,15413064,15526584,16468376,16661108,16693140,16802596,17902204,18060684,18141280,18253940,19135216,19401380,19513604,19543280,20437664,20514264,20644636,20772212,21391568,21631108,21749788,22016436,22785816,23022148,23140824,23217568,23936460,24167568,24271896,24466616,25209732,25415632,25578524,25708072,26294448,26414640,26604960,26641368,27104200,27234500,27339416,27434680,28127552,28963060,28880732,28925104,30146876,30294372,30715348,30717964,31749456,31941256,32144236,32398800,32901632,33294464,33448340,33720408,34562896,34943484,35060360,35441624,36529324,36962232,37015588,37204716,38584576,38900528,39005948,39119496,40455428,40883900,41086048,41280764,42428516,42826908,43253608,43552288,46303976,47069928,47475236,48045336,48306612,49102104,49449700,49880328,50222620,50923136,51228036,51657848,54065152,54528300,54958072,55390796,56960104,57379980,57957684,58474472,59834436,60423884,60852340,61650976,63008656,63587832,64144840,65064128,65300488,65961220,66533784,67339052,68036220,68493932,69067296,69778824,71666680,72246376,72889628,73654096,76896761,77547371
 "12000","Florida",5,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48028,137064,174860,206248,231212,250520,267724,282936,297608,311948,305700,317512,327896,336624,344884,363812,369836,378144,382768,395528,404272,418884,436860,453136,469544,492596,499468,517248,542368,578204,629328,683772,740608,799252,866348,934460,986408,1033708,1075236,1111784,1169136,1229220,1293856,1360660,1428624,1481892,1523688,1572064,1639016,1705852,1787504,1874636,1979076,2065468,2164104,2252176,2396120,2516516,2651028,2788020,2955640,3103340,3260624,3415224,3574596,3713080,3825688,3942920,4050928,4160596,4295988,4395268,4487164,4590060,4710716,4815744,4927564,5029956,5160000,5278024,5418676,5557072,5722664,5863276,5970888,6064700,6098240,6220876,6416576,6682188,7150476,7438004,7643764,7765936,7824632,7894132,8001972,8163280,8449752,8745076,9074268,9449532,9980636,10394980,10759688,11028880,11543692,11669228,11960640,12372916,12951660,13460928,13884268,14264324,14530524,14775756,15027776,15261856,15558280,15856744,16127928,16418432,16737920,16930604,16979864,16881352,16624580,16548848,16539844,16597596,16709976,16853420,17012636,17188712,17361604,17650316,18027812,18492976,19017076,19514272,19930936,20267340,20570912,20890728,21229460,21587860,21947024,22406260,22954496,23592716,24280708,24958984,25671656,26243964,26906612,27357064,27791580,28202596,32105736,32489344,32908884,33362752,33900612,34457704,35098068,35825052,36676336,37460660,38197296,38882064,39517032,40098240,40605948,41042676,41429784,41844632,42298976,42792356,43334712,43829532,44279148,44685056,45063996,45497328,45989280,46539840,47157816,46835164,47441756,48044928,47948504,48355364,48925912,49669104,50613848,51484208,52275916,52986792,53632484,54269600,54913912,55564912,56222276,56907508,57622520,58366508,59178400,60221192,61531988,63110884,64885254,66522362
 "12000","Florida",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38740,63820,79712,88320,84128,84968,85672,90332,101324,104968,113340,110288,110188,112532,112388,120796,129864,148724,156536,166856,185668,194408,192804,204296,211232,204940,220708,223320,228536,248692,239384,235196,244276,260960,272136,290920,317624,343924,362852,388832,408012,384308,426036,450168,466304,498072,513424,518004,549812,593988,628836,646484,715840,735616,759568,790144,817340,838080,862188,894060,937540,967832,997160,1018504,1040160,1065808,1107304,1158976,1222140,1293044,1364452,1438556,1532736,1613556,1699920,1792880,1916984,2036788,2167416,2310212,2460928,2634044,2811308,3007936,3100044,3412216,3581932,4080712,3938248,4228076,4473716,4548908,4820068,4903444,5359880,5398608,5408812,5413936,5378544,5876568,6105072,6124332,6142304,5650328,6075896,6641268,6316396,6186956,6318556,6189964,6315952,6448300,6403068,6471464,6358908,6597384,6779700,6697076,7017372,7262644,7332396,7737644,8058812,8099332,8149332,8932004,8313820,9850632,9786884,9840948,10375876,11073200,11606844,11427596,11776444,11968652,12648576,12923612,12786768,12723772,13008356,13439348,13182808,13230916,12626264,12660768,12814176,12598340,13760300,13290028,13484336,13743096,14044280,14522040,14891148,14835540,15590820,15586064,15893140,16029644,16370228,17160616,18098456,18194624,18804896,18206624,17844784,18029396,17887396,18606516,17865856,18396644,17899920,18565516,19196096,19431756,19724528,20934712,22053640,22171972,21452884,21263060,20840436,20211752,21009320,22020200,22667620,22919952,22264952,23224496,23770072,23622480,23594040,23911144,23785368,24100276,24661661,24973327
 "12000","Florida",5,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",7360,8128,8476,9844,9448,12324,15576,19036,14940,12216,9496,8244,7768,7448,8868,9968,9928,9312,10692,8232,9244,8380,8788,12772,13388,16184,16460,15968,17864,14480,13212,13296,14468,14876,16648,16284,16384,15872,17268,23636,27152,36976,28300,30780,28184,23448,21852,21564,25948,30900,31388,38772,48336,62388,47572,45388,41164,32976,33520,34636,35808,32284,25188,24928,25884,25556,23464,22416,19964,21188,21496,17972,15952,16512,19984,16716,17976,19900,21868,22364,23472,21468,22480,21484,18472,18164,22616,23344,24512,32776,39996,51376,71432,84580,77508,80428,91344,85860,76812,69240,58820,59892,73084,72160,90792,122480,152404,240652,427048,536616,460940,495560,486320,427732,351352,315280,316396,270992,216476,180228,138724,121356,123656,123696,123520,131212,155388,165880,157704,182584,210384,249096,195688,168392,203476,227672,278464,349516,388248,510152,498960,479872,355176,318800,263796,278400,288872,306152,283060,273296,281252,314088,336748,338468,323552,318324,310804,295256,299636,283028,288940,293848,319452,343756,335376,355856,379840,384228,421228,473424,510424,617232,808320,929396,843532,1055732,1639512,1552016,1426244,1407840,1169420,1184336,1267664,1138744,933072,827604,741968,720024,692100,690204,687440,708048,706652,677824,667344,723032,686868,682616,678992,641888,634200,667884,673084,669820,689448,708992,665540,655632,657568,657460,707872,724192,822656,918412,989288,1323000,1449112,1984196,1661276,1562000,1559056,1634700,1622844,1558372,1286972,1107196,1087304,1086796,946644,867688,853500,870780,745472,794496,822684,907620,1011380,1070236,1182812,1295676,1488160,1643720,2737208,3208504,4947608,5943800,6395852,6633708,7910196,6478572,6045304,5673992,5219956,4635872,3988800,3657540,3361500,3040112,2803432,2574500,2320488,2136872,1941896,1819108,1138120,963780,871172,793312,717572,636576,595348,551776,524888,504332,502356,504584,496424,477516,479060,481472,476300,444664,418220,400104,427750,416109
 "12000","Florida",5,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",182620,175672,166060,155004,166892,171756,178776,186032,345488,236484,184776,177388,186928,190164,191472,190076,179620,180060,193164,187392,193856,188064,186112,187072,189472,191604,194200,201168,210692,215280,217756,219872,231040,230292,233328,234480,250364,252036,255880,273196,248932,279480,299916,314020,273376,297048,312480,316248,307592,306456,309956,317888,346784,335744,352528,348252,367264,374316,385340,399784,439016,405180,407004,415840,436996,415800,416568,418192,449252,433080,433760,433760,451412,444164,446360,484176,515104,506412,522700,541024,563500,587828,602456,623612,686432,705620,712584,716344,709976,749604,769756,826396,844368,882604,919960,955312,1026072,1028868,1075228,1208492,1241936,1264980,1278040,1308144,1400956,1439616,1559028,1668112,1830596,2174536,2040116,2123988,2230504,2168592,2161720,2172640,2184612,2168340,2201332,2253968,2344552,2379424,2460832,2511444,2624764,2704044,2876004,2930288,3105672,3083632,3442712,3465916,3599240,3645720,3763492,3735880,3712932,3724396,3795372,3894104,3902368,3903416,3957932,4024776,4195972,4282964,4332308,4406140,4509524,4541668,4581768,4628512,4791100,4872356,4898560,4891548,4889740,4916228,4915532,4988620,5211372,5290028,5394172,5532408,5891648,5974712,6073576,6223980,6418908,6480276,6502860,6679608,6837004,7013788,7187652,7613960,8195960,8546616,8830776,8834884,8823856,8736660,8637968,8571248,8818412,8827876,8945884,9231452,9754896,9965624,10120028,10287316,10645476,10714872,10677172,10549584,10681256,10616396,10625188,10693984,10898552,11112064,11256436,11466556,11733484,11860000,12036812,12202636,12401176,12714316,13028184,13490504,14149764,14615980,13128192,14756544,14941088,14765628,14691856,14825868,15503648,15870320,16102668,16164616,16431884,16713876,18985924,17902656,18998180,19525124,20351808,20700344,19957468,19870760,19888024,20146064,20945796,21341524,21472452,21640856,21465536,44726572,26944156,24171012,25969416,31790604,29362348,29631784,35181840,35806304,36747484,37972348,39392788,40183576,40613476,40293328,34683224,34366652,34351348,34481692,34325216,35277032,35450496,35065664,36591340,38505484,38932372,39436820,41190152,42211008,42201496,41964528,42918768,42766880,42641604,42579960,44154712,44255048,46104152,44844100,46753988,46435988,45719884,45856104,48785190,48722827
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
