GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "18000","Indiana",3,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",5451969,5582521,5740985,5687377,5429612,5383736,5346292,5329144,5760708,5882356,6144940,6409388,6809780,7048488,7084980,7227668,7205272,7266332,7447136,7717460,8032152,8190884,8228380,8200032,7727972,7646936,7686656,7805664,8081336,8279288,8406224,8528288,8716904,8866600,9015096,9261968,9153076,9247988,9355624,9305660,9140108,9148464,9298140,9501800,9745612,10004312,9819540,9928908,10349824,10432528,10410016,10368884,10406512,10580224,10796088,11045548,11190336,11408288,11546868,11711432,11782052,11982232,12115684,12291140,12441764,12681264,12976884,13167616,13624392,13981696,14276300,14766128,14936340,15142244,15440696,15631180,15828912,15813100,16077004,16349828,16833404,17233032,17568184,18015212,18620128,19103720,19524832,19704660,19682292,19910884,20237496,20284220,20913868,21785324,21979292,22496476,23152368,23361568,23880340,24991816,26144052,26949936,27654060,28725548,28428304,28660736,29682084,30326156,30489184,30815368,32139212,32986368,33815884,34727228,35510704,36472408,36934996,38497988,39525956,40644732,41268900,42878480,44103280,45343064,46681292,47100704,48207004,49233752,50063156,49917452,51681808,54012492,55202436,55735136,57400240,57290008,57524280,58280028,58626800,59285940,59524184,60263332,61675372,63642928,66167872,67671208,68674636,69523356,70925980,71765620,72023008,72536608,74402808,75214332,75955384,76976424,78068572,79242040,80811736,82907504,82994640,84838352,86931064,88940164,92706624,93921412,93246540,94449160,96951592,98215592,99851376,99976536,99713296,100766648,102147052,104473576,106492928,109626452,111390508,113081828,113454968,115622516,116481248,118890796,120785728,122218324,124406212,126126524,127761720,128462436,129298584,130499460,132968512,135905264,137509076,139070968,140889704,142211204,143731736,147152604,151535726,154163778,155922038,157781894,158438791,159771539,161332715,165883071,169711279,171796143,173873275,172578023,176230176,176109816,175375572,175687672,175957408,178016996,178945052,180753376,180027364,181225992,182743188,186612544,186553952,190923888,192589580,195125588,193233592,196658696,199076248,201818464,206763916,208756796,210431220,211758044,214855048,216772228,216599548,219030440,223207620,231598320,226600480,223924220,218945088,219659312,219377144,223117848,224817204,229168532,231665384,234785792,240394288,243335548,247930892,249725044,252673416,256394900,256943680,262585948,260243520,260332196,260599168,260524080,264977504,269799840,272992764,276174284,277241972,281172504,283066476,285285600,285776552,288874080,291636312,294304416,297531664,299378780,301674784,306226904,311935960,313509028,316541292,320077724,323497920,326642477
 "18000","Indiana",3,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",212248,206796,197968,188552,203000,214840,229160,243664,377084,268432,214884,227036,250908,257708,263116,262872,277940,279140,299124,300296,356360,353984,356064,364616,315284,332676,340760,360224,342568,352448,361420,364804,384280,390136,404996,409064,435784,468356,473904,512068,521048,588804,592820,577192,548384,558652,577052,599764,580588,589408,610764,636836,683144,704920,696336,685424,690932,686536,701536,709236,733432,711272,717544,731980,752292,744412,748500,749860,775764,766736,859024,821944,837040,837936,863352,926140,976644,999196,1023376,1046208,1097428,1180448,1210772,1232896,1252556,1273976,1290172,1301260,1329824,1550076,1519596,1603228,1634512,1819080,1820204,1887468,1893072,1894968,1919588,2172444,2239328,2308180,2365368,2426560,2528412,2694916,2816468,2987276,3229904,3563004,3639696,3613520,3630420,3587232,3718228,3759564,3778220,3760196,3910292,3978340,4071788,4125484,4345424,4423844,4522828,4632544,5080316,5252924,5487120,5766180,6611296,6531652,6598464,6616896,6982348,7055344,7178364,7376528,7699932,8111288,8113988,8239100,8098248,8236964,8390076,8522692,8597660,8766100,8948396,8970436,9061468,9093920,9376352,9481560,9605936,9635476,9673212,9714344,9703656,9743900,10127284,10221872,10349956,10459440,10961704,11093164,11246776,11450532,11856480,12072940,12230732,12471104,12900080,13168940,13418884,14025508,14654168,15223408,15575148,15693144,16011932,16015752,16234420,16288732,16694828,16840028,16807212,17004528,17240688,17139256,17118864,17103764,17758292,18190604,18205512,18279100,18549124,18496000,18588460,18728104,19023908,19223132,19408216,19563820,19922136,20012288,20309560,20565740,20948856,21595604,21998784,22398872,23427852,24083732,23728820,24872580,25260120,25526860,25507076,25717248,26216984,26447900,26699308,26688196,27377060,27962452,28262116,28691300,29818076,30236780,30849920,31367188,32400352,32778952,33552216,33254332,34505428,34570100,34238088,35134732,35427796,44668428,40417124,39653776,42676652,44563128,44587568,45176436,47577848,47074536,47214412,47392792,47177992,47236188,47388656,47632948,47507912,48626748,49422844,49873124,50210284,49506580,48708412,48517112,50529868,52133296,53322032,54294876,54786836,55007560,54747136,55445016,55608600,56260268,56584136,56760056,56435876,57601932,58196244,58502468,59751508,59692200,60163764,60817192,63166989,64119334
 "18000","Indiana",3,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",14524,15308,15988,16332,17144,18496,19400,19860,20864,21768,22224,43316,49620,53724,55424,54748,56352,58412,60816,73760,78444,85364,89388,89968,95008,99972,104704,119720,129104,140596,149524,150916,154616,160180,168420,172368,190320,222536,221944,232236,240220,253752,258716,263700,287952,296304,305180,313016,315704,321856,328504,335188,346500,356432,368868,384504,394672,403976,412224,420872,421568,427112,432180,434552,439336,443224,448936,450496,454912,459324,553068,518260,527448,538868,541540,547356,559320,567184,570596,573628,597936,656724,669596,675552,679852,689412,696864,702472,710756,892404,833652,841548,851660,1005620,968396,982748,989444,995652,1006036,1213268,1251188,1288188,1315920,1340224,1356284,1468452,1537532,1568724,1584704,1601768,1753628,1766460,1804284,1813652,1948564,1982708,1997772,2020372,2164284,2179716,2182476,2183524,2348488,2385304,2404164,2435252,2687940,2700788,2714940,2728284,3166436,3190904,3250844,3250332,3630404,3633016,3647372,3676836,3942104,4081328,4059860,4101084,4099836,4192100,4268204,4319140,4319460,4411604,4542188,4547108,4619980,4591348,4758716,4789660,4885376,4881720,4977996,5034544,5018908,5018548,5277048,5276024,5289144,5295020,5576616,5591448,5599108,5601980,5849352,5910096,5943860,6020548,6393812,6455140,6509252,6551080,6786300,6879684,6926532,6959944,7226256,7252684,7255332,7274864,7474152,7555384,7569500,7569360,7764636,7756328,7730676,7756056,7968120,8022640,8088124,8157924,8357120,8383752,8414860,8453292,8651748,8685452,8738220,8744784,8868684,8907128,8943088,8981372,9198404,9461992,9440944,9452124,9811216,9850796,9976984,9980532,10302280,10362812,10421772,10491340,10658704,10771976,10808208,10882848,11145288,11259240,11279936,11387884,11720360,11871420,11915020,12032752,12574056,12748300,12828320,12891428,13346488,13497864,13566848,13630864,14019672,14149996,14291272,14390160,15307564,15552148,15682084,15865848,15937528,16179140,16280216,16402812,16494148,16690460,16777276,16905856,17606252,17739712,17862032,17983040,18391244,18501688,18653628,18789944,19132788,19279796,19383960,19578060,19916268,20042288,20158312,20355912,20385628,20521192,20640556,20820104,20979008,21086640,21227388,21406856,21872188,22022924,22184744,22371220,23143575,23298539
 "18000","Indiana",3,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),21696,62740,81280,94876,105016,112444,119052,124864,130588,136116,138244,142840,146572,149364,151532,154444,158012,161972,167164,171428,174532,176604,175648,176808,179684,184292,189568,199076,211216,226052,244676,260324,274348,286880,297652,308780,320596,333084,348360,363852,380548,399148,421836,441168,459392,475508,487712,504184,524604,546636,567268,590892,618008,642612,667056,700812,748984,802948,867792,922228,970300,1004724,1029484,1057600,1089456,1123420,1156084,1191904,1230448,1271084,1314040,1351904,1383564,1407940,1419376,1436032,1452796,1472152,1494836,1520844,1546396,1574468,1611916,1629504,1643664,1653808,1640368,1668192,1713044,1775160,1871936,1941896,2000152,2045972,2069696,2104872,2138452,2167832,2183864,2227836,2306416,2409888,2548824,2677632,2784824,2859332,2950512,2957280,2983580,3041420,3137160,3249392,3358992,3458116,3571012,3638920,3688764,3735288,3753320,3796620,3882628,3985976,4095532,4170012,4212320,4221168,4204664,4170840,4139000,4108928,4068184,4054996,4057372,4075856,4117216,4190164,4300820,4450784,4629444,4792196,4913704,4991488,5014548,5075328,5151740,5244740,5353748,5477604,5615984,5768384,5934388,6091848,6264048,6407556,6569972,6691340,6809052,6921176,7939372,8045272,8158072,8277184,8411776,8551812,8708856,8883468,9072976,9272744,9478120,9689364,9888992,10073040,10221004,10332424,10400868,10489036,10591252,10707544,10830704,10940068,11033700,11111800,11185616,11267260,11371976,11500164,11652764,11600184,11732512,11856472,12178384,12415448,12625236,12805864,12934324,13074800,13213436,13350868,13491184,13627128,13761712,13894656,14025176,14163164,14308488,14460968,14629376,14859400,15159544,15530236,15954682,16346291
 "18000","Indiana",3,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),16604,27216,35972,42952,46604,51188,55140,59552,65604,71200,84892,94420,116056,135664,143836,151660,147864,157004,158348,167640,190680,201816,203568,217620,226604,221844,236716,237396,241708,261196,250836,249292,263788,283880,292284,304588,316116,330096,338372,357716,371560,351088,386612,410428,427764,456528,465144,464104,484880,514156,531748,534376,577652,584976,602324,629748,656156,678016,698116,716432,731500,754148,788444,833732,892344,929716,945956,940912,914376,906228,921416,958464,1025480,1080228,1122244,1151796,1172236,1209664,1266988,1345588,1433672,1530940,1612268,1680304,1643700,1788388,1924920,2311068,2394252,2680624,2852920,2820328,2776120,2696524,2856580,2854256,2900080,2873812,2742288,2771316,2579824,2402052,2337244,2196160,2504956,2828844,2729072,2636560,2570140,2445432,2474060,2558820,2612632,2723056,2739728,2891392,2998112,2985072,3160436,3308100,3384184,3612512,3788340,3820708,4008432,4275100,4023952,4520300,4529116,4437700,4465952,4491700,4502864,4306888,4325960,4206188,4597748,4966824,5009472,5056832,5409992,5463260,5691276,6086440,5558300,5624824,5876468,5505548,5942360,5572496,4847416,5252368,4788524,6147436,6573484,6150816,6759208,5775516,6046100,6046480,6324064,6218156,6190300,6420840,6258284,6214024,6431048,6508164,6832728,7995120,8713244,9020144,8944828,8317248,7249820,6776708,8121816,9000368,9757400,10260128,10235356,10104528,9591140,9980752,10004476,10455084,10645104,10676176,10257008,11303412,11639508,11591968,12013144,11561708,11614404,11721148,12297949,12716807
 "18000","Indiana",3,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",9004,9944,10364,12036,18496,24108,30484,37248,21264,17384,13508,11728,12960,12416,14792,16632,21588,20248,23260,17908,15476,14036,14720,21396,50176,60672,61700,59864,29660,24040,21928,22076,32996,33928,37960,37128,34120,33060,35980,49224,83040,112616,96432,66968,47784,34300,34800,49836,37228,43120,57180,72292,87072,108884,80448,63640,54960,44332,49704,42704,43432,36656,35464,39696,39356,37724,32360,28392,28104,24720,23768,24224,22232,19264,22708,19460,24956,34528,35564,34124,34412,32632,31768,28304,23336,21524,25520,29764,39992,56920,58144,88164,78576,78448,84876,116492,87288,87640,72668,55384,47576,43596,49176,52472,83548,104336,91712,161540,283292,427904,406148,309084,218104,185644,171952,171312,153452,94532,88084,100812,116764,109720,102100,91928,114024,118128,177832,206148,213924,406252,535356,371292,319936,304272,237004,308660,376388,475432,446644,624680,553012,582260,351376,295636,239184,220748,219556,226264,229964,209920,184316,184084,184548,185896,193072,229456,177832,170208,162864,140772,143548,128756,127464,103748,114680,114032,120380,146792,137704,135664,137352,149796,220968,224976,191480,182412,258000,241404,177660,181976,148752,180708,230640,230784,227992,214780,175228,204736,204492,210384,226728,244284,273900,279032,241528,265280,258004,254548,245556,232864,232452,242200,315540,231956,258712,251432,252864,246044,265240,257476,299024,355612,486704,537144,591944,711944,722428,1010924,848572,835936,863748,976072,1004072,911916,756296,687180,698192,697920,698800,666056,661120,658316,641448,647568,932392,714080,745220,697304,709888,734216,792340,857540,1328040,1700524,2543800,3161584,3396204,3540180,3652652,2748504,2510664,2319064,2138972,1996960,1845804,1843476,1656716,1436244,1287036,1200284,1073620,871924,769376,711232,448424,432432,411556,397208,376732,340224,336268,333480,345348,334112,315684,286376,265320,244560,250828,242500,241864,246488,251692,247736,254522,252357
 "18000","Indiana",3,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",188720,181544,171616,160184,167360,172236,179276,186556,334956,229280,179152,171992,188328,191568,192900,191492,200000,200480,215048,208628,262440,254584,251956,253252,170100,172032,174356,180640,183804,187812,189968,191812,196668,196028,198616,199568,211344,212760,215980,230608,197788,222436,237672,246524,212648,228048,237072,236912,227656,224432,225080,229356,249572,239604,247020,237280,241300,238228,239608,245660,268432,247504,249900,257732,273600,263464,267204,270972,292748,282692,282188,279460,287360,279804,277408,296584,311088,302608,312200,326012,346028,366228,378820,392924,411124,420200,421216,419660,410940,419092,433816,468592,490508,512396,537260,552072,575088,563668,576308,625080,634940,641656,645220,656152,696040,704800,754528,802492,873576,1022736,955756,987272,1033068,1002240,980448,969000,963452,942928,947696,973012,1021048,1044176,1077948,1095388,1121256,1158176,1258164,1345660,1519640,1579744,1773908,1756080,1732128,1683536,1679496,1644840,1640240,1652504,1689980,1747484,1767380,1778876,1814264,1848396,1912492,1952884,1976964,2003860,2025368,2023228,2015932,2012604,2045908,2055444,2035136,2008920,1991092,1973860,1956804,1972308,2040840,2068672,2098060,2133716,2226236,2236124,2260148,2310200,2366056,2391368,2398800,2452624,2457736,2472600,2486816,2571060,2666792,2744064,2833212,2871564,2910292,2928556,2908288,2887408,2955444,2946660,2961204,3001000,3120724,3131572,3135452,3171976,3257996,3263468,3264160,3233360,3268328,3242256,3241664,3261960,3322412,3401584,3475728,3586760,3728444,3813660,3895800,3954368,3983812,4073460,4169656,4319644,4492056,4628496,4222236,4668316,4691748,4640096,4619040,4653532,4837920,4915360,4945084,4918860,4943340,4957360,5010468,5141108,5418952,5544704,5773452,5668504,5687176,5712988,5756964,5866092,6059584,6250624,6405080,6633816,6754284,14240712,8746208,7722912,8177088,10000840,9242176,9391504,11262736,11439700,11641980,11542532,11455884,11394676,11300828,11263652,10226600,10188412,10188556,10169492,10147828,10215536,10303076,10382756,10648456,11005252,11143880,11253616,11324156,11445720,11447980,11424004,11381964,11322752,11221080,11082744,10909364,10804156,10770032,10800176,10994936,11001680,10953380,10946852,11516261,11505340
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
