GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "20000","Kansas",4,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",2396092,2573476,2574808,2674244,2535556,2560596,2513992,2510392,2767296,2770532,2846044,2969472,3127812,3060292,3194240,3267152,3430380,3627644,3939724,3740804,3621660,3561584,3483720,3523472,3677004,3744840,3799840,3799296,3746932,3765328,3751020,3810280,3828672,3925796,4020160,4082244,4074156,4143840,4232524,4288108,4538524,4477240,4645224,4712544,4679764,4616996,4593116,4678964,4660888,4755688,4923448,4968248,5070848,4980728,5057412,5048592,5198296,5258400,5237488,5281724,5343316,5376132,5317864,5420364,5489248,5617288,5703604,5788720,5873628,5971588,6087408,6163204,6289232,6403832,6480168,6636164,6672932,6652980,6794564,6902356,7134980,7266060,7457860,7582236,7909636,8063292,8285952,8520264,8650388,8800240,9027444,9092744,9325228,9650484,9719536,9921740,10262236,10554816,10861300,11375036,11427628,11824652,12484112,13328980,13086520,12974188,13295120,13692100,13849940,14238608,14815436,15046228,15371076,15531600,15837096,16244932,16352120,16701460,17223092,18451820,17880228,18609600,19411944,20155520,20656724,21301024,22056524,22845808,23124780,23197396,23965272,25189400,26017724,26534180,27506340,28138528,28477608,29361120,29306740,30161552,29920800,30254768,30656496,31326028,32468340,33154880,33890380,34556812,34911848,35086912,35375384,35647312,36330732,36679608,37140376,37683872,37849140,38400848,38840664,39500796,39820084,40461708,40919688,41613068,42683888,42921004,43094768,43741004,44837548,45547936,46268236,46350952,46232504,46822064,47641348,48542440,49861060,50758864,51189168,51951844,52446160,53133060,53521156,54147388,54563592,55631812,55932144,56817620,57267768,57762592,58469880,59017016,60598084,61545640,62307176,63285708,64200292,65088976,66282696,67512464,68309966,69477718,70365774,71083042,70740798,71377366,72028238,74431022,74211166,76079102,77379034,76648130,78005844,78609040,78590280,79092348,78319224,79183592,79334664,80121548,80709280,80943220,81919292,82371424,82100724,83154808,84614972,85517924,86850904,88439212,89451540,90087384,95668144,97527392,98480512,100075540,103143856,104782016,105548636,107553828,112668056,116856780,115121644,113526716,111101028,110947788,110014448,110833392,109689412,112097968,114239148,116282564,119498928,122092568,124054228,124602096,129835012,130144472,128025552,132722928,130499284,133212228,133598968,134603904,132933184,135361808,137259524,138348768,137475944,137769280,138349900,137877880,136872856,137894576,138959996,139531072,141182444,141544084,142100932,144138912,147692988,149141712,150315856,152285892,153364313,154820005
 "20000","Kansas",4,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",106564,103300,98384,92948,98644,102768,108072,113460,202432,141996,112464,113996,116624,119452,121248,120764,123224,123888,132572,132436,139784,138352,138892,142100,147084,151928,155232,164048,170004,174472,178224,179892,186064,187972,193584,195460,210700,224204,226636,242836,232428,256416,269284,273828,261704,273496,286916,297844,294756,301096,304132,308280,326580,336500,338632,336352,342772,340168,343972,353120,370584,359812,363784,369408,380296,373908,377276,383764,398628,396392,436888,419188,427156,425732,439680,482228,512764,522820,539136,552252,576140,614772,629904,644228,677944,690768,695132,692048,718320,823840,820624,850256,862232,939076,926604,935628,952468,948552,963524,1073724,1110044,1139792,1163556,1192324,1235392,1300068,1351888,1407776,1489220,1611460,1656648,1695980,1731732,1734848,1818064,1849272,1873224,1894736,1960768,1989232,2040352,2056304,2146720,2174240,2218456,2230780,2394384,2439860,2539412,2594212,2918232,2992436,3042328,3077716,3283424,3320196,3365248,3456640,3662512,3791624,3802708,3821064,3774576,3819276,3883364,3906016,3914952,3983860,4100652,4107284,4154804,4179448,4284876,4324664,4377644,4372160,4415100,4462980,4490464,4479600,4616604,4636540,4692780,4781124,5012892,5090528,5177756,5284916,5458316,5554008,5606212,5709072,5912996,6003292,6082180,6256536,6527224,6695880,6808860,6859636,7053952,7086280,7163420,7183008,7289524,7318744,7362040,7456492,7673248,7759172,7802652,7774484,7945896,8019380,8013240,8079324,8298056,8386444,8459252,8495816,8494580,8521288,8543040,8618000,8752216,8808460,8953604,9094364,9277380,9588096,9772980,9964884,10311412,10572108,10406728,10906248,11060548,11159408,11247656,11368376,11520932,11672852,11862384,11780028,11919188,11986356,12060916,12195348,12498440,12673592,12757124,12857784,13325948,13521680,13792288,13931232,14465024,14581684,14724108,14976468,15272300,18389092,16360448,16188000,17061928,18288240,18368276,18383968,19187452,19123292,19125052,19323200,19519140,19602892,19624756,19756292,19399776,19397984,19284404,19335668,19449408,19579672,19726132,19800624,19986712,20296656,20537504,20697488,21016584,21247700,21430308,21510412,21688588,21970944,22065284,22158640,22322740,22365028,22518200,22772256,23277876,23420692,23719460,23884468,24685454,25067457
 "20000","Kansas",4,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",4448,4692,4896,5004,5128,5528,5800,5932,6216,6484,6620,12908,15272,16540,17064,16852,17508,18152,18900,22924,26448,28788,30140,30340,33488,35236,36904,42200,46964,51140,54388,54892,58044,60132,63224,64704,76436,89372,89140,93268,99500,105052,107332,110228,121036,125148,129364,133144,134440,137624,140800,144164,149472,154288,159816,166692,170820,174784,178428,182536,183740,187216,190240,191732,194104,195980,198580,199744,202372,204936,247640,233012,237348,242556,244248,247392,253132,258024,260336,262612,274616,301972,307788,310600,310920,315032,318388,321076,327752,407600,382332,385668,392500,459600,443300,449532,455048,459208,463680,552972,571580,587852,599260,608032,611216,659144,688864,703224,711168,719408,788356,793908,802180,805108,865492,882624,886268,897356,960516,967272,974496,976016,1044476,1056684,1067340,1077332,1179924,1184464,1191972,1198452,1384300,1401336,1429256,1438792,1610420,1618844,1619592,1630352,1740792,1796408,1781256,1799344,1796824,1833260,1868096,1884152,1881000,1916912,1976652,1984292,2017560,2007500,2078472,2086432,2122900,2118240,2155148,2185356,2185996,2194296,2305984,2305504,2314140,2320668,2434176,2447304,2461080,2473376,2593964,2624068,2633500,2649692,2801616,2817992,2829280,2833748,2960056,2991320,3001800,3007752,3120536,3137664,3146488,3164860,3252648,3278932,3284612,3291176,3382072,3412528,3429968,3458308,3554084,3564212,3571004,3579880,3661064,3677608,3690164,3700396,3760924,3773200,3792064,3792196,3837316,3851912,3868736,3889676,3976296,4086236,4086212,4097644,4238164,4256716,4305380,4304136,4420804,4437332,4452928,4472108,4527684,4563176,4573760,4600492,4698644,4742364,4754968,4799344,4922988,4979160,4992664,5026848,5208352,5260860,5283236,5303156,5468648,5522420,5544816,5563584,5695168,5741440,5797256,5843524,6193604,6295816,6349260,6416380,6436320,6520780,6553060,6594480,6624544,6697444,6730136,6780488,7053436,7107824,7157716,7206908,7368748,7413324,7472952,7525020,7663584,7720088,7758388,7832352,7971124,8020964,8069056,8154060,8170908,8232660,8287880,8368816,8441388,8493436,8560684,8645568,8853064,8924804,8998772,9080664,9408953,9474820
 "20000","Kansas",4,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12988,37580,48856,57264,63044,66564,68676,70480,72532,75008,82456,84884,86580,87444,88328,88204,89832,91468,94656,96152,98144,99532,100064,101920,104872,108228,114108,121484,129388,137528,146204,153216,159288,164536,168432,173528,180408,189040,198928,208572,217072,224540,230364,239180,250992,266328,286200,303064,315756,324364,328364,335728,347264,363988,386380,408744,431080,453156,471844,492372,512644,533116,550700,569944,588280,606672,622720,642952,664440,686732,712704,730768,744448,751740,752748,758076,762568,769472,777048,784560,791412,799856,811984,817584,821512,823096,808728,815328,831268,856068,892832,928316,965464,1003036,1036356,1067272,1088656,1097152,1095200,1103952,1124792,1151904,1204660,1242004,1273516,1296408,1336044,1341128,1356228,1386948,1431196,1476036,1521332,1563588,1610728,1654320,1689600,1719512,1730528,1744912,1773800,1809708,1856220,1890924,1905308,1898592,1860832,1852320,1850688,1855956,1865776,1878052,1890280,1902512,1916668,1943680,1984808,2040372,2105016,2164364,2209960,2241304,2257128,2285936,2323472,2370180,2427244,2485188,2544800,2605540,2666924,2723960,2785236,2832684,2883712,2925392,2973044,3026396,3442680,3502000,3563212,3626076,3688800,3748788,3805252,3857668,3899488,3955152,4020140,4095080,4174392,4243632,4300212,4343976,4370720,4403636,4439976,4479704,4518864,4554980,4585360,4610080,4639116,4662632,4691664,4726220,4768916,4742900,4785796,4830352,4919696,4997040,5069788,5137664,5196472,5255248,5308360,5355764,5398692,5443864,5492492,5544648,5600292,5659508,5722364,5788844,5862276,5955572,6071824,6211036,6366763,6510443
 "20000","Kansas",4,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),24908,38984,48784,53580,51668,51272,51996,54412,60016,62388,68512,67452,72708,77856,78788,82244,82240,89048,90748,96164,108232,114608,116992,127832,136072,136476,148500,151076,154080,166668,159024,156224,163520,171684,169908,168800,166368,166760,166152,175104,185344,177144,194828,206756,212816,224688,224340,218688,220156,227904,232248,233068,254708,256772,258176,258476,253576,250032,250756,255472,265040,272068,276888,279584,279764,280232,282016,285576,290484,296544,304144,312556,322476,333328,345656,359720,374772,394024,416172,440792,463428,496148,531376,569812,584404,643584,678308,773564,749264,804060,847820,858216,895048,904428,976220,973264,962704,949336,927524,989120,1003504,982688,955708,849488,868920,930144,901944,929804,1029392,1069548,1130176,1167940,1144136,1143292,1110584,1140188,1159520,1146200,1218056,1292920,1352584,1466632,1553684,1573420,1585288,1696276,1629656,1859804,1910096,1908752,1923540,1909256,1769148,1664532,1719472,1646568,1763620,1842620,1859244,1920628,1985272,2051276,1987044,2061760,1968824,2027064,2168356,2119948,2277040,2152628,2106220,2164876,2234240,2227084,2221736,2240384,2368380,2475500,2550852,2442732,2377188,2326364,2409472,2441184,2678604,2751120,2768232,2822936,2652832,2663944,2538824,2534080,2475648,2595652,2661572,2693924,2697588,2782208,2897176,2898960,2944052,3022068,3105608,3066784,3127048,3313440,3316976,3302812,3306056,3253284,3265008,3338268,3434136,3413480,3542088,3489832,3520911,3699945
 "20000","Kansas",4,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",2584,2856,2976,3456,3640,4740,5996,7324,9080,7424,5764,5004,3244,3104,3700,4160,3576,3352,3844,2968,5764,5224,5484,7968,9180,11100,11288,10952,11376,9232,8420,8476,7676,7896,8840,8644,8668,8400,9140,12508,16756,20784,22144,17492,13932,11340,13800,19392,18944,22604,21360,19200,19908,31364,23492,20384,20020,15292,14636,15984,17884,16816,16656,16756,16676,15620,14728,17688,15852,16752,14316,12404,11256,8968,8512,9276,10656,10400,11744,10944,10480,9472,10736,11808,13120,14968,16444,15120,18340,33724,40552,46020,41368,45680,38304,35296,32448,29400,26660,23860,22248,18352,19776,23764,37824,38752,29488,36836,58908,85220,83880,78660,66696,67100,73080,73408,79564,73072,67952,66548,62280,44620,43956,45480,60216,43832,63256,62356,76340,105256,127880,142956,115544,99396,94884,113432,146512,197088,256024,285576,267736,242948,164828,143356,129900,112504,103540,113272,143580,123472,125596,144928,149568,163468,174832,166496,155800,161308,179664,140880,143088,133116,131532,143492,148616,141540,139788,153476,140336,143848,135832,154320,184444,178160,181964,189748,247348,261784,254612,258560,254632,253072,250436,239032,199500,184328,192548,150900,145540,151312,150924,144704,149464,143100,139956,158164,134236,144564,135860,131632,133440,122956,129700,124236,136752,145940,156428,164132,154208,167328,168688,187968,216072,216864,235656,284084,326212,416780,429964,438648,440892,525184,559976,486976,388124,310300,312040,273040,266760,252804,272740,264516,223864,226124,221564,229604,244396,234804,240588,248356,267300,283072,385276,548144,750284,1028368,1314760,1274328,1397856,1175756,925204,1005288,905548,799620,756832,776944,704556,637180,565136,527048,477392,432832,409436,388176,295856,285444,271776,259964,263204,251996,242428,228508,219580,211956,214512,214348,201080,195648,191672,182632,171284,153892,149120,144352,152843,151584
 "20000","Kansas",4,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",99532,95752,90512,84488,89876,92500,96276,100204,187136,128088,100080,96084,98108,99808,100484,99752,102140,102384,109828,106544,107572,104340,103268,103792,104416,105592,107040,110896,111664,114100,115416,116524,120344,119944,121520,122112,125596,126432,128356,137060,116172,130580,139808,146108,126736,137008,143752,145308,141372,140868,141972,144916,157200,150848,155324,149276,151932,150092,150908,154600,168960,155780,156888,160920,169516,162308,163968,166332,180404,174704,174932,173772,178552,174208,173932,187980,200120,197132,204012,212132,222368,232848,238848,246812,271448,275884,273720,268408,258992,255328,259124,273520,282040,286372,294860,296856,304892,295636,299800,321212,329400,334248,336344,340756,357908,359908,383500,407016,442480,518696,487012,506540,527856,517592,513920,517624,522948,518460,522284,532860,553856,560920,572624,578912,596168,607128,637788,653948,699376,704616,780144,788232,812868,822468,841136,836116,828288,831352,845168,869900,876288,879048,890308,897452,919088,928560,935208,946464,962632,969376,972192,977964,1000024,1009972,1006484,1001992,1001684,1002188,999148,1008772,1036328,1049264,1070184,1101176,1162496,1179344,1195252,1214236,1224232,1222672,1216848,1238096,1247332,1259604,1267836,1307572,1365896,1396712,1431112,1438700,1447692,1449988,1434048,1418904,1443476,1430112,1436024,1461708,1531404,1558324,1576452,1602472,1642900,1637012,1626536,1601768,1617144,1603800,1597744,1597256,1595248,1629520,1660004,1705424,1752852,1786356,1820104,1845124,1877624,1924220,1979588,2065480,2166872,2237888,2026076,2216920,2146308,2110608,2117752,2178184,2355964,2434772,2464376,2440452,2401876,2367112,2349428,2369652,2439708,2464960,2531632,2478264,2482228,2505632,2555920,2652448,2786140,2923044,3027232,3141984,3176104,6182344,3936040,3460868,3575268,4244924,3853192,3906552,4605368,4696756,4797340,4802544,4791580,4799728,4784196,4765844,4349836,4326404,4331064,4341412,4358704,4394964,4396376,4363152,4409988,4511876,4540376,4568548,4641732,4697424,4704856,4705296,4772360,4769024,4753424,4728016,4773924,4763152,4778472,4816944,4957116,4972944,4957656,4958584,5235984,5230665
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
