GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "21000","Kentucky",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",2680280,2793684,2912636,2890744,2710952,2705120,2656364,2645492,2888192,2869620,2943740,3024368,3242104,3442112,3498400,3599220,3554472,3607872,3736100,3766556,3860336,3854616,3863452,3832168,3810988,3775576,3781380,3845772,3917600,3940348,3992892,4072968,4042872,4187936,4256504,4340196,4371264,4414404,4447672,4430928,4529032,4576768,4648912,4738080,4757420,4875604,4888680,4928704,4893996,5029568,5085028,5079472,5194428,5250292,5395812,5543488,5580580,5668756,5688052,5773756,5867360,5946544,5997352,6060292,6189356,6166704,6219608,6326148,6506144,6661680,6856780,6973788,7164100,7255004,7443132,7655444,7871220,7868864,8045436,8164768,8391592,8667644,8837788,9028736,9434280,9659492,9836472,9916580,10142108,10405648,10709716,10881924,11117772,11419156,11563204,11764072,12182172,12372448,12726736,13437728,13684964,13955564,14413596,14956036,15282608,15816044,16384352,16725744,16771364,17234864,17654384,18256152,18901716,19147116,19776096,20352508,20895096,21722032,22150104,22968468,22864608,24341132,25014572,25555708,26505656,26882724,27842164,28588324,28929376,29156532,30225208,31175120,32045720,32157012,34228240,34519892,34863284,35280948,35783812,35680016,35605676,36083524,37115116,38215772,39733464,40810588,41580780,42123008,42312680,42571476,42930260,43447652,43441344,43709260,44332904,44592392,44973236,45653104,46962036,48400896,48732692,50016192,51403828,52140688,53702636,53857740,54403208,55491196,56534908,57308656,58101176,58748880,59229428,60112452,61274720,62756396,64167588,65276700,65989924,66754812,67176184,67773028,68211248,69352188,70031428,71318348,71909384,73174064,73861812,74698004,75351228,76306624,77534488,79452596,80289716,81205308,83247564,83852444,84772388,86296116,87778833,89119833,90074961,91210593,91701870,92567654,93636770,95858750,98649371,100174807,101754435,102607483,103314308,104166692,104300456,104944696,105062228,106449100,106888508,107882084,108060716,108821776,110100176,111486428,113330260,115014548,116721216,119120700,119091280,121094528,122637716,124207788,127105212,128477040,129382920,130504532,132757940,134345340,134814172,136385768,138373592,144108036,140271528,139340392,136909884,138996184,138850100,140537424,141042764,143623136,145458772,146288648,148897968,150239748,152108240,153953456,155395140,156893672,156097196,158924376,157701432,157884264,158491956,158795812,162467416,165209628,166905872,169075620,170339360,172731408,173932668,175098900,173745620,174904052,177081236,177951144,180376608,181500696,183004188,185537060,187384788,189337160,190292708,191854956,194308411,196221537
 "21000","Kentucky",5,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",167344,162292,154644,146228,165644,173876,184248,194872,324224,227868,180392,182256,187572,191724,195432,195392,192808,193132,207460,204744,213260,210228,211280,219452,237812,249268,254420,266100,259696,262680,266612,269092,265240,268056,277108,279260,298204,314476,319296,347576,337844,382120,400400,395756,371216,384008,402836,414932,407132,410700,431736,466604,525580,562496,576612,553836,534608,505588,488652,486816,510884,493708,500368,511908,532596,524716,527780,533308,557056,553540,611496,592176,604996,603244,621276,677772,720440,736948,755808,771056,798656,844744,858316,870868,927980,944196,949860,954116,988900,1129600,1124728,1175924,1201924,1319188,1327880,1344060,1379944,1381436,1408912,1594252,1648656,1697708,1738796,1793008,1873512,1990392,2111732,2229896,2361888,2634944,2644616,2693104,2772192,2764528,2879664,2908924,2933908,2918124,2994700,3023832,3096940,3074192,3235348,3304336,3450508,3559816,3838812,3965556,4117648,4206660,4775584,4773912,4871692,4932640,5162800,5188776,5233792,5305952,5630204,5826844,5895568,6004660,5927524,5984856,6132588,6199176,6233904,6348320,6480320,6483012,6541596,6562844,6741924,6801876,6872756,6880220,6969784,7059340,7078976,7120480,7372188,7430088,7537208,7638520,8013360,8145080,8300680,8479728,8750828,8883680,9047400,9359044,9797952,10150972,10327008,10705140,11044476,11255416,11363852,11329276,11632780,11628068,11760408,11788464,12141284,12171400,12235816,12547024,13010304,13182548,13324340,13291604,13732520,14050440,14014772,14130212,14564524,14676424,14875368,14990764,15093240,15153880,15145584,15291264,15534228,15591012,15807808,16012440,16278700,16795908,17115468,17442580,17918016,18428032,18202452,19157984,19492564,19778248,19800428,19861788,20079088,20238816,20522700,20546728,21198896,21837716,22063240,22501464,23076672,23056024,23277696,23417704,24431736,24894976,25241380,25436056,26483444,26565248,27041092,27499208,28071576,33465064,29996036,29782424,31617984,34234560,33916304,34095984,35370544,35326572,35546644,35573904,35800024,35732376,35769208,36419320,35730708,36056648,35970156,36144404,36484260,36639368,37028772,37214464,39191108,39874140,40453976,41222612,42081596,42411048,42469180,42556896,42476352,42536132,42779000,42635280,43326524,43521424,43920536,44365004,44712384,45425452,45275580,45224852,46575368,47159808
 "21000","Kentucky",5,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",6788,7156,7480,7632,7952,8576,8996,9208,9632,10052,10260,19996,23260,25184,25984,25668,26604,27580,28720,34828,37268,40552,42468,42744,45340,47712,49976,57132,61980,67492,71784,72444,75104,77808,81808,83728,94436,110420,110128,115244,120656,128500,132272,136324,150304,155764,162144,168508,169776,171916,176236,179872,185300,194220,204928,218520,228232,231336,232032,234824,238568,244548,249624,252064,253832,255412,258972,260856,264360,268096,324420,305520,310896,317244,319336,323040,330140,335880,338056,339596,353404,386560,391804,393588,400340,405396,409412,412352,417728,525024,489996,493380,498152,588096,565708,575380,585432,592000,599848,726088,746216,765864,782376,799412,809352,882376,928956,949580,950944,959200,1049036,1057924,1084752,1094120,1178032,1199124,1207952,1222136,1308148,1319844,1328076,1326436,1423140,1444848,1458840,1485088,1640128,1655748,1669232,1677880,1931160,1939732,1972400,1974264,2200684,2204500,2213704,2224488,2377260,2460516,2450936,2484184,2489224,2545320,2592288,2619952,2617280,2670240,2750484,2757228,2802992,2787044,2891824,2903944,2958492,2953168,3012472,3054936,3048180,3046684,3197552,3185736,3189152,3194712,3366888,3390456,3417664,3448296,3619936,3655192,3667112,3689136,3899520,3938512,3963372,3978956,4170436,4222476,4237732,4246880,4450328,4474992,4490004,4511780,4657712,4702280,4727760,4773996,4950316,5016644,5057172,5090288,5235296,5277992,5288008,5312476,5444848,5476832,5510840,5541100,5662552,5689292,5732400,5745180,5847392,5881144,5908264,5932088,6077392,6263324,6242724,6247684,6517324,6544128,6634036,6630572,6868644,6911564,6958408,7018544,7140116,7237500,7277836,7347164,7551164,7648620,7678176,7771968,8033412,8142860,8160236,8215936,8563348,8653732,8692368,8733360,9068724,9182080,9237136,9286744,9556752,9649496,9749992,9821848,10441664,10612792,10704720,10832528,10878800,11040496,11106352,11184960,11242712,11367592,11422300,11505968,11968076,12053948,12131584,12207256,12468440,12535500,12628788,12711804,12927052,13017944,13083080,13207076,13425536,13507588,13583276,13710828,13731644,13819044,13895400,14009280,14109244,14177008,14266228,14380480,14676920,14773200,14876392,14995128,15486282,15584828
 "21000","Kentucky",5,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),13972,40460,52600,61624,67852,71668,74216,76288,78464,80988,85080,87464,88980,89484,89280,89952,91412,93632,97372,100204,101596,101976,100688,100992,103096,107488,112972,119740,126864,134172,141384,148892,156536,164164,170620,178760,187912,198236,211168,222460,232372,240996,249752,257352,264640,272100,278968,287104,298008,311328,325700,343804,363484,384352,405584,429276,455176,483324,515236,544160,569308,589960,606452,622296,639616,659348,678784,701016,723744,745528,768288,790576,813280,835860,856320,880440,903572,927872,954516,980012,1006244,1034192,1069804,1097744,1124304,1149728,1160524,1189836,1224396,1263784,1317336,1362300,1407988,1453632,1485640,1522904,1562776,1599644,1637440,1686652,1738380,1785536,1858028,1907652,1949152,1982344,2066600,2079312,2110088,2163604,2252464,2323072,2385860,2439320,2488284,2536272,2585044,2631368,2673180,2726456,2781884,2847832,2923800,2979872,3009592,3007088,2970724,2950012,2939696,2939724,2943752,2960152,2982260,3010348,3049732,3108640,3193408,3304752,3432636,3550040,3646132,3720024,3778656,3835792,3890104,3941380,3999176,4064652,4147396,4247408,4367072,4485264,4618932,4734824,4864092,4970780,5077700,5183528,5964292,6070168,6182200,6300036,6424500,6550208,6680228,6814272,6955612,7081096,7194972,7296312,7376980,7465896,7561524,7665296,7771624,7878260,7980820,8078880,8158724,8238088,8307384,8366772,8414544,8468864,8530080,8598084,8683916,8627452,8702588,8782300,8968156,9112216,9246124,9369304,9470400,9571624,9664632,9749404,9827972,9906012,9985312,10065808,10147008,10235348,10330748,10433176,10548164,10700000,10893884,11129924,11397312,11644013
 "21000","Kentucky",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37420,59240,73460,79692,74520,73004,72700,75736,83980,86016,91628,86780,85812,85640,82688,84744,85404,94316,98456,107048,123144,133156,137828,152028,164272,165152,178984,180248,182428,196352,187808,186588,198168,213076,219536,229992,241168,255864,265916,286956,304700,291800,320784,339116,349748,370160,372368,367420,378712,393740,398032,390892,412460,415216,431652,461768,499516,527440,547848,560264,564204,565696,566660,566396,566068,569268,579636,597328,623420,647256,669376,688540,709392,731100,756960,788168,826640,863764,899156,931860,947612,1008528,1105840,1243956,1364180,1571328,1689444,1924336,1826420,1897916,1916176,1839696,1820388,1764232,1865788,1858616,1885456,1900088,1899008,2077384,2164724,2172992,2172856,1986188,2103176,2310280,2251192,2301824,2494620,2547504,2660304,2725648,2658048,2648508,2571812,2647804,2711636,2679572,2826916,2960744,3044000,3258936,3420232,3445660,3299560,3510828,3365760,3792212,3823832,3807648,3840808,3836392,3675572,3611292,3731116,3640416,3974588,4419132,4439616,4613700,4616588,4314072,4236736,4282656,4148904,4370092,4467792,4356296,4783580,4508788,4688856,4810544,4900584,4776124,4783832,4888272,5222428,5789736,5867096,5768500,5614688,5524672,5653720,5670920,5867208,5704296,5682804,5675892,5599268,5798392,5592228,5657384,5670928,5883544,6147088,6268436,8033908,8437808,8840584,9367764,9862824,9952628,9809576,9651324,9378044,9283616,9404384,9146900,9650900,9755588,9984916,10200836,10006100,10444976,10003608,9603444,9759417,10017219
 "21000","Kentucky",5,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",4732,5220,5440,6324,10980,14312,18100,22116,18528,15148,11768,10220,10008,9580,11416,12836,16136,15136,17392,13384,16464,14924,15656,22756,34928,42236,42964,41672,32412,26280,23972,24132,23460,24124,26992,26408,28396,27516,29944,40980,44196,57956,58128,40804,32256,25476,27868,30408,28508,28052,31388,39124,40468,58024,46348,35112,30488,27256,27248,27928,28144,24032,22952,24260,28752,28344,23416,21960,20328,20348,19884,19152,17140,13684,13584,15120,16376,21820,21788,21472,21392,20232,20832,19464,19392,19928,20400,24936,28160,32820,34596,41048,42776,48892,58960,52800,52444,56104,50384,48036,48424,46708,46644,47132,55792,62968,64364,93880,139832,228736,212560,190344,158288,151864,170804,167580,161452,127348,121024,121348,142816,94488,110516,100620,141368,137652,145136,176848,195652,269976,381692,321648,288268,284784,231912,264560,297724,331748,449616,482392,477080,498544,332588,252156,239988,202972,186424,196920,208524,182156,177592,189632,193088,198228,191484,177100,151628,153544,147404,135816,147912,150840,166372,146404,144688,146776,160216,175496,185940,176444,189404,248244,291568,313244,280704,290368,361600,352996,331240,322728,309036,314048,323224,307568,321620,245512,212028,193596,210076,213144,224216,237716,256180,243224,211624,229600,230116,222764,235772,226240,223464,231648,226728,224288,233388,243592,235072,241096,251840,254156,273360,326228,375184,393880,439252,512488,507748,741496,642348,568472,626488,618740,624308,575084,514104,464448,437804,403784,403120,383544,395652,394680,358636,366120,413344,461760,442728,420984,429996,441924,472924,510964,748320,947056,1362728,1732824,1873544,1877768,2012844,1700916,1519404,1409496,1315928,1192428,1139508,1625560,1077744,1032668,962384,895748,804368,767380,740088,707940,459224,396816,342260,299936,283328,278512,297848,327652,361984,362180,360568,329904,330104,301312,291528,279284,289184,303172,313024,307580,298465,288394
 "21000","Kentucky",5,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",155824,149916,141724,132272,146712,150988,157152,163548,296064,202668,158364,152040,154304,156960,158032,156888,150068,150416,161348,156532,159528,154752,153156,153952,157544,159320,161480,167296,165304,168908,170856,172516,166676,166124,168308,169124,175372,176540,179224,191352,172992,195664,210000,218628,188656,202768,212824,216016,208848,210732,224112,247608,299812,310252,325336,300204,275888,246996,229372,224064,244172,225128,227792,235584,250012,240960,245392,250492,272368,265096,267192,267504,276960,272316,274384,299152,321324,317624,328112,338320,349644,361664,367216,376828,423168,431408,431068,427344,416312,422564,435264,468172,489104,508992,528916,538168,557400,546324,563956,625860,655232,679756,700224,727548,781580,801840,863420,915224,977348,1135092,1057280,1094572,1153712,1130932,1119472,1120976,1132324,1114936,1113080,1123952,1148912,1153088,1184148,1217548,1283432,1337408,1424148,1461652,1542480,1537728,1686772,1690092,1746040,1759272,1788528,1762336,1737200,1733680,1765680,1833696,1876308,1905700,1950316,1980084,2032508,2058236,2069072,2085036,2100788,2097492,2090780,2091900,2136428,2150424,2136900,2118432,2112460,2105860,2089712,2099712,2156808,2172576,2200328,2245452,2357808,2381784,2415656,2470444,2511700,2520612,2522268,2578064,2605244,2641236,2655108,2725944,2827992,2874376,2929552,2937628,2986428,2995484,2971304,2946896,3024032,3000448,3011160,3062728,3196904,3243496,3285052,3346044,3464688,3492488,3482064,3438480,3471140,3449452,3458860,3490688,3578452,3634420,3674948,3734268,3798060,3826552,3855296,3868164,3855736,3910852,3985744,4118256,4293312,4429156,4117272,4502688,4513684,4481748,4468760,4497000,4637736,4706632,4742044,4736656,4791968,4820252,4888712,4977188,5159460,5244768,5407372,5340904,5396556,5434864,5485676,5584604,5763912,5903188,6004876,6145724,6185704,11447384,7518920,6828936,7214184,8633312,7909420,7951892,9092588,9182228,9286348,9229648,9215452,9229972,9217212,9245128,8671076,8702776,8753880,8785932,8856608,8825492,8810220,8743984,8802768,8909356,8941928,8978532,9039508,9100696,9113848,9117688,9176708,9165280,9133336,9083388,9089268,9052168,9047116,9071228,9192016,9204104,9188672,9188776,9633892,9625354
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
