GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "92000","Mideast",2,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",53023913,53717101,55258273,55644229,54513341,54354081,54373853,54662293,57405733,58121281,60279401,62492529,63264037,65328209,66324789,67411325,67396740,68229184,69790604,72291400,72985842,74296018,74396246,74393938,74132996,74250516,74774696,76493916,76900604,78677096,80573180,82308424,83259588,84692484,85996456,88009944,89214804,90264004,91262548,91386292,90342000,91311176,93083672,94838960,95552152,97868680,98221796,99545216,101390488,101913932,102305884,102510824,103700324,105419168,106950980,108977700,110432560,112017972,113130648,114167132,115271076,116839028,118283448,120221944,122657832,124966568,127351908,129024528,131081996,132943508,136610164,138666008,141392980,143791580,146397304,149684564,152623108,154902556,157811120,160758744,165107140,169878680,173980692,178021248,179342260,183255424,186830740,190240216,193973556,199308892,202400896,204217572,208762232,213293256,216462416,220088116,223646016,228397364,234205992,242363200,245342724,248742372,252167536,257774536,261991556,269674076,276182920,282397540,286264944,292139216,298327968,304357172,309403112,313353988,321582420,326188268,333043008,340985544,349046824,357608720,364427612,374964676,383768528,392750984,402233072,409934744,422034824,432582208,444541080,454425116,467218044,484915000,495661880,506184760,524639336,532147768,540633360,550507892,561877812,570666548,577461792,585163472,598147996,616883600,633837380,651314892,661811708,668194940,685504140,693625800,702845920,714709160,735528676,738497012,748270820,757537484,768906060,785612860,803542480,825441540,852855152,860585476,875924080,893541288,918998108,935240128,948772504,958455556,981365040,996907276,1008223744,1007340952,1001656032,1014785992,1022307484,1031946640,1056120416,1069633412,1082978564,1102046084,1090492416,1109813176,1119755676,1133773948,1124683220,1148360576,1157319072,1178518212,1193880088,1205870568,1218704316,1228336864,1249720836,1271473680,1282133412,1300203884,1319426188,1333413900,1354595048,1382588984,1398205330,1427319110,1441789274,1454240414,1485155457,1491190369,1514347761,1534856329,1589734652,1617804232,1641326472,1670606604,1691196328,1691592612,1702518024,1694313760,1700876528,1718267384,1716719580,1724270940,1724620544,1748644232,1767964612,1790892728,1802682800,1834029380,1864740280,1899154504,1886562968,1914168280,1939516144,1982141740,2021900932,2050670560,2068461004,2104827984,2175828196,2184649876,2198962812,2218503476,2248693680,2281884700,2260278804,2239267348,2177998292,2220900524,2219401468,2241507800,2257781764,2300845972,2315259052,2332842976,2409510900,2420178116,2440228464,2447571136,2498282380,2523383632,2520902816,2596836424,2529145472,2555046692,2564424604,2584984016,2620981668,2651980264,2689776548,2720475872,2742212748,2784202056,2812023824,2810296092,2844757128,2857580764,2879637600,2908012740,2960621824,2983638712,3017772640,3080116460,3120699108,3149842792,3182533896,3191350876,3242742737,3287066959
 "92000","Mideast",2,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",2573456,2525692,2430464,2349508,2321496,2511324,2735824,2966524,4869856,3497608,2784324,2861952,2567612,2627892,2709032,2728472,2627008,2628196,2827560,2808280,2842836,2825540,2861520,3019528,3220624,3414396,3495396,3678676,3715792,3745332,3806292,3841180,3902780,3960616,4118992,4154132,4292124,4573100,4645308,5086884,5057144,5756652,6017988,6028156,5691456,5871472,6041764,6133844,5927672,6006876,6153796,6388080,6825172,7083584,7106852,6959636,7060852,7037156,7158296,7343884,7700952,7463796,7523740,7682196,7903936,7823684,7841408,7875328,8140404,8012844,8845364,8620364,8885000,8968068,9402520,10348076,11073860,11378444,11786556,12168848,12842952,13777332,14216784,14649660,15139820,15331516,15351580,15206612,16049628,18356288,18499380,19515376,20119748,21936556,22148332,22748292,23636400,23926636,24079600,26034060,26593848,27118128,27412260,28081532,29299644,31028192,32618000,34286720,37080584,40800460,41766572,42220752,43306584,42663148,44264892,44757748,45378900,45595908,46348548,46994804,47725436,48023732,49622052,50082000,51345440,52191712,54986100,55968996,57904932,58631216,64710272,65731356,67005720,67805260,71507912,72166040,73320372,75291184,78705072,81908484,82627120,84041104,83261320,84369216,85698452,86605492,87050220,88504800,90397752,90775588,91843772,92559044,95037992,96134868,97419808,97722124,98538580,99215340,99193756,99908316,103721904,104629612,105908072,107213984,111588468,112873096,114500076,117027032,120851880,123342068,125789812,129551548,134986708,139808340,142442004,148285700,153282100,156926028,158509024,158495860,162508208,163983592,167456212,168248344,170007260,170381668,170553964,175020512,179779900,181468892,182731564,181341848,187773752,192426636,191037268,190034992,192280592,191182040,192161000,194050732,197116288,198536248,198878532,201459772,204304368,204490192,207501980,210092180,212980276,218113356,220180488,220544028,223227168,228631016,246414884,239502988,246383276,252866744,255011672,257025440,259216936,261170936,265461236,265355708,273061216,276167664,276820536,280527688,284388428,287522432,285409308,287723096,296429872,301032672,306698852,306447660,318421064,316494252,319082116,324580976,330281984,382493276,353926636,351984188,370220500,393364072,393493564,395916272,412497484,413689716,418351116,419240812,422630628,423481492,420010344,422614676,419050672,420321424,420495096,421332044,423706824,425707812,428358532,427836048,430062704,438109316,444083624,448485792,455106844,461792256,464500568,465191516,471593836,474914132,481660468,488799064,494592252,500022792,507608660,509595828,514894144,514915552,515548928,516319168,532559944,540920316
 "92000","Mideast",2,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",153304,161624,168756,172288,179652,193852,203308,208048,215256,224632,229324,446896,496980,538128,555284,548408,555992,576304,600048,727744,753700,820076,858820,864356,902460,949584,994560,1137088,1207876,1315304,1398896,1411916,1434844,1486528,1562944,1599544,1674736,1958228,1953004,2043680,2038636,2156508,2199360,2240568,2443200,2516468,2587444,2650192,2675948,2731500,2784888,2838720,2943420,3029228,3129944,3257008,3341556,3419708,3491828,3567256,3585940,3641972,3689928,3711256,3758240,3799168,3855384,3879240,3921604,3949068,4758376,4465760,4527760,4623652,4667068,4735208,4826468,4901104,4947480,5002216,5249580,5801416,5943464,6019972,6020220,6101724,6162740,6201724,6267968,7848376,7318368,7384128,7476712,8771812,8432012,8532316,8633968,8737848,8843584,10617000,10996412,11251872,11408920,11525948,11591980,12488252,13071516,13387504,13589100,13778764,15149932,15286260,15468008,15543952,16705000,17052672,17170608,17427768,18663024,18822340,18950696,18934776,20185508,20408032,20637540,20895620,22842956,22952520,23145888,23281744,26675044,26949244,27507112,27627904,30789080,30890064,30904776,31058040,33099776,34104044,33822612,34098520,33953500,34520676,35000308,35199852,35040028,35673988,36732556,36751468,37326484,37080060,38283064,38420512,39074548,38905040,39438360,39842780,39744428,39832232,42137704,42215736,42304220,42252188,44151736,44123808,44207244,44416760,46673072,47171504,47334900,47586684,50275940,50751488,51061168,51287160,53511104,53957188,54000704,53971184,56146588,56421796,56647776,56965152,58366204,58808376,58939380,59179244,60825808,61249672,61366760,61517292,63043976,63318804,63543380,63937592,65452548,65669652,65834716,66015820,67297972,67526028,67877728,67888276,68690784,68971620,69289392,69679448,71323704,73349428,73309584,73466000,75986500,76298036,77209276,77247116,79446808,79838280,80194940,80599176,81593172,82237020,82425352,82883056,84613960,85342592,85532632,86274660,88468324,89380716,89534536,90016504,93017736,93837632,94200844,94581512,97482016,98490640,98951908,99338652,101608068,102441456,103425800,104234108,110215184,111945740,112818004,113900832,114180892,115544264,116037552,116704180,117219640,118456440,119031532,119926588,124604608,125581812,126472672,127341384,130017672,130800192,131845212,132771408,135028952,136015116,136708416,137998756,140295488,141119400,141870380,143163124,143322444,144195740,144963276,146137544,147175872,147906108,148894676,150180088,153423872,154527756,155676916,156961972,162156646,163198909
 "92000","Mideast",2,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),237556,688448,887472,1040400,1155160,1233736,1288968,1339248,1392600,1449652,1516860,1566188,1603772,1627456,1643616,1669088,1713096,1773684,1862884,1927048,1986132,2028136,2046000,2086428,2133876,2183764,2257396,2358052,2482244,2629644,2819816,2977972,3130364,3276992,3403856,3544092,3716360,3906280,4102516,4305224,4486048,4664792,4834604,5003276,5157028,5317332,5479728,5637476,5778196,5943928,6123344,6349808,6590452,6907492,7291036,7676328,8004284,8391580,8761444,9148840,9521996,9933044,10324256,10722232,11093404,11460808,11793536,12171372,12553412,12933404,13354552,13709904,14036952,14325764,14546264,14811316,15081156,15379028,15659684,16000476,16346152,16717328,17157728,17453552,17727596,17973048,18017200,18379224,18812828,19323336,20022524,20590508,21177736,21780268,22272656,22818640,23360496,23811508,24261328,24827168,25365196,25774044,26344936,26782820,27322968,27930820,29318120,29711188,30217680,30863872,31549804,32296408,33046524,33743420,34436596,35122752,35746604,36326516,36781024,37323732,38031200,38803896,39510388,40081292,40457204,40659020,41047796,40848400,40845152,41038656,41458192,41796576,42093840,42349280,42861364,43337376,44124620,45231876,46731068,47850612,48770616,49485288,50177820,50679596,51106488,51454908,51809392,52226516,52811828,53564836,54573912,55631104,56943604,58209532,59731812,60887168,61853156,62605012,69752296,70508344,71572984,72957768,74564804,76194464,77733228,79168500,80417168,81737056,83076712,84436764,85705032,86871944,87829144,88577996,89207040,89828172,90558824,91399372,92319320,93166828,93933128,94620616,95265872,95990236,96835156,97801888,98840876,98375876,99329284,100229800,101020472,102034328,103164740,104416456,105861080,107100948,108186260,109113868,109904132,110742756,111651844,112632824,113684616,114822120,116046804,117358756,118820864,120634364,122856780,125486936,128403102,131093667
 "92000","Mideast",2,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1082016,1712288,2152028,2392076,2333468,2352612,2416244,2561804,2860400,2993164,3269444,3178280,3326312,3468584,3450780,3578752,3605348,3904840,3972404,4188076,4659804,4826876,4785600,5019128,5066964,4884932,5148704,5145040,5233980,5634188,5327512,5192308,5383032,5656840,5666256,5804904,5996552,6216580,6270008,6601620,6858544,6463976,6969896,7342180,7557364,8017532,8087728,8057784,8380676,8854144,9097708,9096136,9805468,9887976,10099656,10437412,10745048,10948284,11129608,11287080,11419512,11590592,11869440,12237708,12688948,13083636,13428568,13719960,13937088,14144680,14373608,14594936,14931248,15280324,15679524,16153304,16714072,17242864,17741760,18199544,18431528,19293612,20567176,22314044,23549240,26326484,27687632,31065628,29043748,30270020,31228560,31165852,32432816,32786220,35671088,35965368,36010648,36024732,35671876,38558076,39567852,39596092,39880060,37165736,40566792,44839648,43106076,42425528,43093184,42123656,42995212,44048440,43847168,44714084,44458808,46572256,48125076,47709276,49725256,50899564,50566752,52523868,53940524,53491212,52906976,56274496,53761896,60435324,60639492,60849808,62817360,65191240,66086112,65903456,68892568,67142884,71204508,72592712,71261188,73065292,74138996,76516828,72740120,74422416,71944676,74449780,77916148,75319692,81454760,76017408,75519016,77470756,79302432,79666192,80835768,80741544,83555048,85587000,88130152,86569684,87655800,89365652,92996284,94351924,96974184,96873560,92796828,94461996,93120640,93861384,93186504,93444348,93477436,96425504,98330116,96645876,98788392,102942752,106834712,108288028,109885220,113723520,114470172,112877160,116471280,117963272,123459280,129488220,132989904,137378316,142669668,141610668,139877368,137387672,135346352,132417024,135093002,140105941
 "92000","Mideast",2,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",251460,277788,289476,336264,412568,537768,680060,830852,652920,533828,414712,360176,281028,269256,320744,360476,371856,348784,400684,308420,333308,302208,317000,460708,608252,735504,748072,725696,627920,509124,464400,467492,454428,467244,522784,511388,531460,514952,560380,766972,1026244,1344304,1383520,1225256,995252,896012,869608,882320,736748,788792,880224,1024876,1143240,1425728,1258216,1067660,995284,891468,894920,914804,967064,901032,866820,892284,849776,833540,744392,712972,694448,657212,631072,627048,589572,526708,542888,510824,562344,621212,597572,547540,580340,562296,579944,623872,633344,599216,633252,662496,767812,962004,1095420,1307344,1420964,1561568,1642728,1787956,1944860,2139924,1754976,1436540,1330484,1344740,1338316,1406788,1634072,1829276,1946980,2396860,3693932,5122856,5520608,4953036,5024420,4506964,4588776,4442208,4508976,3964004,3487836,3583700,3193344,2864116,2783996,2565412,2795976,2687668,2608036,2593472,2757264,3449408,3783452,3793808,3457204,3191540,2957828,3252840,3755036,4553104,4909248,6070280,5767564,6298332,4708136,4258508,3754212,3568440,3445748,3488664,3576968,3365896,3197248,3293904,3227764,3129932,3145508,3154404,2966440,2875316,2622400,2579352,2821828,2630636,2677040,2669132,2897132,3067096,3233008,3809372,3864672,4104948,4416028,5025176,5783280,6378032,6626040,7546612,10615776,11617248,10931324,10197348,8820436,8923112,8733024,8182584,6751176,5925160,5261004,5245680,5185508,5389864,5452792,5674168,5740248,5542808,5546672,5149196,4946860,4823708,4566432,4607532,4493540,4419712,4489768,4526108,4576400,4529264,4402488,4377984,4645916,4547656,4594424,4789328,5527748,6059924,7163124,8957024,8983928,13393540,12345340,11086144,10834872,11493992,11278288,10695756,8672048,7403152,7261152,6993200,6949224,6647128,6764256,6837580,6600728,6383288,6607184,6539048,6824028,6741160,6915612,7089956,7497840,7694988,11903668,14778184,20193300,25346612,27322740,28712776,31441924,27445732,26304664,24364536,23524880,22248276,21503856,21316176,20645120,19738856,18836380,17660768,15968384,14860616,13653972,13343116,8629132,8012932,7583956,7442092,7497476,7198948,7085876,6900216,7004856,7009340,6949880,6697840,6598944,6455072,6650980,6712572,6671712,6230840,6033792,5893468,5995524,5712765
 "92000","Mideast",2,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",2168692,2086280,1972232,1840956,1729276,1779704,1852456,1927624,4001680,2739148,2140288,2054880,1789604,1820508,1833004,1819588,1699160,1703108,1826828,1772116,1755828,1703256,1685700,1694464,1709912,1729308,1752764,1815892,1879996,1920904,1942996,1961772,2013508,2006844,2033264,2043200,2085928,2099920,2131924,2276232,1992264,2255840,2435108,2562332,2253004,2458992,2584712,2601332,2514976,2486584,2488684,2524484,2738512,2628628,2718692,2634968,2724012,2725980,2771548,2861824,3147948,2920792,2966992,3078656,3295920,3190976,3241632,3283116,3524352,3406564,3455916,3527556,3767668,3817708,3955008,4413596,4797576,4815728,5086344,5385356,5724064,6074372,6300776,6556164,6969396,7064388,6951816,6714936,6288216,6164532,6220468,6658144,7025720,7323516,7671216,7838080,8151172,7969272,8077720,8618476,8683244,8694880,8732000,8940400,9648428,9827852,10496736,11037288,11733892,13527872,12594072,13056048,13644676,13422076,13336364,13453036,13630732,13566672,13713148,14079124,14718636,14930524,15208096,15359724,15792028,16042036,16674648,16913892,17852200,17759760,19277596,19254544,19722596,19819444,20151280,20032308,19955628,20103664,20504936,21177216,21437940,21584904,21946616,22219216,22844332,23179012,23397884,23729304,24122452,24256316,24369444,24568344,25178532,25500312,25425032,25225392,25038964,24899012,24725724,24928748,25813924,26123692,26434460,26816024,27803004,27848820,28140328,28821088,29609952,29953364,30111212,30814136,31116920,31525168,31701968,32612256,33766536,34298752,35025468,35230656,35790248,36141276,36186644,36271368,37329428,37326992,37635180,38294092,39764136,40110512,40285348,40658136,41641712,41401644,40809940,39718780,39277612,38483732,38307436,38719920,40429812,41028024,41207076,41434476,41453916,41483456,41991004,42785904,43582540,44355028,44211336,43565612,42074876,42147948,59509972,43378236,47135228,48105520,48547544,48693972,48893388,49309952,50053200,51069176,53996788,55198104,55821960,55985004,55100072,54090592,54517240,53841584,55114436,55853628,56401692,57049640,58095456,59050580,59962352,61513112,61456476,110953584,74684688,67793588,70551936,83612776,77393524,78154984,90011828,91505896,92453792,92420800,92592604,92736388,92745000,92289300,85414432,85149136,85164384,85083656,85402456,85245624,85199948,84845848,86595756,89104188,89791800,90340460,91567580,92649440,92887880,93137148,94891124,95003024,94636188,93842636,94142916,93461176,93346532,93733744,96100328,96134920,95635088,95559768,100911670,100809034
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
