GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "23000","Maine",1,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1072168,1084860,1130632,1170924,1091968,1101768,1097100,1094744,1108484,1105732,1127244,1157108,1192584,1238716,1265076,1287220,1314256,1334684,1376216,1428668,1381812,1375956,1377876,1359724,1382560,1382180,1394344,1432072,1464180,1528868,1563516,1586860,1601548,1617584,1628564,1655680,1666384,1680940,1706560,1709200,1728560,1747416,1775588,1793628,1789056,1827732,1852012,1895188,1915580,1960404,1967208,1966400,1970132,1961140,1986096,1992108,2018496,2048476,2070300,2080324,2092716,2098544,2133728,2163936,2226844,2269116,2293272,2381480,2417500,2459852,2493376,2526524,2580628,2609416,2644872,2684420,2705420,2743428,2783324,2810624,2888824,2914212,2950260,3006804,3130964,3217164,3271296,3324400,3436368,3536236,3597532,3658132,3695180,3793952,3882180,3919420,4144144,4123404,4165040,4318300,4434656,4637164,4784072,4970868,5084096,5179248,5277112,5376572,5386464,5548336,5733704,5940728,6154424,6333584,6580748,6719136,6759852,6935244,7063660,7271676,7441948,7650864,7836008,8033236,8315208,8449248,8695212,8899976,9271632,9463128,9765204,10113972,10385120,10522052,10826592,10872476,11111204,11422224,11806292,11984172,12158628,12373784,12553436,12805964,13350524,13673484,13925740,14197192,14751716,14761852,14847808,15211820,15427652,15975624,16330312,16759228,16804668,17221784,17681444,18255756,18402228,18979172,19608424,20119168,20822852,20967664,20963464,21291388,21647744,21905672,22032448,21895696,21997096,22064548,22272584,22664396,22929556,23292156,23526036,23551568,23876808,23941536,24221612,24339804,24674488,24949100,25138724,25580632,25762592,26147708,26263084,26543704,27037504,27529272,27828452,28217332,28705120,28966948,29173664,29832356,30423328,31073980,31506548,31869784,31964401,32446913,33444993,33346633,34479073,35115113,35492973,35817933,36711284,37140504,37155808,37542596,37860488,38239452,38586140,38970460,39452500,39833308,40497720,41373484,41530520,42106100,42533940,43325136,42510780,43090732,43590020,44602568,45300076,45670768,45748376,46014872,46738704,47306484,47574136,47807324,48538600,50093048,49395404,49175540,48368504,49495352,49470920,49735440,49750300,50242472,50712632,50616504,51994952,52111932,52537432,53053384,53092332,53693812,53223080,53950864,52935244,53158732,53390388,53901216,54344272,55337000,55986332,56932448,56749332,57745348,58327888,58968308,58917536,59637632,59824400,60408820,61311792,61603124,62443612,63335324,64478464,65226444,65918732,66192920,67463243,68273374
 "23000","Maine",1,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",59468,58316,56108,54096,57628,61716,66568,71508,104384,75412,60464,64000,65972,67764,69560,69732,67676,68020,72824,73760,76248,76268,77196,80048,82912,86724,88912,94600,96988,99268,101560,102504,99920,101416,105108,106268,110424,118520,119968,129772,128464,142160,148296,145856,141676,146424,150640,151460,149296,150188,151748,156112,163500,165968,170832,166492,169464,170296,172540,176380,184040,178860,178412,181368,186592,182668,183340,182708,188368,183224,203268,194616,200144,201868,209448,229044,242084,246260,250488,254504,265060,280140,283240,286304,303984,310308,315084,317788,326572,379044,380368,396504,404452,447708,445936,455704,468852,471064,478632,542640,559980,576160,589756,608228,637476,684332,721212,769468,832392,910156,919368,934480,963544,955072,989712,1000820,1015656,1027212,1054692,1066128,1080012,1088836,1138968,1158324,1192928,1225444,1300924,1328516,1374980,1399012,1553444,1573384,1615216,1638444,1728848,1741440,1759100,1800584,1870892,1940092,1955700,1992584,1992624,2027416,2066092,2089796,2104556,2144220,2201332,2212852,2231520,2244436,2289596,2301684,2318148,2316312,2339384,2358408,2364372,2376444,2467644,2492668,2520300,2545364,2646380,2671332,2708684,2775032,2894328,2967912,3040540,3152788,3307296,3453448,3493456,3627232,3761484,3837348,3867584,3863368,4005640,4011644,4067544,4081244,4183680,4228840,4198120,4306356,4426596,4458740,4496108,4462984,4645708,4804760,4804440,4834408,4944932,4962292,5010472,5055736,5110040,5134176,5132672,5186496,5248952,5238072,5307276,5371252,5441644,5608872,5687476,5749848,5922468,6079184,5964920,6256772,6326380,6379564,6473552,6664600,6800028,6972868,7180160,7163988,7355540,7459924,7504004,7637236,7901124,8106424,8260592,8304948,8453184,8339416,8233600,8330452,8680040,8826720,9072580,9214932,9463396,11168060,10344732,10319964,10826652,11532748,11267980,11210104,11421800,11262540,11344904,11296472,11734848,11765716,11818092,11950072,11604836,11784064,11781980,11841060,11850988,11962000,12043424,12127364,11993420,12281048,12457556,12560176,12731160,12818404,12904420,12874548,13023536,13127568,13122808,13187728,13338536,13413388,13593408,13763584,14057224,14199680,14326996,14477012,14966144,15157269
 "23000","Maine",1,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",4504,4752,4960,5064,5256,5668,5948,6088,6344,6620,6756,13172,14932,16164,16680,16472,16692,17300,18016,21844,22684,24684,25844,26008,27072,28488,29836,34112,35316,38464,40904,41280,41164,42644,44844,45892,47248,55248,55096,57652,57636,60632,61400,61884,66776,68124,69648,70988,71440,72668,74100,75344,77788,79568,81944,85204,87456,89520,91464,93056,92868,93892,94528,94756,95840,96724,97704,97920,98824,99276,119332,111776,113916,116348,116952,118024,120328,122428,122924,123236,128388,140320,142020,142624,145624,147088,148260,149036,150760,190496,178316,180372,182704,216280,207356,210028,212428,213972,216588,263496,269888,276760,282624,288928,292392,319248,336000,342500,343316,346044,376804,378660,385752,387096,416404,424356,427472,432768,463808,467812,470840,471488,506396,514956,522220,531500,585604,589384,593660,595372,684212,687480,698120,698864,780160,784404,790560,797320,852272,878900,868304,874360,870904,886600,898688,904528,901536,918336,946040,949024,965148,960200,992736,996136,1012132,1007900,1025084,1036572,1035348,1038688,1099556,1104388,1109580,1111568,1163912,1164856,1167892,1173012,1230392,1244312,1249660,1258132,1330828,1344188,1352708,1360604,1420992,1438060,1443100,1443472,1509692,1515964,1521428,1527520,1574928,1590296,1596116,1610188,1666772,1681628,1690900,1700136,1755168,1775560,1784804,1797092,1838872,1845392,1851788,1856564,1891260,1899720,1913248,1916600,1950320,1961260,1971068,1980840,2030716,2095176,2089568,2091500,2177648,2186644,2217532,2218116,2296780,2313048,2330300,2351592,2395224,2426872,2438556,2458188,2521912,2548612,2552596,2576776,2655348,2687744,2694456,2717788,2838912,2876084,2894220,2910876,3017152,3054896,3073592,3090416,3177648,3207496,3239156,3260880,3463196,3514396,3538828,3573276,3586480,3633016,3650056,3673032,3692704,3735024,3754424,3784424,3943112,3976824,4008128,4039264,4136404,4164832,4201748,4233584,4314748,4348756,4372304,4417616,4500064,4530696,4559940,4610676,4620680,4656836,4688664,4735252,4776400,4805220,4842832,4890664,5010692,5051116,5093472,5141148,5334869,5373737
 "23000","Maine",1,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5964,17404,22848,26744,29124,30224,30616,30856,31284,32060,34780,35684,36304,36516,36476,36848,37228,37752,38592,39676,40680,42044,43508,45004,46640,48696,49676,51584,53996,56948,60276,63852,67348,70640,73636,77416,81512,86340,92168,97676,103332,109028,115096,119944,123924,126908,128716,131252,134652,139004,143952,149728,155652,161748,168116,175428,183968,194056,205712,216624,226556,235516,243116,250840,258660,266848,274032,283060,292656,302568,313020,321220,327840,332216,333796,337376,340876,345332,349628,354404,358692,363628,370956,374484,377784,380472,378896,383612,388748,394460,402324,409008,417756,428520,438736,450788,462476,472088,480740,492472,504992,517296,534292,547480,559832,570184,596672,602136,613092,629264,654624,677712,699316,720956,743052,761568,780364,798188,817236,839140,861188,885064,907856,925040,935116,936580,934896,927480,923772,923748,929932,935828,944988,957560,980816,1001776,1028060,1059688,1097120,1125752,1146116,1157944,1165684,1174696,1187456,1204156,1231684,1257300,1286364,1318704,1350540,1387808,1429388,1464392,1496152,1529420,1564520,1601152,1870976,1912244,1956776,2004548,2051640,2098364,2140668,2177948,2204648,2241812,2285780,2337136,2393452,2440924,2478516,2506040,2522968,2542472,2565136,2590964,2617336,2643288,2666828,2688036,2711416,2732252,2755848,2782200,2810316,2793560,2823332,2854048,2888668,2927120,2966824,3007824,3050784,3088872,3122304,3150976,3175604,3202100,3231232,3263052,3297592,3334052,3372496,3412880,3457220,3513356,3583176,3666656,3759935,3846000
 "23000","Maine",1,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),7672,12524,16136,18464,18724,19400,19704,20248,21536,23088,27892,32224,40916,48700,52200,55364,53588,56868,57128,59952,67292,70996,71488,76776,80576,79260,84912,85208,86352,93492,90412,91080,98532,106976,109860,113444,116144,120400,122636,130352,137388,130824,143536,152228,157756,167328,168228,165512,169392,177220,182216,183960,201400,205012,209816,215580,218344,221492,226804,234152,243844,251632,257992,262692,265132,268688,273792,281016,290492,299500,309432,319476,332620,343168,351036,356776,359776,367304,379804,397464,415960,446428,483136,526836,552468,619028,656968,749624,717388,761888,794400,794420,827136,834208,908336,918928,935208,937208,920860,981532,985180,964520,956940,882920,963232,1070488,1036092,1032780,1069276,1061040,1094700,1126652,1121688,1134488,1108736,1137500,1149188,1114688,1146852,1166016,1159400,1209448,1247452,1244768,1267720,1371664,1272000,1463548,1452748,1447032,1538404,1677812,1703520,1796340,1952644,1901380,2013524,2058996,2049492,2109192,2217008,2339836,2404476,2410792,2167024,1966020,1767396,1753220,1892188,1898336,2032184,2056864,2157488,2332352,2429596,2517052,2620524,2730800,2605724,2455876,2290460,2052604,2062408,1978568,2449720,2427912,2473812,2575884,2292800,2448176,2416860,2426568,2397812,2465868,2485620,2513420,2268692,2393256,2478664,2478016,2473432,2466540,2497212,2405624,2483608,2533028,2482244,2498416,2546932,2568028,2660596,2714512,2732360,2761912,2782864,2800844,2832358,2908319
 "23000","Maine",1,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",4896,5408,5632,6544,7820,10196,12892,15748,12692,10372,8064,6996,5176,4956,5904,6632,5736,5376,6184,4760,5616,5092,5340,7768,8820,10660,10840,10516,10404,8436,7688,7740,6464,6648,7444,7284,9016,8732,9500,13004,18744,22688,23376,17116,15876,13744,12912,11876,11552,12224,12536,15384,15864,20188,20692,14968,12736,10968,9728,9828,11016,11196,9888,10752,10556,9228,8808,7936,7828,6084,6456,5648,5612,6036,6756,7508,7792,7944,7304,7744,9732,9568,9264,8376,10248,11432,12968,13160,11868,14632,20008,23484,26904,32116,33892,35708,35180,34816,29336,25716,27132,25704,24916,23628,30448,33688,28704,45024,72472,90284,85428,79420,80360,77852,78648,78252,82784,81992,75316,70784,56436,46528,45344,41876,50296,54676,48060,48592,51244,72088,74196,71060,72164,71748,61860,69228,73544,91564,85240,101464,96704,109548,87064,80188,75140,70520,68592,70400,78528,72016,63492,70012,65036,62240,59820,58336,53048,54460,55992,51416,54364,53540,54760,53708,62352,66500,69380,84136,98836,106452,120016,151600,190516,234408,211348,210376,273004,261240,225924,210576,215732,202036,174360,162844,154752,164288,117876,111360,106360,113416,120524,120568,116848,116964,117568,119120,110240,111404,101412,95624,95248,86432,86672,87576,94664,85488,81952,82368,81416,83024,79376,81488,93056,96760,111888,127380,128900,172896,148920,154672,156228,162400,165204,151456,132748,123828,124340,116264,118708,114836,119012,116880,109744,103072,111416,119004,117172,116956,121332,124144,127864,131140,190052,232724,311840,407140,429304,427924,446640,409544,391776,384760,375200,360968,331356,323336,315172,294640,272180,273496,252172,244764,222152,210252,161024,152840,146724,139888,132616,123624,119324,110180,105792,107908,110720,104540,99880,96804,94616,89164,86404,85616,88240,86776,87471,80960
 "23000","Maine",1,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",50068,48156,45516,42488,44552,45852,47728,49672,85348,58420,45644,43832,45864,46644,46976,46628,45248,45344,48624,47156,47948,46492,46012,46272,47020,47576,48236,49972,51268,52368,52968,53484,52292,52124,52820,53092,54160,54540,55372,59116,52084,58840,63520,66856,59024,64556,68080,68596,66304,65296,65112,65384,69848,66212,68196,66320,69272,69808,71348,73496,80156,73772,73996,75860,80196,76716,76828,76852,81716,77864,77480,77192,80616,79484,79776,86108,91116,89144,91136,93300,96324,99396,100672,103244,113332,116104,117552,119076,119796,124544,128680,136432,137528,140236,144304,147676,156200,154184,158176,172508,172368,173412,176020,183360,200772,210676,232032,251352,275676,325416,304136,313284,324688,313188,306416,303976,303952,299016,301232,309544,325488,332592,342716,349044,360316,369140,388972,398440,424572,425300,467532,468560,481464,483880,492044,486780,482488,483640,492504,508920,515260,520604,532184,542480,560900,572036,579784,589116,599124,602804,604012,606200,617064,620216,613712,605432,599804,593392,585816,586392,602208,607960,616176,628852,658016,663664,673852,691900,710404,719932,725252,744132,752744,763352,767440,789332,815808,828680,844328,844716,856408,857300,850328,842688,864168,859336,863952,882320,925232,937608,947380,961172,993224,1002608,1004788,1000352,1018688,1019416,1027456,1040316,1066948,1086056,1100244,1121072,1124848,1140808,1162416,1184468,1189296,1219448,1243020,1272404,1286924,1298364,1217384,1289784,1282268,1271892,1268472,1276368,1313372,1329956,1337392,1334260,1336816,1340680,1348188,1370612,1413908,1434588,1478128,1458336,1466528,1481996,1503792,1542804,1601888,1658168,1704804,1765560,1795748,3255260,2200148,1972172,2037640,2439488,2215608,2246988,2575252,2624904,2675528,2669148,2599888,2598524,2591672,2578392,2342336,2332172,2328964,2319532,2254284,2292976,2310572,2316060,2360288,2459076,2493040,2516832,2574264,2608672,2605640,2597092,2637852,2627696,2609948,2586468,2617732,2609284,2622868,2656364,2770548,2787680,2779244,2781588,2951511,2948253
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
