GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "26000","Michigan",3,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",9414100,9593108,9882768,9900880,9716184,9618124,9617208,9617904,10485156,10715668,11175932,11633728,11901940,12302456,12442412,12629492,12802300,12930472,13227916,13801496,14824848,15078188,15086288,14976876,14514540,14531072,14539668,14888216,15654968,16064692,16420504,16803960,16487308,16774412,17050264,17483572,17245484,17404768,17575500,17537680,16951924,16748680,17450148,17327288,17610060,18261196,18329100,18303784,18965816,18908188,18935116,18726896,18425440,18874268,19032628,19495612,19747900,20184640,20469720,20875072,21096420,21332344,21790360,22547000,23039756,23590548,24163416,24302944,25391548,26118664,26469228,27521172,28142908,28455144,28978332,29479964,29331088,29676060,30600588,30359520,32029740,32704284,33424236,34484336,34990832,35599160,36500516,37181284,36422400,37663540,37958212,37402508,39203776,40395480,40878076,42098500,43301584,44366620,45439044,47420864,48817340,49930856,50722964,52060308,52094604,52966372,55198192,55393632,55101040,56517652,58698936,60662840,62241332,63576084,64883180,67130572,68854660,71290996,73960444,75756380,77461592,79355800,81874900,84399332,86842636,87660584,88981884,90429796,92759436,92323456,94848836,98805860,98690268,100620756,102396088,103309880,102375040,104621528,105680152,106589280,107478544,110003980,112639932,116186268,118747776,121974060,124815284,127171540,130740068,131639980,133910956,138105568,139029240,142278132,142730028,144152952,145766336,146741228,147545852,150192272,153665040,155958460,158546596,161922536,167756168,168099996,170220072,172440824,174205356,176975416,179467352,178924584,177540700,180078332,182225576,185812388,186683920,191985144,192630548,197640692,196476384,202112916,203987336,207153164,212779924,215211892,218843808,224146136,227559320,228330528,230851144,234482508,235516308,241253448,244365188,247738944,250309264,252994388,256644392,259807748,265971982,268911446,269833394,275889006,277576747,281417655,284738879,292241923,299728468,302567052,304669816,303611532,309744752,307927256,306250600,306824996,302918584,308250688,307996528,309604400,311462812,312142136,314406356,320222968,318236252,321632028,325135740,328723372,327396580,330461996,330275396,333667996,336087420,338480556,339437108,340025856,346774624,348052860,348892668,348127544,352328276,363136832,353750344,351195260,333128932,338971024,336673264,339044868,339511188,348422000,353759720,356617756,366351856,367809560,371939716,376603324,381695160,383997140,384001112,396580124,386073024,389530484,391585892,393609992,399201156,406459116,411722452,417087776,423648960,430428212,435768440,439720520,441660408,444838504,447362408,452223272,457271772,458599776,461279072,468791444,478626788,481376692,486478732,489637164,494867218,501070593
 "26000","Michigan",3,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",397236,388656,373128,358492,382448,409888,442696,476320,697404,498456,397820,414304,425980,436136,448844,451480,465192,465388,500724,496344,482404,480984,486152,504504,584596,621824,636348,667764,671120,683164,696532,703012,753836,765360,799764,804596,809236,859452,874400,962804,1073264,1262336,1242788,1155272,1026196,1022476,1068072,1174640,1051092,1081208,1123724,1190664,1319892,1387528,1328736,1291944,1306580,1298312,1295860,1316940,1360796,1311648,1311092,1325964,1370004,1350584,1366168,1375756,1423656,1401528,1572764,1504968,1539264,1540144,1637900,1752044,1905356,1978844,2030224,2091836,2167064,2308136,2371224,2401860,2518244,2556416,2580384,2579940,2749252,3260832,3290472,3562024,3557276,3909444,3875988,4010584,4128484,4154128,4276412,4712144,4772560,4861336,4941924,5125896,5527896,6020868,6341512,6720596,7460400,8190128,8252764,8398076,8330472,8119592,8376724,8464280,8515284,8417396,8581240,8666616,8778472,8843132,9274736,9434736,9588896,9831964,10839816,11632472,12554940,13378852,14826044,14545944,14413084,14334040,14831880,15003536,15147220,15945580,16533600,17769352,17394008,17747260,16993948,17063680,17201820,17476444,17530832,17754976,18051108,18014468,18034480,18102612,18632816,18830424,19097124,19157524,19191784,19444956,19530084,19687440,20094976,20220580,20366460,20527160,21348844,21704008,22188256,22623116,23313824,23523816,23827896,24546332,25641492,26798404,26410576,27073204,27927908,27978096,28121228,28174740,29274920,29762884,30502232,30387844,30441412,30154600,29952316,30556368,31472392,31877780,32285796,32184256,33099920,33693384,33525044,33907460,34963980,35441144,35776240,35760520,35030884,34815308,35455228,35685044,36974360,37495344,38176760,38439708,38297524,38842556,39240628,39792144,42645188,43555052,43092420,44606980,44323344,45252068,45275152,45400580,46277956,47017432,47780584,48126844,48973028,49140500,49377828,49776412,51371888,52564312,52940468,52919004,55013140,55307148,56448084,57203468,59789632,60703216,61688128,62785872,64076484,76408400,69442108,68921192,73526440,78846516,78502268,78810732,82559812,82613340,82668764,82897536,82676492,82787800,82263320,82438448,81756884,82036776,82106752,82614340,82887704,83195488,83560652,83888512,84752972,85837272,86980004,87981188,89795860,91350816,91978472,92472972,92979948,93670688,93718892,93911924,93600712,93081012,93764548,93789796,95951568,97097876,98315072,99740860,103200264,104928966
 "26000","Michigan",3,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",24276,25596,26724,27288,28520,30768,32268,33020,34360,35856,36596,71328,81304,88032,90836,89712,92780,96172,100136,121440,130148,141620,148308,149264,155916,164064,171836,196460,209756,228408,242920,245176,249548,258536,271828,278184,302616,353832,352896,369280,377684,397988,406368,416044,456548,473468,490208,505072,509484,518788,530252,542528,562836,581272,603540,630264,646704,662992,677692,692160,694708,703972,712452,716496,726068,732824,742452,744956,752044,760292,918972,866100,883612,902192,908640,919712,937484,952012,958228,963480,1003996,1101408,1120968,1130060,1147132,1161396,1172452,1179328,1185288,1507764,1405064,1422504,1436452,1702688,1630748,1649196,1663476,1677356,1697420,2062240,2120684,2168060,2208408,2252912,2292524,2499436,2627648,2679624,2691524,2704308,2950472,2968760,3044232,3070336,3294832,3343860,3381124,3403380,3637032,3660632,3651436,3665652,3963460,4054456,4079628,4125604,4549064,4567632,4585332,4632236,5363352,5422424,5529260,5505476,6096000,6092440,6134076,6191452,6621288,6840856,6801948,6865092,6869732,7027300,7153196,7260204,7278348,7432124,7627812,7631972,7738744,7687688,7958976,7997824,8137036,8120384,8258668,8353672,8346304,8370700,8786892,8790196,8820320,8835320,9207548,9257652,9326832,9407768,9896364,10016252,10052404,10091016,10635372,10748300,10840456,10904312,11416220,11480328,11479368,11484356,11939380,12070420,12148588,12243064,12572348,12627628,12623972,12659560,12999224,13156872,13240104,13322524,13686376,13677636,13672796,13706536,14001228,14169092,14313292,14451968,14620620,14679028,14771168,14786864,14997004,15068540,15135168,15205112,15567216,16026016,16000928,16034764,16661448,16742248,16965396,16972480,17517116,17611964,17701392,17806000,18067808,18243876,18297448,18419624,18866668,19060728,19105612,19297252,19865184,20118656,20181172,20350960,21208568,21469936,21588592,21693000,22471412,22733356,22851636,22955504,23597944,23813060,24051104,24222080,25781588,26211328,26445040,26772088,26897360,27325304,27511448,27734752,27885420,28232124,28392096,28623300,29809576,30042120,30254828,30463980,31135136,31314296,31554648,31763600,32294116,32508952,32657312,32947592,33477360,33656376,33820032,34108044,34139596,34333776,34504176,34767216,34999492,35162208,35383856,35673204,36407340,36656284,36916048,37207228,38386539,38623157
 "26000","Michigan",3,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41488,119536,154632,181628,201072,213320,221052,227720,235008,243320,273252,280800,285432,286316,282576,287272,290932,299556,312240,327344,339852,353812,366576,379820,392276,406156,411604,423784,442156,467148,501336,535928,571988,609472,648268,680260,705964,724224,740928,765252,796568,838968,903892,952828,1000008,1043188,1073456,1119848,1176368,1237904,1283780,1338488,1404596,1469168,1536972,1617216,1693968,1763088,1821224,1874324,1932688,2008072,2105732,2198064,2280384,2357464,2424096,2495164,2574968,2655780,2737080,2817240,2884152,2929732,2941412,2971740,2997976,3034368,3075324,3121676,3164192,3215832,3282356,3312688,3338116,3353236,3300644,3350424,3446784,3588752,3772876,3943972,4095132,4218932,4283700,4340720,4370408,4351772,4299388,4333812,4428592,4561108,4796404,4924988,5029844,5106760,5264304,5322104,5430376,5612408,5852148,6056608,6251692,6431924,6601248,6805124,6987060,7149572,7271200,7340804,7436184,7532544,7616696,7750832,7831520,7864392,7764884,7724408,7714476,7735072,7766708,7815552,7859848,7899696,7922060,8038856,8239652,8528216,8895392,9209324,9449644,9612000,9708696,9819340,9939216,10068820,10195156,10365112,10576188,10828816,11163224,11452756,11778744,12069328,12423092,12645236,12812680,12918932,14460532,14549704,14719016,14971856,15298592,15626216,15949548,16267076,16568764,16880448,17196840,17518028,17854800,18112744,18287536,18377876,18464728,18527280,18642764,18812244,19050552,19273288,19484064,19683700,19842568,20089224,20391016,20749580,21098868,21062236,21361168,21602492,21544468,21660056,21846880,22108464,22486552,22777032,23031516,23249120,23433892,23627492,23834484,24055100,24288692,24533556,24789372,25055860,25345900,25720604,26192216,26760808,27400248,27990221
 "26000","Michigan",3,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),153096,249408,313796,348220,333120,332796,332068,342864,373776,390308,437056,450928,502392,549056,563040,592064,592892,640328,646348,672596,738044,757696,746792,785424,812604,791380,838012,834680,850968,912648,871060,861036,902772,968900,996256,1038184,1067324,1101884,1114664,1158940,1175828,1094624,1183780,1249700,1300640,1365992,1350988,1305464,1312996,1357500,1385824,1398832,1546976,1577148,1613624,1650792,1656428,1663028,1672696,1682628,1689772,1702176,1721580,1750432,1787832,1821568,1853344,1888420,1922052,1944524,1964572,1975216,1979072,2008536,2062140,2142596,2236744,2323136,2380104,2401256,2354020,2463852,2703748,3083512,3464412,3958656,4111216,4395340,3766304,3719592,3807096,3950896,4443164,4701104,5146940,5044180,4740532,4498620,4311744,4608996,4779080,4831812,4881776,4532084,4886696,5428248,5381164,5592836,6149460,6266544,6352396,6146432,5444716,5169148,5087004,5619956,6514836,6896860,7345920,7345224,6775760,6642816,6593380,6491988,7881504,8184620,7705632,8171212,7436556,7193768,7231460,7449984,7732432,7849224,8237884,7819288,8259516,8296344,8011256,7851712,8172152,8779680,8520456,8464168,8206756,8068344,8616476,8474816,9394504,9189908,9321656,9634172,9942016,9979708,10218484,10388728,10552376,10778396,10800740,10545000,10943668,11362376,12225276,12339812,12640144,12551748,11917900,12216204,12322896,12430108,12391120,12466120,12172540,12578092,12657536,12643796,13346920,13704384,14420432,14776348,15662104,16612664,16801828,16803216,17069092,17455936,17228116,17097604,16514272,15783616,15985736,15394672,16294060,16856648,17423208,17990968,18788830,19690116
 "26000","Michigan",3,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",29940,33076,34468,40036,54224,70680,89376,109196,65708,53716,41736,36244,42520,40740,48532,54540,63404,59480,68324,52592,36732,33300,34932,50768,122452,148072,150620,146104,79012,64080,58448,58836,132832,136576,152812,149480,115700,112096,121992,166968,318724,440876,381816,263228,154128,98988,108884,202564,98612,129456,159244,202328,264676,325816,221480,169724,151680,128224,106532,103356,103408,94708,85128,82912,85328,79692,76368,72624,63376,51376,64244,56924,64908,63656,109256,74540,111888,136440,122580,127948,114792,110768,123080,106104,104912,103256,115436,122352,178264,247764,287512,414816,339936,342756,301588,342492,320116,313940,322156,245192,198000,184460,178964,206704,373576,506084,499268,638380,1113332,1426072,1417484,1411868,1101280,927996,943384,986204,938464,780204,703604,671056,605012,484944,459412,401144,452052,481484,698996,1033160,1206684,1664468,1633896,1248192,1121036,1206408,1188812,1458224,1447468,2003504,1949392,2715136,2085516,2237036,1274124,1005316,816132,827524,760816,754192,841368,778864,657560,674668,699256,709524,802576,870860,760376,941920,1051404,1133880,1039492,1034660,944552,795988,814888,847956,998588,1088000,1152960,1048860,1070148,1330448,1591448,2116604,1446416,1576532,2224556,2138028,2012824,1792236,1638984,1566324,1679664,1439760,1158084,970252,798600,836844,862804,807516,913344,932048,973892,1073340,922220,1005560,960496,940608,898280,864736,865432,773972,1314176,828288,924988,836368,817088,833372,874128,782724,900920,1031260,1353124,1471488,1592812,1931256,1715580,2756512,2582036,2244684,2267528,2454956,2504044,2872148,2321164,1861168,1850504,1743828,1739288,1709588,1827064,1832996,1836120,1839220,1925600,2018936,1796704,1757608,1821196,1878224,1965716,2034292,3119116,3644404,5409216,6650340,7112428,7009008,7297760,6017508,4898912,4590008,4188520,3854024,3542600,3285832,2981720,2808964,2491096,2486296,2325144,2075896,1801416,1724044,1179976,1076460,1006008,962316,937240,893144,880332,872152,883632,859444,875464,883696,852064,783360,821784,831252,811844,745736,710744,710812,723393,740144
 "26000","Michigan",3,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",343020,329984,311936,291168,299704,308440,321052,334104,597336,408884,319488,306732,302156,307364,309476,307228,309008,309736,332264,322312,315524,306064,302912,304472,306228,309688,313892,325200,382352,390676,395164,399000,371456,370248,375124,376932,390920,393524,399512,426556,376856,423472,454604,476000,415520,450020,468980,467004,442996,432964,434228,445808,492380,480440,503716,491956,508196,507096,511636,521424,562680,512968,513512,526556,558608,538068,547348,558176,608236,589860,589548,581944,590744,574296,578516,638256,701352,708764,748344,787088,827224,868240,892168,922376,992948,1010964,1007064,991944,950028,968624,993168,1076928,1135528,1203860,1271732,1322220,1404540,1392704,1427504,1547628,1539880,1535976,1549356,1607068,1767568,1839092,1996260,2120524,2269232,2621792,2432052,2507800,2631428,2564628,2503928,2460568,2440836,2368336,2369536,2430704,2545796,2603788,2679240,2703048,2706112,2784504,3072496,3403572,4050124,4370308,4951048,4862540,4640924,4381840,4263392,4139336,4146948,4195060,4296712,4457064,4535472,4572820,4661500,4724492,4838984,4908448,4934820,4956300,4950744,4929716,4918620,4955456,5111428,5179832,5139976,5062028,4968332,4892152,4829688,4854408,4988876,5036764,5092664,5164504,5316788,5331292,5387600,5507160,5626780,5654132,5631188,5689584,5650872,5641032,5583896,5635912,5724424,5715160,5792096,5840492,5989088,6102932,6096664,6048432,6118300,6001492,5966308,6019044,6230036,6276456,6263512,6248028,6281756,6173356,6112680,6069984,6236100,6314068,6380752,6432992,6335232,6468752,6568404,6714864,6770824,6878024,7018736,7156304,7158360,7352144,7505748,7705916,7853720,7947372,7378936,7920032,7945396,7870484,7821048,7831092,8015032,8104264,8165020,8186968,8362456,8469504,8631712,8814292,9172172,9311152,9599096,9351948,9301164,9379944,9598400,10044860,10828420,11396128,11744092,12050896,12002044,23700892,14856564,13147952,13928460,17093708,15856524,16106760,18956296,19380872,19390364,19420720,18911856,18876616,18926660,18629412,16800124,16666360,16578692,16448364,16156016,16164968,16185884,16154580,16387492,16887420,17049372,17186468,17232604,17411600,17444764,17440440,17453736,17394040,17276652,17108308,16946192,16818272,16783800,16834808,17092424,17118604,17072856,17071044,17901254,17885328
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
