GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "29000","Missouri",4,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",5115666,5256742,5395450,5415690,5213576,5159728,5144848,5168544,5515588,5588264,5759252,5936216,6188556,6317604,6342796,6430216,6481040,6576564,6751012,6913028,7029548,7112516,7100952,7104968,7083136,7082432,7135576,7258516,7362196,7594700,7747144,7878464,7888016,8017820,8121664,8232548,8170084,8264204,8396256,8353640,8610540,8755440,8876996,9072048,9138228,9332584,9373348,9556776,9503444,9605328,9715660,9694296,9808892,9858520,9987264,10166444,10279188,10493688,10544796,10637296,10788500,10913256,11057384,11250124,11385696,11518052,11712412,11862328,12170704,12456760,12779852,13131952,13259908,13398628,13611760,13872760,14151924,14250792,14509956,14717116,15252316,15788024,16171888,16587268,16418276,16651832,17141040,17438792,17989472,18284372,18718172,18925912,19400680,19896516,20086564,20371892,20879860,21391540,21733020,22724476,23274752,23779232,24322020,24982596,25204640,25325444,25992420,26576396,27089908,27754888,28662380,29343684,30022056,30380528,31171148,32074364,32804160,33617884,34677260,35910300,36547552,37668128,38641808,39661452,41061908,41882436,43150816,43960232,44746632,44646792,46677680,48409860,49844456,50522036,52559468,53140388,53431936,54726580,55406912,56768672,57068336,57997204,59156764,60809344,63078600,64609320,66043368,67025868,68099732,69103124,70193244,71579792,72178448,72954736,73817524,74716720,75984656,76689736,77582372,79126644,79861504,81493288,82834172,84336980,86783540,87515468,88502296,89358864,90086504,91682604,92706352,93160696,93986628,95099968,96508948,98260672,100201084,101689380,102759096,103906116,104721640,106179052,107216052,109167536,110479316,112681544,114157468,116246044,117685564,119155040,120341752,121178476,123786548,126069364,127358056,129459092,132073252,133036020,134926944,137276156,138567029,140342773,142219501,143503469,144540711,145644379,147065327,150443279,153816881,156561449,158745829,158912641,161342952,162069752,161535140,163009116,163941564,164962420,165865852,167892100,169569124,170848568,172500476,174086304,177422684,179393120,181792960,184598116,183528312,186514236,188246832,191825272,195701372,198764844,199409284,201290800,204349172,208001908,209268876,211994308,214974336,223273268,217986472,221779320,214593364,216449524,215694928,215989400,217731224,220278316,222022456,223120568,227649736,228927152,231682184,233459864,238315632,241214768,240011756,247508596,242152996,243248896,244045460,244882016,247368356,251651388,255176444,257802724,258246876,260804288,263434532,264180268,267253908,268488176,270467844,273312000,276235556,277982828,279791552,283723804,287932076,292278560,293276560,296564092,300323039,303715151
 "29000","Missouri",4,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",310468,301512,287576,272764,288516,301968,319048,336452,524940,369216,292712,297600,317608,325128,330560,329688,314248,315672,338136,337284,350544,347048,348508,356828,372652,386512,394804,416176,416312,426752,435708,439788,445588,450196,463892,468300,492292,522532,528544,567436,537464,598312,627080,630224,595868,620816,647832,666644,652964,663444,674176,691848,731148,742304,757336,749760,766076,763140,769032,785764,823684,794748,801708,813488,836760,822728,827592,834388,863628,850676,936848,901140,925288,924860,956856,1032780,1085956,1100300,1132212,1162468,1220024,1308804,1345268,1378044,1398932,1423112,1442416,1448492,1506424,1749504,1725108,1787972,1831064,1995700,1978432,1999308,2036000,2033452,2065408,2312732,2364204,2422736,2471352,2541216,2655096,2820484,2972004,3118904,3338492,3695000,3772580,3814968,3862460,3821588,3954764,3978040,4010336,3992940,4115444,4180168,4272004,4307912,4529068,4604732,4715792,4792340,5187600,5337684,5581168,5761432,6505076,6546820,6635892,6672768,7042784,7057820,7097336,7286976,7601288,7894404,7920232,8048592,8003648,8114784,8257380,8332220,8376488,8521564,8728464,8782420,8879176,8929384,9159760,9250124,9369704,9412692,9483408,9587568,9600144,9624608,9971868,10038256,10148860,10276416,10743072,10886344,11042112,11215720,11536984,11692140,11940116,12392544,13175620,13800832,14047540,14555264,14770140,14807852,14862328,14905384,15524264,15790992,16165804,16231012,16540820,16600008,16633400,17029620,17571952,17815448,17964128,17861392,18409272,18727784,18608508,18674020,19125772,19193584,19384164,19528532,19725928,19876556,19942060,20204404,20567072,20661924,21000268,21269508,21530048,22179040,22565100,22916488,23952136,24669252,24246000,25524592,25926908,26163284,26279920,26656668,27042796,27368036,27529384,27721724,28405132,28668324,29102424,29521696,30509668,30962856,30999324,31231808,32179632,32796216,33191272,33323004,34618660,34744664,35221852,35916160,36629612,43447040,39095280,38744632,40911836,43628996,43300212,43407620,45082348,45297580,45941324,45965748,46354736,46209484,46265872,46779344,46552504,47136336,46839900,47155096,47360108,47638924,48137688,48238600,48290820,49051332,49730084,50129112,51090408,51600828,52017520,52188484,52707056,53086880,53290812,53563308,53981680,53964772,54436532,54847912,55761068,56446584,56620016,56944868,58818056,59386285
 "29000","Missouri",4,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",12020,12676,13232,13512,14116,15228,15972,16344,17268,18024,18404,35860,41636,45088,46520,45948,47468,49208,51236,62144,67504,73444,76916,77416,82160,86456,90548,103532,113368,123452,131296,132508,138128,143096,150452,153980,171128,200092,199556,208824,216020,227988,232880,238128,260644,268696,276980,284380,286848,293288,299868,306508,317588,327188,339008,354024,364116,373384,382036,390808,392796,399444,405336,408356,413416,417584,423436,425724,431196,435792,525404,493000,501884,513524,517060,524020,536168,545284,550052,554856,580240,639208,652784,659292,665020,671836,678572,684504,696864,870640,818620,827020,842876,988552,952084,965220,977384,988256,1000392,1200856,1239276,1272484,1299236,1323156,1332836,1444908,1516012,1549580,1563032,1579064,1729128,1740996,1774112,1783992,1914832,1948016,1961884,1981428,2119012,2134568,2141244,2144724,2303460,2339772,2359388,2388980,2626520,2636928,2648060,2661540,3072796,3099128,3152348,3155908,3520556,3533780,3553168,3582384,3826156,3942548,3901800,3927344,3910352,3980272,4043044,4073292,4060236,4133412,4251772,4258476,4327644,4305756,4456720,4478360,4560308,4550768,4627952,4687188,4679944,4685784,4946244,4945268,4955260,4958136,5196272,5221992,5254136,5296032,5552416,5585592,5590808,5610364,5929532,6016684,6073596,6122544,6401216,6435516,6422552,6407344,6679904,6730776,6776076,6821164,7012804,7050108,7047988,7063360,7257888,7319416,7343144,7366424,7584656,7621512,7632424,7669140,7874072,7917960,7956480,7987316,8137224,8171296,8225372,8236552,8360140,8403572,8443972,8485992,8692472,8955904,8943092,8963620,9321516,9367132,9492532,9492888,9799876,9850888,9901292,9962860,10109496,10211744,10245104,10316308,10565324,10676876,10709732,10826080,11150308,11293104,11324396,11404732,11847604,11971864,12026900,12080840,12497928,12636048,12696032,12744976,13069176,13177620,13305512,13407128,14225224,14457292,14578520,14736044,14786016,14984708,15062024,15159980,15230624,15398204,15473928,15589876,16209252,16332728,16446512,16559120,16915940,17016420,17149820,17266404,17555092,17678032,17764672,17929916,18223120,18329456,18427372,18595360,18619552,18733884,18833656,18984328,19116540,19207232,19328712,19485832,19890484,20024212,20165996,20327440,20989750,21122638
 "29000","Missouri",4,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),24472,70392,90444,105876,118028,127876,137612,146292,154340,161628,146344,151996,158684,166288,176140,183576,192296,198672,205712,208096,209592,208704,204696,205172,209444,217080,230108,243760,256536,267380,275652,287140,302756,323320,348856,372576,393852,411432,426812,442492,457928,474788,495120,514708,536660,561452,587396,615440,643708,671412,693792,722792,757384,795984,839676,883116,924168,958736,984024,1016208,1056420,1106432,1166028,1222616,1273048,1318316,1354428,1395540,1438132,1481048,1528360,1566068,1598088,1621656,1634088,1654464,1674112,1697908,1720880,1746968,1772296,1800984,1837964,1860192,1878924,1892780,1885052,1909712,1944536,1989884,2055616,2123220,2200996,2289972,2366932,2422556,2460592,2465340,2443780,2477820,2545408,2646724,2807196,2904652,2979748,3032476,3148216,3177328,3239080,3331788,3459100,3565032,3661500,3745432,3826084,3903532,3963340,4005024,4037556,4069744,4116500,4181304,4266812,4330252,4367632,4374736,4361344,4338624,4328380,4330560,4328292,4346464,4366908,4389808,4419860,4481432,4580708,4719108,4890708,5038964,5155136,5237624,5290912,5348304,5404968,5460808,5536128,5618048,5721244,5845660,5987304,6132288,6290328,6417672,6530664,6659184,6811112,6986508,8072092,8268400,8456384,8634452,8776268,8931032,9076972,9212624,9318268,9452700,9604976,9776408,9963220,10113580,10237728,10335588,10409468,10488516,10577976,10677832,10781272,10878292,10962388,11033728,11105804,11176948,11262092,11361312,11476456,11416596,11531816,11648944,11869548,12059268,12236836,12401472,12535924,12675588,12807312,12931208,13050384,13166888,13283312,13399512,13514868,13637312,13766788,13903136,14054012,14257376,14520552,14843828,15212468,15552591
 "29000","Missouri",4,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39660,62120,76840,82256,75560,71792,70180,71884,78800,80104,84480,78508,77040,76752,74756,77988,80700,89948,93356,99500,111140,117532,120480,132792,144344,146064,159016,161040,163832,178076,173308,176180,192244,211108,219036,228124,234428,245796,255868,280008,306324,300784,337252,360672,371244,390864,389952,380524,386092,403976,418268,428276,479620,494068,507832,520452,523216,525092,530428,538912,551040,562048,573752,585824,597228,609364,623380,640016,658252,673760,687296,696996,709584,728696,757604,798188,851216,882312,886740,862312,793488,847808,1026688,1346112,1756584,2179460,2348904,2519048,2074540,1961608,1924284,1927996,2126528,2240520,2498568,2540160,2537880,2532232,2518420,2754436,2884292,2910744,2915112,2662612,2819068,3061416,2936480,2937844,3102008,3115984,3232868,3325760,3289840,3331440,3291440,3447776,3591080,3579728,3774936,3917324,3951648,4171560,4347408,4376740,4642176,5022224,4689640,5412512,5369304,5324908,5487492,5700528,5741552,5769096,5777968,5791204,6153704,6209444,6390368,6476832,6841708,6961184,6586868,6728500,6176040,6419748,6566848,6374516,6966472,6643704,6736980,6992224,7090504,7097128,7136272,7194696,7658120,7967932,8088548,7820852,7728144,7724652,8156188,8122920,8538992,8284088,8280564,8619312,8595728,9123396,8703216,8828516,8662780,8949672,9232356,9068872,8718636,8873240,9245552,9261920,9540300,9676816,9856176,9739268,9882332,10016540,10033832,10142268,10217476,10068532,10277136,10313076,10296040,10655528,10504120,10349436,10495150,10602642
 "29000","Missouri",4,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",12112,13376,13944,16192,15816,20624,26072,31860,27736,22676,17620,15300,11760,11268,13420,15084,14680,13768,15824,12176,15064,13656,14328,20816,31680,38304,38956,37792,29520,23932,21828,21972,21096,21688,24268,23740,23164,22452,24428,33432,47228,61988,63660,47304,36036,28816,31920,40132,33628,39820,42712,49136,51568,70412,64872,56632,56152,47804,42672,42332,45988,41136,40232,40088,38912,38028,35016,37312,34044,32148,29660,28604,30264,26240,32124,28000,30188,33080,37244,36964,36388,33348,33664,34944,35132,37360,43556,40032,47904,85408,75448,84092,92860,102184,101204,98892,94884,94424,92716,85796,74756,75324,71964,74824,100712,107936,101284,133768,236876,382924,380024,351460,291580,261256,262052,244988,243168,198128,166416,167160,166560,135304,132724,120108,154200,131964,163760,185032,217772,315552,393076,349400,328168,325208,281908,279136,262312,352184,333368,401064,354572,387348,270100,230996,207452,181612,178552,185388,209528,207412,192376,211976,207340,216668,228748,258828,217716,238852,242412,221272,226708,222252,226364,221316,231296,230716,239924,248928,259108,266152,293276,351708,403592,437960,367220,466376,582052,563028,536096,519892,487576,523724,536988,441484,375152,330136,272136,271964,252416,260356,266592,282392,288200,280940,252540,278812,261532,250044,253512,242768,260164,282020,283032,286016,290644,275088,291332,302052,292576,303988,329600,340428,416080,433384,461676,528936,600816,821560,697820,731576,727188,784608,769936,755012,628496,540784,545196,516116,478992,442632,480876,415248,390840,434512,416796,434048,430696,430208,455632,471756,501188,533608,739136,961964,1390604,1798960,1992088,1998656,2156124,1908384,1782172,1687740,1604944,1460484,1371868,1352764,1267128,1102548,975636,928504,838308,727580,679896,766500,463052,440104,413160,406580,413452,388632,366528,329552,300256,294272,308064,305004,311456,308356,316036,320424,311676,280564,265176,266376,285824,286533
 "29000","Missouri",4,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",286336,275460,260400,243060,258584,266116,277004,288248,479936,328516,256688,246440,264212,268772,270620,268656,252100,252696,271076,262964,267976,259948,257264,258596,258812,261752,265300,274852,273424,279368,282584,285308,286364,285412,289172,290580,298000,299988,304560,325180,274216,308336,330540,344792,299188,323304,338932,342132,332488,330336,331596,336204,361992,344704,353456,339104,345808,341952,344324,352624,384900,354168,356140,365044,384432,367116,369140,371352,398388,382736,381784,379536,393140,385096,383200,410368,429156,416060,426888,442772,465784,489956,504480,522180,552436,561920,561604,557668,545856,547760,561904,595932,614056,625076,645372,654608,680236,665496,678376,730492,743024,754416,768860,797868,865196,890552,958596,1012736,1078588,1242904,1149096,1178288,1225612,1187784,1160936,1149208,1146332,1120600,1120048,1140808,1184560,1201336,1230140,1245316,1273984,1302808,1384068,1439732,1569336,1600440,1777784,1778884,1800108,1784580,1793948,1757948,1729736,1725816,1750448,1804200,1829812,1844292,1877232,1902016,1955308,1986156,2009184,2042196,2082036,2100020,2111292,2127920,2177592,2198764,2184972,2162096,2141524,2127576,2111568,2127776,2204280,2232328,2265096,2308892,2408672,2428104,2460316,2518476,2565040,2570032,2568752,2619020,2642132,2688908,2712412,2800572,2905136,2943048,2999648,3017676,3082040,3118644,3115092,3096416,3155884,3122500,3133356,3194428,3351272,3421400,3475940,3544940,3679792,3694172,3670564,3606920,3621348,3579344,3573672,3597952,3677356,3753176,3813836,3903500,3996916,4057072,4123120,4174332,4173492,4266156,4364292,4516592,4681656,4807548,4447016,4852632,4866000,4817624,4788348,4800896,4928432,4984540,5015132,5013540,5070304,5108932,5166800,5284996,5507996,5606752,5796072,5696820,5693056,5701692,5724344,5799148,5947296,6103672,6256236,6494580,6650476,13185984,8309384,7404436,7674668,9291232,8403328,8516480,10002596,10191320,10362964,10317276,10198904,10188416,10177124,10183664,9374592,9400716,9452444,9477644,9466624,9528656,9543800,9487880,9684492,10000688,10069864,10129224,10377612,10530336,10560132,10593096,10854532,10875296,10831948,10732196,10821340,10743340,10747860,10825444,11208856,11228904,11164172,11157788,11834864,11821881
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
