GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "28000","Mississippi",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1503344,1757640,1742060,1618944,1703068,1429748,1382432,1411608,1586624,1659472,1736188,1806276,1801340,1857264,1910628,1920488,1893632,1957424,2159260,1913940,2139748,2015512,1940544,1941136,1960344,1907936,1969732,1973708,2079432,2198332,2237804,2296784,2311800,2207484,2238908,2224756,2205460,2298244,2303204,2281552,2362112,2439184,2458556,2588732,2637520,2686428,2773984,2807680,2706732,2758424,2759220,2831020,2930560,2964572,2965152,3127384,3087240,3077468,3174232,3190884,3311316,3395412,3500112,3562616,3539616,3533420,3577740,3602564,3711920,3766820,3944760,4050904,4088936,4168836,4233800,4377828,4499880,4547616,4561248,4644776,4792744,4964564,5049456,5166492,5402540,5483956,5579840,5696364,5786360,6038824,6185436,6297388,6502760,6659204,6833832,6952496,7289812,7481856,7761752,8176196,8398176,8643404,8861912,9212664,9302096,9520380,9865308,9904580,10013392,10272980,10581292,10983704,11493388,11688836,11973064,12355156,12661724,12971608,13375272,13880224,14014248,14571028,15026624,15274544,16020752,16335896,16901512,17288140,17431028,17470668,18423036,19065376,19578260,20041932,20747980,20958228,21221780,21380792,21467596,21791308,21893808,22206428,22556856,23149172,23985088,24455924,24680432,24989212,25252192,25552768,26026996,26443404,26475960,26660572,26937696,27050996,27681432,27970736,28534040,29109216,29367212,29984736,30723296,31135264,32183776,32596860,32856752,33305828,33764344,34288560,34709480,35007688,35411136,35978504,36437276,37323468,38222720,38925876,39377432,39724644,40730068,41179964,41888748,42589340,43881968,44647020,45402912,46089240,46821008,47226188,47853636,48552208,49462116,50596612,50845016,51198284,52433300,52880396,53529072,54667156,55575122,56291502,56922022,57618874,57573001,57934457,58763321,59735801,60636213,61561065,61989497,62365929,64287024,65205600,64794336,65684580,65265436,66038912,66381056,66870832,68013788,68219692,69022788,69970220,71045068,72239768,73440712,74388784,75232232,76264644,78894408,79994376,79968540,80529316,81117220,81878300,83595328,86189888,87068668,87144168,87876684,92694580,89603776,89204840,88321020,88900972,87961580,88148476,89637792,91753876,92691596,93098460,95268008,95092072,96073596,96747080,98706276,99639572,98795144,100404704,100177764,100587224,102536216,101405788,101986800,103385036,103599884,104271336,103582252,104577852,105207456,105313032,105989828,106145080,106371416,107187704,108219756,108002240,108797208,109977736,111496000,112690272,113202960,114577440,115887632,116842491
 "28000","Mississippi",5,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",132664,128180,121652,114408,129592,134788,141708,148820,249672,173288,136128,133388,134604,137196,139148,138784,124184,124376,133596,130660,127624,125036,125008,128680,131260,135760,138296,144416,145100,147532,149720,151144,151276,152276,156488,157604,168252,175808,178420,193080,183884,202504,212524,217600,204548,217016,226060,229248,226804,228436,233532,241700,256484,260796,266652,264176,269308,269464,273032,279408,294936,283556,287476,294444,304696,299464,302332,304208,318380,314136,344428,333332,345388,347112,357944,390172,417344,425008,437044,446440,462516,488924,496992,507024,532604,543892,557012,573156,596748,703800,708980,746332,759700,829484,826156,840704,876128,881396,899964,1015144,1034560,1050088,1068644,1106652,1176856,1270648,1363732,1438192,1523948,1663232,1663524,1673500,1736536,1734944,1819176,1852320,1870548,1873728,1928360,1965920,2008208,2046392,2150436,2193820,2252632,2307832,2478452,2546500,2669768,2711060,3049632,3086644,3150832,3173820,3357244,3370860,3414520,3476556,3652640,3808768,3888548,3966076,3959372,3988340,4046456,4070788,4079840,4144852,4251808,4258032,4298932,4310832,4437796,4505128,4581304,4614324,4657200,4719688,4735892,4770704,4941348,4986404,5055136,5132280,5382916,5452684,5524940,5619788,5814564,5901072,5986432,6146908,6431996,6637148,6745748,7016416,7304344,7493108,7627300,7634756,7899028,7938480,8084748,8124436,8327320,8405168,8489496,8776204,9105876,9261204,9398904,9397404,9757172,10025380,10003596,10048936,10295816,10314488,10364416,10362112,10376804,10411640,10406352,10481812,10612764,10628728,10768564,10914836,11087160,11456692,11674584,11885340,12481028,12906160,12647636,13433044,13620728,13750456,13844672,14043616,14304716,14314352,14495624,14646380,15043684,15421560,15647732,15979056,16479228,16633272,18812220,17913372,17667392,17424392,17623052,17618520,18224520,18228520,18368040,18650528,19013976,23526344,20421460,20203380,21344484,22693172,22395132,22478728,23300128,24080800,24306092,24672236,25136800,24750652,24803796,25047232,24738252,25015292,24883428,25022356,25118704,25419648,25638296,25694112,25684612,26059760,26501564,26700328,26986284,27303508,27443760,27515232,27914836,28153872,28244824,28398796,28218444,28091764,28373184,28449784,28966380,29198836,29353200,29584872,30441368,30630617
 "28000","Mississippi",5,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",2192,2316,2412,2460,2516,2712,2844,2908,3096,3232,3300,6428,8236,8916,9192,9084,9716,10076,10488,12724,14188,15436,16172,16276,17668,18592,19476,22268,25100,27336,29064,29336,31156,32280,33944,34736,42232,49384,49256,51536,56204,59768,61992,64680,72612,76204,79320,81936,82664,84692,87064,89776,93920,98196,103272,109592,114736,119168,123044,126320,126960,129064,130996,132196,134032,135776,138104,139420,141832,143952,174520,164840,168880,173472,175404,178068,182920,187120,189224,191404,201000,221172,225416,227376,232688,234680,237368,239908,241976,310928,291884,296668,300356,356748,341868,346956,354620,360676,367116,448352,462720,471040,478032,486052,492448,539752,570908,586100,592196,599908,657428,665688,684616,693320,750928,766676,771292,778764,834588,842728,848568,851920,917108,931580,940280,952888,1049256,1056180,1067920,1075288,1242812,1252388,1274052,1275052,1420300,1421824,1422072,1427304,1523344,1573516,1567872,1591704,1597184,1637096,1677492,1697380,1695060,1727928,1783600,1787760,1819348,1811124,1880168,1890136,1929636,1929392,1962128,1990656,1986436,1984780,2081928,2073880,2075560,2078688,2199068,2213164,2224684,2235520,2351872,2373728,2379408,2395788,2548512,2577424,2593664,2605676,2730064,2762824,2773392,2775244,2908880,2923944,2944240,2965692,3058176,3089176,3103996,3138940,3232316,3263604,3283732,3299120,3397584,3431064,3441588,3458716,3551960,3575248,3590540,3603132,3689440,3709064,3740936,3751700,3824636,3852424,3876328,3898796,4006396,4145860,4133316,4137492,4325032,4345700,4414388,4420012,4595820,4631144,4663260,4698472,4768584,4823284,4843988,4886928,5023820,5086572,5106872,5167644,5337840,5405036,5413588,5443456,5653332,5703676,5723148,5745244,5953024,6020768,6052008,6079472,6243272,6300216,6364976,6414988,6814968,6929632,6990148,7069908,7096720,7197804,7237412,7286576,7322584,7406204,7443856,7501840,7813804,7875620,7931840,7986740,8165844,8215252,8282632,8342724,8492188,8557264,8603896,8690956,8842368,8898908,8950268,9036884,9048520,9107220,9159080,9237836,9307800,9355164,9417180,9496344,9701744,9768256,9839676,9922008,10263023,10331444
 "28000","Mississippi",5,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),7240,20692,26452,31148,34824,37784,40780,43264,45524,47592,47008,48660,50692,52944,55196,58776,61064,63020,64340,65916,66636,67592,68740,70224,71984,74668,76588,79392,83556,89176,96760,104408,111236,116812,120568,125312,130864,137988,147388,156336,165260,173452,181632,188952,196804,204908,212776,220656,228140,234316,238236,246608,259552,277104,301100,322300,340992,354764,363232,374672,389236,407584,428928,448296,465924,481988,495652,511660,527400,542360,559308,573076,586220,599024,612228,626368,640184,654572,669780,684876,701500,719468,739744,756596,771572,784680,786728,804080,827488,856928,902548,932188,953508,966292,968300,982484,1009876,1050012,1111012,1170912,1226820,1275644,1336100,1378652,1414636,1440148,1503016,1513984,1545264,1592840,1661940,1727160,1791888,1861500,1920544,1984908,2052936,2118316,2186256,2253740,2310540,2362068,2413000,2436600,2424872,2380160,2276904,2261068,2245272,2229412,2213364,2207476,2214404,2234464,2248560,2295720,2352380,2418548,2471992,2548948,2613892,2666580,2700392,2750060,2801712,2855436,2907796,2977404,3060844,3158388,3262248,3361516,3459244,3528984,3597168,3650820,3714736,3788796,4371428,4452472,4531796,4608748,4679432,4753384,4830672,4911152,4986836,5074956,5169880,5272060,5373872,5460740,5530020,5581508,5606000,5645980,5694484,5751620,5810464,5863648,5908320,5944492,5983452,6014216,6050340,6091788,6141320,6105260,6153408,6203088,6178636,6206900,6255508,6325244,6422828,6506356,6576804,6633800,6677668,6725404,6777644,6834488,6895376,6961800,7033348,7110040,7194696,7297096,7419740,7562500,7718731,7862874
 "28000","Mississippi",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),10036,17368,23644,28960,31940,36084,39860,44648,51940,56004,62980,63804,68168,72400,73680,78484,81284,90992,94476,100184,110720,114796,113940,121044,126188,123468,131468,130628,130884,141072,137328,140536,155416,170088,173352,174140,169632,170724,173292,188256,208720,205364,229356,242488,245584,256124,254640,249200,254984,267928,278108,284764,318688,326260,330356,330196,320780,311020,304372,301256,302800,304980,309908,317036,326976,337188,349828,364492,380072,396384,412404,427376,444356,458560,471612,483976,498384,515820,537548,564024,591388,633716,685608,749500,792788,889232,941308,1067964,1018600,1076968,1120536,1120364,1170228,1181132,1288396,1304092,1321672,1336452,1342900,1484800,1556412,1573616,1585000,1457012,1553260,1698180,1625872,1613012,1681280,1667284,1704036,1726020,1690996,1689924,1651344,1716656,1781464,1770912,1864632,1934668,1950404,2059316,2153012,2177124,2388936,2617392,2437056,2885648,2835008,2820888,2897504,2977092,3026828,2865108,2940752,3014316,3256824,3464488,3457584,3493688,3490612,3386052,3125940,3149092,2950128,3087404,3417032,3275944,3500036,3267640,3284136,3474324,3722488,3783480,3947528,3862576,3956856,3936960,3840188,3700828,3678812,4393448,4458124,4646392,4967856,4379468,4362276,4493540,4411700,4584636,4402856,4476676,4441956,4764116,4881312,4848784,4699352,4839216,5140536,5140492,5095828,5215300,5225904,5162980,5475496,5645180,5692240,5794080,5521184,5337556,5491860,5378056,5439368,5477384,5444408,5446712,5462050,5443941
 "28000","Mississippi",5,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",2464,2716,2828,3284,4740,6176,7816,9540,9620,7868,6112,5308,4504,4316,5140,5776,6912,6488,7456,5740,7016,6360,6672,9696,11492,13900,14144,13716,11376,9216,8404,8460,8860,9104,10188,9968,11508,11144,12132,16600,15860,17188,16316,13756,12212,12220,12660,12004,12396,12636,14524,17644,17652,24028,21084,18112,15604,12984,11660,11380,13032,11584,12232,13504,12980,12040,10776,9440,8896,8308,7464,5920,7124,6028,5592,5564,7012,7904,8832,8860,8420,7488,7168,7896,7512,7816,8632,9460,9768,14000,13624,15216,17848,18672,18192,16700,16520,16796,13548,12780,12812,14028,14116,13144,14876,16272,20712,37272,73324,106708,102192,69112,58740,53532,65408,70724,67284,54516,45000,49712,39360,39472,40704,38436,46576,48864,53924,61504,72956,91380,117724,113832,108588,99004,101948,113356,142840,165188,193808,232344,242080,253908,196448,157044,136756,125808,125560,134192,146740,127060,115812,110216,113404,133856,145000,151336,127532,122432,109900,95404,90192,88428,95504,100436,98116,98680,98456,105756,108268,105592,109868,121808,143668,151460,131052,156268,216780,223760,217120,189924,174180,174548,176796,150632,129492,114860,104592,96996,107980,115844,123864,130712,145556,145012,129144,140424,131464,119828,120288,107864,109180,109588,114660,113476,109564,110944,104356,107832,111384,115340,121832,134904,165772,176064,187900,208236,219700,309220,256568,266180,264744,273208,268412,236088,173020,160640,191892,200712,210852,225636,225564,222620,290332,180372,121976,123632,163256,160320,153632,151468,168208,182832,277520,323632,472144,592084,654780,701672,734676,614616,576396,539236,523552,497024,478888,460012,434976,424012,379872,377888,348820,335692,315384,290296,179076,171320,156984,142524,133032,123704,123736,125652,129028,128216,126524,120916,118500,111884,107568,99352,94404,84888,81312,78388,81473,82804
 "28000","Mississippi",5,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",128008,123148,116412,108664,122336,125900,131048,136372,236956,162188,126716,121652,121864,123964,124816,123924,107556,107812,115652,112196,106420,103240,102164,102708,102100,103268,104676,108432,108624,110980,112252,113348,111260,110892,112356,112900,114512,115280,117032,124944,111820,125548,134216,139164,119724,128592,134080,135308,131744,131108,131944,134280,144912,138572,142296,136472,138968,137312,138328,141708,154944,142908,144248,148744,157684,151648,153452,155348,167652,161876,162444,162572,169384,167612,169708,185848,200960,198836,204164,208392,212316,217000,218884,224160,245396,252736,260320,270844,279772,302728,318764,342468,345216,352064,359600,364808,384308,377696,384336,415540,414272,413228,419260,439796,491488,519224,566400,597824,627140,716508,659100,679668,719604,708288,706112,710840,719456,710424,714640,728036,752088,764256,791132,815348,857908,888748,942428,963456,1019072,1016728,1118748,1123172,1159376,1168968,1191120,1178896,1165696,1167840,1191456,1236156,1264256,1282544,1307984,1321644,1352120,1363504,1368628,1382452,1406440,1411864,1413680,1417884,1447468,1459072,1455340,1449636,1447724,1453620,1455580,1478464,1538144,1561456,1584972,1612252,1684800,1692832,1710744,1748196,1794736,1805552,1801672,1829800,1836016,1848120,1852904,1910864,2002800,2050904,2101616,2109076,2142724,2144872,2130052,2111180,2156040,2137520,2146120,2193968,2288624,2323232,2353372,2392244,2474516,2497384,2496452,2474716,2518112,2515528,2524680,2544936,2610284,2641996,2654140,2670568,2683736,2686972,2708844,2739076,2770416,2840456,2914044,3017272,3129296,3218056,2994400,3252568,3269808,3239144,3225628,3246436,3336764,3375348,3381628,3350660,3327772,3348344,3432140,3588028,3842756,3965728,6332392,5309408,4402172,4000468,3829100,3864952,3928772,4026408,4047592,4034112,3893172,8184860,4661556,4330124,4726644,5773756,5379996,5424812,6183920,6228952,6339676,6448412,6512344,6604308,6610456,6647348,6094320,6116808,6118520,6089264,6020764,5999328,6005560,6009220,6135360,6285060,6344640,6401112,6492228,6559240,6567048,6555916,6584124,6547852,6489336,6411476,6375584,6325360,6323228,6365992,6536168,6571212,6568064,6575264,6916091,6909554
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
