GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "37000","North Carolina",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",3712700,3907416,3909520,3942928,3856656,3817148,3847568,3783204,4224784,4303008,4591944,4692264,4708152,4987208,5085076,5270012,5123144,5106636,5113760,5306256,5360044,5401180,5430780,5293880,5485364,5467104,5465564,5554452,5730084,5900676,6079112,6105512,6188416,6306588,6358224,6528796,6424600,6396268,6407764,6319404,6660988,6642088,6782356,6867756,7039644,7192520,7275012,7361196,7374700,7611472,7718864,7765220,7806556,7918712,8243864,8288492,8438112,8609840,8739536,8857224,8946196,9016456,9119508,9356804,9588972,9785804,9883784,10214632,10424044,10462652,10792528,11005244,11378508,11702164,12027088,12312504,12538048,12644280,12838300,13248184,13536228,13984308,14353752,14668408,15225332,15722404,16147124,16337708,16876324,17186876,17488760,17729732,18088920,18640616,19224380,19473252,20490952,20898940,21439716,22446456,23013904,23807852,24380040,25496224,25963764,26341324,27017048,27293288,27349880,28517540,29390344,30513288,31093824,31626704,32662636,33146124,33650672,34655820,35627288,36898616,37956244,39166416,40330808,41491188,42472656,43170708,44256012,45733876,46957392,48016076,49934344,52080016,53232744,54412960,56860496,57480640,57861296,59119820,60235252,60463920,62054904,63430608,65514664,67577632,70113888,72458420,74176156,75756224,76914452,78093696,79621980,81450500,82898468,84284024,86154924,87440632,88930612,90658960,92692564,95255848,96898916,99400340,102030764,104027880,106849956,109240348,110164552,112517664,114856808,116560316,117577312,117095512,117912612,120523168,123147792,125989688,128792720,131995584,134196160,135715168,137945528,140577616,142052280,145257928,146733896,149393356,151416484,154786592,157881036,160193296,162307712,165564792,167423824,172370924,174111316,177360736,181843968,183309280,186594748,191003436,193534464,196804408,200644180,204117664,205286281,206751785,209878757,213161969,217197555,221729223,224879447,226453403,228048052,229833892,227830372,229807532,229869992,232454456,232862796,233881880,236842344,238749508,242974908,247936556,253329532,259067108,264269496,269894484,275513772,278899468,282207516,287514344,300713152,303736472,307306512,312556052,326335272,328882200,329665020,333155252,346356520,356336872,350100904,350598728,329792436,338668368,341304512,343497536,337460616,341579336,342383428,345087028,351621672,353964036,356054440,358568920,374016736,379135880,379531364,387017172,374111540,374544384,376059196,379380308,389165904,395238360,401291364,406288064,413126648,418474516,423289324,424675604,428566352,430325424,434248768,439641792,447331756,450781820,454818904,462143624,470398576,476648236,480916176,487483240,494441414,501168605
 "37000","North Carolina",5,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",209948,203444,193668,183020,201604,211528,224136,237080,406048,284416,224536,224280,221308,225704,230748,231356,213176,213236,229376,224988,225600,221932,223052,232892,240056,251308,256448,268240,268624,272056,276172,278748,286440,289172,298560,300776,323148,339696,345064,375872,359976,396832,418004,426488,403356,425148,443012,449960,445060,447288,458700,475644,510200,521560,532980,531096,542120,543296,552316,571256,600244,583216,592116,603616,625424,615668,623708,628916,656076,650592,716880,693440,713672,715140,733680,790092,834064,850944,868584,881756,920568,981036,1001204,1021320,1080428,1100212,1115912,1132752,1174056,1374192,1370864,1431064,1461544,1606500,1591892,1616784,1675296,1688100,1716132,1946508,1977444,2008452,2050360,2117328,2226928,2423740,2627992,2854116,3200936,3618628,3620968,3649328,3703440,3675316,3870368,3944392,3950972,3930760,4054420,4093180,4171424,4205108,4403500,4478588,4619004,4743152,5122512,5246844,5450496,5523420,6265356,6351764,6506184,6577960,7027692,7080312,7206628,7346460,7711872,8006832,8071804,8167732,8124484,8254556,8453252,8540604,8624348,8841580,9102356,9177052,9322980,9344632,9657180,9774588,9922576,9953844,10105388,10211268,10236412,10328044,10830976,10953740,11155028,11366972,12039316,12257220,12466532,12705628,13238008,13480844,13749068,14226832,15015592,15599548,15849916,16432120,17032092,17329868,17572892,17701788,18708780,18958800,19417040,19451932,19760660,19673420,19735992,20462736,21616708,22232800,22713020,22655736,23721328,24452984,24301212,24386416,25090240,25225868,25546908,25809648,26184040,26304052,26395944,26814980,27554488,27790836,28276044,28625768,29061284,29904544,30328608,30810504,32487308,33507448,32974176,35046012,35720740,36136016,36344764,36852648,37312024,37869100,38691516,38681568,40141064,40916948,41327052,42083436,43680228,44678556,44914492,45248544,47587304,48035220,49358632,49653288,51733392,51952148,52468300,53220256,54277012,66184472,58668932,58670256,62860612,67642848,67790148,67698876,70219892,70497044,70878152,70981628,71731732,72292932,72481080,73005328,72390884,74174424,74479416,74863028,75958624,75059820,74965988,75575300,75755900,78467936,79133292,79878240,81591880,82469840,83269680,83588004,84714272,85333608,85223596,85816876,87475988,88078148,89265568,89701540,91769708,92181816,93443696,93355008,97084285,98401397
 "37000","North Carolina",5,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",6648,7004,7320,7472,7776,8396,8804,9008,9536,9948,10160,19792,23496,25440,26248,25920,26984,27968,29120,35316,37000,40264,42164,42444,44784,47124,49356,56428,60924,66344,70564,71220,74172,76840,80796,82684,95672,111872,111572,116760,123320,131852,137272,143936,162556,171776,179992,186396,188452,192920,198088,203932,213380,221960,232140,244820,253980,262428,270428,278288,280676,286364,291680,294928,299620,303360,308868,311720,316896,321924,390384,368332,377464,388248,392344,398408,409552,418528,422976,427232,448000,493624,503908,508884,518568,524704,530808,536244,542548,691840,649444,659084,670888,795640,762340,771364,787624,798176,811544,996016,1029272,1053352,1071844,1092732,1101144,1208632,1283292,1320892,1332752,1362008,1496472,1518644,1555480,1569248,1703552,1742832,1758432,1785344,1921568,1943308,1968548,1972876,2123308,2157176,2186248,2226072,2463464,2489428,2524816,2540168,2938088,2953420,3007508,3011428,3362140,3363696,3375360,3390544,3633636,3771524,3781684,3850684,3871012,3973260,4059892,4107460,4105964,4200772,4348316,4368340,4457856,4438616,4623952,4657384,4762676,4761932,4862172,4943516,4944604,4965592,5276204,5286188,5315380,5339476,5667236,5712844,5761476,5818728,6176004,6252348,6271924,6312280,6702588,6793708,6847832,6917616,7296572,7380304,7398172,7374824,7768680,7841216,7934344,8019660,8314228,8369556,8380324,8479136,8807588,8924724,8994240,9007712,9360880,9487928,9490512,9553332,9857108,9942108,10045300,10136424,10385224,10448788,10552168,10588228,10830716,10914984,10981468,11037716,11374044,11790460,11736236,11737140,12320848,12374640,12576368,12581176,13131448,13240068,13349616,13480500,13751136,13951520,14019924,14146308,14567460,14760800,14813228,15018776,15612960,15871644,15928436,16076344,16871436,17095884,17194416,17289132,18040748,18297812,18426024,18546756,19198352,19406932,19613252,19732036,21125148,21478520,21672316,21977732,22144988,22569524,22760404,22980656,23146632,23477816,23617940,23817576,24948808,25159052,25358128,25563008,26284880,26479724,26743276,26977372,27579852,27833728,28012324,28347664,28931936,29159908,29376848,29747032,29823680,30086944,30317976,30653832,30949336,31148360,31402428,31721420,32549036,32813380,33099608,33432176,34818582,35096752
 "37000","North Carolina",5,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),14864,43188,56284,65720,72192,76432,79816,82684,85688,88924,96296,99920,103976,108308,112920,118420,121420,122796,122840,123684,124476,126876,131632,135628,139364,144484,146032,150292,157332,167760,181200,196600,211960,226056,237256,252152,266172,282016,299052,315208,333252,349916,367056,382888,398740,413264,428312,442756,459952,478116,497420,520316,546124,572752,602564,633348,670496,708912,754228,796164,835556,868128,897196,923156,951788,981376,1011328,1044416,1077688,1111064,1146296,1177096,1206900,1238036,1267748,1299176,1331072,1361128,1397888,1432832,1471212,1510352,1560776,1598312,1629192,1657604,1672572,1710544,1762164,1826588,1929628,1996512,2049696,2088876,2113728,2151784,2212544,2297592,2424992,2553920,2665156,2762180,2877192,2940276,2995512,3031296,3184060,3220728,3298780,3401628,3550336,3663832,3780996,3930888,4102336,4247320,4371016,4444336,4552572,4651608,4714960,4805392,4927384,5013656,5080896,5110124,5132120,5103768,5111776,5156328,5227460,5295152,5348080,5385816,5423612,5505592,5647012,5849136,6127128,6349656,6528108,6661272,6759396,6882340,7026184,7192388,7378228,7588612,7817424,8063040,8316036,8562596,8828092,9038932,9261304,9444632,9646424,9865640,11552240,11791184,12037900,12291236,12549848,12789600,13013292,13218300,13405460,13621204,13872748,14163004,14504576,14779476,15000228,15166104,15308612,15449760,15617904,15813332,16018860,16222372,16395320,16537800,16645732,16803564,17009812,17265716,17555928,17487908,17735408,17956544,18098940,18308952,18547392,18815676,19122980,19394356,19639132,19856900,20052808,20255544,20470288,20697244,20936244,21186556,21448412,21721544,22019932,22403976,22886940,23468876,24123004,24726529
 "37000","North Carolina",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),29760,49100,63532,73052,74716,79652,85000,93564,108916,114884,124308,119248,116704,116084,113204,118988,124288,140136,145528,152744,164808,171192,172004,187892,203208,205344,226248,231704,238576,260304,251580,250424,266232,285148,291976,302628,314208,330232,342000,368964,395472,381516,425576,456212,478788,506936,502284,477636,465224,470672,479984,492028,561404,585616,606104,622504,623140,623508,629160,642080,662616,681632,704324,727196,755768,778780,801960,822804,843368,867596,894960,926316,973604,1015072,1060208,1110044,1173996,1231808,1289096,1345968,1395380,1486052,1611404,1781212,1920612,2170232,2279032,2536404,2335332,2441484,2590688,2715920,3080184,3221148,3493088,3361808,3093804,2924068,2864692,3238748,3655076,3886360,4045976,3771196,4065832,4484860,4312660,4324028,4575900,4577932,4721848,4805884,4687484,4664284,4533032,4690600,4852756,4801412,5040812,5210216,5250452,5546964,5766956,5793792,6276328,6694124,6257248,7006332,6872392,6714712,6809200,6966988,7022496,6798552,7292756,7152512,7817652,8289568,8260416,8417292,8711028,9013240,8733896,8837124,8432384,8552960,9196340,8989796,9857212,9415468,9458972,9679076,9786092,10004880,9874680,10172276,10612288,11103532,11493696,10825852,10479092,10264160,10092608,9983940,10413884,10594548,10512160,10909448,10902692,12559748,12511280,12485112,12683204,11737708,12257624,12700556,11462932,12741900,12899888,12965656,12873488,12798032,13081368,12729448,12684416,12694568,12126952,12264844,12766420,13072012,13765068,13546036,13548800,13565760,13808036,13620184,13629556,14090661
 "37000","North Carolina",5,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",6132,6764,7056,8196,13348,17388,21996,26868,22844,18676,14512,12604,16204,15528,18500,20788,21288,19964,22940,17656,20232,18344,19244,27976,33880,40964,41664,40416,30788,24952,22764,22912,24316,25008,27972,27368,30996,30032,32688,44728,51608,55864,55892,47728,37060,33180,32528,31416,31360,31132,36412,43552,49532,62428,55708,48920,43988,37396,34644,37736,39120,37152,37496,37340,38168,35728,33968,31576,28932,27540,23832,23124,23160,19804,20484,20396,23144,31492,31184,26408,27068,24180,22792,22580,21544,21612,23308,27592,33124,42696,50464,59288,66024,67816,66312,62712,53584,55980,45064,35640,30980,29528,36268,32388,39620,46280,57148,135800,346104,496168,426880,350428,274384,253304,289252,304252,265932,202168,177444,159308,130492,112296,98312,82764,102744,105108,123396,137764,157048,209128,296272,293140,253980,227936,243452,304388,413964,507004,557644,613660,549696,504492,342160,274232,261284,217244,233392,267332,281240,270364,261292,239520,235748,240304,236376,239372,241368,215548,198040,180388,195004,183184,202676,204188,211200,221136,223624,234028,245084,262192,322160,428100,505864,552176,490804,511852,631164,594580,524600,510032,505092,462560,458800,424876,400052,332892,303044,297472,304112,328280,360816,386820,419788,411536,388628,384200,362796,371856,359004,355304,406020,397700,392128,396992,403292,408084,427168,458956,462664,436216,472544,574280,670324,792324,954480,1318100,1262316,1608008,1482444,1510312,1242680,1507644,1469144,1208404,1182876,912324,822072,724000,749552,778384,656780,634064,725056,530008,808224,836388,715556,705896,731324,765468,838656,916300,1591116,2175896,3287048,4156720,4606420,4610056,4597448,4309552,4487848,4390152,4251424,4045636,3884860,3604008,3127436,2753336,2538804,2379048,2177348,2007336,869784,701804,525288,490648,438032,378784,334368,299788,279380,261452,255868,244032,244208,246264,232172,213816,209212,207164,206036,192416,183284,178860,191865,198120
 "37000","North Carolina",5,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",197168,189676,179292,167352,180480,185744,193336,201204,373668,255792,199864,191884,181608,184736,186000,184648,164904,165304,177316,172016,168368,163324,161644,162472,161392,163220,165428,171396,176912,180760,182844,184616,187952,187324,189792,190724,196480,197792,200804,214384,185048,209116,224840,234824,203740,220192,230492,232148,225248,223236,224200,228160,247288,237172,245132,237356,244152,243472,247244,255232,280448,259700,262940,271348,287636,276580,280872,285620,310248,301128,302664,301984,313048,307088,305988,328100,345084,335204,342232,351684,365684,380548,388816,400932,444020,453976,457820,460608,455704,472136,486004,516844,527076,539708,553764,562268,593540,583432,595852,651120,654456,659196,671712,705460,780676,832092,930064,1018624,1120016,1337108,1259440,1310348,1371316,1332212,1318064,1315688,1320976,1300056,1305088,1326876,1377840,1392032,1429952,1457904,1518384,1561424,1647528,1677936,1770596,1759260,1934924,1940080,2011680,2035496,2084260,2066464,2054884,2055084,2088820,2148244,2167692,2182524,2227520,2273496,2362640,2415296,2448932,2493360,2542436,2557540,2568436,2578172,2643824,2665288,2650352,2619384,2597704,2586296,2569616,2598144,2713592,2758752,2814600,2886676,3057256,3094920,3142640,3218028,3307812,3328468,3331036,3407648,3461536,3529512,3567092,3704068,3891832,3973224,4063920,4069716,4170764,4213148,4232028,4243960,4402240,4383072,4406936,4516492,4747596,4846116,4940972,5045672,5322256,5417052,5394452,5319464,5367052,5320316,5339860,5401912,5573192,5689512,5806840,5982832,6240264,6371204,6478516,6533064,6550512,6625312,6705860,6856156,7092680,7296704,6657972,7479132,7695188,7690888,7677320,7702460,7917484,8022772,8092268,8111304,8257040,8391660,8603244,8884436,9345384,9570656,9948956,9835372,10006188,10065184,10121752,10246736,10570028,10743372,10838688,11010656,11048452,22235156,13717136,12427044,13331552,16124600,15017488,15119132,17689752,17904048,17919388,17813548,17900932,17952560,18070800,18136496,16766216,16898724,17061392,17170144,17257264,17347144,17359896,17239024,18088888,19092708,19235656,19370460,20329108,20817756,20892952,20993172,21897500,22052520,22064172,21954692,22591816,22457404,22440448,22505376,23445904,23206284,23465828,22654912,24321278,24289335
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
