GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "34000","New Jersey",2,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",7742320,7854728,8092396,8151424,8032576,7988660,7998644,8037012,8454788,8630544,9009056,9370884,9768684,10105904,10247380,10404924,10651660,10780184,11025344,11485892,11672808,11879804,11888556,11873860,11932240,11947260,12000248,12280892,12336800,12625448,12919956,13210576,13494356,13729604,13948088,14281868,14586008,14734904,14881692,14883732,14269484,14396928,14725540,15043076,15254692,15580824,15907860,16089220,16344108,16562140,16651792,16653632,16973204,17267528,17484432,17857620,18261396,18642096,18868988,19101836,19268520,19516488,19757580,20044652,20512440,20878064,21279668,21584660,21918552,22296044,22994992,23306960,23861748,24262176,24643916,25243876,25718716,26157088,26585596,27114568,27865712,28632680,29322444,30046976,31273324,32145744,32856236,33741396,33983700,35122848,35809612,36261916,36970668,37756152,38563964,39021688,39736736,40698880,41782208,43361896,43961196,44622500,45279644,46389428,47229004,48614868,49447708,50489028,51062952,52190592,53443508,54813740,55734124,56639016,58165456,59096968,60540152,62013420,63504800,65150184,66830192,68895264,70672060,72398768,74565320,76091936,78278240,80515616,83432872,85430012,87876232,91447840,93417184,95748732,99226336,100665952,102430072,104126596,106265820,107539096,110041048,111521484,114209492,117981880,120554772,124453416,127328316,129932148,131255284,133581520,135393896,138064132,140451520,142746756,145563572,147519704,150512056,152959648,156355952,161537540,166571868,169284876,172044548,174489384,180257692,182247052,184044396,185622756,188770996,191850852,194068396,193963812,192724940,194912052,197107128,198989532,206405224,209086660,211583400,214965656,213836312,216802264,218626208,221119140,220002412,224250588,226725992,230159064,235285464,238161412,240606988,242605856,247647648,252209992,254506828,257884552,264009532,266656672,271088540,276668756,280806695,285764075,290355763,292049515,296239544,297892320,301848544,307438096,321157222,329162690,333306410,340202302,339940800,342649396,341100216,345526124,345721380,347825488,347253140,349027096,349840148,354608556,358505948,362304796,364066808,370079616,376366492,381801468,379034844,384052932,389448400,397034460,408103596,414810908,416802220,423847032,435943880,440075520,440467404,444175508,451306892,456607076,453232204,450929316,432847232,439481636,440430216,443592388,447133980,451535340,454338332,456857968,468628504,472297484,476612456,478523684,486936872,488879224,489264072,501567920,491500296,495405452,496759076,502195260,511224456,516914068,523170988,529008056,535383992,541160160,546114960,545729976,552544604,553557128,557914384,561743636,567909248,573508248,579487900,587416860,599868356,605083028,612040776,614545748,624173860,632233894
 "34000","New Jersey",2,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",275920,273576,265572,261096,275768,301196,330720,360976,552928,402012,322332,340432,324684,333044,344492,347492,345224,345604,371684,371940,393228,391864,398244,424372,452648,483488,495524,522012,539908,540288,548072,553028,582624,592672,619684,624488,659028,703488,716304,792992,775396,858960,880536,871264,826132,845372,863700,883860,867924,880456,902892,932904,988644,1029792,1040924,1037000,1064996,1060792,1077788,1110648,1166272,1138472,1151904,1180180,1214232,1197156,1202872,1205292,1244816,1230804,1362980,1303388,1334844,1335764,1377280,1493104,1584244,1620448,1663780,1701232,1809160,1953304,2020208,2073132,2164700,2192340,2227612,2265336,2343456,2736252,2761320,2915996,3038700,3344792,3335548,3388044,3568444,3673596,3528820,3882088,3996964,4089040,4165892,4273820,4465588,4710860,4956004,5257496,5762068,6385892,6563528,6638820,6759640,6699772,6939512,7013844,7135232,7114720,7280352,7384928,7463148,7506416,7863716,7921452,8220652,8332960,8783328,8863900,9111700,9365172,10228548,10420408,10619308,10727212,11273392,11301628,11437044,11821156,12146384,12734428,12828264,13070872,12912968,13155812,13388212,13501084,13548744,13751876,14038168,14126800,14252460,14379668,14690968,14787760,14981612,15009644,15211328,15344036,15385576,15497272,16158920,16266340,16415516,16579540,17275292,17387180,17565156,17879568,18619944,19108220,19484012,20112984,20986504,21746720,22574280,23687240,24970796,25871564,26140528,26072504,26615732,26842824,27129988,27100556,27209308,27127684,27090416,27785708,28797536,29244944,29420424,29218864,29911024,30258620,30299872,29939508,30592736,30675760,30974048,31217112,31605472,31623436,31612424,32018180,32584832,32777224,33213952,33581092,34116312,35034540,35636832,36258800,38029996,39079740,38787708,40893576,41380980,42685444,42993524,42548680,42824664,42849800,43032776,42805516,43335976,43333292,43705188,43444040,44751216,45512576,45638548,47136116,48845320,49301108,50176904,50426408,51647776,51699880,52010088,52861564,53972328,63517864,58863728,58557380,62079032,66181260,65936904,66860360,70780412,70141148,70956240,70995204,71519076,71448904,71258536,71588544,70557212,70625324,69898584,70210980,70503628,71000588,71047792,71373164,72508352,73648240,74491816,75125336,76136392,76731912,77251604,77249152,78644108,79551084,79938920,80362452,80334040,80547040,81388032,82001784,83129776,83467732,84021676,84612752,87581865,88743154
 "34000","New Jersey",2,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",24408,25732,26872,27432,28584,30840,32344,33100,34096,35580,36320,70788,77972,84424,87116,86040,87160,90344,94068,114092,118252,128668,134748,135616,141992,149408,156484,178916,191116,208116,221336,223392,229700,237972,250208,256068,271948,317980,317136,331860,333256,350948,357024,363228,395252,406152,417948,428524,431912,440748,450124,459284,475036,488332,504952,526016,539276,551880,563700,575756,577696,586492,594928,599412,607984,615236,624916,628964,637792,645236,777856,729228,741156,756536,760432,769048,785016,797712,805716,815424,857864,949788,974512,987828,988772,1001052,1011420,1018920,1026180,1300080,1213500,1227484,1241192,1463844,1406408,1424848,1446272,1460552,1477672,1781116,1851152,1900896,1930504,1950476,1958080,2108752,2208800,2266884,2314772,2362268,2603276,2631072,2668556,2679228,2887108,2952064,2970924,3019996,3245616,3279928,3303764,3302652,3526916,3562064,3593996,3634236,3977244,3997988,4045628,4070324,4668144,4703928,4790940,4796300,5329152,5329236,5313844,5335116,5703368,5917296,5929092,6028652,6034076,6142580,6212564,6236428,6201212,6312280,6510948,6524124,6634352,6599208,6815376,6839344,6956228,6928528,7022760,7098536,7088648,7110436,7533880,7564608,7584220,7572792,7937732,7926284,7927324,7950440,8352124,8445892,8490628,8572232,9057972,9153644,9221868,9281092,9665752,9780472,9819904,9829596,10206628,10266948,10321152,10395832,10702572,10770204,10766876,10772560,11067284,11157076,11197204,11264904,11578068,11604748,11625120,11678040,11976032,12053488,12112864,12155924,12386204,12431192,12500376,12501220,12656636,12715552,12787812,12880460,13224440,13628576,13624216,13647248,14108084,14154484,14319492,14326456,14742592,14816892,14880872,14949576,15127996,15233996,15260436,15336468,15644092,15771220,15805296,15939184,16337596,16500180,16524336,16602424,17128888,17267388,17326964,17392792,17917080,18100512,18184164,18253884,18665452,18818468,19000000,19150056,20252116,20577208,20744144,20951656,21005688,21267976,21367988,21500516,21600236,21836672,21946960,22114332,22983132,23161828,23323960,23481432,23971940,24113220,24304532,24475736,24885512,25068228,25199660,25441780,25859884,26012872,26149000,26378044,26400332,26549972,26680332,26882932,27060704,27182260,27348548,27566376,28131628,28318548,28516672,28742236,29667435,29853068
 "34000","New Jersey",2,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37352,108252,140464,164156,181288,192856,201504,209264,217528,226372,230456,238080,244900,250408,254148,261956,267656,274128,281052,287036,291576,295484,298228,303264,310740,320992,335696,353908,374408,397224,424932,449320,474252,500240,527116,556304,587640,620856,655096,688364,721528,754040,783504,812244,837984,860496,878540,900280,925164,956216,993700,1031932,1066692,1103800,1144588,1192144,1243708,1314216,1398596,1481432,1558712,1637232,1707268,1775712,1839960,1903356,1959672,2025700,2091348,2154444,2222552,2277248,2325124,2365000,2394256,2431396,2469648,2513624,2553204,2599984,2646456,2696488,2755432,2797048,2840488,2882596,2899116,2946732,2978004,2994776,3024968,3052172,3110388,3203988,3321440,3442968,3560532,3663728,3739864,3874384,4050388,4259284,4533732,4752688,4926200,5036332,5196148,5207092,5254948,5344652,5474920,5590140,5707512,5819732,5961372,6094324,6200072,6288700,6329640,6377964,6480128,6619904,6799968,6966064,7092008,7173632,7307520,7274612,7307708,7407380,7533924,7656052,7733828,7765636,7852176,7930992,8125768,8443188,8922392,9231124,9472384,9642052,9773920,9830632,9848848,9826996,9806928,9759920,9742284,9753340,9855536,9949328,10120152,10323012,10574568,10818776,11043120,11244160,12519716,12739920,12998296,13295936,13578572,13888928,14163152,14397536,14565080,14770140,14996544,15245708,15530532,15755032,15932416,16062488,16165640,16263144,16380364,16517316,16651884,16816488,16990664,17175556,17372128,17557392,17733472,17899548,18037788,17915580,18064624,18214848,18409040,18608600,18821508,19048332,19314672,19527612,19716140,19879808,20022496,20172004,20332360,20503760,20685996,20884144,21098568,21329312,21587660,21908956,22303464,22770988,23289886,23768642
 "34000","New Jersey",2,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),64092,105736,137292,159292,164304,176212,190056,210260,242976,256968,280596,270772,276888,284692,282316,295640,304524,334392,341120,356772,391068,402284,396912,417500,427248,414096,440048,441184,447204,482816,461012,454228,476292,510196,525500,554868,593568,631112,648620,687844,715128,669928,718460,747556,759620,798300,802456,800504,838356,889652,917928,920928,994632,1007144,1032980,1071432,1106940,1126320,1138320,1142936,1141008,1149844,1176716,1220636,1278972,1338024,1399060,1462344,1524272,1575668,1619480,1650508,1684900,1731968,1792036,1870208,1975644,2061104,2132828,2191516,2214716,2323096,2493860,2736864,2906740,3297624,3541092,4083780,3937808,4216924,4429208,4454836,4621040,4631940,4957796,4882836,4755704,4683356,4649528,5130720,5494856,5604020,5611300,5078364,5241504,5569804,5269440,5224428,5491992,5479704,5617468,5680652,5496028,5455400,5300304,5476256,5643676,5577932,5838788,6024860,6047700,6358988,6618292,6663936,6945624,7300680,7024632,7720644,7790340,7775052,7921428,8082376,8139560,7936248,7922472,7363896,7224400,7065428,7290624,6867652,7912080,8651088,8451720,9744292,9311212,9247696,9542672,9302584,9453100,8899468,8675268,8873932,9278592,9458576,9588872,9564528,9558916,9672808,9785616,9399940,9844852,10011480,10637188,10795412,11153128,10979996,10802388,11026376,10632872,10791120,10070428,10215496,10216092,10858852,11209040,11402656,12874396,13302840,13786292,13840816,13942484,14023908,14170776,13713648,14336392,14753772,14873944,15163744,14714792,14794724,15208148,15299020,15200992,15237980,15416908,15403416,15874880,16556569
 "34000","New Jersey",2,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",41288,45604,47524,55204,58200,75860,95932,117212,84852,69376,53900,46808,39880,38216,45520,51152,53076,49784,57196,44028,56052,50820,53312,77476,100592,121632,123716,120012,114868,93148,84960,85520,93064,95684,107060,104732,110168,106752,116168,158988,187080,220976,215180,185176,149124,133160,123608,129620,119508,124576,134340,147596,157732,197992,178884,163756,167156,149472,147068,153652,166456,158708,156692,165956,164596,155804,145456,137760,133080,126768,124192,112688,112348,104396,102884,100496,113928,124580,123048,112976,133868,141436,151644,155500,161016,149352,158948,176760,186500,221864,260836,298284,354576,383616,376844,374564,464260,569500,361248,323504,316436,315944,334720,361644,425292,450456,475088,599192,882700,1151524,1190784,1119500,1076540,1027976,1016924,983940,1039868,918876,828424,822472,733920,680328,719488,654052,782080,739036,693196,633116,611248,844884,782756,850552,808764,792376,695288,686700,766316,1015040,845612,1078796,1010944,1061632,758756,751840,717592,681820,672156,673148,676552,690544,634324,695648,633760,576452,568436,542608,554584,538888,529512,526684,603868,549668,557224,599956,664776,682888,706860,770316,872868,1001252,1030884,1144416,1276376,1383172,1715372,1909012,2549996,2762652,2507168,2267900,2051944,2155600,2014056,1889084,1542084,1359372,1205480,1213340,1201272,1239660,1219408,1332468,1389120,1383100,1677504,1291728,1203132,1114380,1086800,1083224,1116032,1054012,1028876,1061756,1077420,1110656,1068876,1066088,1125688,1108240,1108056,1103612,1245528,1334300,1612992,2014948,1990236,3245112,3383368,2745072,2641540,2676428,2657864,2632456,2218584,1920052,1825596,1774516,1787804,1693576,1739256,1726208,1684264,1620736,1738276,1746932,1853300,1818440,1838964,1895756,2023296,2040556,3281992,3918144,5571212,6757196,7059920,7862916,8833156,7303956,7258244,6824768,6624276,6279020,6003624,5854656,5611688,5282592,4986036,4869088,4490024,4315556,3703668,3607464,2363436,2213552,2113852,2122020,2115844,1999600,1920092,1814116,1869048,1926076,1918640,1831564,1834280,1836288,1964656,2028372,2009604,1860664,1791172,1740012,1831349,1665010
 "34000","New Jersey",2,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",210224,202240,191176,178460,188984,194496,202444,210664,433980,297056,232112,222836,206832,210404,211856,210300,204988,205476,220420,213820,218924,212376,210184,211280,210064,212448,215324,223084,233924,239024,241776,244116,259860,259016,262416,263688,276912,278756,283000,302144,255060,287036,308332,322860,281756,306060,322144,325716,316504,315132,318428,326024,355876,343468,357088,347228,358564,359440,367020,381240,422120,393272,400284,414812,441652,426116,432500,438568,473944,458800,460932,461472,481340,474832,476612,515308,544836,534000,553728,579976,615924,652816,676524,703432,784456,803856,812344,819248,812536,846616,882036,956808,997576,1034084,1070664,1082888,1116708,1083312,1098564,1185704,1216792,1233600,1243944,1268836,1352760,1367940,1456744,1534408,1646412,1913512,1784916,1849892,1932200,1890108,1873904,1882616,1893732,1880788,1907316,1967804,2070632,2112960,2166648,2194252,2257308,2296644,2397576,2441152,2595108,2587892,2815480,2804156,2861388,2858804,2887784,2847956,2811260,2805636,2839516,2914052,2933924,2947744,2995808,3035516,3128564,3179268,3211932,3258512,3315404,3330892,3337420,3350552,3409656,3433956,3411432,3379676,3354280,3333896,3307448,3327048,3437156,3473364,3504032,3541808,3672172,3664732,3687756,3763308,3858796,3895012,3908108,3995744,4005552,4037896,4045560,4154072,4283508,4358828,4458048,4483840,4539972,4581244,4582036,4588152,4734028,4724612,4761020,4849356,5072752,5149864,5192440,5254428,5372692,5323004,5247680,5125408,5121612,5062124,5064908,5123680,5299688,5408220,5475160,5571568,5673176,5717032,5784648,5844048,5866308,6007744,6160500,6400816,6808368,7059152,6358208,7189476,7083892,7017756,6959008,6944660,7108640,7243208,7449720,7719356,8393364,8627264,8663520,8539676,8139168,7848956,7880116,7819032,8201240,8425368,8570696,8688164,8845724,8992532,9148540,9440456,9439908,18430124,11996320,10678944,11166256,13419016,12414808,12583360,14931076,15294592,15312456,15357192,15489552,15536728,15514900,15417624,13957392,13832392,13784688,13745416,13787784,13797380,13765928,13672460,13975968,14455020,14570504,14672388,14903508,15167920,15295596,15463536,16015840,16149260,16133644,15980452,16038268,15849624,15768112,15778704,16199892,16141584,15993460,15956100,16918315,16899865
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
