GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "35000","New Mexico",6,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",674420,683428,711004,722892,744184,766616,774752,775436,854748,861012,854936,901716,942168,992492,1050192,1058604,1103528,1107268,1107996,1109328,1160656,1158768,1158168,1166388,1173664,1178512,1190732,1209088,1257900,1283736,1297288,1313756,1359088,1377792,1395068,1428556,1514116,1546276,1592864,1586108,1652288,1714600,1747416,1803596,1834952,1851756,1855924,1891860,1891080,1909248,1910220,1935352,1962496,1991004,2020448,2027196,2065332,2075256,2081368,2093912,2111048,2120660,2157736,2211716,2224924,2265124,2289828,2313236,2339908,2379820,2454028,2474476,2492344,2528172,2537432,2580656,2581984,2611460,2632296,2654152,2724664,2802836,2874108,2945868,3051764,3112264,3169400,3241232,3361164,3471072,3547564,3619304,3712652,3849588,3911984,4015448,4141300,4248076,4397188,4626820,4664816,4794176,4949932,5118300,5245056,5398052,5590236,5715736,5959192,6163548,6377284,6571740,6723988,6881432,7070976,7273164,7454728,7681820,7910572,8232084,8475516,8802828,9152348,9360472,9692428,9925756,10221884,10513700,10855712,11064600,11504248,11867460,12135308,12489360,13090508,13484476,13668504,13903068,14082748,14437984,14616616,14943964,15243204,15540760,15871824,16301756,16737784,16973104,17488084,17688732,17929008,18188260,18411916,18457132,18574580,18656384,18880592,19124512,19420292,19809252,19990924,20295524,20495008,20826284,21439120,21788716,21935448,22258204,22785308,23069100,23523100,23827828,24370308,24755152,25023032,25599972,26127896,26793720,27111224,27178500,28337676,28597332,28834708,29538728,29929728,30370000,31040952,31748496,32460936,32822192,33340392,33658748,34135712,34671404,34918196,35239716,36060800,36272908,36692864,37053296,37849756,38144680,38474616,38975892,38726124,39059044,39282228,40036384,41166964,42134184,42615572,43361468,44482268,45171100,45563696,46032120,46274080,46993320,47301044,47791384,48217328,48832304,49458092,50281116,51059780,51705872,52398608,53893504,54141476,55673836,56360984,57176716,58945124,59645272,60195172,60999696,62123092,63031612,63892188,64626884,65794388,68866272,67254504,67053260,66316624,66533748,66657580,67139420,67666944,68777168,69808656,70748072,71923672,72447740,73181256,73728720,74099984,74867380,74116744,75229600,73071772,73334380,73381128,73861964,75634880,77126580,78402428,79725136,79306708,80013272,80108824,80464768,80536320,81343800,81511412,81618092,82124588,82219228,82845192,83743112,85568840,86526500,87923616,88736424,90275119,91613882
 "35000","New Mexico",6,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",42744,41280,39180,36800,39716,41272,43340,45448,85508,59316,46620,45844,46784,47736,48352,48116,47540,47676,51128,50232,53564,52452,52392,53684,57720,59484,60540,63192,60396,61512,62428,63016,63540,63880,65472,65944,69576,72364,73380,78956,73456,83152,89012,90572,84536,90600,95804,99112,98628,100520,103296,106832,115256,118248,121052,118888,119640,118432,120224,123124,131040,126436,128032,129744,136260,133308,134288,136456,142876,141232,151108,146536,150204,149588,153928,170516,185184,190404,199252,206948,215788,228312,232372,236668,252816,258852,262892,268408,283764,330236,335324,352392,356948,384180,382896,387552,403500,404516,414012,466472,481640,494172,503656,519652,548772,584456,620376,649296,681216,746436,752136,772712,810924,810928,839800,850920,857976,856312,881956,892920,914872,929916,976340,1002780,1035464,1061344,1143196,1172108,1222728,1236332,1386560,1414372,1447056,1461304,1548040,1550712,1568952,1600956,1683012,1751944,1785252,1800804,1796992,1832824,1881016,1912072,1934476,1981188,2036868,2050764,2076664,2092368,2165668,2202792,2255312,2266052,2308572,2339352,2369276,2383652,2482552,2496404,2526908,2575924,2720024,2774544,2820924,2868568,2981376,3024628,3057468,3129016,3282660,3382340,3439968,3563644,3705140,3780400,3845912,3864040,4034424,4070360,4162892,4205224,4321672,4379504,4426220,4592072,4788116,4866408,4934844,4923512,5191844,5385580,5360460,5352012,5441864,5396472,5428468,5482724,5626304,5693928,5729208,5826852,5968060,6002696,6086904,6144992,6225124,6396232,6489220,6581312,6921028,7199340,6987136,7567516,7702260,7793860,7910328,8084724,8272280,8379112,8530488,8539336,8943108,8892024,8959368,9173208,9347396,9729216,9844140,9895248,10333748,10500956,10700428,10806444,11360404,11404088,11541476,11776356,12003324,14897664,13098180,12980188,13899280,14839176,14968256,14960880,15656024,15784512,16013116,16061496,16204584,16116976,15892976,16037288,15995580,16090128,15987844,15997176,16056540,16177348,16223892,16256780,16987032,17547724,18035176,18328628,18834268,19159136,19099124,19361208,19492700,19671312,19632572,19451000,19530876,19434228,19527836,19634008,20275836,20468552,20885360,21100648,21801114,22110589
 "35000","New Mexico",6,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",812,856,892,908,956,1032,1084,1104,1192,1240,1268,2464,3196,3460,3580,3528,3764,3900,4064,4916,5480,5964,6248,6284,6800,7156,7496,8572,9672,10532,11200,11308,11920,12348,12988,13284,15040,17584,17536,18352,18796,20088,20792,21684,24348,25584,26820,27880,28360,29244,30200,31244,32844,34396,36184,38260,39848,41196,42472,43852,44572,45876,46952,47728,48848,49688,50556,50972,51992,53044,64576,61396,63200,64944,65880,67144,68960,70800,72188,73628,77868,86372,88504,89556,92204,93212,94276,95184,96916,124600,117220,119636,122308,145648,140292,143028,146848,149600,152608,186108,193352,198480,202400,206164,208340,228012,241276,248448,252412,257004,282684,286692,295316,299372,325340,333496,336324,341380,367988,373520,378140,380668,410996,417504,421092,427268,472436,477596,484492,489412,567700,572864,586188,587188,653932,651924,653064,655152,700736,726700,729320,742240,747388,769996,794632,809112,811724,831228,858328,861464,880156,878732,917976,926056,949340,950108,970260,988732,989660,993232,1050720,1048344,1052248,1057728,1127320,1139672,1150520,1160448,1229716,1243724,1246644,1254408,1339348,1356596,1366340,1376824,1453172,1473764,1481284,1482300,1560848,1569288,1584460,1599076,1649480,1671608,1684156,1711212,1777280,1794856,1801812,1797712,1862956,1892028,1896948,1912976,1974932,1982460,1993796,2005776,2063852,2075496,2094308,2100224,2142924,2158368,2171572,2183952,2249048,2327392,2319288,2320504,2429168,2437964,2472380,2469328,2566684,2581864,2598012,2618896,2669368,2706028,2719544,2745508,2827192,2867224,2879236,2919496,3028972,3080080,3093712,3126476,3283772,3331068,3352236,3370728,3513216,3560028,3582104,3602508,3724552,3761776,3799412,3821488,4086436,4152176,4187000,4241556,4270728,4347844,4382280,4423440,4454460,4518176,4546144,4585572,4801060,4842916,4882452,4922888,5062768,5099684,5147916,5188540,5303236,5347860,5378812,5441204,5558464,5603204,5646696,5721792,5739300,5794640,5844116,5915188,5978856,6023740,6080260,6150444,6323636,6382028,6443172,6511948,6791268,6847309
 "35000","New Mexico",6,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3424,9872,12844,15116,16644,17388,17500,17596,17848,18308,19072,19704,20364,20960,21664,22676,23208,23648,24020,24400,24632,25024,25628,26564,27956,29992,32420,34780,37000,39028,40832,42840,44780,46644,48288,50652,53704,57776,63304,67784,71480,73868,75048,76532,78732,81484,84692,88552,93236,98268,103528,109488,116144,122876,129948,136936,144212,150756,157636,165012,173480,182756,194200,203932,212952,221136,228380,235296,241964,248356,255844,261936,267528,273172,278060,283392,289084,294480,300980,306772,313664,320376,329444,336416,341300,344948,344168,350284,362212,380036,409980,429904,443824,451204,452680,454988,459812,467352,483180,497948,511196,523212,543012,553808,562740,568252,592644,595148,608372,628940,658456,687020,713548,741876,767224,787408,806156,819112,843084,867536,883348,901276,921328,929736,934920,934820,937536,933844,935780,943372,959492,968248,971812,970056,962704,967540,984456,1013888,1056104,1095428,1131084,1163044,1195052,1223816,1249188,1270908,1286304,1310888,1340432,1374744,1412092,1453024,1500564,1542176,1592168,1632508,1673916,1715984,2023744,2068616,2116196,2166360,2214092,2267148,2320944,2375280,2429132,2481676,2532408,2581156,2625404,2665764,2701688,2733460,2761228,2791828,2826108,2864100,2905452,2941528,2972252,2997612,3019208,3043220,3071052,3102700,3138972,3115944,3153952,3193856,3249672,3304908,3360040,3415024,3466688,3517348,3563212,3604240,3641444,3680532,3722528,3767500,3815444,3864268,3913948,3964368,4018136,4089252,4180312,4291372,4417364,4533610
 "35000","New Mexico",6,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),8768,14336,17856,19324,17768,16984,16292,16300,17508,17952,19788,20112,22352,24316,24852,26092,26040,28280,28748,30152,33324,34784,34992,37892,40564,40620,44236,44872,45688,49204,46976,46192,48220,51216,52220,54020,56032,58852,60992,65840,70512,68104,75852,81112,84876,90736,92120,91464,95200,100108,102728,102632,110860,112040,115120,120176,125780,131068,137184,144544,153132,159776,165692,169864,173228,175520,178484,181176,184196,191140,201368,215224,235164,247272,254012,255160,252304,252204,256660,266148,280232,298688,319516,344100,359324,399828,422036,480932,465068,498040,526464,536112,574960,585948,639552,639768,631968,632880,637944,718352,780140,809180,834308,782136,862060,964296,928176,918888,946860,932616,962564,997932,1011472,1037988,1029008,1072636,1102888,1086592,1137808,1176084,1187020,1255500,1309300,1320456,1419568,1583320,1459296,1785660,1781312,1788688,1883120,1994788,2032616,2030496,2125280,2082100,2369980,2250108,2233884,2304704,2219192,2464704,2458904,2492248,2461640,2532104,2628456,2592364,2809564,2673960,2698880,2827908,2921956,3068456,3123064,3119716,3288564,3345428,3456768,3357700,3373084,3427388,3636044,3638056,3705196,3550784,3335532,3457868,3424116,3545552,3400844,3376196,3277308,3406804,3399132,3383328,4003980,4401848,4806660,4980604,5247400,5430048,5254176,5368368,5331004,5388752,5261504,5003012,4969704,4822592,4819476,4790468,5095928,5159496,5439204,5473244,5506956,5654601
 "35000","New Mexico",6,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",640,700,732,844,1260,1648,2080,2544,2872,2340,1816,1580,984,940,1128,1268,1620,1520,1748,1344,2344,2128,2236,3260,4096,4964,5044,4896,4064,3300,3004,3032,2508,2580,2888,2820,3112,3012,3284,4484,4788,6544,7384,4988,4192,4168,4824,6284,7068,8344,9632,10716,11740,15800,14516,12928,10640,8908,8948,8656,8988,8836,8724,7572,8520,7984,7544,8632,7732,7992,6768,6396,6764,6432,5576,5948,6628,6356,6880,7716,8100,7564,6844,5984,5604,6312,5896,6656,7876,10844,13092,14900,15988,17400,18200,17280,17952,18196,17104,16480,16416,17380,16808,17256,21240,23724,23948,28732,37224,48916,52748,50384,50080,45716,41224,38564,37940,30828,27228,23204,21932,21680,19104,22276,25864,23276,24588,25900,29720,34872,40892,51140,41428,38104,38428,42944,49396,66544,85064,106644,119448,114664,88144,81748,69724,62560,63236,66896,70380,66700,60608,66872,76060,87772,99804,91012,82044,64884,74896,61376,64272,60148,57488,61108,52320,57656,56836,54040,54768,54352,53628,56580,64712,69328,73956,86680,106556,101272,99028,97056,94364,95384,94776,88892,78680,76196,66768,71164,69416,71388,71308,71764,76328,76308,75608,80752,78368,74016,74104,72640,77488,85648,84976,89392,89772,90712,85392,83512,81448,78068,77624,74788,86568,90776,95636,132928,135836,192836,175212,171344,171152,176336,171100,171728,155448,135112,133900,129108,123840,121568,118364,113336,99348,102820,111340,115740,131352,126928,129228,138344,152588,154508,217288,274176,363992,486128,641972,648980,775548,769264,720340,723732,706996,649176,568536,523404,529640,427296,388048,346480,313992,322468,302856,303468,212100,205124,191892,180132,176020,169664,172308,173940,183440,186984,188980,180404,167660,153832,145960,137060,130248,120028,120764,122644,127311,121779
 "35000","New Mexico",6,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",41292,39724,37556,35048,37500,38592,40176,41800,81444,55736,43536,41800,42604,43336,43644,43320,42156,42256,45316,43972,45740,44360,43908,44140,46824,47364,48000,49724,46660,47680,48224,48676,49112,48952,49596,49840,51424,51768,52560,56120,49872,56520,60836,63900,55996,60848,64160,64948,63200,62932,63464,64872,70672,68052,70352,67700,69152,68328,68804,70616,77480,71724,72356,74444,78892,75636,76188,76852,83152,80196,79764,78744,80240,78212,79048,87552,96752,98132,103540,108216,112320,116780,119176,122820,135936,139624,142356,145608,148540,157780,163948,174884,176864,179748,183480,185920,195564,192204,196556,213780,217100,219216,222596,231112,252320,261600,281624,295320,309968,355080,328008,339968,361660,357436,357520,360120,362976,358368,361032,368520,381888,387800,400784,410712,428948,442460,469036,479896,508056,507008,557904,558500,576928,580264,590080,581624,577092,575220,581532,594832,597244,596564,604376,612548,635036,647396,654804,665348,676968,679432,681124,682420,697424,706672,714020,723380,742628,758180,762052,768872,788228,790356,800948,821892,878100,895108,913084,936728,963980,972876,977868,1006576,1036096,1058640,1066440,1095996,1137332,1153516,1176396,1180320,1211608,1224592,1235732,1248548,1303088,1311800,1323804,1349468,1394056,1403576,1421260,1452788,1547416,1585412,1576380,1538120,1520376,1477644,1463084,1471556,1535956,1560952,1585136,1621228,1672984,1698776,1720320,1731388,1744904,1767732,1798552,1851676,1929620,1991852,1828740,2016556,2023376,2006656,2004796,2028788,2112840,2155364,2174132,2165256,2178396,2186556,2211784,2277724,2383224,2430356,2499244,2447204,2465244,2466348,2492200,2561252,2692180,2776024,2810320,2832316,2775096,5431248,3426008,3183652,3534884,4189680,3980828,3979184,4475436,4448188,4448344,4412168,4432480,4457312,4470512,4472832,4221556,4231144,4245448,4248912,4263500,4232448,4220036,4187588,4218044,4287984,4297772,4311664,4385696,4438872,4462732,4492868,4597512,4620404,4615444,4584896,4599212,4569796,4568192,4591668,4707888,4717748,4701908,4701440,4958215,4953290
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
