GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "41000","Oregon",8,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",2259132,2337024,2402544,2423144,2354260,2341592,2341048,2357840,2510868,2539912,2632508,2704444,2812500,2914556,2943700,3003700,3007496,3048164,3137884,3214592,3149636,3161816,3160692,3165308,3103244,3119112,3121480,3202296,3293072,3366436,3429944,3499792,3538408,3615808,3684308,3737108,3584948,3640528,3684984,3697136,3646396,3685544,3774316,3888272,3929448,4027020,4098504,4159960,4211792,4185084,4191672,4178716,4227084,4357520,4381204,4437468,4490432,4576992,4653492,4765276,4784532,4794636,4891080,4996456,5101904,5192952,5314540,5335892,5561384,5608420,5725316,5828612,5963704,6105012,6131552,6273248,6322184,6432764,6532740,6660984,6813668,6991232,7139532,7305916,7544260,7786736,7958228,8039520,8281232,8456980,8639368,8770868,9009944,9298176,9481108,9742028,10044480,10287380,10604232,11109624,11366584,11654080,11894328,12466768,12772220,13217140,13713236,14024556,14119456,14667672,15261592,15629940,16133632,16544428,17069228,17539568,17902160,18386372,19015468,19945752,20577020,21210280,21856008,22610460,23298172,23981444,24785412,25503992,26219628,26429412,27255296,28217180,28642756,28910072,29615904,29509700,29637532,29804092,30076740,30506424,30999744,31619132,32071528,32934188,33650652,34312612,34966764,35409984,35875544,36094912,36409088,36903528,37543048,37994992,38535384,38813384,39152556,39691740,40583880,41349700,42232552,43210228,44405620,45254616,46829780,47760052,48369732,49420644,50752960,51780328,52413216,52816484,53436500,54261588,55023876,55975044,57064732,58157556,59125332,59560564,61537352,62206008,62649900,63969796,65081236,66379400,67567908,69090632,70094872,71378392,72811620,74378884,75590420,77288324,78595544,79905848,81042012,81771392,83257716,84558296,86059064,86974492,87712964,88748112,89102339,90005327,91188131,93422427,95839159,97507323,99143907,99327995,101022740,100927604,100476752,100366536,100873688,101812356,102025008,103106236,103692272,104525744,106188272,107864568,109095096,111327188,112125536,113464448,114875944,116146364,117881524,120750500,125695316,127260364,128983648,130642324,131706116,133438024,134616032,136318200,137936000,142497604,140203792,138146104,134750652,135714180,134994372,135069580,137507396,137745236,138990476,140229064,144970096,145825400,146410104,148523028,152685752,154030932,153855524,157061864,154627456,156315528,157803856,159161372,163144544,167007244,170374764,173108488,177369076,180339852,183796980,184460892,188153852,189308600,190477528,193023828,196722960,199509088,200913984,205170780,209167792,211509896,214598712,217004144,220179441,223524798
 "41000","Oregon",8,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",109908,107356,102952,98628,110980,118296,127112,136120,212220,152312,121240,124640,125740,128812,131972,132304,175632,175912,188992,186540,161144,159328,160872,169496,165324,173168,177136,186872,186428,189952,193716,195520,202548,205152,212624,214464,231032,244708,248760,272640,257376,280684,300360,293120,277032,284776,288696,293256,294528,298044,302200,320824,343284,355252,357584,350804,357396,358424,359732,361892,375784,368736,368044,370592,384468,381640,383024,387208,403864,396776,437192,419832,430032,429084,442420,487856,516092,526100,541812,547620,567324,603288,610212,621064,644376,652344,667688,683948,709868,829820,826016,852920,870784,954688,948628,954476,982500,987996,993812,1125472,1156072,1187716,1224300,1282460,1349760,1454844,1541380,1637352,1754776,1909232,1952580,1987012,2036168,2028120,2097484,2122780,2168268,2200428,2282168,2305824,2352636,2381772,2494456,2548132,2606852,2646880,2824392,2882904,2993628,3123960,3449448,3457472,3557120,3630224,3890512,3991376,4047108,4121568,4320820,4497160,4549768,4573660,4548132,4583024,4656444,4705452,4705000,4785908,4919388,4959632,4927228,4918596,4996552,4994664,5038280,5050516,5126124,5188740,5219624,5254132,5424372,5485044,5561812,5653260,5939724,6032872,6149156,6211724,6457284,6551048,6628840,6822172,7086196,7288592,7337028,7588600,7929120,8104892,8249312,8318756,8607136,8653148,8754344,8801724,8873200,8927568,9024764,9320280,9767552,10003284,10158748,10114592,10523356,10768096,10665888,10650700,10901524,10899208,10977976,11072544,11159060,11293932,11421236,11720584,12123040,12309640,12542448,12649632,12710452,12993620,13149236,13344188,14240044,14638308,14515160,15216052,15602336,15810224,15890212,15980516,15898980,16264800,16609100,16263208,16575224,16589736,16724840,17028780,17457644,17656344,17744064,17817840,18586504,18943724,19199536,19287936,20067584,20194484,20494632,20926512,21477108,26022632,23668628,23673624,25475588,27523788,27518944,27806012,29166868,29114260,29335024,29510740,29624216,29782568,29598576,29740912,29570956,29596180,29638696,29830636,30385280,30597116,30905168,31107988,32439908,33340568,34189716,34674192,35235840,35891540,36040648,36239236,36466608,36858724,36994180,37142736,37536928,37469332,37883556,38261868,39161452,39704452,40319524,40834972,42350036,43031226
 "41000","Oregon",8,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",6724,7088,7400,7564,7792,8412,8820,9024,9340,9744,9944,19396,22232,24072,24836,24532,25108,26036,27104,32868,35272,38376,40192,40448,42992,45244,47380,54176,57692,62824,66812,67436,68248,70700,74340,76080,81336,95100,94852,99244,100824,106496,108596,110540,120208,123220,126368,129436,130428,133068,136072,139224,144180,148540,153692,160396,164716,168776,172664,176368,177364,180216,182844,184120,186896,189212,192008,193080,195664,197984,238744,224080,227876,232836,234232,237200,243404,248512,250900,253188,265032,291180,296592,298948,304892,307636,310428,312760,318028,401912,377620,382300,389264,460324,442000,448400,455336,460040,466392,566720,583472,598808,611576,624640,633120,693600,730820,744668,746080,753416,821464,830132,848544,854928,927220,948684,950852,963964,1036460,1047480,1057800,1061704,1140932,1158356,1179808,1199320,1320740,1330572,1351232,1358376,1565856,1576644,1603556,1605612,1794268,1802588,1803984,1820744,1956336,2033860,2025156,2057628,2063260,2109344,2144576,2163896,2158792,2198832,2271968,2279912,2318620,2310024,2405668,2420804,2466704,2462316,2499920,2533824,2541168,2563252,2710272,2727312,2749952,2763188,2897580,2916668,2938316,2962692,3126544,3168280,3178904,3212604,3386452,3407572,3418276,3438904,3606552,3645360,3655188,3675804,3826216,3845360,3870548,3904132,4006440,4037912,4052144,4091672,4227896,4274604,4290528,4283572,4432500,4469456,4452948,4464612,4597400,4621368,4653636,4687236,4776344,4797804,4832248,4841592,4923376,4948908,4967784,4982760,5096600,5249140,5233160,5242376,5474512,5505120,5587680,5590424,5793804,5832256,5871604,5919716,6012096,6088828,6119284,6174904,6347280,6428184,6455348,6536992,6762680,6853656,6862920,6897468,7169584,7232212,7257100,7289476,7580644,7680188,7728608,7770992,8006860,8084868,8166916,8220716,8771820,8922288,9004052,9124388,9184556,9352020,9428368,9519972,9590028,9730936,9791976,9876128,10345904,10433384,10514748,10597056,10899348,10977876,11086316,11182948,11440428,11549464,11628104,11776316,12032408,12138348,12239892,12408888,12449976,12570832,12675696,12824504,12953616,13039624,13148872,13285648,13644100,13756824,13880068,14024544,14631066,14752759
 "41000","Oregon",8,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),11320,32800,42744,50016,54940,57968,60016,61660,63524,65672,65428,67416,69368,71112,73128,75124,76792,77804,78976,79732,80048,80568,80952,82392,85132,89740,94668,100296,105928,111404,116660,123548,131208,139688,149280,159164,167480,175644,182904,190308,199536,208864,217844,227520,237788,247828,258120,268272,278176,287592,297916,309332,322312,337376,357088,377696,402192,430848,463944,492108,515344,531752,537676,548076,561380,577440,591620,611884,633664,656300,681148,700920,716348,726376,732920,741084,747948,757048,769320,780636,792204,806200,823492,832644,839704,843280,828200,841588,870256,913864,976692,1023956,1056736,1073296,1069164,1074048,1084416,1105384,1127312,1157232,1190756,1228948,1284736,1320012,1348736,1375640,1421340,1420760,1432456,1454952,1480788,1508872,1540508,1578688,1619236,1657676,1689236,1708012,1743584,1774336,1793808,1823728,1869356,1895824,1912172,1914220,1892688,1887464,1903068,1939748,1981372,2029616,2066420,2091316,2109216,2147172,2212828,2307332,2432484,2526208,2598132,2647060,2676352,2706236,2741040,2781056,2847748,2900492,2959620,3024628,3109428,3172192,3235600,3275700,3312416,3357596,3426296,3519540,4124788,4241780,4350144,4448672,4529340,4622044,4718512,4818568,4914360,5016532,5114356,5207412,5299240,5378552,5451836,5519752,5587920,5653036,5720220,5789240,5861372,5930424,5995192,6055984,6115680,6179596,6248204,6321292,6399924,6347620,6434996,6527708,6713456,6872756,7019488,7152424,7254396,7364484,7469812,7570700,7670124,7768584,7868456,7969620,8071892,8175064,8279124,8383684,8494960,8650636,8857052,9114672,9412009,9686344
 "41000","Oregon",8,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),11272,18004,22380,24152,22348,21216,20044,19468,19984,20608,23976,26776,33364,40080,44412,49868,52812,60272,63644,68528,77060,82424,84932,94616,103600,105400,116288,118708,120328,130868,127108,128204,138804,150344,153428,156708,159288,162884,163660,171672,179700,168584,181932,189140,191564,198852,196292,189700,189904,196124,200472,202420,222296,226500,230792,234764,234276,235520,240268,248528,261712,271384,278640,283752,287364,288132,287712,286488,283516,289144,304352,328628,362940,391044,412176,425656,429868,442480,462036,488788,518828,553760,586060,620396,620764,673096,701056,797592,772880,827368,869992,882836,923020,941360,1039756,1069936,1097904,1133756,1171160,1338048,1465032,1522208,1549528,1415796,1496988,1614084,1516848,1484620,1535332,1520348,1573868,1632932,1644600,1693112,1707480,1834808,1972752,1998312,2109928,2154444,2103328,2167080,2219660,2219716,2556392,2695492,2569856,2832796,2772300,2727016,2718688,2696932,2495220,2434248,2549556,2375020,2555868,2722864,2796028,2934708,2961344,2894644,2769788,2811068,2686292,2851184,2915788,2765936,3014332,2833628,2858440,2983536,3088416,3208404,3324860,3387832,3618160,3746552,3864956,3825244,3858664,3940728,4166200,4256908,4483644,4613240,4420608,4560252,4498636,4564512,4572200,4637680,4877428,5159128,5352988,5447396,6606692,7106480,7700560,7878784,7977568,8346220,8271048,8239336,8264728,8436372,8382344,8342152,8444632,8201296,8382232,8491340,8770196,9088912,9414592,9526512,9698581,10020853
 "41000","Oregon",8,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",7124,7868,8204,9532,13436,17508,22144,27052,27848,22764,17688,15360,9488,9096,10832,12168,15620,14648,16832,12952,18156,16468,17272,25104,21264,25704,26160,25368,20904,16948,15456,15560,18844,19376,21684,21208,28616,27724,30164,41284,41688,44788,53036,38132,31828,26712,21076,20884,24584,25716,25176,37148,41852,55200,46792,37848,35280,32824,28684,23884,23184,28336,24848,22632,24740,26864,23944,25224,25652,22336,21832,19904,20324,18136,19208,26696,27780,30248,33992,28880,27120,27436,22896,22692,25428,22408,28604,35320,37576,52492,55328,56284,63888,72316,77732,72160,76104,80864,65448,56328,52480,50508,56820,74860,87476,97780,93244,127312,182728,213780,227180,211560,196392,186836,161464,140572,156740,151972,138796,117124,97296,88028,89864,106148,106540,101884,111308,131084,147196,273244,268496,231556,238484,261960,280004,354104,390664,408784,418920,453900,473072,431016,350584,293684,268396,259216,239156,258388,293688,320868,254204,254188,208460,181212,181628,194848,218608,235996,248152,231364,217012,214920,203288,194848,211504,209024,234004,204456,240916,248584,270652,325204,362660,433172,400208,450992,538736,565944,598360,593104,620180,621328,596756,570428,458080,426416,412108,387144,386284,392204,399524,407584,415780,426360,419580,419452,402236,388832,376008,380664,413692,423932,415572,433748,447044,443852,438016,421792,403064,391272,399056,411096,510616,573480,699420,817776,1030592,1262780,1297232,1298536,1136736,1366804,1465040,1163748,996888,664804,588340,533004,515756,568668,562272,523140,485360,464304,480404,506108,510064,504912,543000,573760,625420,676740,1042344,1451160,2064300,2611160,2773924,2838308,2949276,2491604,2293076,2267316,2112516,1961192,1859464,1765908,1666636,1469664,1328196,1283448,1162932,1091544,1007632,962044,604732,577532,558860,537816,527364,520992,532888,501168,478920,493284,504860,480600,473380,481340,494672,492156,480512,438932,436088,444304,462766,433723
 "41000","Oregon",8,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",96060,92400,87348,81532,89752,92376,96148,100044,175032,119804,93608,89884,94020,95644,96304,95604,134904,135228,145056,140720,107716,104484,103408,103944,101068,102220,103596,107328,107832,110180,111448,112524,115456,115076,116600,117176,121080,121884,123744,132112,114864,129400,138728,144448,124996,134844,141252,142936,139516,139260,140952,144452,157252,151512,157100,152560,157400,156824,158384,161640,175236,160184,160352,163840,172832,165564,167072,168904,182548,176456,176616,175848,181832,178112,177660,191160,202164,197324,201980,207584,215156,223012,227200,233752,248628,254884,259288,264756,269864,282288,293896,312380,316308,321100,328804,333880,350124,344092,352864,385908,392088,398024,405564,421688,459692,479644,522464,557156,599628,700448,651524,675060,704728,690648,692976,705952,722504,726104,742016,765188,800616,813424,832056,839328,863300,873460,906372,912200,958412,946060,1030972,1029284,1059572,1071692,1104604,1113232,1124880,1147840,1183712,1229540,1237624,1246632,1269832,1288932,1328048,1345900,1350436,1353784,1359100,1346384,1327816,1313584,1325740,1323880,1310032,1300664,1300588,1297132,1286248,1287608,1305948,1310180,1326140,1355704,1424080,1440744,1458064,1482492,1501832,1506376,1508808,1558584,1589008,1617520,1626732,1672164,1726216,1746208,1777036,1791372,1816380,1824340,1814828,1802276,1829988,1820612,1848844,1924728,2069104,2156592,2229932,2299628,2434504,2483860,2482704,2458288,2497200,2472836,2462292,2457492,2431736,2491620,2562868,2670688,2798496,2888952,2960300,2999320,2998244,3038956,3084532,3163668,3266040,3338008,3060072,3327996,3329288,3281936,3261648,3284276,3407180,3474428,3515600,3524908,3565760,3601692,3649524,3748376,3905448,3981780,4122788,4066624,4120480,4154244,4196100,4277744,4433204,4553712,4646072,4779656,4842052,9036088,6020152,5406504,5722068,6865236,6424176,6498320,7586452,7676872,7727160,7677304,7576656,7546776,7531336,7482640,6944100,6949024,6975348,6991160,7045648,7020948,7023236,6987892,7074600,7234336,7282704,7328852,7444104,7521496,7527008,7519144,7602860,7589652,7562824,7525860,7593408,7572008,7578656,7609040,7771684,7769148,7731724,7724940,8145614,8137547
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
