GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "42000","Pennsylvania",2,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",14411440,14573764,15024612,15109448,14688672,14598844,14513944,14500436,15822124,15927380,16442464,17037152,17351632,17932620,18190292,18436596,18348896,18510432,18944580,19700588,20039516,20383464,20396196,20348192,19667256,19681256,19784876,20250688,20327224,20794360,21274528,21737028,22142832,22524620,22842504,23392328,23631164,23869640,24104584,24076088,23691356,23724392,24165264,24606252,24789668,25608116,25140140,25421472,26192848,26213056,26106376,25962440,26103396,26487888,26869672,27280864,27570564,27772376,27900044,28138712,28312672,28787396,29088832,29444320,29935452,30661904,31240540,31823084,32228648,32708468,33567028,34129796,34680200,35335848,36047236,36965500,37541232,37919108,38594936,39141656,40363028,41274692,42094388,42819416,44001468,44989472,45866864,46526620,47483824,48707140,49383156,49800724,50411216,51604248,52244656,53081724,54930612,55677360,56913244,58797940,60147760,61351944,62505904,64126184,65383768,67245528,69162252,70741108,71991204,73372464,75275176,77252080,78832160,80140500,82342576,83817628,85731408,88106076,90405972,92452908,94145868,97259248,99770432,101912448,105224088,107050268,110022464,112527380,115345472,116824104,119906624,124277260,127184980,129385616,133978516,135379372,137241956,139460072,142011016,143183432,144048200,143950456,147674556,153050032,159020028,161844228,159292648,155744192,165544888,167226020,169225852,171666480,180643248,175538184,175477472,176773488,177963536,184688080,191337504,196455244,200008744,202501452,204930896,205189112,216284908,218263472,221204248,224366196,227856380,232129632,235175976,236432732,238052964,241278412,243429236,247504500,252163560,255447116,256943100,259654008,261437104,265122456,267135988,269461864,269618128,273486952,276749280,280725108,283140624,286286252,289086460,292192124,295407396,301339704,304672012,308083340,311416364,314991232,318610464,325062476,328228003,333794607,335987987,340547339,343167336,346295676,350153064,356064404,365270455,370851819,376568775,380737231,386142528,388509372,388113768,389422552,392184332,395045428,396386732,398020960,403150104,406091160,410291544,416025832,422652592,428774356,436055448,443484020,441474732,449029980,454882080,462414704,467010772,472860340,478782920,484607124,496458936,503104284,508307588,513343600,517590880,531055420,523989740,521590656,506340524,512009112,509750600,518371472,520874208,531388072,539756636,545860512,555178548,561443336,567554072,569563544,579822696,584994860,586191876,599078132,586636924,593005592,594206832,598044204,607094212,615748156,623763108,630946608,635728196,642159048,647962012,650628548,652876756,655977220,663331208,667028608,669949720,674059528,682573680,692341452,707811388,714993416,725567480,731921480,742852565,752621577
 "42000","Pennsylvania",2,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",727544,710572,681528,651964,762576,814128,875884,938864,1871964,1327208,1054576,1080052,818160,839504,860420,862272,831912,832856,895516,892244,876412,873080,884604,930428,1045988,1114592,1141036,1198264,1180200,1185872,1203848,1214836,1210684,1229196,1279496,1290320,1325648,1413044,1435964,1575644,1614544,1813864,1891576,1891004,1798668,1848456,1922680,1915940,1856784,1880352,1935520,2016904,2148804,2236152,2204288,2143944,2149452,2133032,2168912,2214968,2298036,2210788,2219860,2251396,2305420,2264492,2237824,2227496,2303768,2263312,2493636,2418708,2473928,2476472,2561220,2788784,2966716,3033632,3107844,3163840,3299980,3505048,3581264,3661272,3922932,3968336,4019728,4058036,4282904,5006516,5049744,5316784,5396944,5842444,5846684,6013448,6285464,6365120,6455668,7001004,7152444,7255840,7321472,7488436,7853132,8341756,8772936,9189848,9848908,10899988,11163000,11398384,11718168,11739680,12206032,12456760,12602916,12545380,12898644,13083428,13344132,13423752,13950392,14169864,14674124,15083288,15905568,16143192,16641428,16855260,18640920,18704796,19118704,19334512,20472900,20820260,21349124,22081876,23414592,24480016,24673220,25063880,24574420,24441252,24606228,24734000,24796228,25260104,25777980,25820320,26110436,26296968,26995356,27271124,27629268,27782204,27915996,28097928,28053860,28117772,29197548,29401136,29661816,29927120,30989876,31154528,31487340,32073596,33087432,33696552,34555020,35833012,37813148,39384728,40080424,41150856,41910692,42141192,42269696,42299444,43538860,44149376,44844288,44952652,45402360,45279184,45189968,45872252,46812680,47289228,47756452,47954476,49627916,50713108,50598684,50670048,51456528,51371836,51450832,51723800,51836644,52047576,52193880,52838256,53711880,54044084,54927620,55630656,56292020,57721928,58498868,59141732,60611964,61914872,61268672,63700676,64566020,65680564,65991040,66351312,67377488,68072072,68903116,68760808,69715948,70176940,71266816,72165228,74448028,76663888,76309084,76982832,79150056,79174352,80622084,80717688,83835832,84555520,85833656,87242756,89079880,101947044,94691788,94478952,99047468,105444096,104543412,105081536,110005844,110368256,111788100,111764108,112269000,111946012,110702388,111106568,110857696,111275020,111948488,112376736,112369160,112873764,113869380,114147480,114619820,116481228,118167408,119296828,120942568,122143572,123522948,124590960,127337752,128624356,130165892,130978968,129187572,128963352,130707544,131512848,136218068,136968648,140336536,143733192,147296264,149380740
 "42000","Pennsylvania",2,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",52236,55068,57492,58704,60864,65680,68884,70480,72424,75576,77156,150344,165144,178816,184508,182228,183604,190324,198160,240340,245616,267240,279860,281676,291524,306744,321272,367332,386216,420576,447296,451464,453788,470132,494296,505864,523596,612232,610596,638952,641208,671492,682092,693652,754296,777200,800560,820896,826488,841448,856652,872400,902244,926980,957484,996408,1020752,1042992,1064556,1086884,1090292,1106416,1120988,1127300,1139848,1149772,1164908,1169980,1181764,1189516,1430324,1337860,1354488,1380288,1387552,1402992,1433264,1456880,1465780,1473084,1535728,1683452,1711144,1722516,1753792,1766928,1779928,1787972,1794688,2263072,2117912,2143240,2168520,2543676,2437768,2461616,2502776,2534392,2564968,3076560,3200352,3276900,3330556,3379232,3419864,3710368,3893012,3978452,4017504,4054024,4433192,4461428,4529032,4551280,4913988,5027756,5039896,5114808,5493572,5551852,5590120,5591864,5979840,6049296,6141992,6238888,6846340,6892236,6973624,7001072,8018700,8080044,8226076,8253468,9210188,9267708,9313372,9397884,10041356,10363544,10279308,10379816,10357464,10562220,10757316,10848780,10819412,11019792,11337500,11342420,11527316,11473256,11843072,11909624,12132084,12104220,12288260,12414168,12371972,12366180,13047516,13059648,13086556,13091236,13671800,13691184,13756172,13868524,14545724,14682192,14732904,14776432,15536512,15700708,15826520,15904556,16594220,16685448,16639500,16600188,17293400,17402292,17445180,17520068,17953864,18058216,18096580,18160836,18638728,18794712,18857380,18926976,19330244,19386348,19452592,19556760,20006120,20101240,20161376,20225708,20580572,20650536,20760300,20775240,21027260,21110988,21191256,21278104,21721616,22280696,22256876,22305108,23062860,23166936,23440496,23452984,24098824,24212216,24317580,24439360,24732368,24931852,24993136,25135416,25660612,25885128,25944528,26171168,26827716,27107016,27159020,27313652,28224568,28483448,28606328,28735568,29616488,29923020,30057488,30160072,30810604,31040916,31324804,31566968,33332848,33840624,34089848,34389244,34453844,34823740,34947176,35123852,35262592,35611876,35777292,36040380,37397320,37688308,37952580,38208448,38974304,39202712,39505108,39771684,40416204,40698468,40896040,41265188,41927556,42162264,42376672,42747484,42793228,43043104,43261504,43595684,43889696,44098312,44384404,44759156,45700340,46024408,46359352,46731144,48224839,48524534
 "42000","Pennsylvania",2,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),59940,174700,228288,266764,292288,306488,314156,320380,328092,338084,365032,375220,384684,391868,395568,405892,417172,430376,446424,458244,468872,477828,486900,499160,513120,527696,551444,577100,606520,639476,680488,717928,754296,789900,823360,861424,907284,961156,1024224,1082124,1137020,1184768,1216936,1257548,1302180,1350980,1401596,1463444,1535772,1623408,1735224,1843000,1938028,2030540,2121344,2212896,2304836,2424388,2557388,2693684,2826036,2967020,3098904,3232984,3355200,3474220,3578004,3694268,3806320,3913432,4030572,4131816,4232720,4328956,4412620,4510444,4610032,4720952,4813352,4932856,5050224,5175636,5317412,5424828,5538936,5654232,5728464,5851260,5937060,5987336,6009012,6071560,6214608,6441324,6679716,6992548,7374904,7781576,8249368,8637096,8829224,8752748,8502572,8316724,8294932,8451236,9025248,9247964,9426752,9596032,9734204,9889536,10081204,10272248,10472552,10703216,10918520,11122516,11240072,11393896,11600664,11807580,11986264,12138232,12207900,12212336,12166524,12101256,12060148,12042964,12069896,12099596,12155256,12237824,12381228,12545836,12772892,13063884,13379332,13669180,13912016,14106316,14300684,14439680,14547892,14623852,14728288,14817692,14943064,15103256,15304064,15569916,15927468,16291372,16714784,17086424,17418920,17705784,19870888,20175568,20559444,21025416,21491216,21995728,22453148,22858224,23150780,23497376,23861476,24244140,24596388,24911732,25167336,25363440,25515248,25664900,25844348,26053744,26289536,26493608,26675136,26834648,27005320,27166336,27352512,27563944,27803820,27665320,27896104,28124656,28466316,28803604,29144216,29488268,29833092,30157024,30450000,30711600,30948028,31190112,31443924,31709592,31986672,32287300,32612028,32960888,33351212,33840576,34444868,35163876,35964368,36702933
 "42000","Pennsylvania",2,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),192692,311516,390556,425332,394272,380828,376168,388744,432408,444464,472660,442784,443120,450008,449084,481828,517092,591760,626944,678976,768180,811092,820004,882520,924192,912664,984644,996084,1009668,1099796,1068152,1078864,1166668,1262496,1286136,1314132,1337504,1353156,1320552,1325148,1295108,1160740,1218504,1276048,1341428,1446504,1480472,1491252,1562972,1658788,1705024,1699060,1817024,1807648,1808288,1817084,1806088,1794472,1799992,1822700,1864000,1907476,1964372,2032688,2102432,2165464,2216888,2257964,2282576,2300960,2319204,2329884,2357956,2410244,2491260,2608316,2753448,2853588,2903744,2898808,2784656,2880504,3166364,3656228,4188588,4940852,5332304,5976532,5447848,5525992,5554732,5425012,5558736,5603784,6132584,6296684,6513016,6593076,6511664,6902084,6819596,6713976,6785628,6469804,7311032,8329172,8217932,8255596,8531248,8387660,8486800,8499440,8145688,8128560,8057336,8587028,9212340,9384248,9981592,10342716,10316960,10761264,11098804,11060912,11049664,11677304,10968068,12065208,11938932,11716572,11981292,12456732,12888144,12662224,13307440,13190572,13888972,14105344,14572860,14781468,15602488,17079328,15871060,16237728,15285128,14675728,15456520,14807424,15981184,15578816,15840376,16119472,16516688,16179928,16498444,16555052,17007176,17654892,17643648,17472480,18306472,18510296,19954240,20278392,21171188,20834380,19457264,19598660,19634732,20019940,20596484,20837616,20300132,21185588,21829568,21685400,21643468,22322948,23404428,23812804,24004192,24487512,25387888,25824256,27690948,28408376,29528184,29891456,27215012,26620920,27678064,27596316,30231148,30308732,32929000,35295184,35103127,36288485
 "42000","Pennsylvania",2,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",40992,45292,47192,54824,95840,124920,157972,193000,149000,121832,94644,82196,60448,57904,68984,77536,113968,106904,122796,94524,95964,87008,91264,132636,226604,274016,278696,270368,217988,176748,161224,162296,148672,152864,171032,167308,174800,169364,184308,252248,361156,452708,459764,396476,326248,274840,275856,240608,210264,234276,278784,337900,378660,482668,398128,331260,293132,261100,266660,267328,265756,235392,222248,222812,212844,202668,154160,132880,132460,121652,105624,115600,101972,80740,81476,81984,97228,117928,116208,105232,114832,108412,117868,133120,124916,110204,118624,120644,147656,202760,224784,274492,287788,308808,336864,413948,466776,526396,500928,385008,357424,357868,348608,366768,445688,500684,504588,609296,913104,1338256,1432660,1379288,1320224,1318380,1288584,1317668,1374992,1137252,1054876,1023660,944340,804236,741588,701888,787016,863208,808228,850100,967120,1273296,1468380,1313188,1234076,1144880,1053820,1222368,1525508,1904644,2321132,2773568,2781500,2938056,2264456,1734972,1409320,1265532,1202956,1279920,1281708,1169888,1107432,1120080,1133496,1074604,1072364,1151068,1001208,985976,912616,815264,869300,808360,809188,822772,927308,934732,955364,1037100,1088576,1099892,1216608,1398348,1590100,1762460,1720548,1948740,2560324,2735676,2765604,2762168,2404044,2552756,2583660,2421672,2026872,1742240,1533748,1463028,1453260,1529124,1564292,1672372,1752420,1656556,1503020,1481796,1465112,1455776,1356692,1469044,1360432,1406464,1457696,1435936,1426460,1399600,1401076,1402136,1476616,1466284,1496272,1573624,1811792,1976604,2277152,2627020,2693724,3825908,3690516,3345760,3280888,3783824,3692444,3327064,2703908,2320872,2274332,2192204,2135912,2014912,2073000,2092540,2046820,2018092,2071048,2019392,2223732,2178700,2245864,2317936,2422848,2476492,3586856,4765332,6554744,7906916,8636448,8541992,9257016,8338952,7792756,7145424,6850576,6413100,6168568,6070144,5845512,5387924,4997432,4786408,4452012,3968968,3756452,3683072,2588272,2308516,2178548,2120048,2180764,2143864,2159460,2159292,2215716,2216800,2164440,2071792,1945116,1832876,1833944,1840476,1814820,1710104,1718176,1698836,1646575,1536449
 "42000","Pennsylvania",2,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",634316,610212,576844,538436,605872,623528,649028,675384,1650540,1129800,882776,847512,592568,602784,606928,602508,534340,535628,574560,557380,534832,518832,513480,516116,527860,533832,541068,560564,575996,588548,595328,601076,608224,606200,614168,617148,627252,631448,641060,684444,612180,689664,749720,800876,718124,796416,846264,854436,820032,804628,800084,806604,867900,826504,848676,816276,835568,828940,837696,860756,941988,868980,876624,901284,952728,912052,918756,924636,989544,952144,957688,965248,1017468,1015444,1032252,1129108,1207936,1192060,1233568,1279036,1335264,1392804,1424160,1467552,1679192,1715984,1736492,1757552,1752300,1823276,1899320,2043344,2099940,2150888,2227012,2271312,2396604,2360708,2403992,2568956,2600104,2593964,2586704,2621132,2790000,2821016,2994096,3133224,3326760,3835192,3569860,3713992,3920496,3875232,3881796,3930484,3961424,3935976,3979864,4078072,4241408,4301712,4407056,4481140,4672388,4785036,4992420,5045168,5284232,5207256,5630500,5611128,5759736,5795976,5902384,5871912,5848368,5887576,5991880,6169624,6217384,6244092,6337892,6413544,6602932,6693400,6741148,6808736,6882152,6890092,6901284,6949992,7103004,7188576,7157708,7093316,7026540,6971996,6911132,6952212,7194312,7271624,7337752,7417460,7628308,7603464,7657452,7827840,7988760,8041416,8064240,8220428,8248580,8343612,8371828,8568280,8805728,8877352,9014928,9060840,9257432,9342580,9256112,9118196,9174404,8996116,8966772,9074056,9428544,9548200,9630632,9762808,9994148,9947136,9824476,9568316,9467784,9288928,9238064,9317272,9583428,9760760,9858400,9997088,9975924,10049652,10198440,10369876,10395600,10667848,10874024,11138204,11308316,11424848,10670940,11449148,11533856,11486188,11453760,11485608,11747800,11876480,11967032,12004500,12158392,12295680,12547628,12729016,13167128,13376208,13787084,13633128,13722652,13821516,13928744,14129888,14523212,14879256,15236780,15787052,16178960,28752332,19420208,17347460,17556312,21129932,19006132,19314380,22473264,23030368,23249580,23162696,22695108,22593048,22624128,22562736,20974812,21012512,21049480,20980320,20838892,20851176,20882148,20882668,21505560,22347692,22544176,22610520,22996964,23192908,23148928,23148328,23689832,23765964,23767840,23710444,24151076,24123944,24199104,24356012,25120548,25084828,24885140,24844152,26357355,26328339
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
