GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "96000","Southwest",6,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",12805413,13296473,13574145,13666561,13852677,14293673,14406465,14499925,15489017,14946173,15205325,15775433,16718044,17343536,18061320,18281524,18817352,19008972,19389476,19395160,19573504,19776740,19721568,19898144,20107056,20052436,20290948,20527044,21214388,21583252,21923624,22388704,22838788,23196140,23552140,23955208,24496804,24925784,25381372,25405280,25723092,25903776,26340852,26856084,27232336,27705400,27880676,28376200,28215584,28872852,28956276,29222624,29664408,30217044,30686816,31153140,31705388,31857468,32047720,32374324,32889488,32936772,33517892,34104268,34778660,35533188,36039012,36611592,37351848,37906852,38667336,39457672,40524612,41141412,41928636,43228920,44097004,44820204,45921252,46720644,48050224,49710660,51505116,52804080,54352956,55719536,57348896,58580660,60096856,62147004,63330532,64579548,66255496,67974780,68873036,70527968,73147852,74456084,76652264,80323076,81579148,85136148,88212908,91399644,93291380,95708372,99126812,101614304,105054544,108118528,111821492,115277968,118998408,121190564,124962600,128355776,130690388,134733404,139455772,146084976,148949728,155841856,162373460,167621812,174499732,179141936,185941172,193086640,199454524,204091572,213649332,223683320,232291864,239111192,251311520,259459388,264738792,268098928,270836488,276081156,279598516,284551364,289505800,297142720,302748304,311745712,320179056,326477624,332329568,337149480,341890040,346876044,350707256,350117668,350246776,349248148,353848804,356373000,360339404,365999252,369745652,376992796,385002992,392183040,399743172,404065360,409111080,415705044,425098240,433662044,441663672,443455572,446274940,452760348,458189056,467413792,478807220,489007144,495253812,501631360,511995456,518252196,521233848,530575976,536709416,547536436,556292656,569651776,577725968,586704604,595835116,604902020,617791560,630674200,640587240,650294024,669475872,680377040,693983272,707348044,727904270,740107770,752348170,761112398,766606242,774794494,783826754,803912834,829043256,843833484,859222380,868782308,896998584,900260984,900071500,904415212,907030564,914241948,918672836,927395856,937424376,949307720,960250676,971417532,986158860,1000258248,1016549084,1040514368,1064092928,1086306892,1111005544,1142382256,1188511196,1206656820,1220515280,1238303512,1255554564,1278623164,1294817348,1312494872,1347920696,1409094684,1394667392,1395291852,1336268876,1320325020,1308532316,1316900660,1348593144,1376956972,1402666760,1425048212,1475617976,1496447780,1518416528,1528848516,1577785760,1596511192,1589106512,1644598560,1612715496,1635972596,1651263168,1668356016,1717991092,1751124360,1777124804,1795708820,1803989572,1801086440,1808937692,1803383284,1785716508,1790374584,1807304280,1826780492,1870170792,1895567428,1924558416,1955339528,1999647208,2019884612,2045844912,2065319536,2104921490,2140098109
 "96000","Southwest",6,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",820168,792388,752264,707000,746972,774900,812048,850012,1451456,1008836,795052,790436,802848,820564,830612,826276,790080,793584,849944,842096,881720,867908,867868,883024,889612,914236,932060,979704,1006712,1033056,1053048,1063024,1099916,1107576,1136404,1145936,1203316,1261984,1277864,1371612,1268824,1426596,1512640,1543676,1451196,1536880,1606996,1628684,1609676,1618232,1651396,1698780,1815912,1828980,1883164,1875256,1932452,1963136,2008300,2075188,2188908,2113312,2132972,2173176,2256620,2216004,2244756,2270112,2379776,2355628,2581080,2489284,2556592,2562424,2655780,2922724,3116880,3176584,3286116,3388392,3555692,3800964,3898520,3994092,4164408,4246928,4286400,4310880,4481732,5155040,5148908,5367480,5491940,5998476,5974664,6074584,6281968,6321236,6456008,7318484,7529604,7738348,7917452,8170808,8507412,9086928,9661232,10170652,10856860,11899912,12135260,12430448,12788364,12673392,13154508,13302544,13399588,13502280,13994476,14225972,14607880,14856072,15621800,15965256,16412084,16826920,18065120,18429716,19137400,19250008,21613060,21919956,22475012,22644360,24138188,24281260,24711860,25382040,27089408,28587788,29058704,29574444,29468956,29965916,30690052,31082776,31352776,32094572,33049524,33250968,33751492,34069400,35356556,36246028,37177776,37410192,38056232,38647056,38776784,38929360,40425432,40626484,41065500,41707492,44128936,44774964,45546380,46562020,48791232,49827324,50524088,51648044,53637196,54915008,55900168,58524676,62103008,64473356,66112652,66388072,68487528,68560328,69785620,70333456,72403948,73461144,74419028,76902288,79516516,80392512,81108136,80901060,84083612,86423816,86382904,86780208,88947572,89144452,89822424,90241428,91054184,91705684,91803884,92769576,94577172,94792220,95757228,96496800,97923776,100656676,102046528,103512036,108110408,111821768,109440744,116928240,120011396,121704520,123013924,125448540,128403564,130733280,133275380,133565136,136873192,138663348,140352024,143337880,149385472,152983736,155881636,157773468,162710528,164888108,167243304,168954496,177839388,179414752,182452696,185388876,188060460,235520868,203280632,200704216,214288852,230376524,231541340,233425736,246658276,247940432,252543260,253124108,255806148,256429020,255591676,256699328,254352756,256832800,255445372,258263460,260589704,262488568,266238612,268735828,270227220,276857108,282004276,286043736,291365020,294985368,296873460,298441296,305091384,308390572,310863496,311202964,316390968,315051892,319867268,321358400,328532060,331038408,333989428,337237852,349898433,355487108
 "96000","Southwest",6,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",19464,20520,21424,21876,22756,24556,25740,26348,27996,29204,29816,58112,71576,77496,79976,78980,83016,86052,89600,108652,119980,130552,136720,137588,148088,155832,163200,186600,207404,225844,240200,242432,256460,265700,279368,285892,322716,377328,376328,393796,406784,432340,446080,462388,515648,539796,562280,581388,589564,605940,624312,644432,675524,703868,737676,778932,810176,839580,867208,894380,905348,926376,944904,956724,974808,990464,1010356,1022364,1043428,1063220,1292668,1223252,1254644,1289692,1306552,1330816,1367176,1399584,1420928,1442484,1518584,1679692,1720688,1742844,1780876,1805972,1827292,1844572,1880120,2385264,2235528,2266128,2308564,2737468,2638740,2688204,2745064,2787256,2838112,3462680,3575628,3672940,3742536,3805004,3821844,4158092,4387024,4512044,4597992,4701488,5172984,5234368,5348792,5383744,5823912,5963356,6021376,6121688,6598644,6688276,6765908,6791556,7296452,7384856,7443680,7537912,8298352,8349172,8464240,8522976,9896248,9995584,10259460,10280516,11490500,11464176,11447248,11490008,12320608,12777216,12760084,12967804,13041372,13438436,13869380,14125140,14165884,14520172,15013672,15056880,15374584,15335024,16002136,16141000,16543176,16558228,16939284,17242484,17214436,17214488,18154224,18079684,18109716,18178356,19408576,19554336,19672468,19766704,20866520,21124608,21202412,21396680,22806964,23008904,23106712,23252800,24385344,24787064,24979116,25054484,26281144,26349728,26514212,26679680,27535384,27898496,28068584,28429776,29386132,29609628,29715180,29773112,30751756,31119828,31245760,31479004,32391648,32624312,32829260,33008528,33824256,33995564,34268212,34328844,34966524,35182060,35375292,35569132,36613988,37900492,37778248,37806460,39566800,39728404,40321996,40303248,41924504,42219748,42532572,42925764,43759216,44388516,44623012,45043608,46355684,46985828,47180508,47839052,49658368,50459956,50632436,51069552,53473796,54128152,54404008,54671544,56943600,57697908,58063528,58405152,60355148,60970996,61593892,61968816,66212252,67296340,67876120,68770052,69232936,70488280,71051960,71724296,72246268,73282144,73731752,74362484,77868216,78528040,79141452,79760788,82026236,82605964,83395504,84084732,86031136,86805000,87339692,88383616,90295868,91050260,91796868,93084588,93425012,94387976,95243912,96451388,97525692,98267156,99184148,100309776,103135140,104057756,105042916,106172460,110832230,111767167
 "96000","Southwest",6,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),73272,210976,272016,319356,354568,379148,398448,415436,432824,450968,462344,478228,492240,503836,517108,532588,544792,556748,571996,585356,596036,608188,619824,635644,657276,688784,716132,750960,787596,825964,864052,908100,955640,1005844,1059552,1117968,1171284,1225360,1283008,1337104,1397364,1458056,1521228,1585880,1657700,1733052,1812828,1890732,1968380,2039492,2104204,2192720,2303420,2431024,2594872,2719636,2827124,2879584,2900668,2972092,3129100,3357872,3686340,3975168,4235524,4440472,4567724,4697688,4814584,4922928,5040940,5140724,5236772,5350148,5460748,5569760,5687672,5798624,5930964,6049924,6183712,6309920,6486776,6627060,6741884,6852004,6907520,7025132,7167984,7336692,7657820,7880460,8135356,8423840,8775884,9071344,9288600,9431284,9541368,9693088,9920108,10246524,10802160,11258764,11653340,11931880,12487696,12593648,12917656,13401952,14130876,14842220,15502228,16182640,16771380,17265832,17737960,18138276,18611028,19126148,19590156,20099604,20657204,20994804,21093344,20940304,20477608,20326720,20185960,20054524,19991188,19938000,19971176,20093156,20256520,20586512,21012248,21532040,22037428,22679272,23256488,23772380,24243216,24792052,25340776,25888600,26331504,26989572,27755184,28627752,29497492,30460984,31518848,32421408,33464244,34189092,34848432,35427396,40892544,41432484,42098192,42893076,43885796,44767496,45616400,46425468,47265664,48083256,48960036,49900404,50934284,51830276,52588948,53211060,53778432,54347832,54988840,55701584,56436092,57158028,57785148,58318220,58747264,59318592,60020828,60856492,61810408,61469476,62309404,63092112,63382420,64063908,64895356,65884196,67077412,68140576,69091636,69928292,70669520,71449296,72288024,73187016,74147816,75134124,76147488,77186016,78301680,79730180,81521772,83676640,86095621,88327473
 "96000","Southwest",6,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),148936,237264,297240,326908,314024,311152,310272,319196,346788,361320,405084,418776,472340,520820,534276,556740,543812,582888,591952,628412,713448,755684,759628,809300,837788,815660,868192,867848,876816,941952,898840,887600,935280,1001764,1027480,1071580,1124056,1181844,1210980,1280688,1335300,1256856,1371460,1444168,1496644,1582036,1595508,1572696,1620232,1704272,1769808,1801460,1989308,2031072,2077652,2130384,2155204,2171720,2197456,2242380,2303376,2340200,2374992,2393536,2405684,2430312,2487132,2567744,2684724,2795584,2894368,2982128,3091988,3179740,3272944,3379120,3537020,3706688,3920540,4180484,4479824,4829492,5170164,5522032,5626828,6273684,6812408,8191000,8521648,9538888,10177520,10101324,10155408,9959020,10726168,10866408,11203164,11422776,11425836,12444484,12718464,12589584,12533332,11499080,12434564,13718040,13173192,13066484,13546236,13421192,13801860,14146656,14068476,14224816,13977988,14511304,14942588,14703404,15268096,15577016,15421612,16044452,16570960,16614000,17403904,18930284,17769732,20794508,21026516,21107700,22117984,23357132,23450720,23673156,25000216,24184512,25598764,26035116,26088220,26532548,28094224,29503704,29080388,30224488,28420488,29430784,30480376,30227764,33914252,32792268,34070912,35282904,35454520,35379428,35675076,36046252,38399448,40106704,41141304,40616668,41882952,42034436,45045684,45166248,46029740,45067812,43448904,43706188,42888956,45356480,43093968,44179932,42955892,44830360,47136128,48676240,47531576,50368764,53893196,55665968,56189756,56827440,56704616,55820652,58953508,59996988,60628760,58992412,59939680,57271612,58175528,59247764,60062292,60932540,62223684,62523992,62733609,65448389
 "96000","Southwest",6,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",11068,12216,12724,14788,18260,23808,30088,36764,40284,32920,25572,22216,13860,13276,15820,17792,19364,18176,20868,16068,24464,22172,23268,33828,42428,51312,52184,50636,44724,36272,33076,33312,37336,38392,42976,42028,48012,46504,50620,69268,88512,122452,131380,105760,87920,80508,85548,81992,84616,85516,97184,109936,119688,146784,132180,111352,101068,100084,100576,109436,112176,107416,100880,99504,100148,92584,90948,92956,91136,91200,86364,68740,62736,55872,53488,52496,58236,56900,59104,58912,62568,57828,54380,51496,50816,53136,54460,60764,68540,95560,124572,149900,175956,188724,188536,181280,188808,204672,173864,154956,144048,136368,141808,149988,169556,194632,196472,267412,456956,626932,656760,629960,559320,493012,473336,432852,405948,357528,316676,288792,255012,234696,223408,238664,275916,289368,321556,342256,387956,440132,569408,626960,566668,487128,423024,463504,594976,842000,1256656,1841728,1959676,2057300,1565968,1341384,1140776,948872,921276,968340,1064516,1004564,948972,1076624,1237372,1655392,1893620,1835732,1650520,1533880,1418856,1198996,1141872,1059252,1034336,1056904,1035340,996476,981024,1037020,1102492,1072992,1082544,1173972,1316456,1416744,1455368,1719328,2559016,2596240,2515860,2371716,2285984,2324324,2320800,2124784,1741320,1491348,1445976,1401040,1335848,1368328,1344816,1414236,1413552,1358144,1330320,1354200,1364092,1285648,1283008,1200576,1189760,1334692,1310484,1466488,1617212,1697864,1609888,1505608,1412556,1416216,1406812,1405488,1582412,1888052,2292680,2909688,3368952,4379288,3876108,3806068,3992372,4126372,3975576,3811180,3049880,2509688,2373716,2196300,2038340,1899808,1895872,1841740,1637508,1641172,1709528,1718908,1839628,1753076,1772384,1822496,1962732,2117496,3363500,4264036,5768328,8707212,10632228,11016108,11862532,10627632,9919740,9231528,8709864,8161960,7615740,7335800,7788516,6467828,5632068,5524124,5050116,4726844,4535868,4511972,3130328,2988968,2971668,3044320,3291356,3470460,3727324,3844268,3955672,3953528,3860612,3712296,3568580,3200132,2979720,2884664,2822612,2598316,2490984,2429140,2545335,2353218
 "96000","Southwest",6,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",789636,759652,718116,670336,705956,726536,756220,786900,1383176,946712,739664,710108,717412,729792,734816,729504,687700,689356,739476,717376,737276,715184,707880,711608,699096,707092,716676,742468,754584,770940,779772,787280,806120,803484,814060,818016,832588,838152,850916,908548,773528,871804,935180,975528,847628,916576,959168,965304,935496,926776,929900,944412,1020700,978328,1013308,984972,1021208,1023472,1040516,1071372,1171384,1079520,1087188,1116948,1181664,1132956,1143452,1154792,1245212,1201208,1202048,1197292,1239212,1216860,1222468,1328436,1419452,1400744,1451516,1507848,1576092,1648008,1690628,1748784,1870372,1909592,1912408,1901708,1867028,1904364,1946776,2067796,2121400,2175776,2241080,2277716,2381484,2332344,2381672,2593288,2621456,2657260,2711236,2833112,3108148,3243216,3530144,3756940,4028912,4697840,4374604,4531460,4759456,4643872,4591704,4580432,4574220,4495232,4522616,4628252,4838852,4937324,5106080,5230664,5464228,5625076,5930812,6026576,6355032,6310408,6948820,6973660,7251572,7322588,7500056,7423012,7363064,7370592,7506812,7726912,7781912,7820580,7969380,8132784,8483752,8696320,8831388,9013532,9207212,9279564,9365272,9465592,9780400,9969400,10070136,10138568,10294928,10448048,10507240,10681744,11129828,11282676,11480520,11756420,12490180,12637004,12836992,13153972,13566512,13728888,13780368,14124076,14345580,14522588,14605572,15115024,15834840,16292400,16786816,16928668,17277296,17333608,17306784,17260632,17793204,17806304,17976404,18444348,19304692,19559140,19776848,20076356,20872712,21101656,21043476,20780916,20988392,20818496,20814952,20945364,21494084,21823892,22061240,22408416,23059660,23270892,23532776,23751888,24219100,24709004,25278260,26154048,27519864,28595756,25799848,29148416,29448208,29205732,29146484,29470976,30869752,31555664,31921392,31898084,32371372,32671732,33190732,34348572,36130296,36931176,39424508,39210292,38286192,38255516,38551200,39443204,41256112,42404004,42929472,43452856,43022396,88969692,53688128,48524708,52974540,62435992,59302740,59811848,69901424,70442252,71537036,71300452,72384184,72759076,73010132,72976636,67059804,67161860,67557056,67942124,68747052,68855924,68861708,68370772,70151760,72630468,72904364,73065636,74510628,75496632,75553016,75763496,78087672,78602784,78842188,78859852,81209200,81178868,83380384,81730180,84210336,83719616,82710072,82435620,87691638,87590861
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
