GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "47000","Tennessee",5,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",2997489,3127305,3162365,3185305,3098633,3096633,3116857,3104345,3390645,3393625,3438445,3570301,3700528,3843536,3891380,3940828,3909492,3946028,4082224,4148064,4275348,4331724,4334360,4313116,4365436,4331244,4347684,4428088,4425432,4584720,4672012,4766412,4855232,4905756,4979504,5042380,5095824,5162576,5219144,5223020,5252196,5335144,5423780,5547104,5606364,5730136,5846792,5919384,5834196,5962120,5943952,5983648,6126324,6212604,6306908,6465316,6507112,6627064,6727264,6808848,6878252,7006684,7128976,7273188,7420336,7512300,7655316,7828924,8006088,8117008,8405500,8617264,8825552,9046212,9228240,9392768,9582420,9646180,9812912,10038148,10325720,10711944,11143884,11393684,11445028,11701872,11971432,12144068,12359196,12701604,13008060,13328628,13613612,14090492,14326120,14722324,15289476,15637776,16063152,16891900,17306228,17830924,18410352,19019100,19306856,19786580,20414896,20786076,20954480,21514520,22189248,22916272,23765196,24144140,24781332,25388096,25897532,26677832,27549980,28577668,29263804,30591612,31624752,32436880,33553484,33912608,34913908,35794944,36706640,37050756,38621592,39933004,41292256,41929140,43223720,43088244,43975040,44726960,45427964,46054912,46732744,47478692,48304584,49712360,51463316,53121652,54233548,55107196,55979856,56866288,57377080,58606740,59809272,60651156,61725756,62679264,64380296,65126888,66081760,68174952,69246584,70888176,72504144,73944992,75607840,76399444,77306696,78397336,80098048,81265584,82732140,83039828,84274956,85351732,86282088,88126768,91411396,93749296,94871452,96179432,98209680,99335568,100563104,102258784,103553380,105493828,107171340,109767908,112292048,113617176,114937732,116612500,117911928,120234068,121801868,123248196,125373904,126610336,128284904,131543024,136282805,139738585,140984513,143142049,142711508,144448488,145885284,149213076,151378044,153444620,156508588,156346764,156941568,158587752,158259024,159638832,160741588,162776432,162988344,164851020,166432776,168023664,170398876,172963892,175160636,178351352,181255952,183161484,183925364,186602580,189149944,192091188,196819112,199535612,200801716,204063884,206098732,209404532,210809244,213541696,215816068,222695672,217469524,214413040,214104804,216532176,215646324,217883944,221602028,225511632,228469008,230763664,236894148,239519188,242266476,244190920,249313296,253013280,253104100,259021600,254662616,255220968,256201148,257979440,262408720,265837756,268173292,271073852,275030572,280111524,283149636,284586088,287295544,288583280,291792668,294570036,298343220,299733132,301549644,306613416,312030268,315363544,320445232,322220688,327975087,332003598
 "47000","Tennessee",5,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",224476,217884,207628,196940,220796,232072,246388,261148,409024,286272,225664,223956,223972,228408,232932,233124,208932,209024,224792,220276,222840,219068,219760,227692,249560,260844,265968,277544,274836,276880,280280,282876,279480,282112,291628,293532,302368,317064,322428,352640,335464,368712,385832,389084,364412,381960,395668,402732,396736,398660,403176,418784,446900,458608,468736,462496,469664,470176,478104,490916,512012,493968,498376,505180,526648,518240,525016,530708,556544,553076,611328,592112,610940,610768,630852,690356,734340,751948,774952,789216,823628,873952,890980,911508,946388,967124,987116,1010732,1048264,1225432,1229956,1284656,1310280,1431772,1414456,1429688,1475928,1478020,1498700,1702748,1748852,1789944,1833100,1895300,1987684,2140616,2296232,2458216,2669112,2993884,3014168,3058212,3131492,3131792,3261232,3303752,3317880,3296768,3402356,3449636,3526112,3561548,3757232,3848624,3980868,4103448,4445220,4573228,4754176,4837772,5517216,5526968,5654884,5694020,6001024,6035268,6156420,6238492,6518344,6744796,6818900,6937908,6846672,6947172,7101696,7166728,7207432,7369644,7556156,7598124,7720752,7781312,8043692,8166892,8326440,8376620,8519804,8660776,8710232,8778600,9161040,9238696,9365304,9501264,10015932,10151424,10317144,10542848,10983908,11221244,11423680,11787056,12323816,12756716,12988496,13586948,14126292,14475864,14739128,14776224,15347304,15439384,15750028,15791956,16104132,16180128,16286012,16820996,17578368,17925052,18167212,18034600,18656344,19055112,18881028,18911008,19406072,19467440,19692996,19929420,20180596,20435580,20551796,20801512,21107540,21138836,21470620,21790268,22230648,23086680,23552240,23910600,24638236,25374360,24901340,26247148,26664676,27036544,27162956,27639464,28250308,28449840,29184116,29281104,30078700,30629280,30637324,31149940,32190116,32899096,33016704,32950196,34148408,34278020,34742252,35224172,36927308,37701240,38448772,39082620,39765596,47641280,42108416,41571292,44324080,47050788,46361740,46342980,49021552,49837836,51283636,51499080,51592184,51578952,50924780,51448792,51285836,51718680,52118700,52431136,52909612,53259764,53611080,53929952,53108396,53842552,54369480,54885956,56416820,56659084,57171032,57390320,57882120,58149904,58392960,58234636,59028184,59552788,59792484,60285204,61626360,62471676,63124076,63671704,66087354,66895376
 "47000","Tennessee",5,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",5800,6120,6392,6528,6764,7300,7656,7828,8296,8664,8840,17236,20912,22636,23372,23072,24060,24940,25968,31492,33396,36332,38056,38300,40480,42596,44608,51004,55268,60180,64004,64600,67708,70140,73748,75472,85776,100284,100020,104672,109772,116600,120216,124568,139044,145704,151740,156576,158416,162268,166264,170884,178972,186512,195568,206596,215452,223156,229688,235716,237456,241620,245436,247508,251156,254100,258664,260964,265296,269604,327148,308636,315888,324380,327708,332952,342396,350308,354700,358788,376904,415792,424732,429344,439808,444136,448864,453092,459616,585844,550096,558056,567516,673152,646372,656284,670632,679360,689856,841700,869256,890616,907244,924436,930640,1018008,1077644,1108580,1122488,1145192,1256724,1270588,1301604,1311284,1419732,1450696,1462648,1481640,1593024,1610164,1624056,1627800,1753972,1781348,1797096,1824552,2016312,2033908,2056688,2069920,2394888,2410148,2455968,2459864,2742400,2744200,2755676,2766948,2954932,3055296,3059388,3105204,3112508,3185664,3259608,3296464,3292880,3365120,3475912,3482672,3546116,3523600,3649512,3668048,3749300,3750100,3829304,3894088,3887748,3888516,4106652,4095672,4101104,4108628,4363756,4388076,4415420,4448840,4704112,4761816,4780240,4815404,5105048,5159952,5193284,5233620,5498432,5575940,5605724,5610384,5875288,5915744,5964788,6016612,6211184,6267536,6289740,6347764,6582868,6666548,6711812,6740456,6968516,7033372,7044676,7087704,7306592,7350616,7403384,7449780,7633604,7677932,7750204,7776516,7939964,8001716,8052764,8098408,8334720,8631244,8600824,8607764,9017540,9056476,9193860,9190336,9559476,9625104,9693944,9780044,9960400,10095744,10144576,10234220,10526832,10662992,10705796,10851124,11257124,11429080,11456616,11534816,12040620,12170240,12227340,12293812,12813796,12995948,13085864,13164560,13587792,13726316,13870792,13964228,14920732,15176004,15314260,15519368,15615116,15892416,16014900,16160056,16265840,16489552,16589800,16733460,17499056,17646432,17781484,17915136,18374532,18494512,18658780,18803884,19180996,19337840,19449064,19662008,20035676,20177972,20311664,20538712,20581612,20740224,20878652,21081948,21260004,21379260,21533700,21729504,22241776,22405052,22582104,22788080,23647631,23820093
 "47000","Tennessee",5,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),15432,44920,58720,68632,75176,78804,80820,82496,84592,87360,92492,94920,96844,97888,98084,100232,102268,105132,109484,113156,115124,116656,117732,119268,121836,126532,130540,136572,144432,154396,166048,178336,189756,199484,206352,216924,228896,244272,264384,281848,298980,313368,326292,337632,349512,360556,370856,384520,403560,425860,450648,477704,506220,532904,559052,586836,619216,651744,688484,724192,758992,791936,825456,854616,882916,911060,941152,971284,1000592,1028644,1061292,1088860,1116072,1145016,1172500,1201336,1231572,1260916,1292300,1325244,1362212,1399580,1445556,1481076,1508644,1531704,1540284,1577068,1631860,1705824,1826916,1903524,1962508,2002936,2021156,2053460,2103072,2169524,2262476,2360016,2452064,2538300,2647732,2729704,2808008,2873488,3023416,3068792,3145232,3245420,3378096,3486720,3584568,3679860,3778592,3868240,3951032,4019512,4104696,4178596,4236528,4304068,4391036,4420512,4411648,4351316,4187540,4164064,4146172,4133780,4108636,4121168,4151256,4199504,4225640,4320416,4437664,4577472,4699004,4853740,4990384,5108800,5209372,5311188,5400996,5477920,5563568,5661548,5786856,5939556,6097040,6268172,6449516,6588648,6718928,6864140,7052104,7284444,8612252,8864272,9073404,9235104,9324664,9447036,9586984,9745100,9914556,10096916,10290428,10495928,10724096,10901792,11051976,11174744,11266204,11374312,11493896,11624884,11753224,11882580,11998712,12101940,12200012,12302708,12420116,12552268,12695116,12619780,12759912,12899932,12890032,12983636,13115780,13288284,13514648,13706168,13871560,14010052,14124068,14242988,14369744,14504468,14646912,14798760,14960096,15130852,15319216,15555844,15848312,16196532,16584381,16942227
 "47000","Tennessee",5,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),13564,22392,28888,32952,33192,34304,35000,36392,39676,42224,49332,54224,65328,75548,80532,86828,87468,97468,103184,114144,134364,147584,152916,167740,178636,177028,190392,189844,189656,203972,198040,201652,222044,245228,257008,269960,280560,296472,310020,338544,367912,356584,394756,414760,420576,434540,423472,400904,393484,399920,407412,415912,472660,494212,516760,540392,557976,567028,572680,576184,576864,587364,613372,652700,708712,759088,807568,850572,888904,927208,962760,995896,1039276,1068032,1090744,1108824,1132368,1163668,1213724,1284304,1368760,1475192,1591160,1722084,1787940,1989952,2105328,2408000,2327340,2479256,2584396,2572692,2661272,2648972,2830016,2786012,2723456,2697168,2700628,3024856,3296040,3398872,3434616,3120376,3255192,3483840,3279444,3224772,3357720,3369488,3554568,3775584,3916828,4077228,4059084,4206528,4249324,4154060,4362796,4571576,4730348,5095924,5362504,5402984,5354012,5714108,5338140,5983948,5799848,5726480,5909848,6213992,6352388,6227388,6804548,6728176,7120172,7391232,7089212,7120620,7339348,7582700,7168852,6911844,6238372,5935500,6037892,6080948,6795128,7058176,7427156,7676156,7798996,7236700,7247672,7198656,7418876,7272792,7087496,6903312,7560964,8233032,9344072,9375456,9031088,8601252,7761176,8168324,8313224,8695856,8923592,8990872,8814380,9200844,9295288,9505864,8361772,8585104,8847256,8952792,9570212,9335352,9545552,9403116,9465388,9417948,9372896,8875148,9100112,9368664,9230520,9230920,9393540,9827540,10100036,10117144,10429585,10723231
 "47000","Tennessee",5,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",9788,10812,11272,13088,16392,21364,27016,33008,24876,20336,15800,13724,13420,12856,15324,17220,18980,17800,20452,15744,15828,14348,15048,21876,34348,41532,42248,40984,36228,29376,26792,26968,28544,29348,32844,32124,33120,32088,34920,47788,51360,55664,54848,44508,33800,29088,27728,29928,30472,31868,33056,41472,44192,57940,52716,44104,37856,33000,33176,35088,34268,31188,30012,28216,32084,29700,27576,26056,25308,24008,21892,20340,21080,16460,17148,20280,23472,29940,33752,30604,31600,27396,25600,27312,26832,29156,31596,35172,37688,47236,55776,61688,68264,71124,66944,62828,62596,64164,53752,44964,43148,41808,45504,46960,57260,65920,71984,123220,225760,337104,305800,265688,213216,214508,215672,216412,205984,161848,145512,138840,124908,100664,98692,97464,126100,136560,160220,177556,185124,236960,355480,291728,274104,246672,215644,262764,365200,406348,439840,479796,438176,450724,273076,229828,205728,172268,169408,198176,208528,194824,188852,192996,191272,191960,192224,181968,177112,183860,187232,173284,188812,180644,193372,192696,193708,191668,197708,223868,233600,247048,250680,306400,345088,369788,332244,398740,509736,475376,441252,398204,395992,388856,398880,348608,313448,281848,257100,252376,240892,254296,287428,312348,335488,334668,311004,328504,318596,318856,306380,308188,314832,311296,330472,329132,334720,332832,319244,300856,309016,337816,376192,421400,503560,547552,590224,650608,674864,960296,748976,728128,764164,780252,729092,677072,555728,473488,469388,466608,440064,439100,444096,446536,414584,411044,410040,427120,445824,421764,452244,479168,482708,500648,807284,982956,1600012,2031080,2042684,1821084,1934384,1622464,1573880,1547192,1661080,1658060,1598724,1425808,1187960,934232,773352,704072,663340,635984,635848,602524,372508,359728,355552,348460,342188,319440,300292,271356,245500,235460,248148,268960,254732,231936,222552,223584,230024,221060,212536,197872,197306,197796
 "47000","Tennessee",5,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",208888,200952,189964,177324,197640,203408,211716,220312,375852,257272,201024,192996,189640,192916,194236,192832,165892,166284,178372,173040,173616,168388,166656,167516,174732,176716,179112,185556,183340,187324,189484,191308,183228,182624,185036,185936,183472,184692,187488,200180,174332,196448,210768,220008,191568,207168,216200,216228,207848,204524,203856,206428,223736,214156,220452,211796,216356,214020,215240,220112,240288,221160,222928,229456,243408,234440,238776,243688,265940,259464,262288,263136,273972,269928,270564,292204,309752,303068,311324,321020,334304,348268,356056,367492,387256,398912,409812,424580,439312,469728,492928,526828,531824,540036,551016,557528,585292,573004,583924,635328,640580,645400,655388,682680,746268,780884,853664,912788,980148,1147080,1069832,1109924,1173652,1147124,1136456,1133432,1133300,1111676,1116268,1138424,1184248,1203336,1244000,1273992,1326464,1368160,1452448,1490316,1585400,1587472,1752876,1758588,1815752,1828752,1860516,1835464,1816604,1810660,1833244,1882732,1907524,1916484,1943736,1962644,2017092,2042108,2056392,2085148,2122352,2131928,2140840,2151100,2201896,2222552,2215136,2194400,2178928,2174544,2163848,2189200,2286016,2317280,2348224,2385292,2499184,2504488,2527784,2582900,2656280,2683728,2698528,2773644,2823264,2877008,2905576,3008288,3143052,3215588,3299748,3321456,3391336,3417020,3411112,3395304,3477948,3446856,3453976,3516140,3679976,3737096,3782324,3841908,3992452,4024636,4009376,3965960,4032128,4007968,4017016,4044552,4127792,4205060,4265864,4355556,4474896,4529060,4584560,4619924,4630924,4701280,4775056,4900980,5064120,5202484,4788732,5313456,5421116,5413476,5409192,5439380,5609788,5684908,5719044,5702080,5778928,5833396,5923412,6122940,6434652,6584076,6895036,6772556,6842580,6896964,6993576,7187188,7547896,7778316,7896524,8017636,7981544,16080700,9892240,8929524,9660364,11669120,10865324,10924472,12644884,12715612,12856888,12791492,12880952,12947508,12976368,13019260,12085584,12139452,12220156,12268788,12362244,12308644,12261252,12117748,12303088,12576244,12601828,12634412,12954096,13120152,13141964,13167084,13465552,13513284,13523520,13504112,13766424,13774168,13845616,13970344,14441804,14462180,14381088,14372076,15228451,15212029
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
