GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "50000","Vermont",1,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",425572,435584,446848,443620,424520,420896,421932,425076,434368,439552,455300,473108,496108,515120,521916,529148,516196,520744,532080,545684,547816,557036,557792,554544,558468,558024,560100,571716,565808,579624,592380,601868,624956,632872,643200,657616,648944,660708,671096,671792,657572,671992,679928,695692,702288,722696,734124,749268,762372,767548,769180,774104,782372,792120,810788,817744,829376,839520,845280,847708,854652,864476,876432,889464,905628,926992,939588,962484,975624,1003860,1041508,1067992,1107840,1139040,1175088,1217232,1235652,1238148,1262856,1287644,1325104,1368464,1401496,1434732,1459440,1498460,1534984,1568856,1614772,1649920,1680424,1710608,1744812,1791648,1821140,1851564,1932336,1951332,1999180,2073420,2109580,2164652,2203756,2257540,2269460,2339808,2397408,2449432,2480564,2547660,2622588,2716328,2774576,2831184,2936092,2962212,2983308,3065972,3145852,3285252,3402328,3529092,3636312,3725916,3880696,3945312,4059920,4174608,4306752,4397996,4565552,4750896,4877560,4960192,5177524,5261252,5327604,5437200,5614708,5629632,5777960,5876160,5917824,6059016,6248932,6418440,6579260,6738388,6893016,6964868,7087600,7218384,7321532,7516936,7638876,7819524,7906216,8093412,8284256,8586036,8592636,8829448,9142888,9342176,9761440,9886392,9905336,10115044,10255008,10324696,10315712,10296756,10318852,10444548,10532544,10701784,10968760,11238352,11358368,11401188,11526584,11613364,11757608,11825920,11954064,12162900,12296484,12575056,12695396,12791248,12985568,13088476,13377104,13553876,13670968,13740260,14046412,14163632,14356776,14765516,15064928,15303560,15547616,15726876,15990727,16224643,16530635,16830727,17312154,17724730,17800674,18144778,18677716,18854544,18802640,18952836,19071152,19132528,19218340,19485224,19587328,19768164,19989312,20590188,20560644,21162256,21361464,21505004,21427972,21542316,21734756,22202324,22787276,22969528,23225348,23453196,23949416,24263484,24446344,24619412,25307452,25910380,25524712,25379048,24976876,25157672,25194240,25328388,25352728,25892716,26180124,26330652,27003324,27335876,27540296,27941404,28032368,28433000,28187120,28930460,28453100,28804312,28825056,28992496,29119320,29628024,30159140,30640336,30535076,30918344,31197656,31343804,31543292,31606896,31806976,31756952,32205916,32243860,32522304,32870372,33410024,33806876,34107844,34389544,35104364,35537758
 "50000","Vermont",1,SQINC35,1000,"...","Personal current transfer receipts","Thousands of dollars",23484,22888,21912,20904,23352,24840,26644,28480,40520,29048,23212,24348,24648,25340,25852,25832,26612,26704,28648,28708,29364,29312,29560,30268,32604,33948,34752,36872,37456,38280,39100,39452,38124,38636,39904,40332,42476,45488,46000,49516,47756,52164,54692,54960,52424,54700,56628,57524,57860,58204,59712,61852,65840,67448,67912,67048,68452,69036,69596,71200,74808,73020,74512,75508,78188,77408,77076,77076,79360,77928,85324,81756,83192,82860,86560,95132,101884,105120,108964,112860,117976,125500,128452,132012,142664,144896,145000,144112,151660,174768,175856,183932,189612,208964,208824,212056,220772,224504,226692,249044,254780,257396,263172,273608,286868,307936,324296,341632,364856,402332,419084,418572,427148,423260,440424,438228,440792,437188,443540,447592,453308,457448,473428,485596,500784,510436,548052,562152,581084,587320,668492,677316,692592,705032,746944,754992,763260,784444,826156,853200,856524,870588,862660,867400,882796,888896,888560,899180,921384,925640,933420,933888,952532,955704,959484,958928,965548,970180,972968,976228,1011304,1016808,1027360,1046016,1092952,1108404,1128112,1156328,1208356,1242576,1263780,1288196,1329512,1367160,1380584,1436820,1501072,1559344,1588700,1588976,1617432,1615168,1635876,1645536,1686556,1709892,1725240,1777236,1852000,1879048,1886748,1861080,1915600,1950196,1929844,1932536,1999612,2017704,2045452,2072624,2086140,2104284,2118188,2159712,2217552,2237220,2282952,2318136,2351180,2426628,2467744,2503288,2604408,2680284,2626196,2779588,2806104,2831336,2873248,2911964,2962776,2974152,3004440,3016064,3068356,3106156,3139048,3176976,3307340,3386256,3413704,3494508,3635972,3743324,3832448,3907008,4125180,4107432,4195996,4293256,4333632,5085556,4638176,4584732,4887640,5134752,5112748,5098632,5294984,5342464,5363784,5388864,5391872,5399552,5380740,5415900,5423868,5535708,5530272,5608936,5684328,5800252,5841824,5858556,5914084,5994624,6117304,6171308,6252904,6349696,6382396,6384852,6461072,6455476,6462208,6454388,6493940,6518600,6567840,6594324,6711064,6775232,6869592,6935232,7174989,7272065
 "50000","Vermont",1,SQINC35,2110,"..."," Social Security benefits","Thousands of dollars",1468,1548,1616,1648,1768,1908,2004,2048,2160,2256,2300,4496,4936,5352,5520,5452,5552,5756,5996,7268,7700,8384,8784,8844,9252,9740,10196,11672,12380,13484,14332,14468,14648,15180,15956,16332,17436,20384,20324,21272,21528,22880,23256,23540,25584,26204,26820,27244,27436,28032,28736,29372,30440,31236,32272,33652,34548,35448,36156,36888,37096,37556,37784,38060,38520,38948,39240,39400,39696,40128,48212,45324,46164,46952,47368,47976,49060,50028,50336,50828,53092,58304,59568,60104,60896,61728,62320,62668,63464,79892,74536,75232,76448,89988,86304,87272,88640,89688,90952,110068,113744,116592,118820,120956,121720,132280,139348,143060,144432,146120,160068,160964,163628,164708,176932,180400,182640,184896,197600,199100,200564,200732,215396,218872,221264,225272,248804,250956,251928,252744,291972,294004,297400,298144,333684,335764,337304,340304,363860,375692,371888,375296,374056,380512,385676,387612,386132,392872,405440,407280,413948,411856,426240,427616,434380,432916,439860,445452,445852,448416,472456,474080,476500,477444,499256,500560,502956,505972,532332,541412,545260,550080,583336,585540,586236,586440,615320,625288,630488,634044,662040,664264,667284,671740,692128,700328,703504,708308,732160,738768,740696,741876,767676,773252,772588,776488,802848,809432,817408,824348,839928,843924,850312,851952,866940,871496,874984,877880,900052,926540,923612,924824,963760,968168,981144,980604,1013404,1019220,1025860,1034632,1054116,1067588,1071856,1079128,1105516,1116640,1118600,1130632,1167868,1184568,1188696,1199788,1255056,1272140,1280368,1288000,1338568,1356780,1365928,1374296,1418112,1432368,1446604,1454992,1551504,1575504,1588004,1607500,1617024,1644608,1657044,1672240,1684228,1707680,1718220,1732808,1810048,1825048,1839040,1853136,1900968,1913816,1931036,1946040,1986748,2002860,2013792,2035016,2074916,2089032,2102424,2126164,2130148,2147320,2162952,2186296,2207600,2222900,2242416,2266852,2326292,2346832,2368024,2391492,2485611,2504494
 "50000","Vermont",1,SQINC35,2210,"..."," Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2500,7212,9332,10980,12112,12856,13272,13620,14064,14544,16756,17368,17924,18416,18972,19548,19996,20392,20852,21120,21280,21388,21472,21700,22076,22636,23244,24224,25544,27220,29212,31072,32756,34148,34936,35968,37276,38796,40768,42612,44124,45508,47024,47980,48628,49152,49524,50376,51860,54060,56732,59516,62028,64028,65136,67168,70364,74440,79232,84212,89024,93372,96868,100548,104080,107592,110548,114300,118168,122012,126188,129144,131448,132656,133036,134160,134980,136272,137616,139004,140204,141824,144128,145064,145756,146020,143308,144768,147884,152596,159480,164588,168632,171268,171584,174812,179308,184948,192524,198784,204668,209436,217300,223584,229668,235000,245156,246684,250724,257188,266456,276088,285472,294756,305180,313820,320708,325804,332304,337232,341044,346444,355200,360656,364816,366308,364868,362868,363688,367340,371636,378272,385208,392468,402912,412628,425052,440196,458692,471436,480836,486772,491908,494668,497508,500432,509220,515224,523524,534124,546424,559820,574436,585956,594544,607660,624232,644364,760740,784312,806000,825540,840164,857140,873836,890128,905304,921804,939080,957204,976804,992772,1006612,1018384,1028452,1039552,1052148,1066232,1081632,1095676,1107604,1117420,1126024,1135440,1146368,1158796,1171812,1163212,1178664,1195196,1212656,1233068,1254500,1276964,1299028,1319356,1336576,1350596,1361724,1373920,1387572,1402728,1419388,1436344,1453572,1471032,1489672,1514760,1547232,1587124,1632631,1674619
 "50000","Vermont",1,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),7772,12464,15652,17304,16780,16796,16948,17656,19500,20368,22580,22740,24780,26572,26808,27772,27256,29140,29368,30748,34020,35292,35084,37084,38276,37340,39632,39592,40252,43284,41236,40748,43100,46008,46784,48216,49532,51504,52560,55732,58036,54904,60240,63828,65852,70180,71264,70996,73576,77436,79208,78744,84076,83804,84152,84972,84916,84628,85008,85864,87580,89016,90216,91364,92300,93088,93956,95204,96608,98440,101008,104032,107684,111552,115432,119388,123116,128220,134512,141880,149000,159032,168844,178704,180420,196204,205648,235376,231872,249360,258940,253504,252148,246936,265672,270232,279672,288956,295396,330156,351824,357420,358128,325348,343208,370672,352192,350204,370356,372044,387936,401956,399808,408352,407864,433636,460008,462872,490528,507792,508864,535408,554328,554548,576968,622756,579048,663628,659784,650836,671000,700552,726596,716804,745452,747516,777044,796520,810520,811508,866524,905056,885632,941432,920448,981804,1023204,1038484,1133740,1041192,1070508,1107180,1062092,1114904,1092780,1096812,1211088,1189736,1226400,1190584,1198068,1248708,1284268,1290640,1317496,1288492,1264560,1287008,1298324,1394924,1367712,1415672,1416128,1516264,1534012,1549640,1511944,1524008,1610152,1618840,1621748,1678416,1683604,1653012,1696752,1661692,1641436,1598028,1577128,1572008,1584204,1568804,1585852,1613208,1667132,1674856,1707686,1752313
 "50000","Vermont",1,SQINC35,2410,"..."," State unemployment insurance compensation","Thousands of dollars",1192,1312,1368,1588,2640,3440,4352,5316,3912,3208,2484,2164,1240,1192,1412,1592,2488,2332,2680,2064,1276,1152,1208,1760,3016,3644,3712,3596,3892,3152,2876,2892,1720,1768,1976,1928,2600,2528,2748,3756,5228,5412,5780,4636,3416,2988,2884,3008,3592,3344,3984,5332,6616,9088,7812,6392,5808,5304,4680,4724,5324,5640,6780,6436,6564,6492,5656,5192,4944,4428,4020,3636,3260,2912,3304,3244,3524,3908,4320,4720,4764,4328,4008,4792,4864,4652,4188,3892,5100,6792,9028,10816,12828,16116,16580,16236,17656,20420,17568,14976,15084,12380,13592,16012,18884,21560,20180,23720,33408,47432,57952,47932,43160,40060,43848,38672,38352,32476,28420,28772,24408,22324,17492,19852,23768,20080,20804,21872,24240,28680,40852,37068,35052,34432,29640,33464,37296,47828,57064,61960,57816,62864,47804,38684,38812,37412,33676,32200,34792,32924,32300,32492,31000,30168,28184,29120,26644,24372,25520,21520,25672,21976,19780,23888,27116,28380,29948,35796,43192,50552,55276,59292,66576,83944,80608,86888,88524,94296,88448,84224,79372,83552,83236,78824,67476,61944,53864,48652,49012,51828,51148,53988,52332,52872,52844,51584,49696,51692,47088,47512,46056,45428,45684,45884,48844,46224,44212,43004,43672,43248,43560,45692,55044,57760,57932,84884,77996,109280,127140,128156,122004,124296,115424,111132,90644,80936,77024,75900,77376,74136,77176,84228,83184,80796,82008,82552,86948,85560,87820,90700,96616,97848,127828,161484,214328,275744,290220,277256,290308,237684,179036,173872,166784,166512,153720,145544,138376,128956,117496,110512,100008,96336,94112,91728,80404,77712,75036,72880,71492,67892,68116,67100,67516,68052,67040,65616,65540,63960,63772,62800,61760,61172,60752,59240,55651,48588
 "50000","Vermont",1,SQINC35,6000,"..."," All other personal current transfer receipts","Thousands of dollars",20824,20028,18928,17668,18944,19492,20288,21116,34448,23584,18428,17688,18472,18796,18920,18788,18572,18616,19972,19376,20388,19776,19568,19664,20336,20564,20844,21604,21184,21644,21892,22092,21756,21688,21972,22072,22440,22576,22928,24488,21000,23872,25656,26784,23424,25508,26924,27272,26832,26828,26992,27148,28784,27124,27828,27004,28096,28284,28760,29588,32388,29824,29948,31012,33104,31968,32180,32484,34720,33372,33092,32796,33768,32996,33388,36700,39968,40204,42196,44456,46848,49248,50812,52572,60148,61148,60568,59136,56352,56072,56644,60188,62704,64944,67712,69504,73504,72328,73516,78624,77928,77628,78408,81648,89796,93884,102644,109956,118060,137520,128704,133796,141316,138540,135888,134056,132524,128552,127656,129820,135712,138008,141896,144596,149488,154064,163856,169564,181744,183824,205064,207976,215056,218064,223332,221396,218216,218328,221944,229212,232196,234324,238480,241220,247204,250100,252296,255588,260536,262260,261976,261904,265376,265828,262760,259864,258308,256852,254832,256240,262184,264432,267764,272700,283984,286656,292064,301412,312248,316768,315092,315172,306656,302688,303424,318680,348056,366816,381156,382204,378716,373732,368960,367552,380824,382576,387004,395364,413824,417212,416068,414064,420080,416168,411176,407816,421512,423880,428204,432500,435480,443712,450640,460900,470124,478356,488020,496992,495680,508804,521192,538028,549944,560164,527236,563700,563012,557332,551740,548192,550840,550240,548184,544164,548728,552240,558468,572980,601028,614836,637968,624696,616544,624272,640868,672432,725760,766760,797904,830952,851508,1518632,1031884,914240,933916,1100996,1001512,1004908,1161132,1171912,1191288,1185880,1141732,1141192,1136636,1133120,1051096,1051340,1059656,1070820,1095412,1110624,1104000,1075952,1122332,1156976,1163824,1167608,1185720,1195000,1191676,1187980,1204932,1204492,1203208,1201720,1224284,1223388,1223876,1224836,1247488,1239260,1226452,1222520,1293410,1292051
"Note: See the included footnote file."
"SQINC35: Personal Current Transfer Receipts "
"Last updated: September 24, 2019-- new statistics for 2019:Q2; revised statistics for 1998:Q1-2019:Q1. "
