GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "05000","Arkansas",5,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1452232,1645368,1670396,1661832,1604220,1490604,1477052,1463424,1571416,1605908,1601720,1703880,1808712,1847604,1840028,1878012,1856680,1891328,2012744,1908004,1964148,1920076,1902572,1930936,1914064,1869468,1924120,1925080,1953676,2078396,2117560,2146168,2175988,2143560,2152400,2126616,2176612,2224180,2226072,2248776
 "05000","Arkansas",5,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",1234536,1429492,1458948,1454748,1396064,1274596,1249344,1222760,1232528,1335348,1362584,1463732,1571716,1605400,1592560,1628784,1620740,1650340,1759780,1654068,1702996,1655832,1634932,1655280,1634700,1583144,1631144,1622208,1655572,1775244,1808260,1831596,1849156,1811760,1811516,1779188,1832376,1867192,1863956,1868868
 "05000","Arkansas",5,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",28916,27220,27416,26804,32036,31324,29336,27132,29568,29108,29764,31356,36856,37628,37300,38544,40892,40576,41228,42148,40932,41300,41448,40812,44984,44736,44912,45388,48516,49280,49876,49756,53112,53248,53120,53752,60716,60980,61560,60756
 "05000","Arkansas",5,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",11368,10864,11340,11168,11800,11100,10896,10632,13868,13948,14220,15212,17320,17204,16692,16940,18732,18120,18388,18628,18964,19336,19156,18944,21420,21140,21420,21656,22988,23420,23760,24000,26488,26712,26732,27040,30956,30908,31304,30812
 "05000","Arkansas",5,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",17548,16356,16076,15636,20236,20224,18440,16500,15700,15160,15544,16144,19536,20424,20608,21604,22160,22456,22840,23520,21968,21964,22292,21868,23564,23596,23492,23732,25528,25860,26116,25756,26624,26536,26388,26712,29760,30072,30256,29944
 "05000","Arkansas",5,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-216,-220,-228,-236,-604,-616,-608,-604,24,28,40,48,-292,-300,-312,-312,232,220,236,268,1068,1084,1088,1076,892,892,900,924,1468,1528,1568,1632,2620,2692,2724,2808,3796,3832,3864,3820
 "05000","Arkansas",5,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",1205404,1402052,1431304,1427708,1363424,1242656,1219400,1195024,1202984,1306268,1332860,1432424,1534568,1567472,1554948,1589928,1580080,1609984,1718788,1612188,1663132,1615616,1594572,1615544,1590608,1539300,1587132,1577744,1608524,1727492,1759952,1783472,1798664,1761204,1761120,1728244,1775456,1810044,1806260,1811932
 "05000","Arkansas",5,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",112792,113644,115876,117988,114936,116852,119652,123348,131164,134296,138696,142828,141040,144324,147212,150568,148448,152916,156096,160340,165932,171704,175092,178876,188316,190440,194512,197888,195104,197756,201796,205396,220556,224288,228652,234420,225500,229556,232668,234668
 "05000","Arkansas",5,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",134036,129672,123216,116136,125860,131096,138000,145052,237268,165344,130164,128628,133104,135808,137868,137516,128152,128428,137860,135476,135084,132756,132908,136516,135140,139728,142476,149448,150048,153148,155812,157300,156768,158068,162628,163952,175656,184580,187144,202176
 "05000","Arkansas",5,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",693840,700644,730176,739928,741188,735808,730780,730072,739972,767908,806016,836508,912660,944564,961292,978916,994676,1001336,1021316,1048496,1035020,1048464,1050248,1044248,1027156,1023804,1025068,1042592,1052280,1076496,1100164,1123208,1144812,1165492,1176200,1199288,1215736,1223288,1236188,1234576
 "05000","Arkansas",5,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",46788,46416,46728,46648,54212,55260,54684,54288,48932,50624,53636,56984,72780,76816,79964,83704,84252,86148,87892,88840,90152,90460,91412,91644,94340,94148,94816,95808,96324,97792,99596,100288,105932,107604,109608,111632,118900,121392,123820,125864
 "05000","Arkansas",5,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",29240,30060,30652,31012,33976,35036,36244,37788,33232,35464,38092,40840,53244,56392,59356,62100,62092,63692,65052,65320,68184,68496,69120,69776,70776,70552,71324,72076,70796,71932,73480,74532,79308,81068,83220,84920,89140,91320,93564,95920
 "05000","Arkansas",5,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",17548,16356,16076,15636,20236,20224,18440,16500,15700,15160,15544,16144,19536,20424,20608,21604,22160,22456,22840,23520,21968,21964,22292,21868,23564,23596,23492,23732,25528,25860,26116,25756,26624,26536,26388,26712,29760,30072,30256,29944
 "05000","Arkansas",5,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",493908,682432,682044,668172,600664,483528,463880,438400,443624,516816,502932,570240,586276,584020,551304,566164,541812,562856,650572,516732,577824,516908,493272,519388,513204,465192,511260,483808,506968,600956,608500,608100,598412,538664,525708,468268,497740,522512,503948,508428
 "05000","Arkansas",5,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",310064,494444,489392,468504,401832,283548,266024,240208,233420,302084,282196,356972,353836,338704,296344,312312,287992,304688,389612,247988,321372,261012,242640,263580,272940,219380,266136,232504,249124,342960,343260,338404,330688,269312,250592,191940,201720,225328,202144,213648
 "05000","Arkansas",5,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",183844,187988,192652,199668,198832,199980,197856,198192,210204,214732,220736,213268,232440,245316,254960,253852,253820,258168,260960,268744,256452,255896,250632,255808,240264,245812,245124,251304,257844,257996,265240,269696,267724,269352,275116,276328,296020,297184,301804,294780
 "05000","Arkansas",5,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",378084,561020,563156,546948,469132,349220,333520,309916,307428,374932,356128,429676,432480,419028,377588,391948,359780,376596,460840,314572,386160,325916,307368,325040,336300,280792,325260,291332,314476,407552,409336,404576,396792,336848,317828,258552,265292,287772,266236,278492
 "05000","Arkansas",5,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",856452,868472,895792,907800,926932,925376,915824,912844,925100,960416,1006456,1034056,1139236,1186372,1214972,1236836,1260960,1273744,1298940,1339496,1316836,1329916,1327564,1330240,1298400,1302352,1305884,1330876,1341096,1367692,1398924,1427020,1452364,1474912,1493688,1520636,1567084,1579420,1597720,1590376
 "05000","Arkansas",5,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",720144,729512,752472,759496,762448,757032,744264,740276,776064,808000,846760,864212,924152,956436,970996,981172,1005072,1011308,1031592,1070220,1034204,1047880,1045996,1047664,1007952,1010648,1011248,1034204,1052192,1076092,1104160,1128308,1141820,1160068,1173880,1197584,1229652,1237224,1250020,1235784
 "05000","Arkansas",5,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",4360,4572,4628,4776,5092,4968,4948,5052,4928,5076,5280,5472,5596,5856,6064,6280,6596,6712,6732,6932,7312,7316,7388,7628,7844,7936,8192,8252,8536,8504,8448,8556,8772,8852,8884,8972,8896,8776,8812,8856
 "05000","Arkansas",5,SQINC5H,200,"B","   Mining","Thousands of dollars",32544,31024,34508,34064,30680,29100,25392,23676,22656,27652,28972,29592,29280,29624,30712,31084,33140,30100,31052,32724,32648,32744,33404,32320,32448,31192,30900,31524,31868,33492,34252,35496,35168,36896,35916,37332,39920,40064,40736,38888
 "05000","Arkansas",5,SQINC5H,300,"C","   Construction","Thousands of dollars",67180,72016,76780,76648,78084,75680,75500,76792,82900,87928,93968,97972,126888,131412,133080,135292,141828,142680,146612,149060,119580,118280,117852,119684,86236,86096,84540,85512,84300,86660,88340,87808,80696,84040,86012,86788,109460,111076,110804,110192
 "05000","Arkansas",5,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",164048,164344,169168,169224,166084,159356,159196,155352,169768,181544,195624,207808,214972,222016,221372,223240,233544,234176,238788,258916,258964,263028,260408,252892,262604,260296,257748,266204,277376,286056,291508,300732,311272,315704,318204,331032,327336,325504,325696,317852
 "05000","Arkansas",5,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",96744,95236,99796,99720,98400,102384,97448,94688,98504,101500,107556,109904,115372,121468,119164,121060,124444,123772,128016,130280,125512,130564,131204,130836,128356,127592,128228,129160,126200,129964,134052,136816,140936,142340,140748,144788,144152,146184,147596,146552
 "05000","Arkansas",5,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",220552,224140,227820,234648,238152,239256,233608,231132,239768,242628,250048,243204,260004,273664,283748,283248,283132,289088,291292,299216,293052,294920,291368,297296,289560,294288,293076,297160,304724,305176,313436,319240,323176,326164,333092,333036,334792,335948,342672,337516
