GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "08000","Colorado",7,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1822837,1861025,1913277,1925449,1894429,1915861,1919217,1928797,2085261,2056145,2098733,2155389,2391301,2477661,2520929,2585153,2632148,2649928,2736212,2751824,2702056,2747444,2732616,2721012,2798424,2791736,2800028,2844472,2963128,3029108,3094576,3152156,3285880,3338704,3401852,3477388,3592388,3667484,3746248,3790176
 "08000","Colorado",7,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",1447421,1487309,1538669,1550617,1512797,1523289,1511517,1502733,1559813,1591041,1654397,1701705,1911057,1986201,2021089,2079497,2141536,2144356,2212740,2215896,2168436,2198280,2175844,2155624,2196872,2184836,2179708,2205200,2332788,2384100,2432620,2478792,2605632,2650152,2699480,2760636,2874108,2930032,2999432,3023184
 "08000","Colorado",7,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",37012,34436,33780,31972,36440,34660,31816,29312,34512,33600,33936,35532,41408,42244,41956,43604,48512,48220,48800,49328,48508,48536,48744,48468,56232,56420,56820,57228,63084,63928,64852,65132,71548,72708,73208,74504,86908,87636,88544,87444
 "08000","Colorado",7,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",11808,11284,11780,11600,12248,11524,11308,11040,15100,15184,15484,16548,19040,18928,18360,18628,21936,21212,21528,21804,22928,23380,23152,22896,26684,26344,26684,27004,29632,30196,30632,30936,33868,34156,34188,34572,40912,40848,41376,40716
 "08000","Colorado",7,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",25204,23152,22000,20372,24192,23136,20508,18272,19412,18416,18452,18984,22368,23316,23596,24976,26576,27008,27272,27524,25580,25156,25592,25572,29548,30076,30136,30224,33452,33732,34220,34196,37680,38552,39020,39932,45996,46788,47168,46728
 "08000","Colorado",7,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",0,0,0,0,120,128,128,128,308,312,332,348,584,600,616,620,1004,1008,1024,1052,1460,1480,1476,1480,1828,1816,1824,1836,2268,2320,2364,2412,2980,3048,3076,3152,3432,3468,3528,3516
 "08000","Colorado",7,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",1410409,1452873,1504889,1518645,1476477,1488757,1479829,1473549,1525609,1557753,1620793,1666521,1870233,1944557,1979749,2036513,2094028,2097144,2164964,2167620,2121388,2151224,2128576,2108636,2142468,2130232,2124712,2149808,2271972,2322492,2370132,2416072,2537064,2580492,2629348,2689284,2790632,2845864,2914416,2939256
 "08000","Colorado",7,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",279956,280176,286892,292708,297312,302008,308372,318240,332164,340020,352864,363348,385552,394452,401004,409372,402332,416232,425156,438824,425708,443524,451448,458100,496896,498636,509304,519948,513060,523056,537052,546908,554036,562240,571860,585704,598540,608716,616392,620432
 "08000","Colorado",7,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",132472,127976,121496,114096,120640,125096,131016,137008,227488,158372,125076,125520,135516,138652,140176,139268,135788,136552,146092,145380,154960,152696,152592,154276,159060,162868,166012,174716,178096,183560,187392,189176,194780,195972,200644,202400,203216,212904,215440,230488
 "08000","Colorado",7,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",964912,976232,1014196,1025256,1030224,1025256,1015228,1012940,1056672,1099968,1158072,1208164,1320360,1367632,1394292,1424144,1495556,1505380,1536960,1578456,1567160,1587860,1592368,1588172,1624564,1621624,1626752,1654384,1738284,1781076,1820288,1856504,1957620,1996448,2015640,2053288,2129100,2146636,2169672,2168108
 "08000","Colorado",7,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",68249,67377,67113,66117,72393,72901,71893,71713,81229,84681,90141,96617,107581,113513,118717,124589,127216,130320,132864,133476,129436,129688,131344,132584,148896,149116,150648,151912,159636,161872,165012,166656,179360,183704,188384,192524,201080,206536,211588,215944
 "08000","Colorado",7,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",43045,44225,45113,45745,48201,49765,51385,53441,61817,66265,71689,77633,85213,90197,95121,99613,100640,103312,105592,105952,103856,104532,105752,107012,119348,119040,120512,121688,126184,128140,130792,132460,141680,145152,149364,152592,155084,159748,164420,169216
 "08000","Colorado",7,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",25204,23152,22000,20372,24192,23136,20508,18272,19412,18416,18452,18984,22368,23316,23596,24976,26576,27008,27272,27524,25580,25156,25592,25572,29548,30076,30136,30224,33452,33732,34220,34196,37680,38552,39020,39932,45996,46788,47168,46728
