GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "09000","Connecticut",1,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",3417800,3459536,3561604,3596588,3423708,3400448,3410456,3434776,3686868,3764104,3929152,4090140,4295236,4434376,4493216,4553844,4696608,4770056,4878640,5097724,5192716,5299404,5304508,5282772,5327268,5322592,5354636,5490604,5582012,5722108,5861948,5985380,6164452,6261160,6352332,6515972,6658588,6731468,6799512,6787724
 "09000","Connecticut",1,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",2773360,2820904,2911356,2938280,2773736,2733776,2722304,2711128,2837388,2965216,3130248,3262876,3509424,3628080,3673600,3723668,3816404,3854320,3942700,4134700,4253080,4314524,4306732,4270192,4246528,4240996,4242804,4348292,4423008,4544064,4645540,4747736,4884868,4962808,5028280,5155700,5296304,5326832,5375100,5333156
 "09000","Connecticut",1,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",52388,50468,53168,55008,65388,66864,66224,64672,81012,83732,89428,97268,116940,120628,120184,124560,132236,131228,131132,132620,128472,125764,124308,121840,143924,144420,145388,147600,159672,162484,164528,164760,174176,175128,175092,177448,201076,201232,202220,198892
 "09000","Connecticut",1,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",24552,23456,24488,24120,25012,23536,23108,22548,32908,33096,33744,36072,42376,42112,40852,41452,46500,44980,45644,46236,48024,48968,48504,47960,60488,59720,60488,61192,67172,68448,69432,70140,73996,74628,74696,75536,87668,87524,88644,87244
 "09000","Connecticut",1,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",27836,27012,28680,30888,40376,43328,43116,42124,48104,50636,55684,61196,74564,78516,79332,83108,85736,86248,85488,86384,80448,76796,75804,73880,83436,84700,84900,86408,92500,94036,95096,94620,100180,100500,100396,101912,113408,113708,113576,111648
 "09000","Connecticut",1,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",41660,42368,43668,43968,50232,49748,49596,49500,61780,64316,67692,70600,84208,86668,87776,89316,102748,103688,105904,110100,127740,129980,130336,129940,146628,146656,147448,150692,165816,170292,174420,178592,197000,200760,203444,208440,227432,229460,231960,231800
 "09000","Connecticut",1,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",2762632,2812804,2901856,2927240,2758580,2716660,2705676,2695956,2818156,2945800,3108512,3236208,3476692,3594120,3641192,3688424,3786916,3826780,3917472,4112180,4252348,4318740,4312760,4278292,4249232,4243232,4244864,4351384,4429152,4551872,4655432,4761568,4907692,4988440,5056632,5186692,5322660,5355060,5404840,5366064
 "09000","Connecticut",1,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",528204,521860,539244,552664,531808,537548,543592,562276,637336,650080,685168,708132,676560,693960,702072,715368,766056,798636,806548,827344,781336,820548,829556,838340,889224,880008,905324,922232,919892,932568,963568,978624,1016932,1029104,1042968,1073780,1067032,1087348,1101740,1103088
 "09000","Connecticut",1,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",126964,124872,120504,116684,133320,146240,161188,176544,231376,168224,135472,145800,141984,146296,149952,150052,143636,144640,154620,158200,159032,160116,162192,166140,188812,199352,204448,216988,232968,237668,242948,245188,239828,243616,252732,255500,268896,289060,292932,318572
 "09000","Connecticut",1,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",2304404,2337260,2413388,2426300,2274592,2228100,2221100,2205716,2302796,2413332,2555440,2682360,2880212,2967644,2991532,3032504,3121476,3141500,3208716,3384152,3493344,3552292,3547440,3508048,3466252,3455540,3457452,3544244,3568744,3672264,3754256,3850404,3959392,4031796,4080192,4193172,4274576,4290436,4319056,4286024
 "09000","Connecticut",1,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",104568,106676,110876,115152,121664,126600,129932,131972,141828,150780,163628,177216,200840,212068,218772,228240,233032,237008,240244,246876,249108,248532,249908,250080,259100,261564,265320,272400,281228,289044,296524,302072,316192,323248,331280,341436,362052,368652,375000,377884
 "09000","Connecticut",1,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",76732,79664,82196,84264,81288,83272,86816,89848,93724,100144,107944,116020,126276,133552,139440,145132,147296,150760,154756,160492,168660,171736,174104,176200,175664,176864,180420,185992,188728,195008,201428,207452,216012,222748,230884,239524,248644,254944,261424,266236
 "09000","Connecticut",1,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",27836,27012,28680,30888,40376,43328,43116,42124,48104,50636,55684,61196,74564,78516,79332,83108,85736,86248,85488,86384,80448,76796,75804,73880,83436,84700,84900,86408,92500,94036,95096,94620,100180,100500,100396,101912,113408,113708,113576,111648
 "09000","Connecticut",1,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",364388,376968,387092,396828,377480,379076,371272,373440,392764,401104,411180,403300,428372,448368,463296,462924,461896,475812,493740,503672,510628,513700,509384,512064,521176,523892,520032,531648,573036,582756,594760,595260,609284,607764,616808,621092,659676,667744,681044,669248
 "09000","Connecticut",1,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",43556,51496,55812,54388,47960,47708,42296,43204,39940,39400,38124,40072,44072,46856,48820,48428,46956,53808,66092,61964,61284,64332,66004,61204,59612,53020,48428,45924,52664,56860,53492,44664,42644,37560,36112,35088,33728,36504,40264,39756
 "09000","Connecticut",1,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",320832,325472,331280,342440,329520,331368,328976,330236,352824,361704,373056,363228,384300,401512,414476,414496,414940,422004,427648,441708,449344,449368,443380,450860,461564,470872,471604,485724,520372,525896,541268,550596,566640,570204,580696,586004,625948,631240,640780,629492
 "09000","Connecticut",1,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",73508,80820,88304,88984,77460,76508,71896,73784,69084,68084,67240,68700,72068,75472,77752,76796,67852,74732,86832,81348,81796,84876,86492,80660,82348,75068,69652,67040,75436,79400,76524,67740,67624,63096,61524,60272,59972,62300,66740,66572
 "09000","Connecticut",1,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",2699852,2740084,2823052,2849296,2696276,2657268,2650408,2637344,2768304,2897132,3063008,3194176,3437356,3552608,3595848,3646872,3748552,3779588,3855868,4053352,4171284,4229648,4220240,4189532,4164180,4165928,4173152,4281252,4347572,4464664,4569016,4679996,4817244,4899712,4966756,5095428,5236332,5264532,5308360,5266584
 "09000","Connecticut",1,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",2494220,2529164,2603432,2620564,2464272,2420320,2408084,2393604,2538780,2663244,2820112,2939800,3175004,3277920,3307104,3346064,3445100,3469236,3538244,3731044,3830364,3886832,3876180,3840712,3799916,3796260,3795916,3899356,3956780,4069040,4168064,4271552,4396960,4471196,4528296,4649540,4771828,4790268,4823632,4769784
 "09000","Connecticut",1,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",9640,10084,10208,10576,11112,10848,10724,10928,12156,12592,13092,13528,13840,14484,14968,15540,16080,16352,16388,16904,17080,17048,17216,17776,17024,17252,17840,17964,17856,17796,17672,17888,19024,19188,19264,19448,19792,19524,19624,19736
 "09000","Connecticut",1,SQINC5H,200,"B","   Mining","Thousands of dollars",1836,1744,1952,1940,2328,2216,1924,1804,2008,2448,2556,2612,2728,2760,2864,2896,3324,3028,3108,3276,3504,3508,3580,3464,4020,3872,3844,3936,4136,4352,4448,4624,5384,5652,5504,5716,6324,6360,6484,6188
 "09000","Connecticut",1,SQINC5H,300,"C","   Construction","Thousands of dollars",136980,146264,154404,154704,161820,155664,154612,156612,166008,177208,191732,201684,209864,218440,221740,226016,242296,243088,250280,254744,248044,244856,244892,249472,260656,261508,257836,261872,293988,304028,309148,306808,348804,364620,372888,375748,408544,413744,411968,410664
 "09000","Connecticut",1,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",1315856,1323100,1366664,1369648,1214180,1167492,1167860,1142784,1248212,1335348,1439248,1535484,1715696,1777040,1776580,1792712,1843492,1848496,1885412,2043164,2120580,2154268,2134828,2075688,1968876,1950020,1933848,1998016,1996452,2062744,2104228,2172872,2221232,2253108,2274596,2366664,2385604,2375064,2378088,2326220
 "09000","Connecticut",1,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",144532,142320,149440,149528,146320,152656,145216,141076,143508,147840,156732,160100,162288,171020,167684,170316,179140,178160,184276,187372,188932,196432,197304,196612,212572,211236,212276,214056,212500,219128,226184,230976,239240,241684,238856,245672,253472,257036,259644,257840
 "09000","Connecticut",1,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",456024,464772,473824,485092,477228,478852,470024,467096,482892,491508,509004,502580,535936,557204,572700,574580,579100,590648,595980,610496,617712,623552,620876,631684,648600,655004,654448,662740,674044,680296,699424,712928,729900,738176,751664,754640,783916,788900,804384,797176
 "09000","Connecticut",1,SQINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",125104,129180,132616,133376,139216,140384,141360,146516,148316,155812,161920,168068,171576,172640,174672,179816,186016,189844,194904,199396,202992,206968,211452,215844,228624,234208,242204,248884,248884,255212,262416,266352,271788,275764,279172,284636,301156,306172,311272,315968
 "09000","Connecticut",1,SQINC5H,800,"I","   Services","Thousands of dollars",304248,311700,314324,315700,312068,312208,316364,326788,335680,340488,345828,355744,363076,364332,375896,384188,395652,399620,407896,415692,431520,440200,446032,450172,459544,463160,473620,491888,508920,525484,544544,559104,561588,573004,586352,597016,613020,623468,632168,635992
 "09000","Connecticut",1,SQINC5H,900,"...","  Government and government enterprises","Thousands of dollars",205632,210920,219620,228732,232004,236948,242324,243740,229524,233888,242896,254376,262352,274688,288744,300808,303452,310352,317624,322308,340920,342816,344060,348820,364264,369668,377236,381896,390792,395624,400952,408444,420284,428516,438460,445888,464504,474264,484728,496800
 "09000","Connecticut",1,SQINC5H,910,"...","   Federal civilian","Thousands of dollars",41344,41436,41864,42692,44656,45416,45460,45004,38504,38852,40420,43212,41756,44624,47080,49072,50908,52012,52552,52472,60644,60080,59664,59256,62120,61932,62288,63040,64316,65436,66536,67488,74284,75352,76476,77380,82712,84256,86212,88708
 "09000","Connecticut",1,SQINC5H,920,"...","   Military","Thousands of dollars",34068,34928,36280,38308,40324,42516,43376,43408,34896,36412,40228,46272,50128,56312,61448,65540,60516,62436,63308,63100,65420,64624,64060,63544,67612,66964,66700,66392,68012,67948,68024,67996,72792,72860,72984,72592,80520,80508,80676,81316
 "09000","Connecticut",1,SQINC5H,930,"...","   State and local","Thousands of dollars",130220,134556,141476,147732,147024,149016,153488,155328,156124,158624,162248,164892,170468,173752,180216,186196,192028,195904,201764,206736,214856,218112,220336,226020,234532,240772,248248,252464,258464,262240,266392,272960,273208,280304,289000,295916,301272,309500,317840,326776
"Note: See the included footnote file."
"SQINC5H: Personal Income by Major Component and Earnings by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
