GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "11000","District of Columbia",2,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1744092,1764036,1795440,1818996,1811756,1835344,1853356,1878616,1887824,1900356,1970436,2067376,1947544,2029916,2097164,2158044,2108952,2151000,2190616,2220344,2086610,2104298,2110442,2119014,2048924,2053828,2076856,2114388,1995676,2036484,2083400,2119836,2104060,2138312,2172248,2208468,2188176,2225524,2261260,2294436
 "11000","District of Columbia",2,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",1811200,1834168,1868240,1894100,1959868,1978128,1979108,1982020,1931273,1982781,2080941,2199505,2125696,2228288,2312088,2387592,2417616,2460540,2500456,2528916,2461599,2471295,2472047,2473735,2372173,2372909,2390461,2426373,2398497,2446637,2498617,2540201,2542897,2584109,2620065,2656033,2668104,2705980,2750468,2788708
 "11000","District of Columbia",2,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",68628,63840,61808,60060,72516,69208,59428,47580,37997,29053,24373,24521,28100,30236,30964,32244,33132,32784,33320,34280,35101,36537,38237,39469,46405,47529,48477,48921,49557,49801,50161,49785,52037,52213,52185,52485,59080,59424,59976,59596
 "11000","District of Columbia",2,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",9112,8696,9076,8944,8560,8056,7908,7720,10192,10252,10456,11168,12480,12400,12028,12204,13744,13300,13496,13672,14532,14816,14676,14508,17588,17364,17588,17784,17396,17724,17980,18160,19436,19596,19612,19840,23184,23152,23452,23076
 "11000","District of Columbia",2,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",59516,55144,52732,51116,63956,61152,51520,39860,27805,18801,13917,13353,15620,17836,18936,20040,19388,19484,19824,20608,20569,21721,23561,24961,28817,30165,30889,31137,32161,32077,32181,31625,32601,32617,32573,32645,35896,36272,36524,36520
 "11000","District of Columbia",2,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-336100,-341608,-348852,-354288,-405720,-410764,-413008,-415888,-445696,-460184,-485556,-516200,-515492,-541768,-563320,-582812,-644492,-656616,-667172,-673860,-707360,-709344,-708624,-708000,-712432,-711824,-716592,-726592,-778708,-794184,-810816,-824620,-859296,-874172,-886720,-898944,-951292,-964992,-981184,-996332
 "11000","District of Columbia",2,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",1406472,1428720,1457580,1479752,1481632,1498156,1506672,1518552,1447580,1493544,1571012,1658784,1582104,1656284,1717804,1772536,1739992,1771140,1799964,1820776,1719138,1725414,1725186,1726266,1613336,1613556,1625392,1650860,1570232,1602652,1637640,1665796,1631564,1657724,1681160,1704604,1657732,1681564,1709308,1732780
 "11000","District of Columbia",2,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",261284,261348,267452,272684,259264,263476,269200,278760,302872,311204,324048,333504,298700,305384,310240,316728,305328,315948,322212,331596,301360,313664,319936,326112,368864,371520,381324,389684,346944,353616,364092,371608,389408,396880,405108,417172,440516,449860,456592,459016
 "11000","District of Columbia",2,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",76336,73968,70408,66560,70860,73712,77484,81304,137372,95608,75376,75088,66740,68248,69120,68780,63632,63912,68440,67972,66112,65220,65320,66636,66724,68752,70140,73844,78500,80216,81668,82432,83088,83708,85980,86692,89928,94100,95360,102640
 "11000","District of Columbia",2,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",1472508,1494884,1529860,1554792,1601008,1617860,1621896,1627180,1587848,1634632,1719836,1822728,1772684,1858868,1926412,1988288,2021660,2055172,2088000,2113984,2061696,2069744,2066504,2062536,1985336,1984752,1997920,2028476,2009436,2052356,2096348,2133864,2147892,2182332,2206548,2232084,2236736,2259192,2289128,2314024
 "11000","District of Columbia",2,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",207856,206516,203440,202216,217424,218496,214132,209208,197865,197877,205549,220685,201192,214412,227396,238932,240920,248204,251768,249444,246195,245959,248611,251815,242837,242721,244881,244937,242965,243505,246301,246945,250277,256145,265729,273497,287576,300544,312596,326060
 "11000","District of Columbia",2,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",148340,151372,150708,151100,153468,157344,162612,169348,170060,179076,191632,207332,185572,196576,208460,218892,221532,228720,231944,228836,225626,224238,225050,226854,214020,212556,213992,213800,210804,211428,214120,215320,217676,223528,233156,240852,251680,264272,276072,289540
 "11000","District of Columbia",2,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",59516,55144,52732,51116,63956,61152,51520,39860,27805,18801,13917,13353,15620,17836,18936,20040,19388,19484,19824,20608,20569,21721,23561,24961,28817,30165,30889,31137,32161,32077,32181,31625,32601,32617,32573,32645,35896,36272,36524,36520
 "11000","District of Columbia",2,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",130836,132768,134940,137092,141436,141772,143080,145632,145560,150272,155556,156092,151820,155008,158280,160372,155036,157164,160688,165488,153708,155592,156932,159384,144000,145436,147660,152960,146096,150776,155968,159392,144728,145632,147788,150452,143792,146244,148744,148624
 "11000","District of Columbia",2,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",400,456,484,472,400,408,408,384,348,328,312,312,344,368,372,360,320,320,332,288,292,300,264,232,236,200,168,136,132,120,112,96,112,124,112,96,68,48,40,32
 "11000","District of Columbia",2,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",130436,132312,134456,136620,141036,141364,142672,145248,145212,149944,155244,155780,151476,154640,157908,160012,154716,156844,160356,165200,153416,155292,156668,159152,143764,145236,147492,152824,145964,150656,155856,159296,144616,145508,147676,150356,143724,146196,148704,148592
 "11000","District of Columbia",2,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",612,664,712,716,572,576,580,564,504,480,468,464,484,512,516,504,444,436,448,392,385,393,361,329,317,281,249,217,201,185,177,161,161,173,161,145,100,80,72,64
 "11000","District of Columbia",2,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",1810588,1833504,1867528,1893384,1959296,1977552,1978528,1981456,1930769,1982301,2080473,2199041,2125212,2227776,2311572,2387088,2417172,2460104,2500008,2528524,2461214,2470902,2471686,2473406,2371856,2372628,2390212,2426156,2398296,2446452,2498440,2540040,2542736,2583936,2619904,2655888,2668004,2705900,2750396,2788644
 "11000","District of Columbia",2,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",845200,862064,883076,887088,903820,901616,895108,901256,913364,943136,984448,1011920,1004284,1025104,1037584,1054904,1054276,1064656,1087040,1115288,1087262,1107650,1116386,1124210,1099796,1103312,1113648,1138068,1103384,1133780,1167072,1191536,1182832,1205720,1222168,1244064,1234240,1248500,1263468,1263652
 "11000","District of Columbia",2,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",852,892,900,928,816,804,796,820,656,684,704,732,700,744,780,844,620,636,644,664,958,934,914,906,892,912,1032,1148,604,620,632,620,804,768,752,720,844,844,860,860
 "11000","District of Columbia",2,SQINC5H,200,"B","   Mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SQINC5H,300,"C","   Construction","Thousands of dollars",66776,71040,74456,74552,80700,77120,76276,77020,88100,94352,102740,108472,91620,95564,97100,99076,87672,87800,90608,92468,89640,88496,88856,90768,81524,82108,81180,82736,84264,87648,88904,88156,85216,89540,91500,92044,94140,95004,94356,94316
 "11000","District of Columbia",2,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",76708,76736,78908,79080,84804,81380,81448,79356,76976,82348,88776,93808,89620,92240,91684,92328,92904,93084,94816,102740,98904,100380,99252,96328,95012,94208,93224,96228,95072,98004,99848,103036,94164,95516,96288,100164,103836,103248,103288,100868
 "11000","District of Columbia",2,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",119288,117592,123272,123292,124480,129540,123400,119956,120812,124492,131888,134720,135208,142248,139548,141732,145272,144468,149380,152040,157080,163372,164136,163600,163164,162140,162844,164048,157352,162112,167240,170788,166680,168420,166432,171192,171760,174092,175784,174480
 "11000","District of Columbia",2,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",263244,269160,275168,277552,280508,279876,276540,276416,279260,286656,298836,301780,314396,320076,323948,327468,328884,334968,339064,346496,336840,342204,344892,349492,336928,336836,337872,341260,327696,334372,344192,351328,359204,364496,369468,373092,367772,371464,378336,378240
 "11000","District of Columbia",2,SQINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",60168,62092,63688,63936,64824,65216,65492,67600,70464,73656,76352,79228,79100,79752,80748,83080,83596,85200,87404,89420,88224,90148,91976,93724,91464,93632,96580,98756,97792,99800,102364,103880,103844,105788,107216,109372,107608,109228,110944,112752
 "11000","District of Columbia",2,SQINC5H,800,"I","   Services","Thousands of dollars",258164,264552,266684,267748,267688,267680,271156,280088,277096,280948,285152,293180,293640,294480,303776,310376,315328,318500,325124,331460,315616,322116,326360,329392,330812,333476,340916,353892,340604,351224,363892,373728,372920,381192,390512,397480,388280,394620,399900,402136
 "11000","District of Columbia",2,SQINC5H,900,"...","  Government and government enterprises","Thousands of dollars",965388,971440,984452,1006296,1055476,1075936,1083420,1080200,1017405,1039165,1096025,1187121,1120928,1202672,1273988,1332184,1362896,1395448,1412968,1413236,1373952,1363252,1355300,1349196,1272060,1269316,1276564,1288088,1294912,1312672,1331368,1348504,1359904,1378216,1397736,1411824,1433764,1457400,1486928,1524992
 "11000","District of Columbia",2,SQINC5H,910,"...","   Federal civilian","Thousands of dollars",765128,766876,774524,789828,831796,845948,846812,838372,768720,775500,806660,863032,857780,916652,967036,1007952,1038004,1060652,1071484,1069768,1033300,1023732,1016488,1009628,941500,938500,943952,955324,970944,987768,1004464,1018604,1026820,1041476,1056920,1069436,1104928,1125704,1151704,1184812
 "11000","District of Columbia",2,SQINC5H,920,"...","   Military","Thousands of dollars",143056,145460,147804,151656,157632,163116,167804,172280,176292,190196,214300,247900,189224,210748,228964,243764,245436,253816,258096,258004,255360,252900,251296,249780,238760,236568,235468,233984,224156,223668,224080,224572,227272,228216,228976,227928,215888,215736,216172,217840
 "11000","District of Columbia",2,SQINC5H,930,"...","   State and local","Thousands of dollars",57204,59104,62124,64812,66048,66872,68804,69548,72393,73469,75065,76189,73924,75272,77988,80468,79456,80980,83388,85464,85292,86620,87516,89788,91800,94248,97144,98780,99812,101236,102824,105328,105812,108524,111840,114460,112948,115960,119052,122340
"Note: See the included footnote file."
"SQINC5H: Personal Income by Major Component and Earnings by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
