GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "93000","Great Lakes",3,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",46462597,47360293,48676633,48503937,46365688,45958836,45818792,45842204,48906404,49881012,51980036,54084844,56224248,58103652,58649292,59643880,59819476,60544172,62032252,64263356,66390428,67557272,67650536,67360652,66202436,66100576,66341060,67695652,69623528,71355624,72836580,74240164,75068776,76381684,77669656,79603548,79500020,80230232,81024128,80810952
 "93000","Great Lakes",3,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",40458201,41370721,42657245,42455501,40567219,39945535,39518843,39167279,40942580,42752164,45125380,47024268,49572960,51272648,51644692,52541388,52933320,53412260,54662816,56769024,58574164,59469048,59440076,58925696,57799980,57517236,57513872,58593452,60539356,62137216,63386532,64655792,65184000,66373884,67414528,69122932,69026024,69338664,69966212,69317680
 "93000","Great Lakes",3,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",1039816,978708,987388,970044,1121871,1096587,1039639,978763,1176396,1175468,1216084,1288360,1479980,1502980,1477268,1513260,1583516,1566304,1583148,1632300,1642492,1656724,1664268,1636096,1874200,1864160,1865568,1882292,2060716,2098696,2138228,2165268,2308496,2353176,2377328,2428516,2698316,2710920,2731480,2689644
 "93000","Great Lakes",3,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",364888,348720,363980,358592,375384,353196,346724,338408,477516,480328,489728,523536,609908,606112,588052,596608,663824,642048,651504,660032,667844,680908,674384,666916,823000,812472,823000,832548,911988,929244,942668,952260,1023412,1032068,1033016,1044564,1183104,1181220,1196288,1177444
 "93000","Great Lakes",3,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",674928,629988,623408,611452,746487,743391,692915,640355,698880,695140,726356,764824,870072,896868,889216,916652,919692,924256,931644,972268,974648,975816,989884,969180,1051200,1051688,1042568,1049744,1148728,1169452,1195560,1213008,1285084,1321108,1344312,1383952,1515212,1529700,1535192,1512200
 "93000","Great Lakes",3,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-25052,-26520,-26088,-26376,-27796,-27044,-28972,-29308,-25196,-24684,-26728,-28868,-29904,-31172,-30544,-30544,-24540,-26140,-26544,-29732,-27584,-28448,-27752,-27056,-21084,-21172,-21016,-22240,-15728,-16544,-17048,-18000,-4356,-4008,-4800,-5816,9388,10196,11020,11348
 "93000","Great Lakes",3,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",39393333,40365493,41643769,41459081,39417552,38821904,38450232,38159208,39740988,41552012,43882568,45707040,48063076,49738496,50136880,50997584,51325264,51819816,53053124,55106992,56904088,57783876,57748056,57262544,55904696,55631904,55627288,56688920,58462912,60021976,61231256,62472524,62871148,64016700,65032400,66688600,66337096,66637940,67245752,66639384
 "93000","Great Lakes",3,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",4837020,4821636,4955028,5066836,5098836,5169940,5259688,5429548,5795368,5917016,6171076,6366224,6125628,6276328,6374016,6505172,6314292,6536148,6632892,6803048,7054796,7349772,7456728,7576684,7584696,7610684,7788352,7920724,8127116,8227924,8429916,8562548,8892436,9013672,9161492,9406968,9477728,9657800,9791940,9850400
 "93000","Great Lakes",3,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",2232244,2173164,2077836,1978020,1849300,1966992,2108872,2253448,3370048,2411984,1926392,2011580,2035544,2088828,2138396,2141124,2179920,2188208,2346236,2353316,2431544,2423624,2445752,2521424,2713044,2857988,2925420,3086008,3033500,3105724,3175408,3205092,3305192,3351312,3475764,3507980,3685196,3934492,3986436,4321168
 "93000","Great Lakes",3,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",31285536,31689888,32774404,32958188,32027580,31456188,31247868,30972572,32255136,33809452,35786856,37489940,39159184,40389336,40731420,41322356,42047480,42287712,43202384,45378320,47142800,47935648,47900552,47421316,45907752,45752724,45779496,46872996,48463088,49877844,51004484,52297424,52373528,53321928,53911272,55373744,55132260,55378368,55792832,55381600
 "93000","Great Lakes",3,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",1669765,1658137,1683405,1693085,1816959,1839935,1829363,1813731,1954552,2041536,2178444,2324628,2557204,2681768,2751844,2854156,2867776,2915048,2973680,3079736,3155924,3195960,3241280,3245728,3254028,3265308,3297612,3371948,3572964,3675192,3784860,3878964,3983028,4105128,4228964,4380548,4541716,4639428,4728900,4766344
 "93000","Great Lakes",3,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",994837,1028149,1059997,1081633,1070472,1096544,1136448,1173376,1255672,1346396,1452088,1559804,1687132,1784900,1862628,1937504,1948084,1990792,2042036,2107468,2181276,2220144,2251396,2276548,2202828,2213620,2255044,2322204,2424236,2505740,2589300,2665956,2697944,2784020,2884652,2996596,3026504,3109728,3193708,3254144
 "93000","Great Lakes",3,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",674928,629988,623408,611452,746487,743391,692915,640355,698880,695140,726356,764824,870072,896868,889216,916652,919692,924256,931644,972268,974648,975816,989884,969180,1051200,1051688,1042568,1049744,1148728,1169452,1195560,1213008,1285084,1321108,1344312,1383952,1515212,1529700,1535192,1512200
 "93000","Great Lakes",3,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",7502900,8022696,8199436,7804228,6722680,6649412,6441612,6380976,6732892,6901176,7160080,7209700,7856572,8201544,8161428,8364876,8018064,8209500,8486752,8310968,8275440,8337440,8298244,8258652,8638200,8499204,8436764,8348508,8503304,8584180,8597188,8479404,8827444,8946828,9274292,9368640,9352048,9320868,9444480,9169736
 "93000","Great Lakes",3,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",3207156,3660872,3758832,3207032,2299380,2200580,2029424,1959572,2031540,2091260,2204300,2401796,2745108,2838764,2605620,2815344,2488440,2586668,2794524,2431688,2234880,2294660,2346616,2196468,2602228,2335032,2269440,2008440,1851188,1884224,1706368,1469600,1770304,1846668,2039152,2073796,1875048,1794264,1802012,1674768
 "93000","Great Lakes",3,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",4295744,4361824,4440604,4597196,4423300,4448832,4412188,4421404,4701352,4809916,4955780,4807904,5111464,5362780,5555808,5549532,5529624,5622832,5692228,5879280,6040560,6042780,5951628,6062184,6035972,6164172,6167324,6340068,6652116,6699956,6890820,7009804,7057140,7100160,7235140,7294844,7477000,7526604,7642468,7494968
 "93000","Great Lakes",3,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",3561052,4007288,4142676,3615320,2647244,2540012,2378288,2319920,2369600,2424100,2542056,2733984,3091292,3192384,2963264,3165868,2832184,2930976,3135516,2750424,2549408,2609632,2660756,2494760,2900252,2624024,2547648,2285192,2131696,2161564,1990072,1753756,2051680,2134256,2325476,2357556,2168588,2082652,2098004,1974340
 "93000","Great Lakes",3,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",36897149,37363433,38514569,38840181,37919975,37405523,37140555,36847359,38572980,40328064,42583324,44290284,46481668,48080264,48681428,49375520,50101136,50481284,51527300,54018600,56024756,56859416,56779320,56430936,54899728,54893212,54966224,56308260,58407660,59975652,61396460,62902036,63132320,64239628,65089052,66765376,66857436,67256012,67868208,67343340
 "93000","Great Lakes",3,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",33655217,34047229,35067825,35255137,34289568,33702828,33364412,33059968,34835928,36530400,38644672,40159596,42046332,43415112,43771880,44260888,44956960,45222040,46156104,48578124,50627472,51438792,51344016,50933024,49385676,49303060,49266844,50534244,52575532,54064992,55401652,56794572,56912996,57897284,58599744,60161148,60222656,60475040,60931084,60229728
 "93000","Great Lakes",3,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",82461,86281,87229,90761,94376,92004,90580,92132,97948,101356,105460,108904,111556,117128,121496,126324,130328,132864,132508,138064,138608,137640,138696,143828,146576,148392,154460,156080,158568,158144,156892,158760,162360,163496,164124,166180,170676,168092,168696,169244
 "93000","Great Lakes",3,SQINC5H,200,"B","   Mining","Thousands of dollars",460404,434580,486464,480500,459128,437768,377308,350020,379604,468036,490964,502980,480716,485808,502864,511508,487696,442424,457464,483032,484644,485692,495596,478496,458152,441568,436240,445252,451560,474148,483428,500204,511064,535916,522252,542200,536988,541524,551436,526412
 "93000","Great Lakes",3,SQINC5H,300,"C","   Construction","Thousands of dollars",1956664,2085696,2196120,2197308,2153808,2066588,2048356,2071520,2099112,2240056,2424172,2549664,2789348,2902752,2945584,3001448,3143184,3152856,3248620,3310960,3482724,3441156,3445512,3511604,3597380,3610452,3560608,3618324,3781748,3915520,3980756,3951584,4137020,4331472,4430836,4465108,4362956,4416200,4395112,4384256
 "93000","Great Lakes",3,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",15872436,15941112,16444936,16455464,15829912,15196724,15178432,14835500,15954036,17049952,18357892,19568184,20436520,21152104,21135348,21314428,21736024,21795240,22243192,24129824,25525596,25960860,25741120,25029004,23511812,23276024,23074912,23834332,25251564,26090212,26620692,27503136,27021028,27425496,27700228,28831372,28613716,28491360,28529752,27908012
 "93000","Great Lakes",3,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",3156312,3107836,3259124,3258368,3194408,3327084,3165868,3075704,3235816,3333000,3531244,3606668,3735480,3932716,3856856,3916840,4010244,3988160,4125040,4197740,4209780,4379268,4400804,4387968,4240220,4214152,4234720,4267420,4340820,4473556,4616936,4715688,4831076,4882716,4828364,4968020,5025072,5095968,5146952,5111020
 "93000","Great Lakes",3,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",7188468,7324636,7464772,7621228,7430060,7444396,7306248,7259932,7550192,7686152,7960128,7872108,8359968,8671396,8897308,8929292,8832128,9007324,9093416,9319652,9509980,9610272,9579456,9744244,9741896,9829284,9821428,9943012,10197100,10300132,10592944,10802584,10947032,11079188,11280948,11333772,11520244,11598312,11825332,11728832
 "93000","Great Lakes",3,SQINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",1179172,1217244,1248700,1256016,1282640,1293304,1303444,1354632,1407956,1483576,1542928,1600084,1635652,1642048,1659420,1706556,1758432,1795096,1844512,1888816,1947100,1985088,2030504,2074192,2130280,2181760,2257240,2322080,2368136,2430700,2501004,2539416,2597044,2634540,2667628,2720136,2762928,2809460,2856464,2899280
 "93000","Great Lakes",3,SQINC5H,800,"I","   Services","Thousands of dollars",3759300,3849844,3880480,3895492,3845236,3844960,3894176,4020528,4111264,4168272,4231884,4351004,4497092,4511160,4653004,4754492,4858924,4908076,5011352,5110036,5329040,5438816,5512328,5563688,5559360,5601428,5727236,5947744,6026036,6222580,6449000,6623200,6706372,6844460,7005364,7134360,7230076,7354124,7457340,7502672
 "93000","Great Lakes",3,SQINC5H,900,"...","  Government and government enterprises","Thousands of dollars",3241932,3316204,3446744,3585044,3630407,3702695,3776143,3787391,3737052,3797664,3938652,4130688,4435336,4665152,4909548,5114632,5144176,5259244,5371196,5440476,5397284,5420624,5435304,5497912,5514052,5590152,5699380,5774016,5832128,5910660,5994808,6107464,6219324,6342344,6489308,6604228,6634780,6780972,6937124,7113612
 "93000","Great Lakes",3,SQINC5H,910,"...","   Federal civilian","Thousands of dollars",932344,934420,943776,962420,1001300,1018396,1019396,1009256,995488,1004268,1044628,1117636,1190316,1271976,1341928,1398704,1422396,1453424,1468212,1465924,1473148,1459512,1449228,1439488,1426780,1422344,1430680,1448008,1455580,1480872,1505964,1527152,1503160,1524592,1547216,1565520,1593004,1622976,1660460,1708296
 "93000","Great Lakes",3,SQINC5H,920,"...","   Military","Thousands of dollars",390404,400924,419640,447540,456768,484384,492596,488708,460968,475888,522084,601224,799940,901056,984740,1050052,1004264,1034920,1049308,1046820,930956,920492,913272,906096,843792,835716,832516,828892,856336,855548,856380,855696,897020,897436,898504,893748,853608,853524,855524,862192
 "93000","Great Lakes",3,SQINC5H,930,"...","   State and local","Thousands of dollars",1919184,1980860,2083328,2175084,2172339,2199915,2264151,2289427,2280596,2317508,2371940,2411828,2445080,2492120,2582880,2665876,2717516,2770900,2853676,2927732,2993180,3040620,3072804,3152328,3243480,3332092,3436184,3497116,3520212,3574240,3632464,3724616,3819144,3920316,4043588,4144960,4188168,4304472,4421140,4543124
"Note: See the included footnote file."
"SQINC5H: Personal Income by Major Component and Earnings by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
