GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "15000","Hawaii *",8,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),727652,767108,809308,849504,874355,910215,941507,967595,991909,1010953,1023025,1045637,1050274,1056398,1057126,1055538,1057108,1061872,1063248,1072288,1091876,1101540,1117288,1143792,1150325,1161373,1171757,1186397,1217009,1230969,1246861,1258097
 "15000","Hawaii *",8,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),611005,651925,697165,741229,767934,806290,840042,866430,888998,906810,916510,937306,938906,941718,938818,932098,928538,928634,925030,930326,946309,951077,963621,988777,991791,1000855,1009439,1022483,1051096,1063184,1076780,1083984
 "15000","Hawaii *",8,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12913,16909,19849,21569,21171,21411,21727,22095,22733,23261,23689,24765,25208,25728,25936,25816,25578,25738,25886,26606,27969,28621,29437,30505,30666,31174,31782,32722,34639,35643,36547,37027
 "15000","Hawaii *",8,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),4376,4568,4888,5396,5936,6480,6876,7036,7040,7128,7344,7876,8380,8808,9016,9028,8876,9000,9276,9912,10908,11508,12068,12460,12592,12872,13320,14000,15156,15904,16504,16788
 "15000","Hawaii *",8,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),8537,12341,14961,16173,15235,14931,14851,15059,15693,16133,16345,16889,16828,16920,16920,16788,16702,16738,16610,16694,17061,17113,17369,18045,18074,18302,18462,18722,19483,19739,20043,20239
 "15000","Hawaii *",8,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "15000","Hawaii *",8,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),598092,635016,677316,719660,746763,784879,818315,844335,866265,883549,892821,912541,913698,915990,912882,906282,902960,902896,899144,903720,918340,922456,934184,958272,961125,969681,977657,989761,1016457,1027541,1040233,1046957
 "15000","Hawaii *",8,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97988,100460,101320,101012,100388,99820,99356,99648,101056,102392,104448,107412,111176,115056,119012,122652,125708,129112,132712,136476,140564,144240,147248,149716,152700,155752,157944,160032,162716,164756,166720,169320
 "15000","Hawaii *",8,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31572,31632,30672,28832,27204,25516,23836,23612,24588,25012,25756,25684,25400,25352,25232,26604,28440,29864,31392,32092,32972,34844,35856,35804,36500,35940,36156,36604,37836,38672,39908,41820
 "15000","Hawaii *",8,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),483784,496436,516360,541492,560496,587808,610452,626384,638024,646384,650600,667640,670124,675616,676348,672328,668564,668372,664028,666900,679724,682536,692096,714064,716872,725312,732220,743188,768536,779236,791564,797244
 "15000","Hawaii *",8,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47901,71753,91445,106557,113030,121734,131414,141150,151094,158662,162126,162958,159542,156778,153942,151646,151030,150058,148150,147134,146885,145361,145157,146189,144939,144355,143819,143467,144240,143852,144048,143460
 "15000","Hawaii *",8,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39364,59412,76484,90384,97795,106803,116563,126091,135401,142529,145781,146069,142714,139858,137022,134858,134328,133320,131540,130440,129824,128248,127788,128144,126865,126053,125357,124745,124757,124113,124005,123221
 "15000","Hawaii *",8,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),8537,12341,14961,16173,15235,14931,14851,15059,15693,16133,16345,16889,16828,16920,16920,16788,16702,16738,16610,16694,17061,17113,17369,18045,18074,18302,18462,18722,19483,19739,20043,20239
 "15000","Hawaii *",8,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),79320,83736,89360,93180,94408,96748,98176,98896,99880,101764,103784,106708,109240,109324,108528,108124,108944,110204,112852,116292,119700,123180,126368,128524,129980,131188,133400,135828,138320,140096,141168,143280
 "15000","Hawaii *",8,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),9112,12732,15304,16588,16292,16232,16364,16716,17296,17764,18236,18716,19332,19936,20416,20768,20964,21172,21508,22016,22668,23372,24140,24908,25660,26412,27064,27624,28064,28496,28960,29460
 "15000","Hawaii *",8,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),70208,71004,74056,76592,78116,80516,81812,82180,82584,84000,85548,87992,89908,89388,88112,87356,87980,89032,91344,94276,97032,99808,102228,103616,104320,104776,106336,108204,110256,111600,112208,113820
 "15000","Hawaii *",8,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),69950,75490,79922,82806,83773,84965,85913,86545,86979,87227,87259,87295,87448,87584,88004,88684,89792,90784,91372,91580,91259,91003,91099,91531,92224,92832,93316,93564,93432,93236,92968,92576
 "15000","Hawaii *",8,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),541055,576435,617243,658423,684161,721325,754129,779885,802019,819583,829251,850011,851458,854134,850814,843414,838746,837850,833658,838746,855050,860074,872522,897246,899567,908023,916123,928919,957664,969948,983812,991408
 "15000","Hawaii *",8,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),318262,329766,344338,358682,360009,371413,379233,383365,388219,391679,393555,412343,414369,418781,420201,417825,416638,420342,419406,425234,439870,442870,451782,472574,473701,480405,483977,491433,515869,523709,534137,540525
 "15000","Hawaii *",8,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3436,3464,3512,3560,3583,3619,3643,3663,3677,3705,3745,3765,3800,3800,3804,3808,3852,3876,3868,3852,3784,3716,3656,3628,3580,3568,3580,3588,3620,3576,3556,3492
 "15000","Hawaii *",8,SQINC5H,200,"B","   Mining","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),787,815,831,835,828,820,816,808,800,804,808,816,825,829,833,837,833,833,837,841,849,857,873,881,889,897,905,913,909,921,921,925
 "15000","Hawaii *",8,SQINC5H,300,"C","   Construction","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),29209,31541,36561,37293,38445,43425,43865,43681,44028,42748,42932,46172,46733,47833,48297,47737,45748,42632,42120,41656,40780,43000,44476,44212,47068,46744,49040,51872,55843,57727,57043,63611
 "15000","Hawaii *",8,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),61416,62508,60304,70456,68164,69440,71684,71660,72345,73701,72641,73977,74720,76424,78572,76024,75285,77885,73817,77577,81700,76140,78036,81600,79460,82100,81656,78340,85761,85545,84509,82613
 "15000","Hawaii *",8,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43269,45873,48281,47957,46780,47696,48200,47352,49917,50249,50881,61481,55448,54660,52196,52924,54525,56073,55449,54529,57953,57881,58985,59441,63188,64360,64308,65500,69502,69278,74698,71962
 "15000","Hawaii *",8,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92520,95112,101200,103052,105292,107992,109764,112388,111676,113240,113652,115604,118595,118971,119459,118239,119220,120352,121900,121748,124619,128155,129475,141911,135320,136100,136272,138744,143832,145332,147836,149156
 "15000","Hawaii *",8,SQINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),20145,20765,21489,22633,23220,23924,24496,24580,24644,24676,24712,24900,26051,26675,27479,28391,28812,29348,30372,30492,31537,32909,33229,35581,35040,35888,36080,38708,39339,40039,42163,43839
