GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "19000","Iowa",4,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",3900721,4203565,4258237,4128409,3672973,3484921,3396225,3488841,3769905,3929609,4211045,4245841,4311044,4364384,4282884,4287076,4306544,4525700,4744660,4727936,4470412,4383672,4371352,4399676,4707884,4765028,4847080,4742236,4628412,4516616,4506512,4518276,4580392,4724484,4879936,5099272,5137928,5311072,5468432,5473036
 "19000","Iowa",4,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",3325373,3625185,3678121,3546841,3061097,2857921,2746473,2812957,3050425,3277433,3581065,3596481,3669080,3702524,3603924,3596696,3617376,3818384,4013976,3980800,3749300,3644456,3620016,3631784,3922888,3966792,4032244,3904156,3827192,3700060,3672928,3672596,3739992,3873964,4011916,4215172,4262340,4406436,4553512,4530432
 "19000","Iowa",4,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",51980,49028,49628,48932,57804,57000,54452,51940,60236,59928,60532,61196,65500,63384,60500,61348,66788,66220,67436,69224,67724,68896,69412,68676,78368,78160,78776,79752,86612,88428,90160,91108,105152,106948,108020,110432,125088,126248,127876,126424
 "19000","Iowa",4,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",20764,19844,20716,20408,21776,20488,20108,19628,25888,26040,26548,28392,32396,32188,31232,31688,36888,35680,36212,36680,36472,37180,36828,36416,42248,41712,42248,42744,46508,47392,48076,48572,60392,60900,60960,61640,70492,70380,71288,70156
 "19000","Iowa",4,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",31216,29184,28912,28524,36028,36512,34344,32312,34348,33888,33984,32804,33104,31196,29268,29660,29900,30540,31224,32544,31252,31716,32584,32260,36120,36448,36528,37008,40104,41036,42084,42536,44760,46048,47060,48792,54596,55868,56588,56268
 "19000","Iowa",4,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",20096,20420,21144,21372,23848,23748,23640,23640,23468,24360,25628,26648,27796,28716,29144,29696,30408,30700,31352,32368,32480,32996,33072,33004,32848,32824,32952,33600,32960,33812,34604,35344,34248,34900,35284,36068,34892,35192,35568,35540
 "19000","Iowa",4,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",3293489,3596577,3649637,3519281,3027141,2824669,2715661,2784657,3013657,3241865,3546161,3561933,3631376,3667856,3572568,3565044,3580996,3782864,3977892,3943944,3714056,3608556,3583676,3596112,3877368,3921456,3986420,3858004,3773540,3645444,3617372,3616832,3669088,3801916,3939180,4140808,4172144,4315380,4461204,4439548
 "19000","Iowa",4,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",458796,463300,471904,480352,465560,473356,484912,499608,490052,501484,517248,533608,521360,534260,545856,558468,562268,578652,591108,608252,576808,596908,608752,621604,646224,653752,666600,678384,644552,653460,665812,676008,675312,683928,694956,710060,697844,708932,717740,724352
 "19000","Iowa",4,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",148436,143688,136696,128776,180272,186896,195652,204576,266196,186260,147636,150300,158308,162268,164460,163564,163280,164184,175660,175740,179548,178208,178924,181960,184292,189820,194060,205848,210320,217712,223328,225436,235992,238640,245800,248404,267940,286760,289488,309136
 "19000","Iowa",4,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",1543868,1566200,1624240,1641000,1641592,1624964,1616584,1612236,1633544,1695292,1781884,1849200,1918360,1973220,1993156,2023244,2030456,2045536,2088216,2165620,2140264,2176752,2181368,2171516,2155120,2152404,2159224,2203168,2238712,2297560,2351492,2405752,2402968,2448644,2477352,2534604,2545752,2563312,2589552,2583336
 "19000","Iowa",4,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",77249,76869,78069,78801,87433,89581,89297,89077,91825,94777,99013,101941,107196,109468,111176,115296,117288,120264,123492,126964,125944,127968,130244,131500,135720,136704,138912,141908,147072,151092,155536,158704,162816,167648,173032,179160,187304,192800,197688,200936
 "19000","Iowa",4,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",46033,47685,49157,50277,51405,53069,54953,56765,57477,60889,65029,69137,74092,78272,81908,85636,87388,89724,92268,94420,94692,96252,97660,99240,99600,100256,102384,104900,106968,110056,113452,116168,118056,121600,125972,130368,132708,136932,141100,144668
 "19000","Iowa",4,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",31216,29184,28912,28524,36028,36512,34344,32312,34348,33888,33984,32804,33104,31196,29268,29660,29900,30540,31224,32544,31252,31716,32584,32260,36120,36448,36528,37008,40104,41036,42084,42536,44760,46048,47060,48792,54596,55868,56588,56268
 "19000","Iowa",4,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",1704256,1982116,1975812,1827040,1332072,1143376,1040592,1111644,1325056,1487364,1700168,1645340,1643524,1619836,1499592,1458156,1469632,1652584,1802268,1688216,1483092,1339736,1308404,1328768,1632048,1677684,1734108,1559080,1441408,1251408,1165900,1108140,1174208,1257672,1361532,1501408,1529284,1650324,1766272,1746160
 "19000","Iowa",4,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",1284820,1554252,1538864,1373324,897324,705468,607576,677732,859864,1012128,1211360,1172248,1151828,1100192,958188,917880,946740,1120212,1264236,1132336,935804,792752,771020,779148,1082360,1114756,1171272,982296,825928,634848,532996,465064,523212,602932,693476,828760,823464,940504,1045556,1040336
 "19000","Iowa",4,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",419436,427864,436948,453716,434748,437908,433016,433912,465192,475236,488808,473092,491696,519644,541404,540276,522892,532372,538032,555880,547288,546984,537384,549620,549688,562928,562836,576784,615480,616560,632904,643076,650996,654740,668056,672648,705820,709820,720716,705824
 "19000","Iowa",4,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",1370564,1638176,1631848,1472236,981628,787724,692132,765056,941148,1092156,1292568,1252116,1228480,1178492,1037356,995480,1023268,1196872,1340156,1203308,1010668,867736,845784,850124,1151548,1181828,1235820,1046512,890236,698404,598016,530188,581552,662556,752844,887588,889364,1005240,1112004,1107580
 "19000","Iowa",4,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",1954809,1987009,2046273,2074605,2079469,2070197,2054341,2047901,2109277,2185277,2288497,2344365,2440600,2524032,2566568,2601216,2594108,2621512,2673820,2777492,2738632,2776720,2774232,2781660,2771340,2784964,2796424,2857644,2936956,3001656,3074912,3142408,3158440,3211408,3259072,3327584,3372976,3401196,3441508,3422852
 "19000","Iowa",4,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",1737281,1764201,1813929,1832353,1831029,1816757,1795461,1788073,1858781,1931057,2026121,2071861,2159020,2230540,2259012,2281596,2265388,2285648,2330092,2428228,2386720,2422556,2418596,2420892,2406512,2414304,2417760,2473604,2548884,2608124,2675580,2735132,2746184,2790512,2827744,2887860,2935612,2953612,2983188,2952640
 "19000","Iowa",4,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",11085,11621,11705,12265,13621,13253,12965,13157,14117,14605,15201,15685,16376,17260,17964,18708,19804,20236,20108,21132,21576,21276,21396,22288,23388,23648,24864,25204,25824,25768,25504,25772,25548,25648,25700,26116,28332,27852,27912,27900
 "19000","Iowa",4,SQINC5H,200,"B","   Mining","Thousands of dollars",12912,12512,13812,13652,13484,12776,11220,10508,10476,12612,13172,13372,11824,11956,12356,12452,15876,14408,14856,15640,13620,13660,13924,13492,14296,13776,13632,13908,14516,15268,15592,16152,16960,17812,17340,18040,17628,17716,18008,17196
 "19000","Iowa",4,SQINC5H,300,"C","   Construction","Thousands of dollars",146044,156288,165912,165828,157820,152504,151920,154300,161044,171184,183564,191692,176880,183136,185388,188464,175608,176524,181556,184768,182836,180816,180420,183460,192000,191952,188796,191244,207876,214168,218212,216964,235540,245716,251572,253864,238928,242432,241760,240576
 "19000","Iowa",4,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",475692,477316,491984,492324,503788,483676,483508,472652,487192,520868,560600,595492,652728,673440,671460,676692,689624,691624,705736,765620,749712,762172,755152,733952,727264,720712,714096,737732,768928,793668,809388,835824,840736,853364,860996,896216,907608,902992,903824,882572
 "19000","Iowa",4,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",219372,216668,226776,226972,228312,237200,226920,221264,228732,236088,250024,255656,258596,271232,266592,271148,274516,273136,282124,287384,281936,293308,294828,294872,283048,281964,283580,285108,277676,285196,293740,299680,301040,304324,301472,310492,313892,318500,321528,319228
 "19000","Iowa",4,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",557712,567296,577136,593188,582596,585016,572320,567268,596332,604576,623608,608840,645604,675904,698316,697784,668188,682052,687704,706104,683508,688788,682196,695620,701116,711140,709012,718688,738304,741260,761768,776408,749008,756688,772444,773492,793768,797328,813352,802572
 "19000","Iowa",4,SQINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",80772,83444,85608,86264,88932,89840,90908,95212,101140,107484,112080,116044,116896,116724,117648,120816,127032,129856,133652,137004,137228,139684,143176,146516,140044,143468,148692,153532,156492,161164,166096,168656,175628,177620,179720,183196,193220,196668,200096,202864
 "19000","Iowa",4,SQINC5H,800,"I","   Services","Thousands of dollars",233692,239056,240996,241860,242476,242492,245700,253712,259748,263640,267872,275080,280116,280888,289288,295532,294740,297812,304356,310576,316304,322852,327504,330692,325356,327644,335088,348188,359268,371632,385280,395676,401724,409340,418500,426444,442236,450124,456708,459732
 "19000","Iowa",4,SQINC5H,900,"...","  Government and government enterprises","Thousands of dollars",217528,222808,232344,242252,248440,253440,258880,259828,250496,254220,262376,272504,281580,293492,307556,319620,328720,335864,343728,349264,351912,354164,355636,360768,364828,370660,378664,384040,388072,393532,399332,407276,412256,420896,431328,439724,437364,447584,458320,470212
 "19000","Iowa",4,SQINC5H,910,"...","   Federal civilian","Thousands of dollars",57104,57228,57816,58968,61460,62508,62568,61936,56376,56876,59160,63292,57700,61652,65052,67804,70952,72488,73232,73112,76820,76108,75560,75052,81356,81112,81600,82600,82076,83488,84916,86120,82748,83936,85176,86180,92208,93940,96112,98876
 "19000","Iowa",4,SQINC5H,920,"...","   Military","Thousands of dollars",17428,18020,19200,20952,22832,24520,24832,24280,17496,17596,18968,21596,30908,34920,38188,40688,43620,44844,45344,45128,45292,44680,44272,43860,45160,44720,44572,44400,44376,44352,44388,44288,47408,47360,47372,47108,44956,44952,45064,45432
 "19000","Iowa",4,SQINC5H,930,"...","   State and local","Thousands of dollars",142996,147560,155328,162332,164148,166412,171480,173612,176624,179748,184248,187616,192972,196920,204316,211128,214148,218532,225152,231024,229800,233376,235804,241856,238312,244828,252492,257040,261620,265692,270028,276868,282100,289600,298780,306436,300200,308692,317144,325904
"Note: See the included footnote file."
"SQINC5H: Personal Income by Major Component and Earnings by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
