GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "18000","Indiana",3,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",5451969,5582521,5740985,5687377,5429612,5383736,5346292,5329144,5760708,5882356,6144940,6409388,6809780,7048488,7084980,7227668,7205272,7266332,7447136,7717460,8032152,8190884,8228380,8200032,7727972,7646936,7686656,7805664,8081336,8279288,8406224,8528288,8716904,8866600,9015096,9261968,9153076,9247988,9355624,9305660
 "18000","Indiana",3,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",4836989,4966373,5122229,5065529,4801870,4734318,4667710,4613910,4908504,5127012,5425380,5666972,6071784,6289452,6303640,6432724,6397868,6429276,6577636,6832220,7097416,7233480,7259644,7209032,6836952,6734944,6753104,6843824,7142380,7325584,7429028,7535908,7670328,7803576,7921936,8144932,8092488,8138400,8229552,8129004
 "18000","Indiana",3,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",105672,99828,101896,101216,117994,116870,112862,108430,135732,137472,143168,152332,173464,175612,171540,173936,178916,174548,174784,178548,180108,182648,185676,186472,212340,214868,217768,221352,244748,249428,253748,256184,274400,277952,278836,282772,312288,312048,313532,308248
 "18000","Indiana",3,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",44952,42956,44836,44172,46632,43872,43068,42040,59148,59496,60660,64848,75924,75444,73196,74260,82504,79792,80972,82036,84044,85684,84868,83928,100664,99372,100664,101828,111160,113260,114896,116072,126376,127444,127560,128992,146596,146360,148228,145892
 "18000","Indiana",3,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",60720,56872,57060,57044,71362,72998,69794,66390,76584,77976,82508,87484,97540,100168,98344,99676,96412,94756,93812,96512,96064,96964,100808,102544,111676,115496,117104,119524,133588,136168,138852,140112,148024,150508,151276,153780,165692,165688,165304,162356
 "18000","Indiana",3,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",12784,12848,13408,13500,11044,11028,10796,10748,9956,10608,11196,11716,10560,10984,11428,11832,11476,11456,11728,11580,8164,8104,8304,8568,10516,10552,10668,10636,6104,6044,6136,5984,5736,5944,5896,5640,6032,6376,6676,7040
 "18000","Indiana",3,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",4744101,4879393,5033741,4977813,4694920,4628476,4565644,4516228,4782728,5000148,5293408,5526356,5908880,6124824,6143528,6270620,6230428,6266184,6414580,6665252,6925472,7058936,7082272,7031128,6635128,6530628,6546004,6633108,6903736,7082200,7181416,7285708,7401664,7531568,7648996,7867800,7786232,7832728,7922696,7827796
 "18000","Indiana",3,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",495620,496332,509276,521012,531692,540420,551488,569252,600896,613776,636648,655996,649992,665956,678336,694176,696904,721008,733432,751912,750320,777964,790044,804288,777560,783632,799892,812332,835032,844640,863388,877776,930960,944896,961104,985104,931060,946904,959024,965796
 "18000","Indiana",3,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",212248,206796,197968,188552,203000,214840,229160,243664,377084,268432,214884,227036,250908,257708,263116,262872,277940,279140,299124,300296,356360,353984,356064,364616,315284,332676,340760,360224,342568,352448,361420,364804,384280,390136,404996,409064,435784,468356,473904,512068
 "18000","Indiana",3,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",3571956,3614580,3742208,3763168,3678712,3610312,3584380,3547904,3775488,3962032,4197704,4399848,4662864,4816028,4857004,4927756,4993356,5020908,5129476,5392360,5638156,5732340,5724700,5660152,5240792,5219340,5219344,5344304,5598628,5763596,5892720,6044536,6089768,6199028,6265592,6438564,6402084,6427388,6473652,6421108
