GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "22000","Louisiana",5,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",2561520,2639772,2709440,2714704,2873320,2859624,2810692,2855472,3014296,2991792,3054968,3152136,3264152,3385884,3480028,3536820,3608952,3671892,3795808,3807996,3897676,3946672,3923388,3980080,3949404,3890564,3924232,3970464,4046052,4138864,4225672,4315908,4540752,4615060,4678488,4742256,5066628,5125196,5181876,5185352
 "22000","Louisiana",5,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",2157696,2238184,2310552,2318548,2375372,2344400,2270100,2285348,2306056,2407812,2524344,2618080,2732472,2842936,2925944,2977496,3065500,3113540,3213096,3221060,3335540,3373016,3342856,3384936,3365380,3296068,3316820,3345684,3410648,3495348,3570124,3650752,3824132,3890512,3936732,3985152,4268780,4303712,4347704,4318800
 "22000","Louisiana",5,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",62184,58300,58508,56944,67300,65472,60848,56496,64376,63404,64752,68228,76864,78676,78032,80556,86804,85480,85932,86844,86728,85940,85300,83136,96044,95344,95720,97060,106108,108616,110620,111064,120520,121708,121480,122920,144080,144652,145660,143508
 "22000","Louisiana",5,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",19408,18544,19364,19076,19688,18520,18184,17748,24196,24336,24820,26532,30536,30344,29436,29860,33440,32348,32824,33256,34560,35240,34904,34512,41916,41388,41916,42416,47236,48124,48824,49316,52756,53200,53248,53844,63012,62916,63716,62712
 "22000","Louisiana",5,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",42776,39756,39144,37868,47612,46952,42664,38748,40180,39068,39932,41696,46328,48332,48596,50696,53364,53132,53108,53588,52168,50700,50396,48624,54128,53956,53804,54644,58872,60492,61796,61748,67764,68508,68232,69076,81068,81736,81944,80796
 "22000","Louisiana",5,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",160,160,160,152,-300,-284,-280,-276,-680,-720,-772,-808,-1280,-1336,-1356,-1396,-2028,-2024,-2080,-2168,-3108,-3152,-3172,-3160,-3784,-3772,-3788,-3872,-4412,-4564,-4672,-4800,-5984,-6128,-6188,-6324,-8180,-8276,-8360,-8324
 "22000","Louisiana",5,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",2095672,2180044,2252204,2261756,2307772,2278644,2208972,2228576,2241000,2343688,2458820,2549044,2654328,2762924,2846556,2895544,2976668,3026036,3125084,3132048,3245704,3283924,3254384,3298640,3265552,3196952,3217312,3244752,3300128,3382168,3454832,3534888,3697628,3762676,3809064,3855908,4116520,4150784,4193684,4166968
 "22000","Louisiana",5,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",273480,273412,280028,285596,285872,289596,294876,304112,334700,341928,355256,365956,355732,364056,370224,378252,389940,403136,410036,420744,412684,428060,434484,441496,444376,446824,455568,462792,473600,479324,489252,496756,552148,559960,569952,584636,631012,643216,652552,658272
 "22000","Louisiana",5,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",192368,186316,177208,167352,279676,291384,306844,322784,438596,306176,240892,237136,254092,258904,263248,263024,242344,242720,260688,255204,239288,234688,234520,239944,239476,246788,251352,262920,272324,277372,281588,284264,290976,292424,299472,301712,319096,331196,335640,360112
 "22000","Louisiana",5,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",1548456,1564820,1627184,1640220,1699152,1683428,1657520,1646804,1680984,1761688,1854604,1931116,2001720,2068900,2103232,2145296,2260200,2265964,2317292,2393916,2485164,2519844,2527712,2516808,2509084,2502460,2508248,2556076,2569092,2639048,2698124,2758076,2928660,2990844,3014952,3081476,3294956,3323148,3358144,3343700
 "22000","Louisiana",5,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",103184,101800,102988,102756,115092,116468,113856,112252,122252,127604,135288,144064,161276,169716,176156,184060,194956,197792,201168,203000,207500,207184,208684,208204,202264,201504,203120,206184,207152,212224,217276,220060,246372,251756,255672,260512,287256,292948,298412,301632
 "22000","Louisiana",5,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",60408,62044,63844,64888,67480,69516,71192,73504,82072,88536,95356,102368,114948,121384,127560,133364,141592,144660,148060,149412,155332,156484,158288,159580,148136,147548,149316,151540,148280,151732,155480,158312,178608,183248,187440,191436,206188,211212,216468,220836
 "22000","Louisiana",5,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",42776,39756,39144,37868,47612,46952,42664,38748,40180,39068,39932,41696,46328,48332,48596,50696,53364,53132,53108,53588,52168,50700,50396,48624,54128,53956,53804,54644,58872,60492,61796,61748,67764,68508,68232,69076,81068,81736,81944,80796
 "22000","Louisiana",5,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",506056,571564,580380,575572,561128,544504,498724,526292,502820,518520,534452,542900,569476,604320,646556,648140,610344,649784,694636,624144,642876,645988,606460,659924,654032,592104,605452,583424,634404,644076,654724,672616,649100,647912,666108,643164,686568,687616,691148,673468
 "22000","Louisiana",5,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",216116,275856,278956,264004,242880,225748,182100,208444,178396,187044,193584,212112,230224,247484,275372,278208,236252,270280,310864,228236,236420,238924,205140,250288,239276,169792,181616,147944,187748,192972,189244,197416,164156,158916,168348,140760,139060,138432,133776,126856
 "22000","Louisiana",5,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",289940,295708,301424,311568,318248,318756,316624,317848,324424,331476,340868,330788,339252,356836,371184,369932,374092,379504,383772,395908,406456,407064,401320,409636,414756,422312,423836,435480,446656,451104,465480,475200,484944,488996,497760,502404,547508,549184,557372,546612
 "22000","Louisiana",5,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",259008,317824,325464,313468,285272,267112,224624,252364,227024,234920,242164,259892,273020,291200,319576,321524,284228,318340,358460,272732,283588,286164,252268,295016,284832,213956,224128,190244,229168,233924,231140,239372,206612,202316,211540,183540,181020,179640,176056,169644
 "22000","Louisiana",5,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",1898688,1920360,1985088,2005080,2090100,2077288,2045476,2032984,2079032,2172892,2282180,2358188,2459452,2551736,2606368,2655972,2781272,2795200,2854636,2948328,3051952,3086852,3090588,3089920,3080548,3082112,3092692,3155440,3181480,3261424,3338984,3411380,3617520,3688196,3725192,3801612,4087760,4124072,4171648,4149156
 "22000","Louisiana",5,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",1644912,1661112,1716608,1726428,1792116,1773132,1735196,1721200,1748900,1834536,1926704,1978892,2026288,2090228,2117128,2143712,2250164,2250648,2299292,2387984,2481844,2516796,2520624,2516416,2553988,2550924,2553932,2611912,2640620,2714744,2785732,2849172,2995368,3056060,3081380,3149652,3389700,3414256,3448828,3410820
 "22000","Louisiana",5,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",14732,15396,15612,16148,16940,16584,16452,16784,16492,17096,17764,18352,17396,18164,18740,19412,18840,19148,19208,19740,19744,19776,20000,20580,20600,20868,21468,21596,20800,20720,20612,20880,21612,21804,21912,22080,21860,21576,21664,21796
 "22000","Louisiana",5,SQINC5H,200,"B","   Mining","Thousands of dollars",114244,108824,121092,119528,140268,133128,115908,107988,108812,133148,139528,142644,141160,142724,147824,149824,174292,158196,163224,172000,188400,188788,192424,185972,219848,211636,209408,213732,238608,250824,256252,265388,295720,310128,302028,313636,334700,336608,342436,326952
 "22000","Louisiana",5,SQINC5H,300,"C","   Construction","Thousands of dollars",136332,145116,152508,152472,169296,162108,160424,162056,150476,160692,174208,183448,194772,202816,205876,209896,226108,226700,233628,238048,268128,264652,265032,270124,244856,245960,242752,246952,221540,229728,233376,231476,269248,282012,288252,290256,362956,367048,365056,364388
