GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "25000","Massachusetts",1,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",6984640,7067772,7261384,7323896,7089148,7064456,7099572,7157016,7619448,7696172,7975496,8294488,8333664,8607508,8746048,8883868,8757884,8887292,9089100,9430112,9439004,9616780,9637004,9638748,9584916,9593484,9667476,9906724,9964044,10207076,10461424,10684268,10679264,10853764,11020880,11284548,11398008,11546508,11677528,11709708
 "25000","Massachusetts",1,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",5758426,5849830,6026446,6073946,5954296,5884148,5861232,5839040,6003464,6255152,6589792,6869508,7043905,7288309,7398865,7519445,7326753,7403997,7559721,7881161,7922477,8043177,8041777,7997637,7937842,7924782,7940506,8118262,8140408,8350812,8542040,8730440,8848168,8992180,9110068,9319848,9431248,9498616,9596184,9553868
 "25000","Massachusetts",1,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",166114,156514,156582,152854,175536,172488,165100,158024,190044,194560,207520,226396,261365,271261,270769,279637,278381,277945,282645,295225,294113,296425,294693,282057,311854,302510,297298,297286,318128,322176,325088,323792,335056,334852,332568,334276,373964,372524,373148,366696
 "25000","Massachusetts",1,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",51640,49348,51512,50740,51752,48700,47796,46648,66328,66720,68028,72724,84076,83548,81060,82236,88440,85540,86804,87932,88976,90724,89856,88860,108308,106928,108308,109568,119500,121768,123528,124780,128544,129628,129752,131204,154292,154048,156012,153556
 "25000","Massachusetts",1,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",114474,107166,105070,102114,123784,123788,117304,111376,123716,127840,139492,153672,177289,187713,189709,197401,189941,192405,195841,207293,205137,205701,204837,193197,203546,195582,188990,187718,198628,200408,201560,199012,206512,205224,202816,203072,219672,218476,217136,213140
 "25000","Massachusetts",1,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",41148,41792,43060,43368,45920,45284,45296,45120,39320,41316,43984,46520,39336,40840,41548,42372,34120,34492,35196,36844,29560,29940,29900,29648,24060,23980,23984,24460,13744,14084,14352,14660,6088,6184,6244,6392,-2016,-2064,-2108,-2136
 "25000","Massachusetts",1,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",5633460,5735108,5912924,5964460,5824680,5756944,5741428,5726136,5852740,6101908,6426256,6689632,6821876,7057888,7169644,7282180,7082492,7160544,7312272,7622780,7657924,7776692,7776984,7745228,7650048,7646252,7667192,7845436,7836024,8042720,8231304,8421308,8519200,8663512,8783744,8991964,9055268,9124028,9220928,9185036
 "25000","Massachusetts",1,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",947464,935444,965376,987604,868432,877112,887300,918456,1058708,1082072,1139764,1177016,1080152,1107352,1120840,1143292,1211300,1262144,1277304,1310208,1271584,1332776,1347592,1361740,1397512,1384412,1423960,1451088,1535248,1558372,1610740,1637832,1538992,1560632,1585328,1634072,1650208,1683972,1707752,1710564
 "25000","Massachusetts",1,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",403716,397220,383084,371832,396036,430400,470844,512424,708000,512192,409476,427840,431636,442268,455564,458396,464092,464604,499524,497124,509496,507312,512428,531780,537356,562820,576324,610200,592772,605984,619380,625128,621072,629620,651808,658512,692532,738508,748848,814108
 "25000","Massachusetts",1,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",4808088,4881940,5036792,5068684,4947616,4872480,4856864,4832244,4950488,5167720,5457900,5715932,5834388,6016448,6088396,6190072,6060732,6111944,6239876,6522680,6556380,6662060,6662880,6616000,6552108,6540976,6558540,6706596,6685988,6868464,7024572,7195460,7300804,7431960,7521308,7708952,7757240,7799896,7865404,7829844
 "25000","Massachusetts",1,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",293986,293262,296246,297546,323252,328664,330532,332224,356236,374620,404128,437260,477089,504397,522001,544517,531037,542857,554973,573689,574681,579941,583549,577097,578774,572674,573234,580550,588744,600512,612908,620124,636112,647260,660540,675636,705736,718264,730868,739728
 "25000","Massachusetts",1,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",179512,186096,191176,195432,199468,204876,213228,220848,232520,246780,264636,283588,299800,316684,332292,347116,341096,350452,359132,366396,369544,374240,378712,383900,375228,377092,384244,392832,390116,400104,411348,421112,429600,442036,457724,472564,486064,499788,513732,526588
 "25000","Massachusetts",1,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",114474,107166,105070,102114,123784,123788,117304,111376,123716,127840,139492,153672,177289,187713,189709,197401,189941,192405,195841,207293,205137,205701,204837,193197,203546,195582,188990,187718,198628,200408,201560,199012,206512,205224,202816,203072,219672,218476,217136,213140
 "25000","Massachusetts",1,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",656352,674628,693408,707716,683428,683004,673836,674572,696740,712812,727764,716316,732428,767464,788468,784856,734984,749196,764872,784792,791416,801176,795348,804540,806960,811132,808732,831116,865676,881836,904560,914856,911252,912960,928220,935260,968272,980456,999912,984296
 "25000","Massachusetts",1,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",62508,71928,79260,74552,63564,60308,54096,52044,46976,46428,40132,44552,52032,58620,58016,53424,42980,45872,51404,48348,49324,57928,60356,57436,51340,41308,37192,36340,42044,48064,45868,40888,40916,37100,36080,34288,33768,37024,41708,40684
 "25000","Massachusetts",1,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",593844,602700,614148,633164,619864,622696,619740,622528,649764,666384,687632,671764,680396,708844,730452,731432,692004,703324,713468,736444,742092,743248,734992,747104,755620,769824,771540,794776,823632,833772,858692,873968,870336,875860,892140,900972,934504,943432,958204,943612
 "25000","Massachusetts",1,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",98120,106796,117904,115684,98564,94480,89232,88336,84044,82932,77172,80988,90872,98312,98152,92760,81964,84932,90104,84520,83240,91912,94232,89592,82608,71636,66376,65372,72532,78224,76704,71772,70584,67420,66260,64208,64300,67040,72520,71876
 "25000","Massachusetts",1,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",5660306,5743034,5908542,5958262,5855732,5789668,5772000,5750704,5919420,6172220,6512620,6788520,6953033,7189997,7300713,7426685,7244789,7319065,7469617,7796641,7839237,7951265,7947545,7908045,7855234,7853146,7874130,8052890,8067876,8272588,8465336,8658668,8777584,8924760,9043808,9255640,9366948,9431576,9523664,9481992
 "25000","Massachusetts",1,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",5028176,5096552,5238904,5263548,5104920,5023440,4989840,4964184,5124928,5360888,5666060,5894292,5991512,6174356,6229044,6307804,6124516,6171924,6298848,6613632,6660320,6770084,6765012,6715004,6701300,6687528,6689676,6855872,6894096,7084920,7262108,7435280,7557704,7683308,7776992,7970720,8053632,8093724,8158472,8084008
 "25000","Massachusetts",1,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",31140,32424,33128,33856,32044,31480,31580,32280,33128,34344,35660,36892,37708,39156,40184,41508,39308,39760,40208,40820,36404,36736,37260,38156,37588,38144,38800,38824,38828,38648,38552,39128,40216,40700,40944,41140,40824,40336,40556,40976
 "25000","Massachusetts",1,SQINC5H,200,"B","   Mining","Thousands of dollars",3464,3284,3656,3628,4016,3824,3308,3068,3528,4348,4540,4652,4696,4748,4912,4968,5424,4940,5088,5360,5544,5548,5656,5460,5808,5588,5524,5640,6048,6340,6464,6696,7064,7392,7200,7504,7488,7536,7688,7324
 "25000","Massachusetts",1,SQINC5H,300,"C","   Construction","Thousands of dollars",280368,298972,315216,315240,319492,306976,304620,308468,333640,356148,385380,405496,392108,408192,414296,422252,398868,400308,412476,420552,420344,415368,415480,422612,424992,425580,419028,425272,472856,488984,496988,493012,517788,541244,553240,557204,554344,561104,558432,556732
 "25000","Massachusetts",1,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",2255300,2263964,2334560,2335620,2194716,2107252,2105648,2059144,2143084,2293032,2472452,2638296,2699996,2796584,2795096,2820168,2751172,2759204,2816192,3056108,3067176,3118492,3090100,2999784,2903868,2870728,2843152,2935192,2929260,3025688,3085604,3185024,3241244,3286416,3316584,3449448,3441240,3425232,3428972,3354216
 "25000","Massachusetts",1,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",402404,395736,415160,414860,396172,413008,392404,380940,391456,403208,427528,436720,436276,459920,450732,457632,469160,466636,483048,491644,493612,513500,515804,513120,525396,521188,523168,527344,529408,545968,563524,575344,585812,591572,584352,600828,605464,613800,619892,615544
 "25000","Massachusetts",1,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",1143000,1165656,1188964,1208396,1185968,1186644,1167624,1163108,1194608,1220792,1268720,1266272,1303044,1342740,1370936,1380408,1292608,1317948,1332168,1364312,1377560,1394608,1395376,1415580,1458740,1465364,1465112,1481448,1473212,1493016,1535400,1565156,1575804,1595108,1620736,1630436,1647980,1660700,1692416,1683084
 "25000","Massachusetts",1,SQINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",241696,249292,255684,256780,261180,262992,264332,273228,280440,293676,304900,316716,322052,324636,328704,338496,333916,340632,349648,357884,363432,371048,378796,385992,401024,410240,423484,434000,435044,445036,456968,463676,470164,477804,483836,493300,507636,515688,523980,532196
