GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "92000","Mideast",2,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",53023913,53717101,55258273,55644229,54513341,54354081,54373853,54662293,57405733,58121281,60279401,62492529,63264037,65328209,66324789,67411325,67396740,68229184,69790604,72291400,72985842,74296018,74396246,74393938,74132996,74250516,74774696,76493916,76900604,78677096,80573180,82308424,83259588,84692484,85996456,88009944,89214804,90264004,91262548,91386292
 "92000","Mideast",2,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",45608218,46311214,47739378,47996974,47031705,46558637,46200405,45986005,46820054,48810854,51407810,53406890,55067869,56900521,57665541,58597917,58777448,59247628,60519736,62886316,63587495,64536259,64503823,64188275,63683441,63645673,63828077,65215129,65696977,67365937,68934585,70491649,71346873,72610829,73591921,75259421,76558024,77085328,77858508,77471332
 "92000","Mideast",2,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",1389817,1295977,1282769,1232649,1384184,1345924,1283136,1237536,1495193,1539553,1628085,1735601,1948228,1962512,1904316,1913136,1917752,1866964,1872644,1933300,1945437,1981365,1998689,1957485,2224101,2201769,2201613,2226333,2400161,2453497,2503485,2527197,2665613,2697297,2699185,2723273,3042448,3032236,3039132,2989564
 "92000","Mideast",2,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",423920,405148,422892,416644,421496,396608,389356,379992,534300,537448,547988,585812,674428,670216,650228,659712,725752,701964,712304,721612,731804,746116,738968,730768,883388,872076,883388,893604,971876,990268,1004564,1014788,1062240,1071220,1072212,1084176,1252344,1250340,1266348,1246344
 "92000","Mideast",2,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",965897,890829,859877,816005,962688,949316,893780,857544,960893,1002105,1080097,1149789,1273800,1292296,1254088,1253424,1192000,1165000,1160340,1211688,1213633,1235249,1259721,1226717,1340713,1329693,1318225,1332729,1428285,1463229,1498921,1512409,1603373,1626077,1626973,1639097,1790104,1781896,1772784,1743220
 "92000","Mideast",2,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-149972,-152676,-156596,-158868,-192976,-194480,-195308,-196388,-226372,-234484,-247968,-263140,-278360,-291556,-301412,-310884,-353796,-360112,-366784,-373916,-416428,-419660,-419668,-419092,-440100,-439996,-442964,-450824,-491484,-502876,-514472,-524840,-565112,-575496,-584116,-594796,-643856,-652064,-661864,-668704
 "92000","Mideast",2,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",44068429,44862561,46300013,46605457,45454545,45018233,44721961,44552081,45098489,47036817,49531757,51408149,52841281,54646453,55459813,56373897,56505900,57020552,58280308,60579100,61225630,62135234,62085466,61811698,61019240,61003908,61183500,62537972,62805332,64409564,65916628,67439612,68116148,69338036,70308620,71941352,72871720,73401028,74157512,73813064
 "92000","Mideast",2,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",6382028,6328848,6527796,6689264,6737300,6824524,6916068,7143688,7437388,7586856,7963320,8222428,7855144,8053864,8155944,8308956,8263832,8580436,8682736,8904020,8917376,9335244,9449260,9562712,9893132,9832212,10095800,10277268,10379480,10522200,10850260,11027632,11240660,11393832,11568844,11914460,12050960,12289876,12459728,12486344
 "92000","Mideast",2,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",2573456,2525692,2430464,2349508,2321496,2511324,2735824,2966524,4869856,3497608,2784324,2861952,2567612,2627892,2709032,2728472,2627008,2628196,2827560,2808280,2842836,2825540,2861520,3019528,3220624,3414396,3495396,3678676,3715792,3745332,3806292,3841180,3902780,3960616,4118992,4154132,4292124,4573100,4645308,5086884
 "92000","Mideast",2,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",37301484,37802868,39065328,39308868,38530452,38030696,37763364,37540048,37999184,39701656,41883364,43799988,44943984,46347040,46891216,47682852,48126260,48448096,49482668,51624016,52239624,53091136,53120744,52748516,52183408,52079696,52221740,53391832,53498048,54979532,56250460,57605260,58326188,59388016,60053656,61541292,62359260,62737468,63287008,63008068
 "92000","Mideast",2,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",2436930,2410014,2418750,2404106,2527765,2554865,2553009,2570145,2709646,2858306,3063742,3267286,3491793,3630681,3701137,3803993,3790772,3826316,3887612,3994808,4043487,4105819,4169183,4175887,4248105,4250041,4293309,4375297,4484909,4600209,4726329,4816153,4966073,5091017,5218549,5356813,5603012,5716036,5827340,5904524
