GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "23000","Maine",1,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1072168,1084860,1130632,1170924,1091968,1101768,1097100,1094744,1108484,1105732,1127244,1157108,1192584,1238716,1265076,1287220,1314256,1334684,1376216,1428668,1381812,1375956,1377876,1359724,1382560,1382180,1394344,1432072,1464180,1528868,1563516,1586860,1601548,1617584,1628564,1655680,1666384,1680940,1706560,1709200
 "23000","Maine",1,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",886080,899544,942944,980740,903136,905716,892128,877504,865248,887976,917528,939892,999480,1040596,1062568,1082484,1105336,1118732,1153272,1200776,1164820,1150640,1148432,1123668,1147092,1143412,1148304,1177376,1213084,1273700,1300912,1319984,1343172,1355184,1359224,1379904,1374928,1377024,1398444,1389964
 "23000","Maine",1,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",26452,24880,24832,24220,27188,26532,25060,23584,26408,26408,27208,28456,31808,31916,31148,31784,33088,32800,33248,34372,33412,33788,33988,33420,39076,38872,38924,39344,42216,42996,43652,43740,46256,46588,46600,47148,51656,51636,51920,51148
 "23000","Maine",1,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",8428,8060,8412,8288,8372,7876,7732,7544,10168,10228,10424,11148,12684,12604,12228,12404,13764,13312,13508,13684,13680,13944,13812,13664,16328,16120,16328,16508,17764,18104,18364,18548,19760,19924,19940,20172,22716,22680,22968,22604
 "23000","Maine",1,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",18024,16820,16420,15932,18816,18656,17328,16040,16240,16180,16784,17308,19124,19312,18920,19380,19324,19488,19740,20688,19732,19844,20176,19756,22748,22752,22596,22836,24452,24892,25288,25192,26496,26664,26660,26976,28940,28956,28952,28544
 "23000","Maine",1,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-7456,-7568,-7832,-7912,-7852,-7752,-7748,-7720,-6784,-7076,-7476,-7824,-13140,-13604,-13816,-14064,-15652,-15816,-16128,-16768,-15404,-15604,-15596,-15488,-15232,-15192,-15208,-15484,-15380,-15752,-16080,-16428,-16240,-16528,-16720,-17068,-19072,-19200,-19396,-19420
 "23000","Maine",1,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",852172,867096,910280,948608,868096,871432,859320,846200,832056,854492,882844,903612,954532,995076,1017604,1036636,1056596,1070116,1103896,1149636,1116004,1101248,1098848,1074760,1092784,1089348,1094172,1122548,1155488,1214952,1241180,1259816,1280676,1292068,1295904,1315688,1304200,1306188,1327128,1319396
 "23000","Maine",1,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",160528,159448,164244,168220,166244,168620,171212,177036,172044,175828,183936,189496,172080,175876,177912,180852,189984,196548,199496,205272,189560,198440,201832,204916,206864,206108,211260,214924,211704,214648,220776,224540,220952,224100,227552,233724,251760,256232,259464,260032
 "23000","Maine",1,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",59468,58316,56108,54096,57628,61716,66568,71508,104384,75412,60464,64000,65972,67764,69560,69732,67676,68020,72824,73760,76248,76268,77196,80048,82912,86724,88912,94600,96988,99268,101560,102504,99920,101416,105108,106268,110424,118520,119968,129772
 "23000","Maine",1,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",666240,675180,698820,705076,663444,653420,651612,647888,640168,667336,704488,736580,777676,803740,813520,826484,829484,836360,853120,889596,880824,893520,892780,884872,907012,904316,904880,923588,931892,955940,976396,998268,1018320,1035980,1046904,1070892,1067068,1071800,1081024,1077204
 "23000","Maine",1,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",43496,43176,43424,43464,45820,46380,46172,45908,44160,45780,48508,51284,59424,61944,63648,66040,68428,69872,71228,73024,74476,75016,75900,76020,82976,82992,83660,84888,88344,90028,91960,93012,96584,98492,100780,103112,107152,109268,111440,113184
