GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "27000","Minnesota",4,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",4002028,4181104,4302912,4161408,3963940,3934788,3881456,3892280,4220856,4221796,4380144,4521776,4608900,4803884,4845440,4941980,4887336,4932720,5072696,5108588,5210156,5295776,5289532,5317860,5445328,5408304,5418692,5496348,5596936,5729004,5828408,5907520,5876712,5979180,6079216,6225756,6355892,6404664,6447472,6437776
 "27000","Minnesota",4,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",3425164,3605492,3725252,3582000,3379152,3331884,3253548,3233048,3361540,3469488,3667924,3795224,3938784,4116892,4142508,4228224,4175756,4197596,4311756,4333388,4417600,4480320,4462868,4472780,4592188,4541848,4531772,4583684,4635868,4753356,4829812,4893120,4903780,4993220,5069436,5193424,5311168,5322500,5349752,5301300
 "27000","Minnesota",4,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",74648,69944,70136,68032,79024,76464,71700,67012,77928,77464,79960,85116,98204,100248,98408,99936,103972,101280,101872,104044,104748,106508,107464,106312,122248,122200,123648,126076,139736,143728,147284,148924,162288,164280,164356,165816,188364,188008,188892,185864
 "27000","Minnesota",4,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",29656,28344,29588,29148,31436,29576,29036,28340,37684,37912,38656,41324,47368,47068,45668,46332,51720,50024,50764,51424,52224,53256,52740,52148,60772,60000,60772,61476,68660,69964,70972,71692,81784,82480,82556,83480,96484,96328,97560,96024
 "27000","Minnesota",4,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",44992,41600,40548,38884,47588,46888,42664,38672,40244,39552,41304,43792,50836,53180,52740,53604,52252,51256,51108,52620,52524,53252,54724,54164,61476,62200,62876,64600,71076,73764,76312,77232,80504,81800,81800,82336,91880,91680,91332,89840
 "27000","Minnesota",4,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",5704,5780,6036,6148,6628,6624,6616,6656,6152,6300,6568,6732,6160,6348,6468,6580,6248,6312,6436,6468,5724,5784,5816,5844,5780,5792,5804,5864,4400,4464,4576,4628,3924,4000,4060,4088,2764,2808,2860,2972
 "27000","Minnesota",4,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",3356220,3541328,3661152,3520116,3306756,3262044,3188464,3172692,3289764,3398324,3594532,3716840,3846740,4022992,4050568,4134868,4078032,4102628,4216320,4235812,4318576,4379596,4361220,4372312,4475720,4425440,4413928,4463472,4500532,4614092,4687104,4748824,4745416,4832940,4909140,5031696,5125568,5137300,5163720,5118408
 "27000","Minnesota",4,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",447344,447404,458560,468200,460796,467584,476640,491824,529516,541652,562672,580324,562644,576632,586944,599572,598804,618796,629888,647340,658388,685124,696120,707520,713440,716776,732892,746276,802468,814844,835428,849960,816612,828160,841888,862896,875236,890728,902388,908276
 "27000","Minnesota",4,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",198464,192372,183200,173092,196388,205160,216352,227764,401576,281820,222940,224612,199516,204260,207928,207540,210500,211296,226488,225436,233192,231056,232192,238028,256168,266088,271872,286600,293936,300068,305876,308736,314684,318080,328188,331164,355088,376636,381364,411092
 "27000","Minnesota",4,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",2136428,2164956,2245332,2264824,2266232,2245248,2225252,2215576,2283448,2378128,2499916,2595432,2656028,2731952,2761276,2805820,2869448,2884132,2947008,3057228,3131672,3183968,3193436,3180204,3207228,3203620,3215120,3281012,3307924,3398552,3478220,3556768,3534388,3604428,3642884,3727540,3851920,3881320,3920868,3906952
