GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "29000","Missouri",4,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",5115666,5256742,5395450,5415690,5213576,5159728,5144848,5168544,5515588,5588264,5759252,5936216,6188556,6317604,6342796,6430216,6481040,6576564,6751012,6913028,7029548,7112516,7100952,7104968,7083136,7082432,7135576,7258516,7362196,7594700,7747144,7878464,7888016,8017820,8121664,8232548,8170084,8264204,8396256,8353640
 "29000","Missouri",4,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",4397771,4543647,4683207,4703563,4526089,4447873,4398673,4376661,4531080,4747016,4973168,5134748,5416320,5527252,5534020,5609248,5693360,5753600,5895124,6043612,6119800,6173012,6150128,6132156,6148408,6134376,6160068,6251324,6376176,6594972,6721924,6840700,6839528,6959168,7037520,7125632,7120892,7169044,7285736,7193976
 "29000","Missouri",4,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",117125,109333,109845,107469,125113,121645,113845,105905,122372,120068,122948,130320,147188,149664,145844,145824,149940,143208,141812,143852,146360,149404,151640,151432,174016,174968,177208,180132,194520,198980,203060,204888,217864,220860,222036,225608,252220,253312,255460,251892
 "29000","Missouri",4,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",40296,38520,40204,39608,41780,39308,38588,37660,51176,51484,52492,56120,64356,63956,62048,62948,71444,69092,70108,71036,73760,75200,74480,73652,85612,84516,85612,86596,93092,94852,96228,97204,104516,105400,105500,106676,122572,122380,123948,121984
 "29000","Missouri",4,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",76829,70813,69641,67861,83333,82337,75257,68245,71196,68584,70456,74200,82832,85708,83796,82876,78496,74116,71704,72816,72600,74204,77160,77780,88404,90452,91596,93536,101428,104128,106832,107684,113348,115460,116536,118932,129648,130932,131512,129908
 "29000","Missouri",4,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-70996,-72072,-74480,-75032,-79856,-79184,-78660,-78352,-87604,-91320,-96344,-100432,-112812,-116596,-118196,-120332,-135840,-137044,-139972,-145404,-161256,-163948,-164256,-163428,-171908,-171548,-172028,-175600,-189988,-195156,-199796,-204412,-219160,-223284,-225928,-231340,-242744,-244624,-247112,-246568
 "29000","Missouri",4,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",4209650,4362242,4498882,4521062,4321120,4247044,4206168,4192404,4321104,4535628,4753876,4903996,5156320,5260992,5269980,5343092,5407580,5473348,5613340,5754356,5812184,5859660,5834232,5817296,5802484,5787860,5810832,5895592,5991668,6200836,6319068,6431400,6402504,6515024,6589556,6668684,6625928,6671108,6783164,6695516
 "29000","Missouri",4,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",595548,592988,608992,621864,603940,610716,619632,639688,669544,683420,712664,734620,714628,731484,742256,757436,759212,787544,799536,821388,866820,905808,918212,930844,908000,908060,929940,946748,954216,967112,992368,1007276,1039924,1052600,1068216,1095564,1051864,1070564,1084548,1090688
 "29000","Missouri",4,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",310468,301512,287576,272764,288516,301968,319048,336452,524940,369216,292712,297600,317608,325128,330560,329688,314248,315672,338136,337284,350544,347048,348508,356828,372652,386512,394804,416176,416312,426752,435708,439788,445588,450196,463892,468300,492292,522532,528544,567436
 "29000","Missouri",4,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",3047912,3090332,3194680,3216552,3231532,3198824,3172780,3155824,3229320,3362112,3542620,3690752,3863008,3985556,4030872,4099252,4246780,4277768,4368372,4540656,4636584,4714984,4720792,4692876,4635756,4624640,4635436,4731728,4778272,4908532,5023700,5138932,5168044,5261996,5317500,5440992,5422740,5457248,5507500,5485480
