GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "30000","Montana",7,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",839408,862452,918976,929640,813077,794529,830877,822693,932121,958953,1005565,1084553,1070893,1105833,1084065,1110517,1094777,1089785,1149345,1133929,1100857,1147913,1143117,1147577,1161900,1113004,1118492,1116916,1198568,1233444,1238820,1249980,1281420,1287584,1285916,1317104,1317944,1343516,1376836,1388624
 "30000","Montana",7,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",729021,751553,807849,817925,694174,671510,701846,686738,773159,820147,874887,951143,939013,970401,945009,969721,942325,933069,986197,968421,952545,996013,988901,989357,1003924,951952,953760,947008,1023092,1055092,1056736,1064884,1099448,1103260,1096804,1124020,1110452,1128872,1158928,1161496
 "30000","Montana",7,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",19493,18221,18237,17621,21813,21273,19829,18549,20790,20838,21358,22206,24784,24900,24416,25164,27244,26880,27236,27536,26460,26436,26468,26088,29756,29708,29812,30128,32748,33320,33824,33880,37628,38044,38040,38568,41884,42192,42664,42112
 "30000","Montana",7,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",6836,6536,6824,6716,7308,6876,6748,6584,8428,8484,8648,9240,10460,10396,10080,10232,11560,11180,11352,11496,11696,11916,11808,11680,13524,13356,13524,13684,14760,15040,15264,15416,17912,18068,18084,18288,20152,20120,20380,20056
 "30000","Montana",7,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",12657,11685,11413,10905,14505,14397,13081,11965,12362,12354,12710,12966,14324,14504,14336,14932,15684,15700,15884,16040,14764,14520,14660,14408,16232,16352,16288,16444,17988,18280,18560,18464,19716,19976,19956,20280,21732,22072,22284,22056
 "30000","Montana",7,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-72,-72,-76,-80,-228,-220,-220,-220,-144,-144,-156,-164,-436,-444,-456,-472,-508,-504,-516,-524,-500,-508,-516,-504,-796,-792,-796,-796,-880,-908,-920,-936,-928,-948,-952,-992,-920,-932,-940,-932
 "30000","Montana",7,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",709456,733260,789536,800224,672133,650017,681797,667969,752225,799165,853373,928773,913793,945057,920137,944085,914573,905685,958445,940361,925585,969069,961917,962765,973372,921452,923152,916084,989464,1020864,1021992,1030068,1060892,1064268,1057812,1084460,1067648,1085748,1115324,1118452
 "30000","Montana",7,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",89952,90420,92492,94460,102592,104452,106824,110228,103492,105940,109596,112928,110628,113276,115580,118164,119372,123056,125464,128932,119732,124056,126284,128628,133428,134756,137360,139680,146916,148936,151956,154412,154072,156244,159032,162964,173152,176440,178984,180600
 "30000","Montana",7,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",40000,38772,36948,34956,38352,40060,42256,44496,76404,53848,42596,42852,46472,47500,48348,48268,60832,61044,65436,64636,55540,54788,54916,56184,55100,56796,57980,61152,62188,63644,64872,65500,66456,67072,69072,69680,77144,81328,82528,89572
 "30000","Montana",7,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",416952,419288,439268,444592,466620,464120,455580,452840,448836,469676,492976,509992,528496,544860,553036,562884,588164,587204,600228,615124,606424,615116,618172,615372,617816,615716,616920,627228,646912,663732,678876,692952,714712,730352,735156,750112,736488,743208,752636,751172
 "30000","Montana",7,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",28425,27801,27985,27677,33778,34254,33342,32898,32315,33891,35695,37363,39393,40789,41861,43585,45945,46385,47405,47933,47129,47345,48093,48237,49684,49744,50256,50960,54316,55536,56864,57512,61100,62660,63840,65344,66404,68224,69932,70984
 "30000","Montana",7,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",15768,16116,16572,16772,19273,19857,20261,20933,19953,21537,22985,24397,25069,26285,27525,28653,30261,30685,31521,31893,32365,32825,33433,33829,33452,33392,33968,34516,36328,37256,38304,39048,41384,42684,43884,45064,44672,46152,47648,48928
 "30000","Montana",7,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",12657,11685,11413,10905,14505,14397,13081,11965,12362,12354,12710,12966,14324,14504,14336,14932,15684,15700,15884,16040,14764,14520,14660,14408,16232,16352,16288,16444,17988,18280,18560,18464,19716,19976,19956,20280,21732,22072,22284,22056
 "30000","Montana",7,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",283644,304464,340596,345656,193776,173136,212924,201000,292008,316580,346216,403788,371124,384752,350112,363252,308216,299480,338564,305364,298992,333552,322636,325748,336424,286492,286584,268820,321864,335824,320996,314420,323636,310248,297808,308564,307560,317440,336360,339340
 "30000","Montana",7,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",190848,209984,244188,245940,91832,70756,111348,99252,184684,206836,233240,294200,257024,264744,225512,239072,187104,176516,214220,177104,172528,206952,198040,198688,210084,157696,157784,136640,186900,199904,180980,171752,182124,167608,152536,161996,160800,170052,186760,192832
 "30000","Montana",7,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",92796,94480,96408,99716,101944,102380,101576,101748,107324,109744,112976,109588,114100,120008,124600,124180,121112,122964,124344,128260,126464,126600,124596,127060,126340,128796,128800,132180,134964,135920,140016,142668,141512,142640,145272,146568,146760,147388,149600,146508
 "30000","Montana",7,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",226692,245064,283048,287280,127100,105176,146724,135792,216216,237892,264736,325184,291936,300412,261584,274416,224024,213488,250852,211340,205140,239624,230620,229616,245520,192044,190848,169532,220064,232700,214532,205360,214808,201008,185784,194940,196300,204924,222540,229044
 "30000","Montana",7,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",502329,506489,524801,530645,567074,566334,555122,550946,556943,582255,610151,625959,647077,669989,683425,695305,718301,719581,735345,757081,747405,756389,758281,759741,758404,759908,762912,777476,803028,822392,842204,859524,884640,902252,911020,929080,914152,923948,936388,932452
 "30000","Montana",7,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",422989,425681,441417,444409,469922,467294,454322,449738,464659,488123,512003,522255,541705,558937,566505,573477,591089,589437,602537,622757,611533,620149,621789,621985,619956,619944,620584,633412,655596,673052,690772,705420,725704,740368,745668,761092,743424,749780,758436,750164
 "30000","Montana",7,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",329,341,345,365,554,542,534,558,535,555,579,603,777,813,821,853,1089,1105,1109,1141,1313,1305,1317,1365,1504,1540,1592,1596,1736,1720,1712,1736,2144,2164,2172,2188,2552,2512,2524,2544
 "30000","Montana",7,SQINC5H,200,"B","   Mining","Thousands of dollars",42480,40068,44808,44236,47412,45220,38880,36024,36764,45424,47644,48792,52508,53020,54840,55880,66428,60288,62360,65832,68916,69020,70404,67964,62884,60648,59892,61128,70584,74052,75436,77948,82948,86908,84652,87832,72532,73140,74480,71092
 "30000","Montana",7,SQINC5H,300,"C","   Construction","Thousands of dollars",37952,40512,42784,42752,50676,48752,48412,49044,52356,55788,60156,63108,62192,64588,65488,66684,64176,64424,66320,67520,58668,57944,57928,58984,66892,67056,66068,67064,63008,65124,66232,65728,71908,75160,76864,77456,72844,73768,73452,73216
 "30000","Montana",7,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",61876,61860,63564,63640,66724,64044,64060,62440,64036,68504,73860,78084,75852,78036,77568,78164,82588,82772,84276,91276,90412,91644,90584,87864,90484,89844,88888,91804,102740,105800,107732,111080,115792,117464,118284,123048,113916,113192,113196,110264
 "30000","Montana",7,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",82232,80908,84808,84732,86148,89728,85308,82856,83680,86168,91292,93200,98892,104060,102012,103584,111328,110716,114492,116476,110320,114720,115268,114900,109320,108664,109188,110048,108996,112320,115912,118320,122980,124228,122784,126312,127232,129008,130284,129380
 "30000","Montana",7,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",126660,128836,131128,134408,138744,139204,136296,135176,139772,141936,146672,143968,155112,161804,166732,166960,161596,164904,166312,170556,169524,170940,169768,172880,171636,173648,173316,175556,179996,181272,186308,189876,188912,190988,194592,195196,205900,207112,211184,209084
