GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "37000","North Carolina",5,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",3712700,3907416,3909520,3942928,3856656,3817148,3847568,3783204,4224784,4303008,4591944,4692264,4708152,4987208,5085076,5270012,5123144,5106636,5113760,5306256,5360044,5401180,5430780,5293880,5485364,5467104,5465564,5554452,5730084,5900676,6079112,6105512,6188416,6306588,6358224,6528796,6424600,6396268,6407764,6319404
 "37000","North Carolina",5,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",3254205,3452381,3453473,3486225,3394632,3337556,3345340,3252240,3526364,3719152,4054688,4148584,4177968,4442648,4525360,4701488,4579052,4543704,4527604,4714396,4781988,4809276,4832148,4677568,4842220,4811660,4792596,4859936,5023112,5182604,5343020,5357240,5423220,5532720,5566484,5721556,5614292,5558620,5557568,5432048
 "37000","North Carolina",5,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",84193,79009,78449,75601,86108,83168,78572,74196,91604,92196,95700,102240,113904,114852,112028,113440,114908,112360,112636,115252,113356,115132,117196,117616,140292,141292,141932,142500,154684,155504,156660,156884,168952,171340,173112,177260,202612,204672,207112,204560
 "37000","North Carolina",5,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",27796,26576,27736,27320,28172,26508,26020,25400,36684,36904,37628,40224,46940,46644,45248,45908,49296,47664,48372,49000,49596,50568,50076,49528,60740,59964,60740,61440,67148,68424,69416,70120,76584,77236,77312,78172,93152,92996,94196,92704
 "37000","North Carolina",5,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",56397,52433,50713,48281,57936,56660,52552,48796,54920,55292,58072,62016,66964,68208,66780,67532,65612,64696,64264,66252,63760,64564,67120,68088,79552,81328,81192,81060,87536,87080,87244,86764,92368,94104,95800,99088,109460,111676,112916,111856
 "37000","North Carolina",5,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",8,8,8,12,740,752,752,752,1460,1528,1620,1724,2828,2992,3104,3220,4628,4688,4788,4868,6124,6148,6136,6136,6852,6832,6840,6928,7824,7980,8136,8272,9756,9920,10024,10172,11988,12096,12244,12316
 "37000","North Carolina",5,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",3170020,3373380,3375032,3410636,3309264,3255140,3267520,3178796,3436220,3628484,3960608,4048068,4066892,4330788,4416436,4591268,4468772,4436032,4419756,4604012,4674756,4700292,4721088,4566088,4708780,4677200,4657504,4724364,4876252,5035080,5194496,5208628,5264024,5371300,5403396,5554468,5423668,5366044,5362700,5239804
 "37000","North Carolina",5,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",332732,330592,340820,349272,345788,350480,355912,367328,382516,390108,406800,419916,419952,430716,437892,447388,441196,457368,464628,477256,459688,478956,486640,494900,536528,538596,551612,561848,585208,593540,608444,618136,637952,646116,656268,673552,677784,690528,700000,703728
 "37000","North Carolina",5,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",209948,203444,193668,183020,201604,211528,224136,237080,406048,284416,224536,224280,221308,225704,230748,231356,213176,213236,229376,224988,225600,221932,223052,232892,240056,251308,256448,268240,268624,272056,276172,278748,286440,289172,298560,300776,323148,339696,345064,375872
 "37000","North Carolina",5,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",2132776,2162816,2234920,2254400,2231252,2199496,2195456,2185684,2350456,2456684,2603356,2741400,2781084,2882924,2931356,2987884,3014664,3042732,3105664,3234008,3266532,3313360,3312280,3287336,3312972,3304080,3308216,3375016,3490560,3578296,3654192,3738604,3807124,3873256,3916396,4008056,3975512,3994452,4027888,4010848
