GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "32000","Nevada",8,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",275868,282448,290664,281272,291524,287812,292236,301272,330312,329668,341416,352312,370084,389940,392888,402632,447933,448185,458625,464341,497777,503177,502269,504601,534673,537741,543117,550089,611496,624600,637704,645200,641012,651028,662052,680152,691120,703568,713468,719764
 "32000","Nevada",8,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",240454,246806,254474,244418,253540,248380,250720,257220,271062,275702,288910,298702,316904,335448,337184,346316,394225,392457,400981,405317,442229,445433,443541,444205,471709,474009,477525,482521,541120,553352,564788,571008,562244,571128,579356,594864,606540,615592,623416,625452
 "32000","Nevada",8,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",8690,8098,8006,7674,8972,8712,8040,7452,8534,8402,8490,8818,10080,10160,9992,10388,12764,12728,13000,13276,14512,14660,14928,14972,18076,18200,18244,18316,21268,21532,21884,22076,22584,23016,22964,22900,25796,25536,25428,25004
 "32000","Nevada",8,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",2164,2072,2168,2136,2236,2104,2068,2012,2636,2652,2704,2904,3300,3284,3192,3240,4112,3972,4032,4084,4568,4656,4612,4564,5564,5496,5564,5628,6520,6640,6736,6812,7140,7196,7208,7288,8732,8716,8832,8692
 "32000","Nevada",8,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",6526,6026,5838,5538,6736,6608,5972,5440,5898,5750,5786,5914,6780,6876,6800,7148,8652,8756,8968,9192,9944,10004,10316,10408,12512,12704,12680,12688,14748,14892,15148,15264,15444,15820,15756,15612,17064,16820,16596,16312
 "32000","Nevada",8,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",0,0,0,0,-420,-428,-420,-420,-884,-924,-964,-1004,-1616,-1660,-1704,-1748,-2800,-2812,-2876,-2924,-4236,-4284,-4308,-4300,-5572,-5576,-5608,-5736,-7652,-7844,-8036,-8172,-8920,-9124,-9240,-9388,-10944,-11080,-11224,-11264
 "32000","Nevada",8,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",231764,238708,246468,236744,244148,239240,242260,249348,261644,266376,279456,288880,305208,323628,325488,334180,378661,376917,385105,389117,423481,426489,424305,424933,448061,450233,453673,458469,512200,523976,534868,540760,530740,538988,547152,562576,569800,578976,586764,589184
 "32000","Nevada",8,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",33184,33064,33952,34676,36996,37480,38036,39096,46776,47644,49560,50940,51648,52808,53568,54568,54208,56180,57320,59248,57336,59988,61204,62236,67308,67288,68824,70088,76300,77540,79512,80892,84160,85668,87528,90068,93172,95288,96820,97636
 "32000","Nevada",8,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",10920,10676,10244,9852,10380,11092,11940,12828,21892,15648,12400,12492,13228,13504,13832,13884,15064,15088,16200,15976,16960,16700,16760,17432,19304,20220,20620,21532,22996,23084,23324,23548,26112,26372,27372,27508,28148,29304,29884,32944
 "32000","Nevada",8,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",169224,171456,177976,179760,177952,177592,175372,175608,186092,193176,201932,209848,226348,233120,238336,243456,284252,285016,291232,297616,333352,337428,339016,339012,358676,358632,360472,367352,411768,422316,432384,440836,431980,441680,446916,454596,469616,474540,479800,480428
