GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "36000","New York",2,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",25199968,25538384,26245808,26418892,25835720,25786740,25848904,26062476,26762004,27111140,28113976,29082800,29078740,29951108,30372688,30882380,30592612,31001596,31719340,32802648,33002276,33646340,33723064,33782548,34226008,34305728,34607364,35423020,35599160,36434384,37356468,38165076,38159916,38814152,39425652,40363756,40938588,41478152,41977292,42078772
 "36000","New York",2,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",21710896,22075992,22736972,22845960,22475624,22274292,22165580,22142196,22360648,23258684,24449048,25326920,25672856,26429252,26736504,27186124,27024836,27275264,27882460,28940048,29174644,29636732,29644964,29539900,29896116,29913944,30036144,30698544,30815612,31600836,32353356,33076724,33233292,33812440,34284732,35079404,35685192,35997304,36405620,36289008
 "36000","New York",2,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",623040,582464,577784,557996,641108,637412,626740,630276,786736,831324,887044,931212,998480,987036,953228,966620,980740,972396,980180,1008216,994920,995404,988212,951624,1077908,1054080,1042408,1044224,1115492,1130676,1143876,1142552,1189564,1198068,1202280,1223564,1385080,1397064,1410644,1394224
 "36000","New York",2,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",173880,166188,173468,170900,176636,166216,163176,159252,226680,228016,232488,248544,287024,285240,276744,280780,309008,298880,303280,307256,311656,317748,314696,311220,379892,375024,379892,384272,419352,427288,433456,437864,460720,464620,465044,470228,541652,540780,547704,539064
 "36000","New York",2,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",449160,416276,404316,387096,464472,471196,463564,471024,560056,603308,654556,682668,711456,701796,676484,685840,671732,673516,676900,700960,683264,677656,673516,640404,698016,679056,662516,659952,696140,703388,710420,704688,728844,733448,737236,753336,843428,856284,862940,855160
 "36000","New York",2,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-506692,-515616,-532040,-535836,-541436,-536092,-534228,-533200,-554712,-577960,-608912,-635252,-660880,-680684,-689388,-701636,-721992,-728796,-744960,-776312,-823992,-838944,-841084,-838132,-873128,-873208,-877816,-897996,-923308,-948992,-972412,-996320,-1037436,-1057596,-1072052,-1099332,-1141048,-1150908,-1163200,-1161760
 "36000","New York",2,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",20581164,20977912,21627148,21752128,21293080,21100788,21004612,20978720,21019200,21849400,22953092,23760456,24013496,24761532,25093888,25517868,25322104,25574072,26157320,27155520,27355732,27802384,27815668,27750144,27945080,27986656,28115920,28756324,28776812,29521168,30237068,30937852,31006292,31556776,32010400,32756508,33159064,33449332,33831776,33733024
 "36000","New York",2,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",3257240,3222176,3329864,3416176,3464248,3507908,3549104,3667508,3715852,3789096,3988180,4120216,3857084,3956308,4001024,4071820,4039132,4197244,4236776,4338596,4307844,4516432,4563612,4610016,4821700,4778108,4914208,5005092,5126656,5200364,5377596,5469412,5362508,5440716,5527976,5703704,5828744,5950744,6036124,6043136
 "36000","New York",2,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",1361564,1338296,1288796,1250588,1078392,1178044,1295188,1416248,2026952,1472644,1172704,1202128,1208160,1233268,1277776,1292692,1231376,1230280,1325244,1308532,1338700,1327524,1343784,1422388,1459228,1540964,1577236,1661604,1695692,1712852,1741804,1757812,1791116,1816660,1887276,1903544,1950780,2078076,2109392,2302612
 "36000","New York",2,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",17951300,18238652,18814384,18932328,18627052,18412172,18319720,18258524,18298828,19042656,20037372,20888932,21103336,21699396,21930768,22290688,22264276,22440332,22921200,23882544,24125276,24555252,24596756,24479964,24717652,24702712,24809636,25365692,25317936,26010036,26631692,27272844,27444440,27950340,28286092,28977220,29324404,29529724,29808088,29711880
