GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "39000","Ohio",3,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",11836944,12029084,12348828,12335120,11702072,11590752,11574968,11574056,12305736,12527092,13040932,13546604,14366420,14834412,14949764,15201116,15403572,15602496,15988868,16651988,17242244,17531348,17552904,17473340,17380720,17384500,17449444,17838136,18289776,18728900,19119388,19516660,19671052,20000292,20295896,20797372,20997708,21198860,21390432,21340688
 "39000","Ohio",3,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",10242200,10446796,10765264,10752388,10195796,10027408,9939804,9843672,10292896,10767508,11378656,11835296,12765212,13185016,13256260,13488784,13731376,13870020,14200128,14837380,15396692,15619328,15607932,15466904,15291240,15245340,15243888,15561092,16014952,16422960,16755280,17121064,17316792,17618700,17854060,18301192,18420428,18509608,18657300,18488880
 "39000","Ohio",3,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",277572,261192,263512,258836,296196,291532,280176,268880,327708,334068,349248,368484,426160,428780,419700,430744,454784,453352,460952,478816,486196,490216,490788,478320,541604,536256,536256,543712,599700,614608,627680,634532,674564,684352,688332,700584,777008,778556,782628,769740
 "39000","Ohio",3,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",99056,94668,98816,97348,101760,95736,93988,91728,128356,129108,131640,140732,163968,162944,158092,160388,178596,172740,175284,177580,181300,184844,183072,181044,221592,218760,221592,224164,245936,250588,254212,256792,275332,277656,277912,281016,316748,316248,320284,315236
 "39000","Ohio",3,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",178516,166524,164696,161488,194436,195796,186188,177152,199352,204960,217608,227752,262192,265836,261608,270356,276188,280612,285668,301236,304896,305372,307716,297276,320012,317496,314664,319548,353764,364020,373468,377740,399232,406696,410420,419568,460260,462308,462344,454504
 "39000","Ohio",3,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-60916,-62792,-63704,-64252,-66760,-65780,-67312,-67492,-72220,-73932,-78668,-83060,-93784,-97276,-97812,-99160,-105104,-107240,-109360,-115316,-126048,-128288,-127848,-126764,-128160,-128004,-128136,-131420,-137608,-141600,-144916,-148636,-148428,-150856,-153272,-157652,-155576,-156164,-157156,-156556
 "39000","Ohio",3,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",9903712,10122812,10438048,10429300,9832840,9670096,9592316,9507300,9892968,10359508,10950740,11383752,12245268,12658960,12738748,12958880,13171488,13309428,13629816,14243248,14784448,15000824,14989296,14861820,14621476,14581080,14579496,14885960,15277644,15666752,15982684,16337896,16493800,16783492,17012456,17442956,17487844,17574888,17717516,17562584
 "39000","Ohio",3,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",1227704,1221840,1258256,1288828,1322832,1341896,1364592,1408760,1442556,1471888,1534608,1583320,1553740,1592216,1616224,1648668,1624776,1682240,1705432,1748780,1780700,1854936,1882400,1913692,1979320,1985704,2033264,2068944,2157840,2184880,2239012,2272644,2258092,2286052,2321620,2382908,2463320,2510112,2545084,2560524
 "39000","Ohio",3,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",705528,684432,652524,616992,546400,578760,618060,657996,970212,695696,555584,579532,567412,583236,594792,593568,607308,610828,653620,659960,677096,675588,681208,697828,779924,817716,836684,883232,854292,877268,897692,906120,919160,930748,961820,971508,1046544,1113860,1127832,1217580
 "39000","Ohio",3,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",8153460,8256068,8537168,8581488,8212424,8060984,8006144,7929148,8269396,8672344,9186784,9631036,10362596,10695368,10778148,10930492,11159664,11220860,11464120,12059916,12588516,12797952,12782520,12645228,12354488,12309460,12309344,12606580,12998820,13382952,13682836,14029792,14169164,14422544,14578516,14980820,15024656,15084724,15190408,15069356
