GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "40000","Oklahoma",6,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",2261089,2451625,2408413,2441365,2450213,2504961,2509121,2474813,2643233,2533129,2553421,2645849,2766272,2840456,2962564,3093132,3093280,3168172,3278704,3227932,3269356,3345264,3308112,3326576,3329148,3293700,3318580,3348524,3413608,3466052,3517012,3643736,3651156,3723768,3740708,3813872,3811188,3866376,3958024,3985496
 "40000","Oklahoma",6,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",1865225,2058637,2020861,2059437,2050429,2092409,2076965,2020101,2076105,2058961,2118137,2204817,2329984,2393948,2507028,2633448,2623828,2686688,2777180,2721284,2726104,2791672,2748188,2753536,2767992,2722620,2734516,2746588,2822788,2865696,2904816,3022820,3003300,3069744,3072544,3133484,3131236,3165940,3247968,3246948
 "40000","Oklahoma",6,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",44724,41996,42500,41788,50760,49748,45944,41956,47408,45876,45852,47648,54416,55468,55088,56960,63156,62364,63592,65420,66460,67432,68220,67288,77628,77156,77408,78132,84368,85964,87292,87664,93652,94856,94960,96308,107176,107792,108864,107364
 "40000","Oklahoma",6,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",15372,14688,15336,15108,15832,14896,14620,14272,19972,20092,20484,21904,25268,25108,24360,24708,28764,27828,28236,28608,30168,30760,30456,30120,35596,35140,35596,36008,38688,39416,39992,40400,43956,44332,44372,44876,51176,51088,51748,50928
 "40000","Oklahoma",6,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",29352,27308,27164,26680,34928,34852,31324,27684,27436,25784,25368,25744,29148,30360,30728,32252,34392,34536,35356,36812,36292,36672,37764,37168,42032,42016,41812,42124,45680,46548,47300,47264,49696,50524,50588,51432,56000,56704,57116,56436
 "40000","Oklahoma",6,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",0,0,4,4,168,176,184,188,400,400,424,444,868,904,916,928,1296,1332,1356,1404,1680,1708,1712,1696,1928,1920,1936,1980,2220,2268,2316,2360,2748,2780,2828,2892,3512,3520,3540,3548
 "40000","Oklahoma",6,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",1820501,2016641,1978365,2017653,1999837,2042837,2031205,1978333,2029097,2013485,2072709,2157613,2276436,2339384,2452856,2577416,2561968,2625656,2714944,2657268,2661324,2725948,2681680,2687944,2692292,2647384,2659044,2670436,2740640,2782000,2819840,2937516,2912396,2977668,2980412,3040068,3027572,3061668,3142644,3143132
 "40000","Oklahoma",6,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",232792,234152,239372,244316,258752,263112,269076,277536,282028,288396,298624,308028,295240,302456,308356,315080,330600,341172,347848,358136,378956,394564,401952,409672,417100,420424,429404,436880,423484,428960,437712,444304,470508,476324,483820,495196,497340,506000,512728,517288
 "40000","Oklahoma",6,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",207796,200832,190676,179396,191624,199012,208840,218944,332108,231248,182088,180208,194596,198616,201352,200636,200712,201344,215912,212528,229076,224752,224480,228960,219756,225892,230132,241208,249484,255092,259460,261916,268252,269776,276476,278608,286276,298708,302652,325076
 "40000","Oklahoma",6,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",1240220,1247952,1304168,1316116,1357788,1345716,1315684,1304360,1336736,1410824,1482836,1543004,1617176,1670884,1706252,1743408,1850548,1848132,1888780,1945764,1957416,1980252,1987944,1976608,1993188,1984980,1988852,2024300,2058372,2113024,2157576,2204140,2230916,2278460,2293676,2342436,2326876,2347496,2375324,2365676
