GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "41000","Oregon",8,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",2259132,2337024,2402544,2423144,2354260,2341592,2341048,2357840,2510868,2539912,2632508,2704444,2812500,2914556,2943700,3003700,3007496,3048164,3137884,3214592,3149636,3161816,3160692,3165308,3103244,3119112,3121480,3202296,3293072,3366436,3429944,3499792,3538408,3615808,3684308,3737108,3584948,3640528,3684984,3697136
 "41000","Oregon",8,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",1947880,2024080,2087972,2106220,2005172,1978572,1958364,1951196,2045896,2125588,2238660,2300232,2414324,2506100,2523704,2576416,2551248,2578400,2648556,2719568,2658692,2657788,2647432,2633328,2609024,2612432,2601204,2664952,2744848,2809224,2860260,2920336,2951636,3019604,3071156,3110200,2973468,3005792,3039720,3022324
 "41000","Oregon",8,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",62396,58728,58820,57636,66896,65412,61240,56924,65860,64644,65928,68600,77288,77876,76100,77720,81424,80892,82260,85300,84072,85700,86796,85688,96176,95636,95624,96276,103944,105604,107380,108088,114692,116480,117424,119720,130204,131208,132456,130836
 "41000","Oregon",8,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",16716,15964,16668,16420,17080,16068,15780,15396,21344,21468,21884,23396,26912,26752,25952,26328,30760,29748,30188,30584,31736,32360,32044,31692,36756,36292,36756,37192,39764,40508,41104,41520,44080,44456,44496,44988,51888,51800,52468,51636
 "41000","Oregon",8,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",45680,42764,42152,41216,49816,49344,45460,41528,44516,43176,44044,45204,50376,51124,50148,51392,50664,51144,52072,54716,52336,53340,54752,53996,59420,59344,58868,59084,64180,65096,66276,66568,70612,72024,72928,74732,78316,79408,79988,79200
 "41000","Oregon",8,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",0,0,-4,-8,-920,-908,-908,-904,-216,-116,-16,104,-452,-192,-4,516,-1488,-976,-1228,-1460,-3436,-3500,-3548,-3560,-4660,-4780,-4848,-4988,-6556,-6756,-6956,-7196,-8336,-8500,-8592,-8888,-8772,-8828,-8992,-9104
 "41000","Oregon",8,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",1885484,1965352,2029148,2048576,1937356,1912252,1896216,1893368,1979820,2060828,2172716,2231736,2336584,2428032,2447600,2499212,2468336,2496532,2565068,2632808,2571184,2568588,2557088,2544080,2508188,2512016,2500732,2563688,2634348,2696864,2745924,2805052,2828608,2894624,2945140,2981592,2834492,2865756,2898272,2882384
 "41000","Oregon",8,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",263740,264316,270444,275940,305924,311044,317720,328352,318828,326772,338552,348068,350176,357712,364128,372184,363528,375720,383824,395244,417308,433900,442732,451732,429732,433928,443612,451736,472296,479620,490304,499220,507252,516032,526544,541052,519424,530064,537952,542112
 "41000","Oregon",8,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",109908,107356,102952,98628,110980,118296,127112,136120,212220,152312,121240,124640,125740,128812,131972,132304,175632,175912,188992,186540,161144,159328,160872,169496,165324,173168,177136,186872,186428,189952,193716,195520,202548,205152,212624,214464,231032,244708,248760,272640
 "41000","Oregon",8,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",1343784,1363044,1411128,1423436,1385904,1370196,1362968,1357328,1404812,1461268,1539932,1603556,1674548,1726072,1743512,1770232,1784744,1797796,1835524,1906604,1865680,1897076,1899920,1889928,1870360,1866928,1871732,1910352,1960052,2012212,2059432,2107732,2137236,2176400,2200320,2251744,2156848,2171772,2193900,2188988
 "41000","Oregon",8,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",92400,91236,92100,92452,101784,103044,101264,99248,104516,106636,111736,117184,127584,132704,135776,141096,141232,144352,148008,152720,149088,151680,154540,155640,161376,162172,164120,166848,174800,178748,183344,186528,193616,198836,204576,210952,212260,217964,223132,226736
 "41000","Oregon",8,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",46720,48472,49948,51236,51968,53700,55804,57720,60000,63460,67692,71980,77208,81580,85628,89704,90568,93208,95936,98004,96752,98340,99788,101644,101956,102828,105252,107764,110620,113652,117068,119960,123004,126812,131648,136220,133944,138556,143144,147536
 "41000","Oregon",8,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",45680,42764,42152,41216,49816,49344,45460,41528,44516,43176,44044,45204,50376,51124,50148,51392,50664,51144,52072,54716,52336,53340,54752,53996,59420,59344,58868,59084,64180,65096,66276,66568,70612,72024,72928,74732,78316,79408,79988,79200
 "41000","Oregon",8,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",511696,569800,584744,590332,517484,505332,494132,494620,536568,557684,586992,579492,612192,647324,644416,665088,625272,636252,665024,660244,643924,609032,592972,587760,577288,583332,565352,587752,609996,618264,617484,626076,620784,644368,666260,647504,604360,616056,622688,606600
 "41000","Oregon",8,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",141824,193872,200616,193956,136016,122596,113260,112804,130980,139800,154244,157804,173336,190320,174888,195800,169472,173180,196696,175912,175816,141536,133224,120908,129664,125860,108344,117956,130712,136316,122684,123160,126220,146616,160044,136644,113416,122676,122324,117184
 "41000","Oregon",8,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",369872,375928,384128,396376,381468,382736,380872,381816,405588,417884,432748,421688,438856,457004,469528,469288,455800,463072,468328,484332,468108,467496,459748,466852,447624,457472,457008,469796,479284,481948,494800,502916,494564,497752,506216,510860,490944,493380,500364,489416
 "41000","Oregon",8,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",194220,245160,257412,254380,187748,173068,165136,166392,186584,194552,209820,212476,229564,247776,233012,252780,228856,232672,255624,231012,232028,197824,189380,174216,186428,180896,161336,170692,184088,189084,176680,177228,178576,200124,213304,189416,168996,177272,178360,173900
 "41000","Oregon",8,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",1753660,1778920,1830560,1851840,1817424,1805504,1793228,1784804,1859312,1931036,2028840,2087756,2184760,2258324,2290692,2323636,2322392,2345728,2392932,2488556,2426664,2459964,2458052,2459112,2422596,2431536,2439868,2494260,2560760,2620140,2683580,2743108,2773060,2819480,2857852,2920784,2804472,2828520,2861360,2848424
 "41000","Oregon",8,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",1567320,1588420,1632744,1646000,1595952,1579432,1562664,1553584,1640596,1709096,1799188,1847492,1929244,1990040,2008400,2029424,2020516,2036920,2077132,2168488,2103160,2134740,2131692,2128412,2086484,2090488,2091668,2141192,2203704,2257932,2315904,2368260,2385060,2423416,2452076,2507440,2382432,2396512,2418788,2393824
 "41000","Oregon",8,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",11548,12072,12220,12664,11364,11092,10940,11136,11456,11848,12328,12728,12076,12660,13112,13612,12980,13228,13216,13728,13752,13672,13800,14284,15448,15636,16256,16420,15184,15152,15024,15212,16600,16708,16764,16988,17100,16820,16900,16912
 "41000","Oregon",8,SQINC5H,200,"B","   Mining","Thousands of dollars",6556,6252,6952,6872,7520,7148,6216,5784,5608,6816,7124,7256,7024,7104,7348,7424,7260,6564,6788,7148,7532,7552,7708,7464,8016,7716,7644,7800,7948,8364,8564,8872,9264,9712,9472,9848,9192,9208,9360,8940
 "41000","Oregon",8,SQINC5H,300,"C","   Construction","Thousands of dollars",137740,147416,156728,156540,152676,147724,147120,149384,158112,167824,179736,187644,188004,194768,197184,200472,179308,180260,185360,188644,177392,175484,175136,178024,167264,167184,164384,166420,166544,171552,174712,173608,188676,196900,201520,203260,193956,196664,196004,195120
 "41000","Oregon",8,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",531096,530952,545792,546440,516548,495852,495568,482724,526128,562304,605848,640928,678292,698276,694240,699484,701144,702708,715984,776248,724768,735740,727948,706420,707388,701796,694412,717048,755040,777932,792524,817532,807744,819680,825964,859488,781104,776520,776804,757420
 "41000","Oregon",8,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",176732,173956,182288,182184,181320,188768,179596,174424,187480,193024,204388,208688,218744,230056,225600,229148,238408,237160,245272,249752,246996,257036,258392,257728,251012,249524,250740,252528,255096,262740,271056,276716,288656,291668,288436,296772,292012,296156,299084,296988
 "41000","Oregon",8,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",424020,431260,438820,449972,438764,440252,430772,426916,440484,446796,461324,452116,483248,504744,520496,520808,518364,528992,533576,547652,535772,540472,536612,546668,535032,541600,540292,547232,564840,568448,584284,595480,596436,603064,614764,616552,600404,603828,615740,609256
 "41000","Oregon",8,SQINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",61932,63988,65636,66228,69956,70756,71784,75568,81008,86636,90584,93804,93048,92736,93352,95808,96184,98344,101256,103864,106224,108012,110852,113564,110836,113560,117832,121944,120616,124364,128268,130212,130240,131672,133220,135804,131544,133880,136196,138100
 "41000","Oregon",8,SQINC5H,800,"I","   Services","Thousands of dollars",217696,222524,224308,225100,217804,217840,220668,227648,230320,233848,237856,244328,248808,249696,257068,262668,266868,269664,275680,281452,290724,296772,301244,304260,291488,293472,300108,311800,318436,329380,341472,350628,347444,354012,361936,368728,357120,363436,368700,371088
 "41000","Oregon",8,SQINC5H,900,"...","  Government and government enterprises","Thousands of dollars",186340,190500,197816,205840,221472,226072,230564,231220,218716,221940,229652,240264,255516,268284,282292,294212,301876,308808,315800,320068,323504,325224,326360,330700,336112,341048,348200,353068,357056,362208,367676,374848,388000,396064,405776,413344,422040,432008,442572,454600
 "41000","Oregon",8,SQINC5H,910,"...","   Federal civilian","Thousands of dollars",65048,65216,65856,67144,70268,71484,71540,70848,61580,62132,64628,69140,72176,77132,81376,84816,84416,86248,87132,86992,89324,88520,87884,87292,89376,89092,89616,90704,93548,95176,96776,98148,105296,106796,108384,109672,111728,113820,116460,119808
 "41000","Oregon",8,SQINC5H,920,"...","   Military","Thousands of dollars",16460,16972,17928,19388,19400,20716,20988,20612,20556,20948,22760,26228,34612,39112,42804,45656,45140,46476,47072,46924,43248,42740,42384,42020,43312,42888,42720,42536,43228,43200,43228,43200,44800,44820,44856,44624,44108,44100,44204,44544
 "41000","Oregon",8,SQINC5H,930,"...","   State and local","Thousands of dollars",104832,108312,114032,119308,131804,133872,138036,139760,136580,138860,142264,144896,148728,152040,158112,163740,172320,176084,181596,186152,190932,193964,196092,201388,203424,209068,215864,219828,220280,223832,227672,233500,237904,244448,252536,259048,266204,274088,281908,290248
"Note: See the included footnote file."
"SQINC5H: Personal Income by Major Component and Earnings by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
