GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "42000","Pennsylvania",2,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",14411440,14573764,15024612,15109448,14688672,14598844,14513944,14500436,15822124,15927380,16442464,17037152,17351632,17932620,18190292,18436596,18348896,18510432,18944580,19700588,20039516,20383464,20396196,20348192,19667256,19681256,19784876,20250688,20327224,20794360,21274528,21737028,22142832,22524620,22842504,23392328,23631164,23869640,24104584,24076088
 "42000","Pennsylvania",2,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",12624056,12792308,13234204,13307976,12832676,12662556,12471620,12321224,12661952,13284180,14013316,14566980,15286840,15820756,16015244,16208400,16158196,16206884,16545612,17271688,17563976,17838260,17829568,17706184,16937200,16897656,16922268,17305500,17434072,17892120,18310772,18748756,19091164,19443444,19673696,20132940,20448944,20527684,20693420,20497600
 "42000","Pennsylvania",2,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",343536,322576,327052,321964,368532,359816,337932,314216,365928,368128,390588,433324,527456,547676,530912,516244,482672,444532,435752,452676,473872,500828,519292,519148,581928,583296,591052,606184,659992,686220,713124,735632,789268,806376,802844,796400,861540,837732,826108,804712
 "42000","Pennsylvania",2,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",127372,121728,127056,125180,129064,121444,119220,116352,161296,162244,165424,176848,203956,202676,196632,199500,216692,209584,212672,215452,215168,219372,217272,214864,257052,253760,257052,260032,279668,284964,289080,292024,300416,302952,303240,306620,354308,353740,358260,352612
 "42000","Pennsylvania",2,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",216164,200848,199996,196784,239468,238372,218712,197864,204632,205884,225164,256476,323500,345000,334280,316744,265980,234948,223080,237224,258704,281456,302020,304284,324876,329536,334000,346152,380324,401256,424044,443608,488852,503424,499604,489780,507232,483992,467848,452100
 "42000","Pennsylvania",2,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-23712,-23864,-24852,-24968,-45292,-44572,-43844,-43300,-45988,-48808,-51680,-54056,-62184,-64208,-64892,-65904,-68156,-68188,-69772,-73308,-72012,-73232,-73316,-72444,-63928,-63588,-63572,-65216,-62040,-64040,-65600,-67468,-64428,-65604,-66228,-68388,-70664,-70992,-71580,-70740
 "42000","Pennsylvania",2,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",12256808,12445868,12882300,12961044,12418852,12258168,12089844,11963708,12250036,12867244,13571048,14079600,14697200,15208872,15419440,15626252,15607368,15694164,16040088,16745704,17018092,17264200,17236960,17114592,16291344,16250772,16267644,16634100,16712040,17141860,17532048,17945656,18237468,18571464,18804624,19268152,19516740,19618960,19795732,19622148
 "42000","Pennsylvania",2,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",1427088,1417324,1460784,1496440,1507244,1526548,1548216,1597864,1700124,1732928,1816840,1877500,1836272,1884244,1910432,1948072,1909616,1983412,2008976,2062640,2145012,2246184,2274632,2303172,2329924,2315892,2376196,2418324,2434984,2466628,2538632,2576536,2694680,2723960,2758384,2833856,2788776,2837636,2872888,2878296
 "42000","Pennsylvania",2,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",727544,710572,681528,651964,762576,814128,875884,938864,1871964,1327208,1054576,1080052,818160,839504,860420,862272,831912,832856,895516,892244,876412,873080,884604,930428,1045988,1114592,1141036,1198264,1180200,1185872,1203848,1214836,1210684,1229196,1279496,1290320,1325648,1413044,1435964,1575644
 "42000","Pennsylvania",2,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",10300788,10385844,10786800,10834624,10458332,10272444,10129240,10010736,10251004,10807752,11430192,11959996,12449040,12839780,12963276,13161052,13228484,13258552,13551944,14212860,14435312,14670380,14669560,14516184,13806776,13750532,13757948,14080740,14103240,14516344,14846060,15220468,15461576,15743556,15898424,16328036,16538804,16617436,16747412,16615100
 "42000","Pennsylvania",2,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",579936,574920,587300,591228,623760,631820,623344,614684,641728,677484,731032,795940,903876,956040,971648,979092,931928,912676,918688,953064,988524,1023832,1055604,1066112,1044828,1052224,1070092,1102380,1143928,1189136,1237236,1279792,1347676,1390360,1418136,1443260,1482348,1487652,1500344,1506116
 "42000","Pennsylvania",2,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",363772,374072,387304,394444,384292,393448,404632,416820,437096,471600,505868,539464,580376,611040,637368,662348,665948,677728,695608,715840,729820,742376,753584,761828,719952,722688,736092,756228,763604,787880,813192,836184,858824,886936,918532,953480,975116,1003660,1032496,1054016
 "42000","Pennsylvania",2,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",216164,200848,199996,196784,239468,238372,218712,197864,204632,205884,225164,256476,323500,345000,334280,316744,265980,234948,223080,237224,258704,281456,302020,304284,324876,329536,334000,346152,380324,401256,424044,443608,488852,503424,499604,489780,507232,483992,467848,452100
 "42000","Pennsylvania",2,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",1743332,1831544,1860104,1882124,1750584,1758292,1719036,1695804,1769220,1798944,1852092,1811044,1933924,2024936,2080320,2068256,1997784,2035656,2074980,2105764,2140140,2144048,2104404,2123888,2085596,2094900,2094228,2122380,2186904,2186640,2227476,2248496,2281912,2309528,2357136,2361644,2427792,2422596,2445664,2376384
 "42000","Pennsylvania",2,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",287016,358288,362972,331436,265212,268468,242760,226648,215884,210640,212896,229152,272152,281260,278528,273216,238740,249296,270940,239428,232540,239340,237596,228476,242952,209656,214724,191864,197180,190588,177668,163584,185264,199320,208000,196836,160024,146736,136520,121936
 "42000","Pennsylvania",2,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",1456316,1473256,1497132,1550688,1485372,1489824,1476276,1469156,1553336,1588304,1639196,1581892,1661772,1743676,1801792,1795040,1759044,1786360,1804040,1866336,1907600,1904708,1866808,1895412,1842644,1885244,1879504,1930516,1989724,1996052,2049808,2084912,2096648,2110208,2149136,2164808,2267768,2275860,2309144,2254448
 "42000","Pennsylvania",2,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",375912,445292,459368,433992,352416,353564,330232,317000,303700,297112,300628,315444,359452,370416,368704,361596,329104,339808,360580,323216,320420,327344,325348,311804,324924,289140,291232,267976,270396,262972,251708,237744,257740,273388,281732,269880,233648,219048,210728,197040
 "42000","Pennsylvania",2,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",12248144,12347016,12774836,12873984,12480260,12308992,12141388,12004224,12358252,12987068,13712688,14251536,14927388,15450340,15646540,15846804,15829092,15867076,16185032,16948472,17243556,17510916,17504220,17394380,16612276,16608516,16631036,17037524,17163676,17629148,18059064,18511012,18833424,19170056,19391964,19863060,20215296,20308636,20482692,20300560
 "42000","Pennsylvania",2,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",11199968,11276480,11665144,11721108,11327380,11131700,10943232,10804828,11168868,11780524,12461488,12936288,13483512,13926984,14042012,14174620,14116212,14115680,14400000,15146060,15441464,15705508,15696804,15571700,14827172,14804068,14795296,15178460,15305580,15745380,16147972,16566344,16845000,17144148,17321420,17758084,18134184,18182204,18306896,18067424
 "42000","Pennsylvania",2,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",22584,23636,23908,24844,27072,26400,26020,26480,28224,29212,30388,31392,32472,34040,35264,36652,36740,37408,37388,38796,39724,39580,39956,41348,40748,41268,42812,43192,42320,42208,41924,42448,44068,44464,44632,45092,44512,43836,43984,44188
 "42000","Pennsylvania",2,SQINC5H,200,"B","   Mining","Thousands of dollars",735828,692424,776420,766956,664956,635224,543832,502884,531408,658236,691472,710568,685372,692956,716344,728972,651904,589736,610104,645428,604512,606500,619968,598260,474596,458572,452292,462056,431316,452768,460776,476292,487960,511436,498028,515968,506740,510816,519772,495864
 "42000","Pennsylvania",2,SQINC5H,300,"C","   Construction","Thousands of dollars",581412,619952,653128,653504,658588,631968,626372,633348,683220,729308,790020,832476,867092,903320,915952,931108,951628,951936,979700,998936,1031552,1021128,1023608,1043928,974640,978428,965412,981696,993284,1029240,1047628,1041056,1048856,1098144,1122504,1129288,1165364,1177560,1170684,1166832
 "42000","Pennsylvania",2,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",4940192,4957780,5111320,5116536,4875368,4680108,4675852,4566116,4690548,5015828,5408396,5765680,6088728,6301288,6285088,6322936,6347300,6347204,6468080,7018228,7249340,7381952,7323724,7122428,6665476,6604092,6548208,6768824,6887524,7119844,7269980,7515904,7638472,7753760,7822344,8128880,8309008,8256512,8256880,8068092
 "42000","Pennsylvania",2,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",1171812,1153148,1209760,1209216,1149256,1197500,1138088,1104692,1165728,1200520,1272920,1301312,1360308,1434000,1404572,1423348,1422420,1411712,1459548,1485548,1484888,1546688,1555588,1550828,1470084,1460920,1468456,1481044,1490340,1537688,1588572,1623932,1665012,1682992,1663064,1709004,1731108,1753140,1769188,1756148
 "42000","Pennsylvania",2,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",2190196,2230664,2272280,2324984,2300436,2306244,2260896,2244196,2317352,2356992,2440496,2409104,2543608,2647072,2719800,2722528,2678480,2727200,2750276,2820868,2862704,2894224,2882756,2935372,2879580,2910020,2907084,2945376,2973168,3000540,3087548,3150424,3228656,3266632,3326592,3335172,3400180,3416328,3480556,3445588
 "42000","Pennsylvania",2,SQINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",367092,378804,388592,390464,395196,397980,400104,413724,420352,440336,457188,474992,485624,489232,494852,508528,523432,533032,546848,559820,574692,587196,600424,612984,617988,632972,654316,671700,673728,690320,709896,721208,726988,738884,748128,762152,789176,801064,813572,825868
 "42000","Pennsylvania",2,SQINC5H,800,"I","   Services","Thousands of dollars",1190852,1220072,1229736,1234604,1256508,1256276,1272068,1313388,1332036,1350092,1370608,1410764,1420308,1425076,1470140,1500548,1504308,1517452,1548056,1578436,1594052,1628240,1650780,1666552,1704060,1717796,1756716,1824572,1813900,1872772,1941648,1995080,2004988,2047836,2096128,2132528,2188096,2222948,2252260,2264844
 "42000","Pennsylvania",2,SQINC5H,900,"...","  Government and government enterprises","Thousands of dollars",1048176,1070536,1109692,1152876,1152880,1177292,1198156,1199396,1189384,1206544,1251200,1315248,1443876,1523356,1604528,1672184,1712880,1751396,1785032,1802412,1802092,1805408,1807416,1822680,1785104,1804448,1835740,1859064,1858096,1883768,1911092,1944668,1988424,2025908,2070544,2104976,2081112,2126432,2175796,2233136
 "42000","Pennsylvania",2,SQINC5H,910,"...","   Federal civilian","Thousands of dollars",379556,380396,384196,391776,407052,413968,414396,410272,422948,426680,443800,474840,540488,577560,609316,635096,648460,662612,669368,668312,671492,665276,660596,656164,647660,645644,649428,657300,658904,670324,681676,691272,689920,699768,710164,718560,712712,726120,742892,764264
 "42000","Pennsylvania",2,SQINC5H,920,"...","   Military","Thousands of dollars",125312,128772,135292,144996,152276,161912,164544,162788,136940,140456,153432,175812,234088,263620,287900,306768,335736,345632,350132,349084,322008,318348,315892,313424,270140,267648,266680,265584,271432,271192,271416,271116,271416,271440,271708,270264,253660,253640,254228,256256
 "42000","Pennsylvania",2,SQINC5H,930,"...","   State and local","Thousands of dollars",543308,561368,590204,616104,593552,601412,619216,626336,629496,639408,653968,664596,669300,682176,707312,730320,728684,743152,765532,785016,808592,821784,830928,853092,867304,891156,919632,936180,927760,942252,958000,982280,1027088,1054700,1088672,1116152,1114740,1146672,1178676,1212616
"Note: See the included footnote file."
"SQINC5H: Personal Income by Major Component and Earnings by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
