GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "44000","Rhode Island",1,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1127516,1140388,1170608,1182340,1123816,1123884,1134884,1146756,1213896,1223464,1269392,1327508,1337452,1386760,1414468,1439928,1424972,1445820,1479216,1535172,1555216,1578968,1579844,1579060,1559880,1563544,1572752,1608204,1625004,1660416,1698152,1732972,1705384,1731880,1758388,1797780,1767332,1788796,1808136,1816876
 "44000","Rhode Island",1,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",986441,999605,1028673,1036805,978649,966861,965205,961245,1008188,1055824,1119624,1175240,1180928,1225880,1246692,1269040,1265036,1279980,1305940,1362988,1361512,1377940,1375248,1365048,1337892,1335932,1337096,1364192,1360864,1392488,1421580,1451660,1432532,1454596,1472760,1504604,1456828,1465080,1478396,1471196
 "44000","Rhode Island",1,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",39841,37545,37685,36685,37517,36813,36065,35717,44836,46776,49560,52500,55348,55172,53600,54544,55312,54904,55668,57820,56640,57352,57756,56636,61200,60784,60764,61400,65060,66208,67248,67660,69132,69868,70144,71184,76752,76820,77212,75976
 "44000","Rhode Island",1,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",17396,16624,17352,17096,14820,13952,13696,13368,17536,17644,17984,19236,20712,20580,19972,20260,21792,21072,21384,21660,21748,22180,21968,21716,24148,23840,24148,24436,25932,26424,26804,27080,27660,27888,27916,28232,31636,31588,31992,31488
 "44000","Rhode Island",1,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",22445,20921,20333,19589,22697,22861,22369,22349,27300,29132,31576,33264,34636,34592,33628,34284,33520,33832,34284,36160,34892,35172,35788,34920,37052,36944,36616,36964,39128,39784,40444,40580,41472,41980,42228,42952,45116,45232,45220,44488
 "44000","Rhode Island",1,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-44316,-45020,-46392,-46724,-49400,-48708,-48720,-48528,-42496,-44668,-47572,-50332,-42640,-44316,-45108,-46020,-36624,-37052,-37820,-39568,-31116,-31528,-31496,-31232,-24464,-24384,-24408,-24884,-13040,-13340,-13604,-13900,-3964,-4008,-4048,-4100,6232,6268,6308,6264
 "44000","Rhode Island",1,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",902284,917040,944596,953396,891732,881340,880420,877000,920856,964380,1022492,1072408,1082940,1126392,1147984,1168476,1173100,1188024,1212452,1265600,1273756,1289060,1285996,1277180,1252228,1250764,1251924,1277908,1282764,1312940,1340728,1370100,1359436,1380720,1398568,1429320,1386308,1394528,1407492,1401484
 "44000","Rhode Island",1,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",151676,150400,155248,159228,155120,157264,159484,164732,158232,161516,169044,174492,172836,177208,179572,182904,169268,175520,177828,182580,196848,205956,208736,211328,212596,211664,217316,221592,240876,244808,252892,257360,237296,240920,245156,252840,255376,261064,265112,266184
 "44000","Rhode Island",1,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",73556,72948,70764,69716,76964,85280,94980,105024,134808,97568,77856,80608,81676,83160,86912,88548,82604,82276,88936,86992,84612,83952,85112,90552,95056,101116,103512,108704,101364,102668,104532,105512,108652,110240,114664,115620,125648,133204,135532,149208
 "44000","Rhode Island",1,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",821592,832980,859024,864392,810584,796900,794944,789448,823252,863124,916664,967756,968800,1004164,1018720,1037408,1037392,1047108,1068800,1119576,1118136,1134128,1132388,1121728,1089760,1086328,1087268,1110136,1100852,1129264,1152796,1179872,1163300,1182492,1195476,1224128,1176504,1181680,1190660,1185044
 "44000","Rhode Island",1,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",59497,59153,59249,59181,60945,62261,63641,65565,74208,79752,86932,93968,95532,99376,101884,105688,107188,109680,111688,114576,115068,115796,117092,116948,122932,122652,123300,124740,124700,126820,129412,131012,131940,134520,137504,140380,138132,140440,142720,144364
 "44000","Rhode Island",1,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",37052,38232,38916,39592,38248,39400,41272,43216,46908,50620,55356,60704,60896,64784,68256,71404,73668,75848,77404,78416,80176,80624,81304,82028,85880,85708,86684,87776,85572,87036,88968,90432,90468,92540,95276,97428,93016,95208,97500,99876
 "44000","Rhode Island",1,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",22445,20921,20333,19589,22697,22861,22369,22349,27300,29132,31576,33264,34636,34592,33628,34284,33520,33832,34284,36160,34892,35172,35788,34920,37052,36944,36616,36964,39128,39784,40444,40580,41472,41980,42228,42952,45116,45232,45220,44488
 "44000","Rhode Island",1,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",105352,107472,110400,113232,107120,107700,106620,106232,110728,112948,116028,113516,116596,122340,126088,125944,120456,123192,125452,128836,128308,128016,125768,126372,125200,126952,126528,129316,135312,136404,139372,140776,137292,137584,139780,140096,142192,142960,145016,141788
 "44000","Rhode Island",1,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",7576,8552,9772,9152,8072,8252,7920,7672,6924,6584,6176,7004,7936,8684,8900,8944,8432,9368,10316,9792,8804,8632,8448,7376,7876,7160,7072,6520,6880,7220,6640,5832,6388,5820,5640,4840,3844,3868,3892,3708
 "44000","Rhode Island",1,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",97776,98920,100628,104080,99048,99448,98700,98560,103804,106364,109852,106512,108660,113656,117188,117000,112024,113824,115136,119044,119504,119384,117320,118996,117324,119792,119456,122796,128432,129184,132732,134944,130904,131764,134140,135256,138348,139092,141124,138080
 "44000","Rhode Island",1,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",10896,11800,13360,12968,11328,11432,11196,11052,9896,9516,9144,9924,10804,11620,11876,11856,11168,12104,13032,12328,11228,11064,10880,9688,10064,9268,9108,8544,9228,9528,9012,8208,9036,8524,8336,7512,6848,6824,6920,6788
 "44000","Rhode Island",1,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",975545,987805,1015313,1023837,967321,955429,954009,950193,998292,1046308,1110480,1165316,1170124,1214260,1234816,1257184,1253868,1267876,1292908,1350660,1350284,1366876,1364368,1355360,1327828,1326664,1327988,1355648,1351636,1382960,1412568,1443452,1423496,1446072,1464424,1497092,1449980,1458256,1471476,1464408
 "44000","Rhode Island",1,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",840220,849960,873632,877552,822284,806972,802536,797328,843768,886100,939192,978408,975980,1005384,1012368,1023540,1006364,1013644,1034092,1090404,1081884,1099376,1097516,1088028,1035296,1033828,1033216,1059680,1063760,1092972,1119828,1147396,1127804,1146644,1160804,1191088,1159484,1164000,1172740,1159824
 "44000","Rhode Island",1,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",2996,3152,3184,3272,3132,3076,3064,3132,3228,3320,3460,3588,3676,3828,3944,4092,4048,4112,4144,4232,4176,4188,4244,4380,4280,4340,4460,4468,4516,4496,4468,4536,4900,4968,4980,5028,5132,5064,5088,5112
 "44000","Rhode Island",1,SQINC5H,200,"B","   Mining","Thousands of dollars",488,468,532,520,488,464,404,380,376,464,476,488,508,520,532,540,468,428,436,460,532,524,536,512,484,448,444,452,512,528,536,536,804,832,824,860,756,756,772,748
 "44000","Rhode Island",1,SQINC5H,300,"C","   Construction","Thousands of dollars",40844,43552,45940,45916,46368,44596,44304,44944,48960,52304,56560,59408,60084,62376,63220,64364,62824,63060,64948,66196,65592,64832,64896,66076,67524,67684,66676,67652,71548,73952,75208,74640,70568,73796,75464,76016,76200,77140,76800,76540
 "44000","Rhode Island",1,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",447132,448580,462328,462380,416300,399872,399996,391760,424948,455224,490880,522872,512912,529884,528680,533040,523952,525452,536184,581700,563660,573128,568264,552248,501840,496880,492412,508548,509636,526312,536812,554204,542312,550168,555264,577624,548592,545960,546488,534232
 "44000","Rhode Island",1,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",56588,55628,58352,58268,54764,57116,54312,52784,53748,55432,58776,59968,59288,62388,61084,61988,64408,64060,66300,67484,68172,70936,71292,70976,71328,70828,71140,71716,70420,72636,74992,76564,77632,78424,77500,79704,77876,78952,79752,79176
 "44000","Rhode Island",1,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",164652,167720,170880,174252,169796,170148,167240,166576,173528,177124,183768,182264,189472,195796,200352,201280,194244,198104,200104,205028,205220,207580,207332,210732,212616,214196,214112,216664,218400,220896,227180,231620,230396,233204,237244,238448,234964,236612,241192,239436
 "44000","Rhode Island",1,SQINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",30512,31480,32280,32424,33252,33504,33724,34904,37132,38948,40436,41960,42156,42444,42940,44204,44308,45200,46396,47484,47960,48980,50040,51024,50900,52128,53812,55120,55820,57060,58588,59472,58060,59064,59844,61036,62896,63888,64896,65924
 "44000","Rhode Island",1,SQINC5H,800,"I","   Services","Thousands of dollars",97008,99380,100136,100520,98184,98196,99492,102848,101848,103284,104836,107860,107884,108148,111616,114032,112112,113228,115580,117820,126572,129208,130912,132080,126324,127324,130160,135060,132908,137092,142044,145824,143132,146188,149684,152372,153068,155628,157752,158656
 "44000","Rhode Island",1,SQINC5H,900,"...","  Government and government enterprises","Thousands of dollars",135325,137845,141681,146285,145037,148457,151473,152865,154524,160208,171288,186908,194144,208876,222448,233644,247504,254232,258816,260256,268400,267500,266852,267332,292532,292836,294772,295968,287876,289988,292740,296056,295692,299428,303620,306004,290496,294256,298736,304584
 "44000","Rhode Island",1,SQINC5H,910,"...","   Federal civilian","Thousands of dollars",39956,40060,40448,41256,42880,43608,43644,43216,42072,42444,44140,47236,52116,55696,58756,61240,64056,65460,66120,66012,67360,66728,66252,65796,67192,66984,67376,68188,70464,71692,72908,73944,74020,75072,76184,77072,77780,79240,81076,83424
 "44000","Rhode Island",1,SQINC5H,920,"...","   Military","Thousands of dollars",49928,50864,51896,53512,54332,56400,57940,59192,62048,66548,74736,86372,87376,97460,105936,112792,123292,127428,129520,129440,134256,132932,132060,131216,153984,152560,151828,150884,140068,139784,140032,140304,140812,141364,141828,141168,126704,126608,126860,127828
 "44000","Rhode Island",1,SQINC5H,930,"...","   State and local","Thousands of dollars",45441,46921,49337,51517,47825,48449,49889,50457,50404,51216,52412,53300,54652,55720,57756,59612,60156,61344,63176,64804,66784,67840,68540,70320,71356,73292,75568,76896,77344,78512,79800,81808,80860,82992,85608,87764,86012,88408,90800,93332
"Note: See the included footnote file."
"SQINC5H: Personal Income by Major Component and Earnings by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
