GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "97000","Rocky Mountain",7,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",4624567,4732775,4886715,4929159,4774548,4803064,4834968,4825880,5234589,5240801,5418097,5624273,5947063,6248863,6233715,6399375,6432321,6470561,6716289,6719761,6589717,6646253,6632193,6632481,6713728,6653052,6674984,6761508,7073777,7250789,7345829,7476633,7741328,7861796,7997332,8155292,8317821,8501997,8669525,8750533
 "97000","Rocky Mountain",7,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",3865736,3974188,4127464,4168792,3980268,3983224,3978460,3925948,4118300,4254856,4479504,4665776,4974713,5252649,5217313,5370893,5426221,5434461,5642257,5623849,5516869,5543717,5513013,5489649,5532396,5455288,5450196,5499440,5797085,5948265,6010933,6117325,6354476,6455380,6558112,6685184,6814193,6953697,7100145,7131365
 "97000","Rocky Mountain",7,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",104397,97413,96957,93353,111024,107356,99240,91740,103815,102035,103627,107859,122618,124190,122618,126714,138940,137596,139900,142592,140992,142116,143120,141648,159996,159712,160556,162112,176804,179548,181656,181200,196112,197636,197540,200340,228288,230144,232648,229680
 "97000","Rocky Mountain",7,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",34364,32824,34268,33752,36052,33916,33292,32496,42952,43216,44040,47104,53652,53324,51724,52484,61100,59092,59976,60744,63468,64708,64076,63384,72260,71340,72260,73124,78868,80360,81524,82352,90700,91476,91560,92576,106952,106780,108148,106432
 "97000","Rocky Mountain",7,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",70033,64589,62689,59601,74972,73440,65948,59244,60863,58819,59587,60755,68966,70866,70894,74230,77840,78504,79924,81848,77524,77408,79044,78264,87736,88372,88296,88988,97936,99188,100132,98848,105412,106160,105980,107764,121336,123364,124500,123248
 "97000","Rocky Mountain",7,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-144,-144,-148,-160,-452,-468,-460,-456,-340,-352,-376,-364,-928,-960,-976,-1012,-1076,-1044,-1080,-1064,-888,-896,-888,-908,-1336,-1324,-1308,-1328,-1416,-1456,-1504,-1508,-1816,-1888,-1876,-1892,-1704,-1736,-1776,-1764
 "97000","Rocky Mountain",7,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",3761195,3876631,4030359,4075279,3868792,3875400,3878760,3833752,4014145,4152469,4375501,4557553,4851167,5127499,5093719,5243167,5286205,5295821,5501277,5480193,5374989,5400705,5369005,5347093,5371064,5294252,5288332,5336000,5618865,5767261,5827773,5934617,6156548,6255856,6358696,6482952,6584201,6721817,6865721,6899921
 "97000","Rocky Mountain",7,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",581320,583100,596636,608868,646256,657184,671504,692888,722564,739664,767092,790268,802072,820872,835204,852648,837556,864864,883040,910404,882540,918004,935156,950680,998464,1004204,1024932,1044832,1066692,1085460,1112188,1132280,1166508,1184356,1205524,1235460,1281096,1304156,1321588,1331432
 "97000","Rocky Mountain",7,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",282052,273044,259720,245012,259500,270480,284704,299240,497880,348668,275504,276452,293824,300492,304792,303560,308560,309876,331972,329164,332188,327544,328032,334708,344200,354596,361720,380676,388220,398068,405868,409736,418272,421584,433112,436880,452524,476024,482216,519180
 "97000","Rocky Mountain",7,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",2503616,2524752,2634256,2663944,2717428,2701836,2661084,2647664,2700152,2821800,2967480,3085380,3288288,3400604,3461640,3531184,3691824,3701900,3780836,3880292,3843468,3894044,3907624,3891748,3908980,3898200,3907952,3974312,4129684,4234052,4328112,4415948,4601912,4696840,4736148,4827844,4919780,4961624,5018620,5011572
