GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "47000","Tennessee",5,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",2997489,3127305,3162365,3185305,3098633,3096633,3116857,3104345,3390645,3393625,3438445,3570301,3700528,3843536,3891380,3940828,3909492,3946028,4082224,4148064,4275348,4331724,4334360,4313116,4365436,4331244,4347684,4428088,4425432,4584720,4672012,4766412,4855232,4905756,4979504,5042380,5095824,5162576,5219144,5223020
 "47000","Tennessee",5,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",2610365,2742261,2781329,2807509,2690555,2670599,2666755,2625971,2730849,2848401,2942101,3069141,3225092,3356432,3391896,3435512,3433828,3457316,3572144,3635028,3762852,3809868,3805432,3767196,3799192,3750472,3753140,3816284,3837400,3991760,4068364,4153624,4234604,4276644,4332428,4382384,4427744,4469964,4514676,4481876
 "47000","Tennessee",5,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",73304,68912,68888,67000,76734,74562,70082,65510,76608,76032,78224,82644,94380,95800,94144,96172,99440,97996,99144,102116,104100,105860,107100,106080,122944,122804,123420,124872,133520,136156,138644,139756,149400,151480,152312,154776,174204,174828,176124,173560
 "47000","Tennessee",5,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",26032,24876,25968,25584,26464,24896,24444,23856,32264,32452,33096,35388,40656,40400,39192,39768,43392,41968,42584,43144,44372,45248,44804,44308,53164,52484,53164,53780,58060,59160,60012,60624,64752,65296,65360,66100,77104,76980,77968,76728
 "47000","Tennessee",5,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",47272,44036,42920,41416,50270,49666,45638,41654,44344,43580,45128,47256,53724,55400,54952,56404,56048,56028,56560,58972,59728,60612,62296,61772,69780,70320,70256,71092,75460,76996,78632,79132,84648,86184,86952,88676,97100,97848,98156,96832
 "47000","Tennessee",5,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-3180,-3392,-3332,-3380,-4192,-4132,-4380,-4456,1608,2164,2384,2620,14256,15032,15652,16200,17644,17508,17948,18276,9848,9804,9868,9828,6604,6476,6424,6392,9768,9940,10060,10184,-5524,-5576,-5812,-6032,-3548,-3520,-3552,-3580
 "47000","Tennessee",5,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",2533881,2669957,2709109,2737129,2609629,2591905,2592293,2556005,2655849,2774533,2866261,2989117,3144968,3275664,3313404,3355540,3352032,3376828,3490948,3551188,3668600,3713812,3708200,3670944,3682852,3634144,3636144,3697804,3713648,3865544,3939780,4024052,4079680,4119588,4174304,4221576,4249992,4291616,4335000,4304736
 "47000","Tennessee",5,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",239132,239464,245628,251236,268208,272656,278176,287192,325772,332820,346520,357228,331588,339464,345044,352164,348528,360176,366484,376600,383908,398844,406400,414480,433024,436256,445572,452740,436948,442296,451952,459484,496072,504056,513572,527272,543464,553896,561716,565644
 "47000","Tennessee",5,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",224476,217884,207628,196940,220796,232072,246388,261148,409024,286272,225664,223956,223972,228408,232932,233124,208932,209024,224792,220276,222840,219068,219760,227692,249560,260844,265968,277544,274836,276880,280280,282876,279480,282112,291628,293532,302368,317064,322428,352640
 "47000","Tennessee",5,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",1785684,1809364,1872028,1887164,1863352,1842808,1831396,1822888,1900596,1983004,2091232,2186496,2259392,2333776,2367056,2409980,2453344,2471656,2523640,2622984,2702592,2742168,2743936,2727688,2727736,2722612,2728608,2786560,2798888,2874176,2939048,3007676,3088496,3144868,3180104,3255012,3265576,3285512,3315940,3304004
