GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "48000","Texas",6,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",8973304,9242000,9486024,9548832,9720380,10057744,10164728,10274896,10970524,10522156,10713396,11104404,11766784,12228784,12704736,12730912,13124304,13223592,13492180,13584368,13530388,13717292,13669340,13799812,13961836,13948260,14129356,14305380,14759068,15033200,15292200,15595308,15845020,16078368,16355656,16615000,16975532,17287880,17577864,17579292
 "48000","Texas",6,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",7614696,7886408,8135064,8202972,8349288,8648424,8695968,8735756,8983644,8787220,9073584,9435060,10162796,10585220,11027136,11033080,11456420,11504504,11714788,11774260,11690940,11830072,11755844,11845884,11948504,11907044,12041304,12158924,12579588,12816692,13028280,13297552,13551432,13760500,13988328,14199300,14470736,14707724,14962140,14880096
 "48000","Texas",6,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",170896,160696,162060,158396,191180,186752,173792,160224,188464,182920,183832,191284,222944,225832,222572,228612,250160,246332,249848,255328,255884,259524,262296,260672,305852,305764,308260,311728,341776,348188,354036,356248,386196,392296,395016,403032,460612,465024,470676,464800
 "48000","Texas",6,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",66136,63196,65960,64992,68664,64612,63424,61904,87892,88408,90140,96356,112304,111608,108272,109848,124868,120772,122556,124160,129724,132268,131000,129544,155696,153708,155696,157508,173664,176948,179504,181320,197292,198964,199144,201368,231584,231216,234164,230472
 "48000","Texas",6,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",104760,97500,96100,93404,122516,122140,110368,98320,100572,94512,93692,94928,110640,114224,114300,118764,125292,125560,127292,131168,126160,127256,131296,131128,150156,152056,152564,154220,168112,171240,174532,174928,188904,193332,195872,201664,229028,233808,236512,234328
 "48000","Texas",6,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-4016,-4064,-4240,-4268,-15256,-15156,-14972,-14940,-9036,-9504,-10064,-10520,-29840,-30944,-31624,-32324,-34108,-34284,-35016,-36028,-34200,-34656,-34780,-34620,-55040,-54828,-54920,-55864,-59644,-61144,-62472,-63788,-62524,-63780,-64372,-65748,-61140,-61604,-62284,-62084
 "48000","Texas",6,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",7439784,7721648,7968764,8040308,8142852,8446516,8507204,8560592,8786144,8594796,8879688,9233256,9910012,10328444,10772940,10772144,11172152,11223888,11429924,11482904,11400856,11535892,11458768,11550592,11587612,11546452,11678124,11791332,12178168,12407360,12611772,12877516,13102712,13304424,13528940,13730520,13948984,14181096,14429180,14353212
 "48000","Texas",6,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",1018452,1022992,1045252,1065420,1115420,1132652,1156880,1191152,1254024,1281508,1324560,1364168,1355268,1387472,1413136,1443268,1472232,1517344,1545976,1588372,1604548,1663724,1692744,1723688,1840232,1853464,1891976,1925108,1973000,2000476,2042088,2073372,2071740,2098356,2133324,2185020,2289288,2331640,2364108,2384556
 "48000","Texas",6,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",515068,497360,472008,443104,462108,478576,500644,523152,930356,645852,509148,506980,501504,512868,518660,515500,479920,482360,516280,513092,524984,517676,517828,525532,533992,548344,559256,588940,607900,625364,638340,644420,670568,675588,693392,699460,737260,775144,784576,841524
 "48000","Texas",6,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",5261020,5311668,5536312,5592320,5769956,5721948,5637444,5611352,5857132,6141040,6470524,6751992,7162940,7411888,7556480,7712560,8162796,8184824,8360184,8607912,8574284,8683776,8710372,8665076,8739568,8707428,8719860,8873068,9138164,9368392,9569772,9770192,10065064,10266216,10349524,10563364,10757260,10836448,10949720,10908072
 "48000","Texas",6,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",329432,327724,331604,331856,397704,406196,403264,404004,441820,465612,497672,534360,564980,594844,620668,648452,684532,697296,711508,718404,716748,720720,730992,735524,772204,770816,777452,785740,823688,838008,855008,865020,891108,912664,932640,953032,994272,1017856,1040236,1056436
 "48000","Texas",6,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",224672,230224,235504,238452,275188,284056,292896,305684,341248,371100,403980,439432,454340,480620,506368,529688,559240,571736,584216,587236,590588,593464,599696,604396,622048,618760,624888,631520,655576,666768,680476,690092,702204,719332,736768,751368,765244,784048,803724,822108
 "48000","Texas",6,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",104760,97500,96100,93404,122516,122140,110368,98320,100572,94512,93692,94928,110640,114224,114300,118764,125292,125560,127292,131168,126160,127256,131296,131128,150156,152056,152564,154220,168112,171240,174532,174928,188904,193332,195872,201664,229028,233808,236512,234328
 "48000","Texas",6,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",2024244,2247016,2267148,2278796,2181628,2520280,2655260,2720400,2684692,2180568,2105388,2148708,2434876,2578488,2849988,2672068,2609092,2622384,2643096,2447944,2399908,2425576,2314480,2445284,2436732,2428800,2543992,2500116,2617736,2610292,2603500,2662340,2595260,2581620,2706164,2682904,2719204,2853420,2972184,2915588
 "48000","Texas",6,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",742448,928772,913324,885368,835976,1182836,1321672,1382536,1285020,747776,632016,720228,902204,968512,1176632,1014312,889632,886096,890688,645236,640352,663152,579056,676016,707680,678860,788456,699400,752284,722308,648528,662048,584896,547616,639196,592896,580300,715248,805040,794656
 "48000","Texas",6,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",1281796,1318244,1353824,1393428,1345652,1337444,1333588,1337864,1399672,1432792,1473372,1428480,1532672,1609976,1673356,1657756,1719460,1736288,1752408,1802708,1759556,1762424,1735424,1769268,1729052,1749940,1755536,1800716,1865452,1887984,1954972,2000292,2010364,2034004,2066968,2090008,2138904,2138172,2167144,2120932
 "48000","Texas",6,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",1065256,1244716,1263420,1257760,1155444,1494552,1642084,1713460,1630180,1087624,976896,1059464,1225604,1298852,1510696,1341724,1190684,1187656,1189356,924436,911364,934576,849744,933008,963540,926884,1027192,936908,1003492,970632,902524,916420,806728,774296,864812,816420,822536,953144,1049176,1041756
 "48000","Texas",6,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",6549440,6641692,6871644,6945212,7193844,7153872,7053884,7022296,7353464,7699596,8096688,8375596,8937192,9286368,9516440,9691356,10265736,10316848,10525432,10849824,10779576,10895496,10906100,10912876,10984964,10980160,11014112,11222016,11576096,11846060,12125756,12381132,12744704,12986204,13123516,13382880,13648200,13754580,13912964,13838340
 "48000","Texas",6,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",5597184,5672256,5874264,5915568,6005472,5938340,5814028,5771404,6023608,6321536,6625140,6773352,7258480,7482848,7596844,7675956,8156888,8151424,8320384,8631144,8584208,8705780,8720444,8721248,8725588,8714200,8728888,8924492,9178336,9429328,9685256,9910892,10266124,10473572,10572476,10807860,11069176,11139268,11255616,11127884
 "48000","Texas",6,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",19716,20624,20884,21672,22880,22348,22128,22548,20852,21576,22416,23168,24336,25472,26360,27356,28592,29104,29124,30172,31316,31188,31460,32572,33692,34112,35428,35764,36220,36096,35824,36244,37316,37580,37712,38168,39724,39128,39260,39360
