GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "00000","United States", ,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",204641748,210069372,215368568,215900312,209582568,208642884,208379284,209431264,224872338,227018610,235435754,244015854,252653263,261187035,265444751,270037791,272139625,276136441,283295393,289771793,294332343,298155083,297971159,298112995,298221075,297872831,299774755,305339527,311887722,319078042,325809050,331762566,337261369,342935085,348284165,355853561,360194616,364875408,369406376,369608456
 "00000","United States", ,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",174980000,180452000,185560000,185872000,179660000,177612000,175876000,175056000,182378813,189644557,199907697,207647893,218083555,225705607,229096387,233162179,235709360,238435680,244290820,250129976,254091044,256611156,255825156,254826876,254120350,253052658,253724346,257891342,264180375,270668907,276148351,281310371,286211802,291187766,295260322,301569078,305333280,308014072,311668192,309782320
 "00000","United States", ,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",4808000,4512000,4520000,4404000,5036000,4920000,4660000,4416000,5271115,5309687,5514795,5829899,6610236,6679788,6536452,6656116,6928719,6817551,6868415,7053351,7069577,7143037,7183121,7062901,8083007,8037815,8058007,8147471,8869153,9042913,9200493,9261837,9866537,9983753,10013413,10150885,11407564,11429876,11498684,11325440
 "00000","United States", ,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1624000,1552000,1620000,1596000,1624000,1528000,1500000,1464000,2037348,2049608,2090044,2234716,2571512,2556356,2480976,2517604,2813264,2721944,2762128,2798792,2871444,2928168,2900508,2868628,3456640,3412760,3457340,3498544,3820120,3893312,3950212,3990644,4274680,4311060,4315868,4364984,5034324,5027760,5092556,5012484
 "00000","United States", ,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",3184000,2960000,2900000,2808000,3412000,3392000,3160000,2952000,3233767,3260079,3424751,3595183,4038724,4123432,4055476,4138512,4115455,4095607,4106287,4254559,4198133,4214869,4282613,4194273,4626367,4625055,4600667,4648927,5049033,5149601,5250281,5271193,5591857,5672693,5697545,5785901,6373240,6402116,6406128,6312956
 "00000","United States", ,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",1748,1372,568,312,-29432,-29116,-28716,-28736,-11212,-12908,-15024,-16856,-67412,-71200,-73488,-75900,-77984,-79008,-81648,-85360,-87632,-89324,-89720,-89324,-144160,-143796,-144324,-147720,-159040,-163932,-168348,-172680,-172380,-176704,-179152,-183764,-176384,-178264,-180708,-180644
 "00000","United States", ,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",170173748,175941372,181040568,181468312,174594568,172662884,171187284,170611264,177096486,184321962,194377878,201801138,211405907,218954619,222486447,226430163,228702657,231539121,237340757,242991265,246933835,249378795,248552315,247674651,245893183,244871047,245522015,249596151,255152182,261462062,266779510,271875854,276172885,281027309,285067757,291234429,293749332,296405932,299988800,298276236
 "00000","United States", ,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",23684000,23608000,24256000,24800000,24852000,25200000,25628000,26452000,28127828,28728312,29958292,30890204,30132792,30859740,31327304,31956372,31947504,33078664,33590740,34491792,34925792,36411740,36961360,37526360,38798552,38839256,39772184,40489440,41407220,41996068,43112004,43819260,44679100,45303256,46046684,47294164,48242480,49157824,49832936,50096496
 "00000","United States", ,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",10784000,10520000,10072000,9632000,10136000,10780000,11564000,12368000,19648024,13968336,11099584,11324512,11114564,11372676,11631000,11651256,11489464,11518656,12363896,12288736,12472716,12364548,12457484,12911984,13529340,14162528,14480556,15253936,15328320,15619912,15917536,16067452,16409384,16604520,17169724,17324968,18202804,19311652,19584640,21235724
 "00000","United States", ,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",130256000,131936000,136592000,137608000,135260000,133556000,132540000,131784000,136224124,142393684,150284424,157171064,164202088,169599048,171886324,174965880,179284368,180499040,184292748,191791576,195372220,198366692,198506924,197129708,194975908,194473800,194846600,198984180,202962508,208448616,213129036,218113620,222049008,226173872,228608284,234054180,236698344,238140216,240259556,239191376
