GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "49000","Utah",7,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",811965,836093,857065,855769,865421,867553,870993,873037,941325,943433,974969,1012777,1071977,1133225,1142309,1171429,1177016,1187060,1211372,1222840,1227276,1231864,1233948,1235088,1219624,1222532,1228696,1249336,1318444,1349900,1373784,1400464,1442428,1470516,1496188,1528672,1575612,1603292,1629076,1633240
 "49000","Utah",7,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",689633,713629,734997,733841,736131,733551,730059,723775,756665,781385,821637,856137,919501,977117,983081,1010841,1022388,1028128,1046704,1055164,1051508,1050820,1049800,1046084,1038176,1037652,1039600,1054748,1116148,1144196,1163124,1185448,1209588,1233436,1252528,1279200,1326120,1345672,1367660,1362668
 "49000","Utah",7,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",21304,19868,19984,19548,23242,22626,20818,18970,21240,20392,20516,21084,23880,24284,24120,25052,27492,27340,28024,28872,29540,30044,30532,30364,34232,34236,34500,34924,38392,39004,39348,39084,41344,41448,41288,41844,48432,48900,49464,48832
 "49000","Utah",7,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",6756,6448,6732,6636,7108,6688,6564,6408,8564,8620,8780,9392,10724,10660,10344,10496,12428,12020,12196,12356,13148,13396,13272,13128,14984,14796,14984,15164,16120,16420,16664,16836,17992,18148,18164,18372,21420,21388,21652,21320
 "49000","Utah",7,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",14548,13420,13252,12912,16134,15938,14254,12562,12676,11772,11736,11692,13156,13624,13776,14556,15064,15320,15828,16516,16392,16648,17260,17236,19248,19440,19516,19760,22272,22584,22684,22248,23352,23300,23124,23472,27012,27512,27812,27512
 "49000","Utah",7,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",0,0,0,0,-40,-64,-68,-68,-128,-124,-144,-144,-220,-236,-248,-252,-272,-272,-284,-288,-336,-336,-312,-336,-336,-336,-332,-332,-420,-436,-436,-448,-540,-564,-568,-580,-672,-692,-696,-688
 "49000","Utah",7,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",668329,693761,715013,714293,712849,710861,709173,704737,735297,760869,800977,834909,895401,952597,958713,985537,994624,1000516,1018396,1026004,1021632,1020440,1018956,1015384,1003608,1003080,1004768,1019492,1077336,1104756,1123340,1145916,1167704,1191424,1210672,1236776,1277016,1296080,1317500,1313148
 "49000","Utah",7,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",89800,90040,92176,94104,104456,106088,108104,111352,117988,120544,124960,128668,126236,129160,131232,133612,132064,136056,138812,143212,150684,157168,160532,163688,156532,157752,160944,163644,173608,176172,180168,183608,202656,206372,210648,216368,220728,225080,228384,230388
 "49000","Utah",7,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",53836,52292,49876,47372,48116,50604,53716,56948,88040,62020,49032,49200,50340,51468,52364,52280,50328,50488,54164,53624,54960,54256,54460,56016,59484,61700,62984,66200,67500,68972,70276,70940,72068,72720,74868,75528,77868,82132,83192,89704
 "49000","Utah",7,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",504532,508404,530040,535272,542604,539372,529516,525140,545696,572408,601864,626496,676108,699740,713244,728552,756244,757224,773276,794908,793692,803352,805824,801668,788468,786200,788728,802876,844332,867068,886312,904940,933040,952668,960096,979908,1016100,1025280,1037356,1034812
 "49000","Utah",7,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",38889,38333,38717,38665,41799,42251,41071,40171,44017,45265,47353,49465,55377,57973,60333,63137,64964,66156,67816,68844,67568,68280,69620,70152,71336,71372,72200,73164,78644,80136,81672,82272,83908,85868,87876,90396,97528,100796,103836,105908
