GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "53000","Washington",8,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",3639604,3784692,3820656,3890508,3814900,3788956,3785744,3809140,4162468,4182232,4325872,4488972,4560716,4710932,4805764,4883008,4873640,4981956,5111296,5237812,5297812,5349168,5340712,5398448,5447016,5445092,5462828,5615800,5644488,5738844,5827548,5929320,5908352,6022376,6137244,6236008,6309820,6440428,6526044,6560872
 "53000","Washington",8,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",3079352,3222688,3258172,3326600,3247808,3201472,3166168,3151652,3247620,3394392,3590928,3736636,3834356,3960228,4032080,4092224,4096880,4178444,4278168,4392632,4409592,4438296,4414560,4442352,4505928,4484024,4478952,4602228,4643324,4722020,4787348,4868188,4861844,4957072,5041680,5116464,5186252,5279120,5346988,5336736
 "53000","Washington",8,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",103140,98120,99504,99480,120944,121332,115632,109388,124168,122348,124312,126780,139040,136388,130912,132116,136100,135020,136776,141552,140988,142972,144360,141692,162756,161860,162424,165180,179932,184284,187416,186916,193996,194112,193092,194272,219052,219048,219828,216696
 "53000","Washington",8,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",24464,23376,24408,24040,24492,23040,22624,22080,31168,31344,31960,34164,39336,39100,37936,38488,43628,42192,42808,43372,44220,45088,44652,44160,53184,52508,53184,53808,58540,59648,60508,61124,65836,66392,66456,67200,78016,77892,78884,77640
 "53000","Washington",8,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",78676,74744,75096,75440,96452,98292,93008,87308,93000,91004,92352,92616,99704,97288,92976,93628,92472,92828,93968,98180,96768,97884,99708,97532,109572,109352,109240,111372,121392,124636,126908,125792,128160,127720,126636,127072,141036,141156,140944,139056
 "53000","Washington",8,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",0,0,0,8,960,956,944,940,17748,19472,21416,23300,31140,34420,36316,41564,34756,39728,38564,38696,29472,30200,29924,29572,27544,26356,26032,26352,27780,28516,29076,29500,35488,36148,36844,37192,32980,33604,33548,32376
 "53000","Washington",8,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",2976212,3124568,3158668,3227128,3127824,3081096,3051480,3043204,3141200,3291516,3488032,3633156,3726456,3858260,3937484,4001672,3995536,4083152,4179956,4289776,4298076,4325524,4300124,4330232,4370716,4348520,4342560,4463400,4491172,4566252,4629008,4710772,4703336,4799108,4885432,4959384,5000180,5093676,5160708,5152416
 "53000","Washington",8,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",455624,456908,467024,476032,468264,475580,485488,500228,534560,546720,565528,581264,593364,606148,616704,629740,626812,647144,660932,680744,719932,747532,762412,776660,786708,794200,811320,827380,826288,841288,861848,878724,854236,868664,885076,907040,931712,948248,960704,967872
 "53000","Washington",8,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",207768,203216,194964,187348,218812,232280,248776,265708,486708,343996,272312,274552,240896,246524,251576,251596,251292,251660,270408,267292,279804,276112,278176,291556,289592,302372,308948,325020,327028,331304,336692,339824,350780,354604,366736,369584,377928,398504,404632,440584
 "53000","Washington",8,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",2205848,2241784,2317816,2341584,2331888,2313336,2305732,2301436,2327432,2421880,2559500,2686488,2773820,2875320,2926704,2986840,3016008,3045504,3108036,3210828,3220912,3263308,3266300,3253164,3293976,3289956,3298360,3360400,3389976,3474308,3549852,3625828,3632548,3698128,3739760,3818476,3887380,3912236,3949068,3943304
 "53000","Washington",8,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",187940,187344,189460,191540,221700,227692,227868,228484,242396,251004,266160,282072,277180,285600,291644,301872,297680,304092,309640,314868,319348,321200,324700,324772,338060,337464,340024,344748,356620,363568,370720,373020,376476,381784,388376,394996,415584,423132,430460,436428
 "53000","Washington",8,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",109264,112600,114364,116100,125248,129400,134860,141176,149396,160000,173808,189456,177476,188312,198668,208244,205208,211264,215672,216688,222580,223316,224992,227240,228488,228112,230784,233376,235228,238932,243812,247228,248316,254064,261740,267924,274548,281976,289516,297372
 "53000","Washington",8,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",78676,74744,75096,75440,96452,98292,93008,87308,93000,91004,92352,92616,99704,97288,92976,93628,92472,92828,93968,98180,96768,97884,99708,97532,109572,109352,109240,111372,121392,124636,126908,125792,128160,127720,126636,127072,141036,141156,140944,139056
 "53000","Washington",8,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",685564,793560,750896,793476,694220,660444,632568,621732,677792,721508,765268,768076,783356,799308,813732,803512,783192,828848,860492,866936,869332,853788,823560,864416,873892,856604,840568,897080,896728,884144,866776,869340,852820,877160,913544,902992,883288,943752,967460,957004
 "53000","Washington",8,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",213980,311748,257712,283172,201480,164688,140676,126412,166524,196172,223416,240940,233540,222932,216912,207144,190352,224992,248944,235424,239120,224372,203188,231204,235612,204520,186912,224332,207716,189560,152204,142924,156056,176968,199748,184244,146208,201884,213932,217908
