GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "55000","Wisconsin",3,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",4595908,4720028,4869760,4852828,4727912,4714904,4704332,4719968,5006556,5064412,5287692,5477364,5792008,6035792,6082788,6157152,6112424,6194684,6357112,6511152,6434996,6530724,6511952,6464820,6419620,6405876,6405752,6543144,6741032,6889128,7025592,7167020,7292296,7431692,7572896,7749828,7771524,7860920,7951628,7923648
 "55000","Wisconsin",3,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",3988360,4113316,4258024,4236664,4067492,4034432,3997968,3978936,4132644,4269720,4514520,4679596,5034776,5258504,5289248,5353400,5313624,5369340,5506204,5642996,5549820,5616764,5585860,5517556,5489216,5459868,5436232,5543936,5689936,5819816,5927268,6050772,6155716,6277972,6390848,6540064,6554556,6596624,6669632,6599264
 "55000","Wisconsin",3,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",81968,77060,77788,76244,89004,87136,83388,79552,98056,98840,102544,108872,123856,125816,123912,127284,133268,132108,134008,138356,134548,136496,138040,137076,158220,158948,160752,163844,183828,188028,191260,192160,205932,207604,208308,212088,237336,238612,240736,237264
 "55000","Wisconsin",3,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",32408,30968,32328,31848,34160,32148,31564,30804,43644,43904,44760,47848,55828,55492,53836,54624,61116,59112,59984,60768,60516,61700,61108,60428,72432,71500,72432,73276,83696,85276,86512,87388,96512,97336,97420,98512,112520,112344,113768,111980
 "55000","Wisconsin",3,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",49560,46092,45460,44396,54844,54988,51824,48748,54412,54936,57784,61024,68028,70324,70076,72660,72152,72996,74024,77588,74032,74796,76932,76648,85788,87448,88320,90568,100132,102752,104748,104772,109420,110268,110888,113576,124816,126268,126968,125284
 "55000","Wisconsin",3,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",1576,1596,1636,1628,3740,3724,3684,3680,5912,6160,6488,6756,9344,9600,9724,9856,12940,13008,13284,13748,17408,17692,17740,17704,20544,20516,20604,21012,24488,25156,25748,26312,29604,30184,30524,31208,35400,35712,36108,36028
 "55000","Wisconsin",3,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",3907968,4037852,4181872,4162048,3982228,3951020,3918264,3903064,4040500,4177040,4418464,4577480,4920264,5142288,5175060,5235972,5193296,5250240,5385480,5518388,5432680,5497960,5465560,5398184,5351540,5321436,5296084,5401104,5530596,5656944,5761756,5884924,5979388,6100552,6213064,6359184,6352620,6393724,6465004,6398028
 "55000","Wisconsin",3,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",509584,508900,522412,534060,572832,581580,592244,611448,645044,659064,686608,707488,671104,687164,697652,711852,698356,722516,734028,753348,749956,781228,792432,804136,786000,788924,807104,821824,892976,906008,929740,944864,966700,980068,996348,1023348,1031476,1051292,1065972,1072220
 "55000","Wisconsin",3,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",178356,173276,165476,156720,172852,182304,193824,205456,321012,228308,182620,192396,200640,206340,210076,209328,220772,221928,237604,239416,252360,251536,253960,262500,282080,295516,302564,320216,317460,326176,334096,337232,346208,351072,363484,367296,387428,415904,420652,453400
 "55000","Wisconsin",3,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",2849232,2887124,2988208,3009332,2959328,2906200,2893092,2871440,2986252,3123264,3303384,3455892,3630176,3743892,3776860,3830944,3861584,3886456,3969448,4166360,4136116,4206184,4204388,4165148,4080508,4068264,4071840,4167940,4264148,4386076,4485036,4597764,4652204,4736580,4790804,4920432,4912036,4934128,4972572,4938788
 "55000","Wisconsin",3,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",131788,131232,133360,134196,145164,147436,147768,147728,161140,169168,181020,193460,221604,233072,240068,249604,244780,249604,255184,264736,252152,256300,261100,263056,270600,273308,277836,285964,301288,310908,320004,326508,338544,346688,355920,368244,384132,392528,400268,403556
