GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "54000","West Virginia",5,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",2046036,2044888,2156488,2148892,2010912,1991064,1935856,1903640,2010344,2074684,2136660,2207720,2256592,2329544,2368196,2402024,2393132,2376464,2447528,2524092,2435016,2463780,2465708,2459248,2309896,2313816,2322768,2371136,2396124,2453220,2502912,2555780,2669800,2731496,2756300,2821564,2906476,2938772,2970164,2954472
 "54000","West Virginia",5,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",1898172,1894908,2011736,2004564,1855304,1823688,1748968,1695892,1726052,1855992,1946860,2012732,2093180,2161220,2194324,2227928,2154440,2125976,2181888,2259984,2212956,2235196,2233408,2214832,2055020,2047768,2047852,2084852,2130368,2184736,2227900,2278124,2397736,2457560,2471352,2530324,2632980,2646736,2672552,2633492
 "54000","West Virginia",5,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",68876,63860,65748,64800,72696,71356,65792,60904,68532,69972,71900,75304,85248,86232,85168,87488,85784,83160,83540,84808,79376,78684,78620,76928,82164,81960,82488,83940,91976,94600,96680,97848,106260,107632,106480,106656,117876,116560,116220,113428
 "54000","West Virginia",5,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",20844,19920,20792,20484,20772,19536,19180,18720,24888,25032,25520,27292,31176,30984,30060,30492,31160,30140,30592,30984,30136,30728,30424,30088,34188,33756,34188,34584,37356,38064,38612,39000,41100,41448,41484,41940,46524,46448,47036,46300
 "54000","West Virginia",5,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",48032,43940,44956,44316,51924,51820,46612,42184,43644,44940,46380,48012,54072,55248,55108,56996,54624,53020,52948,53824,49240,47956,48196,46840,47976,48204,48300,49356,54620,56536,58068,58848,65160,66184,64996,64716,71352,70112,69184,67128
 "54000","West Virginia",5,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-48448,-47956,-50960,-51044,-55004,-53968,-51444,-50180,-51220,-56196,-59276,-61520,-64052,-65740,-66840,-68020,-66172,-64676,-66428,-69660,-69496,-70508,-70964,-70020,-62052,-61492,-61416,-62808,-65052,-67288,-68788,-70656,-75972,-77984,-78088,-80480,-85100,-85872,-86872,-85484
 "54000","West Virginia",5,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",1780848,1783092,1895028,1888720,1727604,1698364,1631732,1584808,1606300,1729824,1815684,1875908,1943880,2009248,2042316,2072420,2002484,1978140,2031920,2105516,2064084,2086004,2083824,2067884,1910804,1904316,1903948,1938104,1973340,2022848,2062432,2109620,2215504,2271944,2286784,2343188,2430004,2444304,2469460,2434580
 "54000","West Virginia",5,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",152776,152336,156724,160480,169124,171532,174504,180616,183208,187228,195264,201212,180340,184472,187152,190912,192240,199432,202120,207400,202280,210664,213488,216480,204916,205140,210012,214080,227232,230800,236968,240756,256604,259664,263480,270292,260080,264724,268240,269956
 "54000","West Virginia",5,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",112412,109460,104736,99692,114184,121168,129620,138216,220836,157632,125712,130600,132372,135824,138728,138692,198408,198892,213488,211176,168652,167112,168396,174884,194176,204360,208808,218952,195552,199572,203512,205404,197692,199888,206036,208084,216392,229744,232464,249936
 "54000","West Virginia",5,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",1551476,1534420,1630260,1632440,1514000,1483032,1413868,1377732,1391844,1517364,1598584,1660136,1713252,1758788,1785728,1816912,1766556,1732480,1777312,1860656,1828980,1854460,1863500,1839108,1682812,1669544,1667952,1704216,1740668,1795980,1834116,1881124,1976616,2023352,2028768,2086184,2167100,2183904,2207060,2177280
 "54000","West Virginia",5,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",102064,98028,102300,102048,105492,106424,100772,97612,101968,112180,118680,124132,134660,138588,141536,145968,139252,136332,138972,143100,138192,138692,140952,139552,133000,132452,133464,136728,144912,150368,155024,158840,171568,176692,177604,180920,192116,193672,195872,194656
 "54000","West Virginia",5,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",54032,54088,57344,57732,53568,54604,54160,55428,58324,67240,72300,76120,80588,83340,86428,88972,84628,83312,86024,89276,88952,90736,92756,92712,85024,84248,85164,87372,90292,93832,96956,99992,106408,110508,112608,116204,120764,123560,126688,127528
 "54000","West Virginia",5,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",48032,43940,44956,44316,51924,51820,46612,42184,43644,44940,46380,48012,54072,55248,55108,56996,54624,53020,52948,53824,49240,47956,48196,46840,47976,48204,48300,49356,54620,56536,58068,58848,65160,66184,64996,64716,71352,70112,69184,67128
 "54000","West Virginia",5,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",244632,262460,279176,270076,235812,234232,234328,220548,232240,226448,229596,228464,245268,263844,267060,265048,248632,257164,265604,256228,245784,242044,228956,236172,239208,245772,246436,243908,244788,238388,238760,238160,249552,257516,264980,263220,273764,269160,269620,261556
 "54000","West Virginia",5,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",85212,99892,113656,99500,77032,75668,76676,62816,72264,63388,62024,66232,78500,88344,84380,83480,73692,79924,86512,71348,62008,57904,47688,51372,65256,68376,68684,61136,54528,46496,40864,36072,40632,46844,50504,46860,40252,35176,32144,28936
