GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "56000","Wyoming",7,SQINC5H,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",428516,429304,446072,455192,465368,476840,473324,469812,497024,504612,531452,545316,544544,636656,573764,599532,588472,563492,586504,589580,580500,583012,581960,580660,566340,564032,563380,574456,594101,612421,620345,636609,644968,651692,665404,678012,673649,704257,705421,722073
 "56000","Wyoming",7,SQINC5H,35,"..."," Earnings by place of work","Thousands of dollars",374484,374792,391296,399880,398621,407773,400893,393537,393941,410457,439701,451137,464218,554054,489478,514386,507568,480288,500952,502464,496108,496016,493472,489992,479024,475012,472084,480468,490497,507121,512537,526741,539336,544512,555580,565708,557177,584265,583773,596669
 "56000","Wyoming",7,SQINC5H,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",11044,10284,10308,9940,11865,11493,10597,9773,10581,10489,10701,11237,12478,12714,12642,13118,14580,14416,14736,15056,15176,15296,15300,15032,15944,15764,15776,15856,16292,16564,16732,16652,17264,17364,17296,17532,19432,19604,19852,19580
 "56000","Wyoming",7,SQINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",3852,3676,3832,3780,3968,3736,3672,3580,4560,4588,4672,5004,5552,5508,5344,5424,6344,6140,6236,6312,6752,6892,6816,6748,7080,6988,7080,7160,7240,7380,7480,7568,7844,7908,7912,7992,9004,8988,9100,8956
 "56000","Wyoming",7,SQINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",7192,6608,6476,6160,7897,7757,6925,6193,6021,5901,6029,6233,6926,7206,7298,7694,8236,8276,8500,8744,8424,8404,8484,8284,8864,8776,8696,8696,9052,9184,9252,9084,9420,9456,9384,9540,10428,10616,10752,10624
 "56000","Wyoming",7,SQINC5H,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-72,-72,-76,-80,-296,-304,-296,-292,-344,-368,-388,-396,-840,-868,-888,-912,-1296,-1288,-1312,-1332,-1640,-1664,-1660,-1664,-2260,-2248,-2248,-2280,-2644,-2712,-2772,-2804,-3316,-3392,-3412,-3464,-3568,-3600,-3664,-3648
 "56000","Wyoming",7,SQINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",363368,364436,380912,389860,386460,395976,390000,383472,383016,399600,428612,439504,450900,540472,475948,500356,491692,464584,484904,486076,479292,479056,476512,473296,460820,457000,454060,462332,471561,487845,493033,507285,518756,523756,534872,544712,534177,561061,560257,573441
 "56000","Wyoming",7,SQINC5H,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",47828,48120,49236,50324,62544,63860,65468,67612,77240,79256,82504,85468,73320,75400,76740,78176,76344,78376,79604,81676,79388,82420,83880,85408,81896,82572,84372,85912,95720,97240,99508,101248,97560,99028,100784,103308,108400,110476,112016,112932
 "56000","Wyoming",7,SQINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",17320,16748,15924,15008,16364,17004,17856,18728,36768,25756,20336,20344,20324,20784,21076,21000,20436,20532,21996,21828,21820,21536,21568,21956,23624,24460,24948,26212,26820,27336,27804,28076,28652,28908,29748,29992,31072,32720,33148,35700
 "56000","Wyoming",7,SQINC5H,50,"..."," Wages and salaries","Thousands of dollars",257816,258120,271740,274740,286312,284664,277000,274236,264168,278820,293944,305908,305568,316556,322708,329380,346600,345112,352892,360704,363684,368084,369888,367396,360652,358628,358732,364020,363312,372232,380084,387384,400700,409344,411432,418768,406424,410176,415408,414476
 "56000","Wyoming",7,SQINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",17748,17352,17424,17196,21373,21761,21385,21461,21457,22893,24625,26493,25006,26282,27402,28674,30188,30620,31308,31560,30904,31000,31356,31280,31660,31340,31480,31696,33233,33777,34369,34553,38088,38764,39344,39988,37041,37989,38913,39521
 "56000","Wyoming",7,SQINC5H,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",10556,10744,10948,11036,13476,14004,14460,15268,15436,16992,18596,20260,18080,19076,20104,20980,21952,22344,22808,22816,22480,22596,22872,22996,22796,22564,22784,23000,24181,24593,25117,25469,28668,29308,29960,30448,26613,27373,28161,28897
 "56000","Wyoming",7,SQINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",7192,6608,6476,6160,7897,7757,6925,6193,6021,5901,6029,6233,6926,7206,7298,7694,8236,8276,8500,8744,8424,8404,8484,8284,8864,8776,8696,8696,9052,9184,9252,9084,9420,9456,9384,9540,10428,10616,10752,10624
 "56000","Wyoming",7,SQINC5H,70,"..."," Proprietors' income 6/","Thousands of dollars",98920,99320,102132,107944,90936,101348,102508,97840,108316,108744,121132,118736,133644,211216,139368,156332,130780,104556,116752,110200,101520,96932,92228,91316,86712,85044,81872,84752,93952,101112,98084,104804,100548,96404,104804,106952,113712,136100,129452,142672
 "56000","Wyoming",7,SQINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",48884,47980,49444,53716,36168,46412,47784,42632,53028,52108,62876,61752,78476,153336,79200,96288,69792,42672,54032,45652,38028,33224,29208,26952,23372,20740,17252,18372,25456,31720,26404,31704,29460,24712,31764,33144,37976,59836,52036,66504
 "56000","Wyoming",7,SQINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",50036,51340,52688,54228,54768,54936,54724,55208,55288,56636,58256,56984,55168,57880,60168,60044,60988,61884,62720,64548,63492,63708,63020,64364,63340,64304,64620,66380,68496,69392,71680,73100,71088,71692,73040,73808,75736,76264,77416,76168
 "56000","Wyoming",7,SQINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",70052,68696,72384,78112,56932,66668,68608,64144,73344,72124,83188,81712,100620,175964,102096,118724,92828,65748,76884,67020,61444,56676,52592,49156,45708,42388,38092,39096,46524,52540,47696,53020,50428,46124,53080,54260,59764,81228,74000,88728
 "56000","Wyoming",7,SQINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",304432,306096,318912,321768,341689,341105,332285,329393,320597,338333,356513,369425,363598,378090,387382,395662,414740,414540,424068,435444,434664,439340,440880,440836,433316,432624,433992,441372,443973,454581,464841,473721,488908,498388,502500,511448,497413,503037,509773,507941
 "56000","Wyoming",7,SQINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",249460,250280,261652,262796,271337,269213,259093,255613,249489,264741,278001,283997,285414,294438,298566,302606,317956,315236,322952,333600,335028,339872,341556,341120,331416,330260,330520,337132,331821,341325,350325,357661,357012,364640,366608,374136,377193,380829,385297,380745
 "56000","Wyoming",7,SQINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",92,104,104,108,361,353,341,357,257,273,273,289,414,438,446,458,564,572,584,604,636,624,624,656,744,752,788,792,869,857,845,857,1016,1020,1012,1028,1193,1185,1185,1185
 "56000","Wyoming",7,SQINC5H,200,"B","   Mining","Thousands of dollars",42664,40208,44984,44412,46920,44720,38440,35636,32368,40016,42004,43088,45980,46456,48080,48988,53104,48160,49836,52652,56628,56716,57840,55784,54044,52124,51428,52512,49992,52444,53396,55160,53820,56376,54888,56968,55844,56348,57376,54748
 "56000","Wyoming",7,SQINC5H,300,"C","   Construction","Thousands of dollars",30512,32556,34352,34348,36848,35436,35172,35636,31152,33232,35908,37708,31084,32312,32776,33412,36284,36428,37532,38244,34296,33884,33880,34496,33084,33156,32676,33160,34380,35536,36124,35832,40244,42068,43016,43340,47240,47824,47588,47428
 "56000","Wyoming",7,SQINC5H,400,"D","   Manufacturing","Thousands of dollars",23484,23544,24252,24256,25204,24192,24168,23612,22720,24296,26200,27848,27988,28888,28824,29060,30276,30372,30968,33580,34848,35392,35036,34016,35440,35128,34776,35928,34508,35580,36256,37400,37584,38124,38404,39948,40112,39876,39888,38916
 "56000","Wyoming",7,SQINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",52472,51632,54152,54120,53140,55364,52636,51124,51716,53260,56452,57656,60620,63836,62596,63580,66876,66520,68808,70028,67964,70692,71024,70756,64672,64248,64544,65044,60796,62636,64616,65956,65528,66164,65404,67272,67108,68040,68712,68212
 "56000","Wyoming",7,SQINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",62044,63148,64288,65844,68864,69048,67664,67140,67560,68676,71024,69920,72880,75908,78140,78324,79580,81208,81960,84052,85292,86108,85668,87164,84212,85020,84904,85960,86528,87272,89704,91412,90516,91504,93176,93528,94448,95016,96892,95972
 "56000","Wyoming",7,SQINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",7316,7548,7744,7816,8460,8552,8676,9112,10084,10768,11244,11652,10904,10904,11000,11288,11876,12156,12516,12812,13056,13284,13620,13932,14392,14740,15288,15792,16468,16976,17496,17764,15660,15844,16044,16340,16932,17228,17520,17768
 "56000","Wyoming",7,SQINC5H,800,"I","   Services","Thousands of dollars",30876,31540,31776,31892,31540,31548,31996,32996,33632,34220,34896,35836,35544,35696,36704,37496,39396,39820,40748,41628,42308,43172,43864,44316,44828,45092,46116,47944,48280,50024,51888,53280,52644,53540,54664,55712,54316,55312,56136,56516
 "56000","Wyoming",7,SQINC5H,900,"...","  Government and government enterprises","Thousands of dollars",54972,55816,57260,58972,70352,71892,73192,73780,71108,73592,78512,85428,78184,83652,88816,93056,96784,99304,101116,101844,99636,99468,99324,99716,101900,102364,103472,104240,112152,113256,114516,116060,131896,133748,135892,137312,120220,122208,124476,127196
 "56000","Wyoming",7,SQINC5H,910,"...","   Federal civilian","Thousands of dollars",23292,23344,23576,24044,25384,25820,25844,25592,23420,23608,24560,26284,24680,26360,27824,28992,28996,29632,29920,29896,30424,30140,29924,29716,30088,29988,30172,30516,31880,32444,32988,33452,36848,37368,37916,38376,36744,37428,38300,39412
 "56000","Wyoming",7,SQINC5H,920,"...","   Military","Thousands of dollars",13736,13972,14208,14580,24036,24892,25568,26188,25196,27128,30532,35292,28712,31992,34772,37020,40120,41476,42152,42136,38120,37736,37480,37256,37804,37444,37276,37032,41536,41456,41524,41592,51924,52112,52292,52044,36732,36704,36784,37060
 "56000","Wyoming",7,SQINC5H,930,"...","   State and local","Thousands of dollars",17944,18500,19476,20348,20932,21180,21780,22000,22492,22856,23420,23852,24792,25300,26220,27044,27668,28196,29044,29812,31092,31592,31920,32744,34008,34932,36024,36692,38736,39356,40004,41016,43124,44268,45684,46892,46744,48076,49392,50724
"Note: See the included footnote file."
"SQINC5H: Personal Income by Major Component and Earnings by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
