GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "02000","Alaska",8,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",17949369,17998353,18113881,18396213,18402890,18551614,18608326,19139882,19691240,19973304,20255804,20394312,20772868,21288308,21305388,21595008,21873384,22054484,22312832,22745432,22725272,23128416,23415260,23689588,23857760,24100180,24459024,24936420,25213672,25650700,26185584,26777552,27236740,27647948,27768744,28253260,29318444,29868456,29949116,30219420,32026456,33079012,32965716,33229088,32306112,32919376,33001800,33358476,34492204,35060792,35608440,36013880,36831392,37576680,38148876,38754288,38870288,39200980,39041132,39564560,38590532,38606208,39036496,39204728,40396928,40986312,41322868,41735496,42340888,42507684,42513084,42517944,41488736,41472404,41511420,41672256,41670232,41753480,42122576,42514812,43220008,43482060,44155152,44415580,44881505,45496617
 "02000","Alaska",8,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),708450,712083,715011,717120,719069,721000,723151,725305,727338,729348,731348,733152,734673,736202,736986,736935,736677,736388,736581,737026,737189,737396,738107,739181,740055,740987,741373,741063,740537,739980,739554,739038,738340,737681,737260,736815,736096,735400
 "02000","Alaska",8,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48687,49237,49801,50220,51221,52117,52754,53432,53442,53748,53382,53965,52527,52440,52968,53200,54837,55659,56101,56627,57436,57646,57597,57520,56062,55969,55993,56233,56270,56425,56957,57527,58537,58944,59891,60281,60972,61866
 "02000","Alaska",8,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",14461321,14384933,14482093,14781097,14729210,14802582,14764334,15232262,15615068,15754672,16000924,16097776,16524952,17045268,17202864,17345084,17664280,17836788,18101324,18489408,18453616,18924952,19088864,19341080,19499832,19694220,20147712,20379800,20565572,20835164,21424108,21819012,21894556,22242700,22334984,22846804,23103664,23439860,23419680,23609940,23958508,24200312,24557232,25005540,24923100,25394160,25557120,26008456,26374244,26857060,27239156,27450008,27673656,28275116,28811296,29139856,29364008,29620016,29777312,29861484,29667712,29634468,30109656,30078968,30347648,30558752,30634436,30889476,31421440,31484552,31473556,31452260,30708052,30426184,30162820,30130424,30308472,30277228,30565416,30647008,31176984,31371400,31843516,32054868,32409474,32782587
 "02000","Alaska",8,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1549468,1533212,1541872,1569196,1563184,1564128,1555076,1597380,1630860,1635096,1656128,1654708,1698956,1742656,1746236,1763620,1799728,1813836,1833264,1863428,1849656,1890288,1900116,1925460,1972232,1990848,2040576,2057232,2096564,2121264,2187708,2219252,2291376,2357476,2374444,2427292,2448188,2466392,2454968,2477588,2502656,2526520,2554496,2589304,2559356,2595408,2585116,2608292,2637676,2673588,2696568,2699360,2493304,2530224,2569068,2589508,2649604,2685336,2712252,2743588,3102108,3108608,3150180,3118280,3110332,3115792,3106712,3130468,3158548,3171840,3155712,3139224,3093916,3059356,3033144,3029352,3068764,3061748,3087268,3075204,3124352,3127504,3157820,3170228,3231215,3271855
 "02000","Alaska",8,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",733092,725848,728260,741120,741832,743092,737728,759448,774064,777984,790080,792856,818088,842456,846696,854044,871620,877488,887896,904272,898192,918500,924292,936532,957796,966044,987588,993816,1014708,1023640,1050960,1067304,1107756,1142792,1153952,1181136,1200828,1216568,1214112,1225424,1243588,1256020,1270184,1283832,1272832,1285648,1282460,1298664,1316052,1338176,1351316,1348628,1084128,1095964,1107324,1116948,1129444,1143120,1154068,1159104,1503676,1505564,1530692,1519564,1541832,1547192,1544932,1558500,1583308,1592464,1584712,1576044,1565320,1547936,1533364,1533716,1564884,1563808,1579208,1575608,1623872,1627740,1644584,1652324,1687819,1707911
 "02000","Alaska",8,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",816376,807364,813612,828076,821352,821036,817348,837932,856796,857112,866048,861852,880868,900200,899540,909576,928108,936348,945368,959156,951464,971788,975824,988928,1014436,1024804,1052988,1063416,1081856,1097624,1136748,1151948,1183620,1214684,1220492,1246156,1247360,1249824,1240856,1252164,1259068,1270500,1284312,1305472,1286524,1309760,1302656,1309628,1321624,1335412,1345252,1350732,1409176,1434260,1461744,1472560,1520160,1542216,1558184,1584484,1598432,1603044,1619488,1598716,1568500,1568600,1561780,1571968,1575240,1579376,1571000,1563180,1528596,1511420,1499780,1495636,1503880,1497940,1508060,1499596,1500480,1499764,1513236,1517904,1543396,1563944
 "02000","Alaska",8,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-821240,-814904,-818212,-834040,-820776,-823384,-818160,-844852,-865292,-870976,-886048,-888520,-838528,-863816,-870208,-879296,-773740,-782244,-795592,-814932,-681644,-699548,-704976,-713876,-594108,-599800,-614872,-622068,-502576,-507768,-518432,-521668,-410168,-417948,-420360,-430804,-302112,-308088,-308816,-312632,-169276,-171676,-174536,-177792,-176168,-179020,-178992,-180680,-175804,-179012,-181740,-182788,-189180,-193260,-196320,-198620,-203344,-205016,-206748,-206612,-205156,-204152,-208376,-207272,-218664,-219828,-219196,-221308,-222888,-224412,-223304,-221904,-198424,-195432,-191900,-190436,-181864,-180436,-181788,-181404,-188208,-189380,-191728,-192636,-195270,-197717
 "02000","Alaska",8,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",12090613,12036817,12122009,12377861,12345250,12415070,12391098,12790030,13118916,13248600,13458748,13554548,13987468,14438796,14586420,14702168,15090812,15240708,15472468,15811048,15922316,16335116,16483772,16701744,16933492,17103572,17492264,17700500,17966432,18206132,18717968,19078092,19193012,19467276,19540180,19988708,20353364,20665380,20655896,20819720,21286576,21502116,21828200,22238444,22187576,22619732,22793012,23219484,23560764,24004460,24360848,24567860,24991172,25551632,26045908,26351728,26511060,26729664,26858312,26911284,26360448,26321708,26751100,26753416,27018652,27223132,27308528,27537700,28040004,28088300,28094540,28091132,27415712,27171396,26937776,26910636,27057844,27035044,27296360,27390400,27864424,28054516,28493968,28692004,28982989,29313015
 "02000","Alaska",8,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",3456596,3498636,3510132,3482260,3447088,3454260,3474724,3523360,3602984,3655240,3679360,3686648,3641292,3611680,3575484,3540132,3529320,3540496,3517304,3554392,3616668,3601216,3631716,3682544,3714712,3774220,3789004,4011988,3924720,4031896,4032124,4252336,4430088,4559668,4609456,4656440,4886812,5136692,5217460,5284840,5658168,5645836,5722868,5572668,5622016,5502888,5367700,5282660,5667828,5761964,5853688,6054024,6391124,6510904,6560784,6754004,6934904,7020824,6835452,7266272,6819084,6849240,6936128,6992988,7154252,7314180,7437756,7527880,7621828,7774728,7841556,7822208,7853712,7877512,7883096,7884372,7900312,7914432,7944644,8118152,8305556,8457200,8579480,8658016,8603956,8703752
