GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "01000","Alabama",5,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",98402837,99395009,100422561,101592745,102248179,102569859,103831959,105162235,106495347,108199399,108590543,110135107,111152488,112370824,112338260,112758148,113357312,114937824,115665816,116806284,118377352,119079316,120702408,122685228,125134584,127744776,129787144,132293012,133147816,135407948,136796580,139957008,142775308,144756700,145895872,147275452,150248392,152018028,152837376,154204224,155057060,161916484,157016720,155477032,153254068,156019252,155440108,155867664,157933104,160582072,163381244,164169824,166803596,167219068,168544780,169203584,171357616,173000352,171345896,175512436,173553232,174098640,175331508,174678660,176503764,179453996,181869104,184004212,185344268,187154072,188934332,188745068,189554108,190430800,191028908,192244880,195073732,196116788,197431040,200511192,203755080,205432564,207198640,209433760,212324982,214897127
 "01000","Alabama",5,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),4777058,4782744,4787867,4792016,4794588,4797098,4801502,4806340,4810096,4813502,4818371,4823154,4825627,4828452,4832548,4836537,4838823,4841012,4844753,4848531,4850046,4851811,4855287,4858995,4860966,4863176,4866767,4870326,4872134,4873728,4877330,4881108,4883455,4886084,4890145,4893977,4896127,4898502
 "01000","Alabama",5,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33061,33575,34124,34259,34790,34858,35103,35204,35625,35941,35561,36390,35965,36057,36281,36116,36477,37070,37539,37951,38215,38574,38913,38844,38995,39158,39252,39473,40039,40240,40479,41079,41724,42044,42371,42794,43366,43870
 "01000","Alabama",5,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",70977925,71520213,72443429,73718065,74504971,74728287,75770343,76712939,77157467,77986023,77794875,78975775,79499144,80371820,80833064,80531504,81052140,82419524,83273824,83838580,84711476,85172708,86155632,87594000,89052072,90883856,92449932,93877120,94615896,96184380,97143384,99368448,100755572,101945532,102561260,103627724,104984020,105353984,105524880,106392104,106470588,106395428,106231932,105762184,103023708,104246432,104476588,104991624,104865584,106928388,108619956,107778768,109029552,109177280,110798560,110205016,112473184,112878288,111646260,113644720,115346436,116021684,116710152,115833376,116954924,118463148,119787144,121219032,121842352,122537916,124118624,123927940,124330576,124879372,125186288,126356660,128360676,128914956,129384296,131377672,133396744,134264988,135371216,137045508,138816877,140379480
 "01000","Alabama",5,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",8112644,8163460,8265372,8371092,8463904,8522820,8639992,8744816,8832556,8871424,8849920,8991440,9109220,9201952,9248916,9196528,9326456,9475804,9555960,9579536,9726520,9762840,9852100,9980608,10084264,10259456,10423632,10559732,10754440,10926204,11018020,11258992,11481268,11626124,11708652,11851908,12107080,12170492,12228248,12388404,12571644,12605568,12643776,12602980,12247172,12379388,12352932,12362756,12536596,12726976,12869056,12707060,11613112,11575520,11737924,11658980,11831640,11906456,11793400,12008744,13662364,13743532,13678244,13699120,13873108,13992596,14122660,14289620,14407764,14486624,14642072,14625116,14709844,14778504,14823088,14997832,15225760,15329092,15422356,15669300,15968532,16069892,16215384,16378408,16795826,16966988
 "01000","Alabama",5,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",4187444,4214612,4270708,4331768,4396512,4431396,4491872,4544912,4579448,4605264,4592528,4673896,4747164,4810912,4845760,4822720,4907120,4985136,5030280,5044576,5102800,5117876,5171532,5251772,5313496,5419904,5512056,5587532,5700760,5797384,5852104,5994588,6183468,6287348,6345084,6423636,6580520,6615864,6642640,6720164,6838192,6859708,6879668,6864288,6702632,6763536,6734600,6713196,6740520,6812616,6881016,6798616,5507628,5520584,5622840,5626536,5685700,5739492,5691232,5769556,7416332,7449796,7419452,7433612,7600228,7666096,7726628,7800408,7888552,7920672,8008512,8007044,8134940,8186752,8219608,8320296,8486584,8547632,8595448,8730848,9002344,9061488,9140304,9237144,9484445,9577743
 "01000","Alabama",5,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",3925200,3948848,3994664,4039324,4067392,4091424,4148120,4199904,4253108,4266160,4257392,4317544,4362056,4391040,4403156,4373808,4419336,4490668,4525680,4534960,4623720,4644964,4680568,4728836,4770768,4839552,4911576,4972200,5053680,5128820,5165916,5264404,5297800,5338776,5363568,5428272,5526560,5554628,5585608,5668240,5733452,5745860,5764108,5738692,5544540,5615852,5618332,5649560,5796076,5914360,5988040,5908444,6105484,6054936,6115084,6032444,6145940,6166964,6102168,6239188,6246032,6293736,6258792,6265508,6272880,6326500,6396032,6489212,6519212,6565952,6633560,6618072,6574904,6591752,6603480,6677536,6739176,6781460,6826908,6938452,6966188,7008404,7075080,7141264,7311381,7389245
 "01000","Alabama",5,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1017116,1051104,1083616,1106440,1099808,1118236,1133208,1173600,1238336,1246132,1276056,1267044,1304608,1311576,1315236,1329072,1356152,1376324,1375288,1389096,1424388,1444092,1464836,1486064,1455416,1478436,1511588,1509464,1523972,1534188,1557608,1602852,1585028,1593684,1609652,1653872,1717744,1719120,1733320,1733284,1844892,1836136,1830748,1824536,1811216,1807092,1796688,1799616,1861992,1880204,1888576,1919252,2025952,2024368,2046164,2036352,2252720,2274268,2298224,2350228,2347000,2368392,2378824,2417120,2334880,2351692,2369944,2415004,2262476,2301020,2321260,2357472,2393772,2389872,2423564,2464696,2347820,2360416,2397428,2447816,2469296,2494980,2551388,2542688,2599044,2627547
 "01000","Alabama",5,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",63882397,64407857,65261673,66453413,67140875,67323703,68263559,69141723,69563247,70360731,70221011,71251379,71694532,72481444,72899384,72664048,73081836,74320044,75093152,75648140,76409344,76853960,77768368,79099456,80423224,82102836,83537888,84826852,85385428,86792364,87682972,89712308,90859332,91913092,92462260,93429688,94594684,94902612,95029952,95736984,95743836,95625996,95418904,94983740,92587752,93674136,93920344,94428484,94190980,96081616,97639476,96990960,99442392,99626128,101106800,100582388,102894264,103246100,102151084,103986204,104031072,104646544,105410732,104551376,105416696,106822244,108034428,109344416,109697064,110352312,111797812,111660296,112014504,112490740,112786764,113823524,115482736,115946280,116359368,118156188,119897508,120690076,121707220,123209788,124620095,126040039
 "01000","Alabama",5,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",18669408,19039484,19169192,18981360,18675556,18729212,18824412,19101136,19765140,20163132,20429056,20667912,20681328,20641988,20473844,20255772,20048160,20157012,19968464,20234224,20625376,20531044,20856752,21450648,22113108,22706116,22890684,23931348,23420756,23953232,23910096,25047544,25630452,26260664,26455584,26636692,27245264,28484692,28865824,29202092,29815596,29749840,30101032,29313240,27672356,27019072,26443368,26128384,26699456,27080620,27350744,28119032,28329232,28744164,29029996,30028504,30198264,30851032,30167728,32274776,29762268,29833396,30193684,30395524,30737628,31518312,32116668,32568300,32952644,33726020,34016668,33831588,33847624,33931136,34033872,34219104,34662032,34926160,35200076,36092592,36962676,37657840,38222888,38584496,38320232,38807204
