GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "04000","Arizona",6,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",114467191,116886343,119300799,121576019,121457792,123923108,125383200,127853540,132207307,134343111,136574615,138424879,140062500,141162296,141670364,142482652,144552528,145790552,146615940,149061960,151462256,153607372,155817284,159813168,163796424,167634740,170942348,176181456,180104500,185768728,190964920,195707872,204036036,207287348,210883684,214300772,217982848,220343844,222067496,222549480,222068672,228910112,223024748,219379824,211481952,212575340,210973992,212869944,211252980,214400836,216873800,219566948,224054304,225241488,227092332,229073084,233118872,236159844,235021864,243083796,238962840,242094708,244069804,246294996,252239716,255552160,259101320,262746928,266578696,270716648,272229616,275006088,276944312,281026580,284748324,287191380,293992080,296634056,301754360,306071576,312770128,315249460,320206144,323425932,330057385,335111145
 "04000","Arizona",6,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6385009,6399905,6417195,6434883,6450126,6465295,6484910,6506836,6526761,6546325,6567948,6589233,6607086,6625143,6648333,6674617,6698216,6721611,6747849,6774518,6797761,6821202,6848743,6878065,6904675,6931443,6959606,6986994,7011698,7035955,7065250,7096899,7126358,7156108,7187694,7218675,7248066,7277943
 "04000","Arizona",6,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33086,33501,33796,34121,34736,34839,35019,35205,35717,36075,35783,36891,36168,36542,36711,36900,37658,38019,38398,38785,39216,39688,39749,39983,40110,40544,40914,41104,41929,42160,42710,43128,43889,44053,44549,44804,45537,46045
 "04000","Arizona",6,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",82923847,84784627,87152543,89682371,89251244,91744648,92898004,94992788,98524727,99740587,101691515,103203847,103954944,104414108,105949432,105461340,106933984,107962608,108811500,110420444,111253680,113265704,114639464,118021692,120794880,123631028,126389996,129087340,131533652,135403172,140424324,142753944,149108604,150754332,153653424,156788644,158393932,158807020,159956436,159901444,158812628,157820936,156441328,154350784,146020652,145188356,144302624,146717712,142937660,145945184,147332920,148885212,150379132,151171472,153616792,153999532,157429136,158824420,158897528,162727476,164504008,166964336,167222668,168698084,172337004,172768188,174149800,176455600,179751340,181414632,182117828,185405736,185969652,189097236,192089984,193259320,197649164,198998104,203291132,205155296,209765660,211222280,214846844,217101336,222348768,224928972
 "04000","Arizona",6,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",9432508,9630928,9905620,10175008,10153864,10455384,10565256,10775928,11219068,11281616,11511288,11664188,11841224,11884020,12049092,12010048,12192688,12315768,12373068,12501212,12534296,12723588,12845624,13193136,13450796,13734740,14054708,14326704,14644336,15041480,15560208,15745404,16361288,16516040,16822424,17188912,17520332,17611704,17792232,17846148,18027400,17951852,17891676,17743396,17073828,17069620,16954788,17173740,17003384,17260000,17318080,17400676,15854804,15869444,16078052,16111912,16327600,16461068,16459896,16842060,19065272,19349168,19351584,19488092,19849780,19808396,19968340,20294336,20659588,20919728,21024580,21422724,21454344,21821952,22134880,22232416,22815232,22933724,23424516,23616352,24313964,24485868,24905404,25161608,25919023,26203200
 "04000","Arizona",6,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",4840880,4946296,5092300,5240336,5248804,5413828,5476384,5587924,5810584,5843376,5951884,6021272,6108368,6123600,6202964,6172124,6275796,6333476,6371608,6455464,6471324,6581348,6657188,6848828,6976736,7128020,7303656,7460108,7659416,7881176,8153100,8244360,8614616,8691036,8832472,8995028,9177804,9204224,9273676,9273512,9382176,9343428,9315360,9259804,8964624,8978368,8950288,9095832,8988384,9139064,9197832,9266356,7481116,7514724,7629312,7679372,7730916,7801332,7796512,7941872,10180072,10324064,10338996,10428344,10744936,10727952,10806688,10969344,11207832,11340608,11386964,11596996,11685724,11877628,12033908,12077804,12458328,12510132,12770420,12850572,13369572,13457236,13680448,13820748,14261207,14404055
 "04000","Arizona",6,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",4591628,4684632,4813320,4934672,4905060,5041556,5088872,5188004,5408484,5438240,5559404,5642916,5732856,5760420,5846128,5837924,5916892,5982292,6001460,6045748,6062972,6142240,6188436,6344308,6474060,6606720,6751052,6866596,6984920,7160304,7407108,7501044,7746672,7825004,7989952,8193884,8342528,8407480,8518556,8572636,8645224,8608424,8576316,8483592,8109204,8091252,8004500,8077908,8015000,8120936,8120248,8134320,8373688,8354720,8448740,8432540,8596684,8659736,8663384,8900188,8885200,9025104,9012588,9059748,9104844,9080444,9161652,9324992,9451756,9579120,9637616,9825728,9768620,9944324,10100972,10154612,10356904,10423592,10654096,10765780,10944392,11028632,11224956,11340860,11657816,11799145
 "04000","Arizona",6,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",401412,401984,407312,412832,462200,454772,461692,486480,512188,523816,538248,525744,646596,647740,630404,626328,685812,694192,699624,703460,775668,786756,810704,812152,919980,939416,958812,967692,1051008,1067892,1052596,1060532,1090960,1090540,1083460,1102204,1152460,1165840,1168512,1212652,1213480,1213992,1224460,1204180,1232124,1225732,1221704,1216924,1227024,1242988,1255784,1270076,1246300,1253096,1257096,1236304,1329760,1333140,1343000,1389344,1320196,1335380,1348992,1375460,1419012,1436440,1464168,1497668,1491972,1515932,1531152,1528276,1588076,1588152,1620004,1623508,1615748,1643944,1659048,1691108,1719480,1737788,1748704,1771392,1804909,1827796
 "04000","Arizona",6,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",73892751,75555683,77654235,79920195,79559580,81744036,82794440,84703340,87817847,88982787,90718475,92065403,92760316,93177828,94530744,94077620,95427108,96341032,97138056,98622692,99495052,101328872,102604544,105640708,108264064,110835704,113294100,115728328,117940324,121429584,125916712,128069072,133838276,135328832,137914460,140701936,142026060,142361156,143332716,143267948,141998708,141083076,139774112,137811568,130178948,129344468,128569540,130760896,127161300,129928172,131270624,132754612,135770628,136555124,138795836,139123924,142431296,143696492,143780632,147274760,146758932,148950548,149220076,150585452,153906236,154396232,155645628,157658932,160583724,162010836,162624400,165511288,166103384,168863436,171575108,172650412,176449680,177708324,181525664,183230052,187171176,188474200,191690144,193711120,198234654,200553568
 "04000","Arizona",6,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",25663196,26259436,26500476,26264240,26024044,26164816,26356392,26808556,27820920,28354420,28698368,28980140,28685916,28587892,28320540,27986268,28087932,28188024,27883968,28277856,29223160,29032464,29422252,30052744,30537008,31251280,31702072,33841876,34414928,35891288,36282508,38652828,39783320,41059488,41508572,41844428,42696200,44636876,44815144,44671572,44533228,43812348,44126324,42803244,39549388,38761480,37697336,36997272,36491020,37035280,37226792,38683796,40217216,40651016,40762212,42293604,43457588,44360056,43483964,47491024,43266184,43893192,44952092,45648556,46992136,48807920,50143060,51003032,51549968,53563112,54366440,54030996,54524320,55115212,55684372,56452420,58017244,58577208,59058464,60981600,62547040,63748264,64820220,65486256,64815700,66148261
