GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "08000","Colorado",7,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",119015134,121507430,125685658,126196526,129167186,131667430,132900618,138346834,142138893,146693193,150722261,152145269,155595084,155678080,154390692,154335460,154153972,155320428,155308532,156833300,155817516,157156784,160318348,159551112,160248344,163181488,164308504,168685768,170665528,173799384,176888028,179739068,186593036,187855248,191000280,192454004,196977988,201195692,202779920,206548288,204934840,211392472,210683012,207941752,201804348,198650944,197099748,197645620,199956396,202864644,206755088,211913284,219397952,221918388,225092368,226204080,232442880,235514668,234700588,245907668,243530076,247560892,251041652,254993864,264047172,269460676,273498528,278223500,281447804,284173868,285384596,285929360,284721144,286965164,291129236,295506936,303049336,307761392,312918896,319288532,326035504,330559676,335702112,339473020,346929935,351061592
 "08000","Colorado",7,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5020518,5038708,5058269,5077372,5094781,5112416,5131379,5150003,5167319,5184621,5204326,5224585,5242372,5260669,5281153,5302289,5321555,5341019,5364823,5391133,5415012,5439377,5463936,5486929,5508082,5529617,5551033,5570699,5588585,5606362,5626454,5646905,5665882,5685283,5706299,5726998,5746014,5765387
 "08000","Colorado",7,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39828,40261,40875,41737,43063,43408,43866,43923,44983,45426,45097,47067,46454,47059,47535,48091,49618,50451,50980,51608,51975,52244,52231,52111,51692,51896,52446,53047,54226,54895,55616,56542,57544,58143,58830,59276,60377,60891
 "08000","Colorado",7,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",91593410,93441834,97671074,98180726,101262210,103690030,104443762,109604430,112245053,116168869,119881597,120705865,123757496,123368464,122489948,122042612,121843004,122969204,123336204,124499064,122287964,123805016,126975836,125911984,126608696,129275472,130352448,132787712,134550964,136231924,139229188,139786996,145296764,144875760,147391040,148153564,150831836,152742180,153513020,157200220,154214304,155975968,157920756,156462672,150408732,146248440,146002992,147332156,147485192,149536436,152231796,155763732,158218364,159652052,162412232,161464368,166495108,168205636,169122656,175188440,179338644,182749124,184685772,187964808,194656324,197626340,199825236,203497136,205320876,204891136,204977424,205669308,203637212,204917864,208728292,212080320,217526448,221682516,226033484,229766048,233921784,236558420,239772236,242137632,249581273,251506518
 "08000","Colorado",7,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",9363524,9532524,9978692,9965124,10242904,10472724,10484688,10996168,11220840,11574600,11981920,12036744,12330888,12314132,12263600,12346632,12527968,12730712,12789712,12851736,12718660,12835292,13171356,13093348,13443232,13765196,13918912,14178896,14412208,14561800,14867196,14894696,15472876,15409592,15680336,15786680,16078072,16309232,16397176,16896572,17026956,17150312,17252484,17021956,16659872,16452804,16435280,16413008,16528228,16535352,16663484,16943048,15585584,15716380,15981268,15902244,16286800,16466024,16516136,17019780,18880912,19129432,19285640,19595736,20262720,20461400,20707608,21272540,21530560,21774528,21886216,22082404,22224156,22410384,22763872,23026088,23545016,23821728,24202188,24525452,25033772,25334564,25685324,25915756,26907692,27073059
 "08000","Colorado",7,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",4909176,4997316,5227560,5222744,5379960,5502372,5508252,5774452,5873024,6067584,6282568,6324380,6501592,6490352,6428920,6397252,6412444,6441192,6438812,6472588,6410556,6477896,6646720,6582588,6712312,6847672,6900940,7016668,7149556,7224132,7364208,7379716,7737196,7728920,7900592,7966748,8171324,8311860,8362424,8613168,8694720,8761268,8820248,8716480,8592296,8496220,8510068,8514396,8547072,8533640,8586464,8707184,7007448,7046208,7145620,7130620,7257100,7359012,7416068,7667188,9734180,9893148,9989896,10121456,10441068,10542816,10657532,10935272,11116068,11228800,11269892,11352880,11497932,11578580,11763204,11912356,12276032,12461972,12678516,12870860,13309032,13492920,13689104,13820220,14377228,14455854
 "08000","Colorado",7,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",4454348,4535208,4751132,4742380,4862944,4970352,4976436,5221716,5347816,5507016,5699352,5712364,5829296,5823780,5834680,5949380,6115524,6289520,6350900,6379148,6308104,6357396,6524636,6510760,6730920,6917524,7017972,7162228,7262652,7337668,7502988,7514980,7735680,7680672,7779744,7819932,7906748,7997372,8034752,8283404,8332236,8389044,8432236,8305476,8067576,7956584,7925212,7898612,7981156,8001712,8077020,8235864,8578136,8670172,8835648,8771624,9029700,9107012,9100068,9352592,9146732,9236284,9295744,9474280,9821652,9918584,10050076,10337268,10414492,10545728,10616324,10729524,10726224,10831804,11000668,11113732,11268984,11359756,11523672,11654592,11724740,11841644,11996220,12095536,12530464,12617205
 "08000","Colorado",7,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",230388,231616,226040,236048,258096,257816,264224,262604,293696,284964,284940,288960,301040,304680,312288,317096,332548,338188,341872,344316,353476,360932,361176,378192,387884,393876,405488,405756,417184,423432,432040,444348,460732,472864,477248,492556,498152,503108,507696,511064,522368,522428,523396,523556,568108,565928,559424,559424,648188,662184,669196,672852,818508,822992,832500,833656,1013372,1024208,1023320,1047456,1168248,1179684,1184504,1199688,1210704,1221276,1239456,1256196,1228340,1228452,1233168,1230276,1201596,1200172,1201364,1210504,1292788,1308656,1320088,1342268,1326580,1340708,1354440,1364032,1393549,1414209
 "08000","Colorado",7,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",82460274,84140926,87918422,88451650,91277402,93475122,94223298,98870866,101317909,104879233,108184617,108958081,111727648,111359012,110538636,110013076,109647584,110576680,110888364,111991644,109922780,111330656,114165656,113196828,113553348,115904152,116839024,119014572,120555940,122093556,124794032,125336648,130284620,129939032,132187952,132859440,135251916,136936056,137623540,140814712,137709716,139348084,141191668,139964272,134316968,130361564,130127136,131478572,131605152,133663268,136237508,139493536,143451288,144758664,147263464,146395780,151221680,152763820,153629840,159216116,161625980,164799376,166584636,169568760,175604308,178386216,180357084,183480792,185018656,184345060,184324376,184817180,182614652,183707652,187165784,190264736,195274220,199169444,203151384,206582864,210214592,212564564,215441352,217585908,224067130,225847668
 "08000","Colorado",7,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",25975372,26698420,27037312,26847920,26648952,26871556,27196340,27904560,29108800,29815804,30393620,30846600,30998636,30996288,30716660,30230436,30003800,29891848,29483496,29767360,30545828,30280048,30414096,30654800,30686420,31076160,31232908,33153248,32933760,34185672,34411864,36586332,37777604,39146872,39806396,40488832,41886896,44298336,44867516,45052868,45947884,45533752,46142668,45019012,43038928,41805688,40375992,39175236,39449512,39867576,40515660,42286244,45303448,46617552,47463276,49156800,50896028,52004380,50354988,55675656,50382052,51102284,52417320,53201412,55193508,57168104,58648432,59597064,60313744,62887876,63865940,63366808,63920012,64644100,65412788,66507432,68735780,69471732,70110668,72479540,74263056,75595388,76819880,77561140,76739180,78401575
