GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "10000","Delaware",2,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",22008338,22421758,22643750,22935338,23825681,23887949,24171201,24796049,26134700,26740344,26912980,26867224,28800648,29239776,29621800,29947504,30226484,30336024,30490532,30494232,30389604,30853000,31435012,31700656,31337784,32196520,32455760,33516756,32597852,32875404,33039936,34699252,34829588,35390804,35472740,35368868,36085064,36523228,36273380,36480536,35532000,37026888,36249528,35164536,36149732,36324540,36314200,36348200,35617664,36329736,37216860,37738372,39377968,39664060,40067572,40192884,39733112,40254836,40064872,41300948,40416400,40903996,41034120,41443280,42059876,42627764,43189028,43676448,44378244,45289640,45344664,45590364,45368164,45862396,46257352,46680516,47584084,47678920,48465400,49027428,50148612,50561800,51109036,51312988,51692808,52475931
 "10000","Delaware",2,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),897023,898766,900707,902800,904597,906363,908410,910524,912423,914225,916432,918763,920667,922566,924873,927318,929445,931495,933893,936333,938322,940313,942536,944665,946450,948221,950363,952543,954354,956090,958479,961157,963498,965888,968589,971272,973598,975961
 "10000","Delaware",2,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39707,40422,41320,41801,43531,43762,44107,44143,43547,44032,43718,44953,43899,44337,44367,44692,45253,45763,46246,46646,47295,48164,48109,48261,47935,48367,48673,49006,49860,49869,50565,51009,52048,52347,52766,52831,53095,53768
 "10000","Delaware",2,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",18147766,18467370,18665978,19107882,20321221,20369957,20591265,21170329,22245504,22554968,22644832,22628736,24374128,24843552,25422820,25656168,25740796,25690660,25930984,25744016,25542288,26082464,26664264,26789520,26235268,27069068,27172552,28126696,27196760,27233992,27406360,29304512,29041440,29355504,29166988,28878436,29393728,29664028,29144016,29283932,28256300,28699108,28425508,27518644,28008236,27819628,28000316,28028928,27309700,27862936,28803184,29049968,30268532,30469072,30814768,30560232,30221400,30581088,30294012,31312044,30878104,31274996,31170864,31566360,32290456,32396364,32748748,33177792,33744176,34448484,34187884,34618004,33702904,34250924,34555852,34745712,35369052,35099096,35742652,35859652,36365724,36556872,37136688,37196052,37216180,37712756
 "10000","Delaware",2,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1959852,1984344,1997572,2044484,2107808,2114044,2129036,2183828,2221744,2210472,2239600,2275700,2246176,2273428,2312092,2347212,2385876,2390728,2426104,2392968,2438272,2473720,2530812,2558288,2612612,2685964,2689236,2771132,2754860,2749764,2775044,2999256,2983696,3028032,3010672,2980532,3058960,3101848,3062332,3112084,3162476,3183176,3202464,3219560,3129776,3120092,3131700,3105124,3115232,3121788,3181760,3156668,2864660,2848324,2851980,2821168,2920928,2970256,2962704,3068004,3427584,3480456,3480716,3544484,3655472,3644632,3679904,3724228,3769180,3847536,3812540,3875188,3785992,3857428,3893296,3917276,3988784,3952440,4028512,4043184,4120492,4149552,4224448,4223628,4267316,4322068
 "10000","Delaware",2,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",984672,998952,1004448,1027884,1063980,1066552,1075848,1104128,1120996,1116152,1131616,1152024,1141496,1157764,1180212,1198364,1221032,1220516,1240512,1225156,1248708,1267200,1299116,1313424,1337608,1376292,1377476,1422060,1419568,1415240,1426424,1553780,1543668,1568104,1556452,1538936,1590184,1615708,1592404,1615304,1644608,1653648,1662192,1670492,1629376,1622552,1631432,1619972,1623752,1627740,1662480,1648360,1316384,1305716,1303712,1295176,1336692,1366336,1368044,1420280,1806640,1836244,1832920,1858596,1906716,1899880,1917520,1939488,1971472,2016672,1999392,2037384,2008424,2052544,2071380,2083380,2132240,2109408,2151824,2158344,2228684,2246328,2289640,2288112,2313597,2342705
 "10000","Delaware",2,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",975180,985392,993124,1016600,1043828,1047492,1053188,1079700,1100748,1094320,1107984,1123676,1104680,1115664,1131880,1148848,1164844,1170212,1185592,1167812,1189564,1206520,1231696,1244864,1275004,1309672,1311760,1349072,1335292,1334524,1348620,1445476,1440028,1459928,1454220,1441596,1468776,1486140,1469928,1496780,1517868,1529528,1540272,1549068,1500400,1497540,1500268,1485152,1491480,1494048,1519280,1508308,1548276,1542608,1548268,1525992,1584236,1603920,1594660,1647724,1620944,1644212,1647796,1685888,1748756,1744752,1762384,1784740,1797708,1830864,1813148,1837804,1777568,1804884,1821916,1833896,1856544,1843032,1876688,1884840,1891808,1903224,1934808,1935516,1953719,1979363
 "10000","Delaware",2,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1443932,-1449436,-1448256,-1481816,-1680576,-1669140,-1680396,-1753840,-1772756,-1755768,-1786380,-1845044,-1729068,-1773968,-1850964,-1883184,-1780400,-1746576,-1787108,-1728716,-1751520,-1775028,-1838540,-1836576,-1858480,-1949964,-1898396,-2053852,-1996920,-1981704,-1981612,-2394496,-2351172,-2391728,-2327496,-2212692,-2174420,-2238892,-2121072,-2130308,-2252672,-2222152,-2206544,-2183704,-1616416,-1536648,-1551324,-1459964,-1660228,-1654992,-1802748,-1819108,-2167708,-2169876,-2164640,-2114444,-2126672,-2186972,-2089844,-2257624,-2051472,-2091716,-2086512,-2172768,-2469864,-2438944,-2467172,-2501704,-2578852,-2700540,-2574428,-2659968,-2193800,-2307092,-2317464,-2324200,-2437120,-2321596,-2414596,-2355172,-2065780,-2054480,-2143324,-2122924,-2059378,-2100859
 "10000","Delaware",2,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",14743982,15033590,15220150,15581582,16532837,16586773,16781833,17232661,18251004,18588728,18618852,18507992,20398884,20796156,21259764,21425772,21574520,21553356,21717772,21622332,21352496,21833716,22294912,22394656,21764176,22433140,22584920,23301712,22444980,22502524,22649704,23910760,23706572,23935744,23828820,23685212,24160348,24323288,23960612,24041540,22841152,23293780,23016500,22115380,23262044,23162888,23317292,23463840,22534240,23086156,23818676,24074192,25236164,25450872,25798148,25624620,25173800,25423860,25241464,25986416,25399048,25702824,25603636,25849108,26165120,26312788,26601672,26951860,27396144,27900408,27800916,28082848,27723112,28086404,28345092,28504236,28943148,28825060,29299544,29461296,30179452,30352840,30768916,30849500,30889486,31289829
 "10000","Delaware",2,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",4604912,4696976,4709348,4620672,4519752,4517400,4560928,4691264,4938444,5094076,5177904,5196296,5105144,5071692,5043340,5038400,5094332,5171856,5133492,5165880,5234992,5155376,5200228,5329248,5475320,5608912,5641872,5920512,5730088,5837940,5852964,6196088,6344464,6591944,6682940,6701424,6698472,6963540,6990028,6994860,7070136,7021384,7145032,6999244,6527492,6428208,6282760,6166184,6055776,6124864,6172532,6402532,6668728,6776648,6820400,7036080,7090532,7190300,7077028,7578512,7096540,7200856,7350644,7444404,7629652,7844816,7994052,8074668,8118464,8359496,8428540,8333492,8349748,8399984,8477232,8605956,8877196,8983896,9074608,9353996,9570932,9729176,9869612,9956748,9863594,10041687
