GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "98000","Far West",8,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1293161099,1310112755,1332926495,1354330219,1376739938,1391717802,1415259202,1457202650,1509000128,1531495624,1570378556,1575246936,1604114948,1605421524,1595146376,1595229616,1611002560,1622998160,1630387664,1649685060,1666313260,1689444592,1717638892,1739257508,1766523608,1801609688,1821465608,1882735720,1875882500,1908745328,1937364796,1983853172,2050264344,2064929072,2088756292,2116588000,2152219440,2178559752,2186866344,2210779680,2220926584,2257194908,2240886832,2202387868,2146732204,2159009888,2148850376,2162768616,2203163832,2236556808,2251381644,2300556720,2368439140,2379307272,2402990120,2416507036,2494427008,2525829452,2523765024,2642038200,2537966244,2575319672,2605865156,2644533628,2696327920,2750713968,2811048520,2852614068,2907127804,2971147060,3008239856,3027042732,3061776056,3086879064,3122076988,3159242804,3204784024,3236024812,3270458504,3339146412,3401026648,3449013796,3487563504,3527821688,3584163959,3636466535
 "98000","Far West",8,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),52519558,52630600,52748785,52875239,52983902,53090868,53215828,53342512,53454791,53563947,53692351,53822453,53927011,54031021,54160946,54302913,54425693,54546954,54691440,54841657,54967560,55094180,55235760,55375797,55496811,55618953,55746286,55863103,55960611,56054781,56160747,56259265,56342557,56427997,56528910,56627384,56709086,56792498
 "98000","Far West",8,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41949,42495,42681,43509,44701,44816,45156,45302,46664,47155,47004,49088,47063,47664,48113,48700,49541,50428,51398,52015,52888,53929,54462,54664,55170,55500,56005,56553,57269,57730,58234,59353,60363,61122,61695,62299,63203,64031
 "98000","Far West",8,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",982072159,992170583,1013474459,1036904299,1059571082,1073217954,1094792714,1134316714,1176635764,1189828420,1226708372,1226554040,1247149420,1244781432,1238339688,1235618304,1251811100,1261950964,1269940940,1283579156,1288267864,1311639936,1334923968,1352405192,1374956348,1405960684,1426469796,1443479188,1454611900,1471949724,1500020612,1522645076,1568462648,1565197768,1579856248,1606133596,1625004848,1632315880,1634100104,1651470288,1636708340,1639037320,1636271164,1607879036,1564030484,1563856044,1562490116,1580142212,1596986320,1622278032,1634002248,1663441520,1697226160,1701432272,1722943380,1719007644,1780924816,1795163612,1806908172,1872369972,1842756492,1873498088,1887481872,1919478960,1942455544,1960863752,1996400680,2022869492,2067277876,2097235276,2118251492,2133091428,2159389348,2175939380,2202267404,2227527272,2263562188,2297099740,2327478704,2374966900,2410549036,2437912564,2460834316,2489543856,2547246520,2574313540
 "98000","Far West",8,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",106731872,107396752,109334984,111338444,113869584,114828536,116681660,120538068,125065508,125340692,129570624,129676460,132778672,132803556,132186744,132591472,134836132,136298412,136974992,138057524,139337412,141824220,144479416,146670080,151026184,154607844,157286268,158726660,160962092,162296576,164401568,165962044,170685908,169413444,170003792,171735576,173964320,174137948,174398780,176582560,176904464,177763624,178751908,176727528,173147248,173498572,171989332,171632756,173380604,174075216,174064140,176631524,163543532,163667004,165135016,163866020,168745840,169010004,169506748,175499132,195118700,198357468,199775048,203824776,207422016,208058876,211540096,214494628,219205040,222419988,223748572,224888556,228511548,230186144,232532544,235246128,239129468,242617736,245700488,250161060,254835952,257220444,259183988,261835708,270303033,272896220
 "98000","Far West",8,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",53582968,53946252,54938904,55994748,57478984,58045612,59068200,61118124,63439976,63688032,65852492,65794384,67426564,67384256,66942872,67060208,68269524,68783956,68968560,69351980,69498568,70506708,71599080,72428140,74287252,75911116,77176780,78038228,79533816,80367900,81581812,82535816,85775304,85440196,85952308,86940016,88644356,89049888,89436240,90896204,91709372,92570004,93371132,92511748,91089928,91281788,90622536,90529352,91187380,91572928,91676052,93317272,76546248,76896476,77717372,77304640,78946668,78958636,79050764,81561556,102783152,104446308,105266792,107447780,109774012,110118952,111898068,113276640,116081556,117706320,118357308,118876328,121711760,122500944,123637236,124835320,127398932,129075696,130573376,132920848,137044024,138496860,139486184,140977380,145690733,147036984
 "98000","Far West",8,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",53148904,53450500,54396080,55343696,56390600,56782924,57613460,59419944,61625532,61652660,63718132,63882076,65352108,65419300,65243872,65531264,66566608,67514456,68006432,68705544,69838844,71317512,72880336,74241940,76738932,78696728,80109488,80688432,81428276,81928676,82819756,83426228,84910604,83973248,84051484,84795560,85319964,85088060,84962540,85686356,85195092,85193620,85380776,84215780,82057320,82216784,81366796,81103404,82193224,82502288,82388088,83314252,86997284,86770528,87417644,86561380,89799172,90051368,90455984,93937576,92335548,93911160,94508256,96376996,97648004,97939924,99642028,101217988,103123484,104713668,105391264,106012228,106799788,107685200,108895308,110410808,111730536,113542040,115127112,117240212,117791928,118723584,119697804,120858328,124612300,125859236
 "98000","Far West",8,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-993928,-990384,-1022676,-1062888,-1038940,-1046748,-1089420,-1171492,-1174596,-1164240,-1231484,-1180404,-1290416,-1295116,-1245812,-1233708,-1327124,-1331040,-1339068,-1368340,-1447912,-1486660,-1534212,-1543160,-1656652,-1707524,-1731960,-1768728,-1845120,-1891868,-1895684,-1923020,-1963656,-1930180,-1953980,-1984528,-2032276,-2074432,-2097596,-2163932,-2244536,-2251572,-2261516,-2173752,-2140788,-2110896,-2069952,-2064924,-1974092,-1996132,-2008228,-2077008,-1912148,-1913344,-1928612,-1913812,-1932520,-1932644,-1956452,-2070100,-1763036,-1796544,-1837592,-1912248,-1941812,-1955376,-2028336,-2061356,-2018644,-2109884,-2124600,-2143648,-2345200,-2371752,-2457668,-2493076,-2584168,-2663024,-2728128,-2795444,-2870976,-2918852,-2946136,-3017212,-3108098,-3141677
 "98000","Far West",8,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",874346359,883783447,903116799,924502967,944662558,957342670,977021634,1012607154,1050395660,1063323488,1095906264,1095697176,1113080332,1110682760,1104907132,1101793124,1115647844,1124321512,1131626880,1144153292,1147482540,1168329056,1188910340,1204191952,1222273512,1249645316,1267451568,1282983800,1291804688,1307761280,1333723360,1354760012,1395813084,1393854144,1407898476,1432413492,1449008252,1456103500,1457603728,1472723796,1457559340,1459022124,1455257740,1428977756,1388742448,1388246576,1388430832,1406444532,1421631624,1446206684,1457929880,1484732988,1531770480,1535851924,1555879752,1553227812,1610246456,1624220964,1635444972,1694800740,1645874756,1673344076,1685869232,1713741936,1733091716,1750849500,1782832248,1806313508,1846054192,1872705404,1892378320,1906059224,1928532600,1943381484,1967277192,1989788068,2021848552,2051818980,2079050088,2122010396,2152842108,2177773268,2198704192,2224690936,2273835389,2298275643
 "98000","Far West",8,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",266426356,272390824,274972284,272966372,270443564,272167024,274578600,280105792,290993952,297598512,302584944,306219968,305695892,305002120,301846648,297252316,295507068,295816320,292478476,297148944,308166212,306926716,311177276,317882760,322096932,328338944,330849776,372838368,351463884,364453588,366880944,391895144,405454520,420133324,425122664,427180160,434893488,455313152,459420996,462381564,472940324,470957008,477752180,464456704,434765904,424717892,413120032,405358908,406159972,412952988,417237432,433538048,454489976,462249156,466412820,485838448,506690516,520175672,505362020,557449060,500376388,506748804,520718720,530781796,550543860,576085500,595336808,607909028,614716712,644505392,657257348,654454472,663682140,673115088,680933808,690614408,710719496,715097400,719564572,743655556,762171888,776031604,788968588,801840492,787864364,806028614
