GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "93000","Great Lakes",3,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1210836577,1228739345,1241295393,1258764105,1264595067,1277054331,1288383255,1319537319,1351967941,1366619349,1383979397,1386177173,1413672032,1412944364,1409578216,1414516920,1410638560,1430325956,1432564212,1443455620,1444825560,1454076272,1465138776,1488155024,1486623596,1510887420,1528223244,1551724160,1542369812,1560769748,1575388816,1597966264,1628964108,1646916268,1658660508,1670304984,1707208956,1720143064,1726578104,1739249616,1756724480,1808615824,1774464472,1755680148,1697988772,1711207556,1704000080,1718479344,1722852840,1754451980,1779542840,1799693968,1847419024,1859167072,1881393448,1891665296,1924660560,1945535288,1940982844,1998295536,1962903448,1978989436,1987298956,1998074548,2028630860,2060631488,2085159416,2111344980,2127760648,2154775676,2175062832,2186121436,2185307544,2196804032,2209857776,2230917164,2254366572,2266798164,2287655332,2319341660,2363494116,2380220436,2405304308,2424558612,2451799152,2478492549
 "93000","Great Lakes",3,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46418415,46430504,46455264,46480879,46490609,46502378,46527835,46552110,46564913,46577091,46609357,46645927,46659498,46677978,46708233,46735673,46746235,46758136,46779074,46793344,46785331,46781453,46795454,46811707,46811473,46814073,46834166,46857494,46864546,46870399,46891102,46909490,46914600,46922935,46944652,46963458,46966804,46972756
 "93000","Great Lakes",3,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37116,37787,38307,38719,39737,39980,40436,40635,41333,41770,41644,42840,42069,42397,42547,42753,43397,44070,44575,45121,45479,46060,46480,46700,46683,46926,47185,47611,48104,48363,48787,49443,50379,50726,51237,51626,52203,52764
 "93000","Great Lakes",3,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",916451145,931000901,942465205,964418857,973971367,986257059,993673559,1019288759,1045735057,1050262881,1062027153,1061830609,1084664320,1081921088,1084022992,1084450300,1085621148,1101454752,1105867924,1112310720,1109728200,1120499160,1128801280,1151956872,1147320984,1168772096,1186911008,1194550656,1187051448,1196297976,1207919720,1215675624,1238344464,1246626804,1251258756,1260305204,1284779816,1283030476,1281750300,1289326052,1299420628,1298548836,1294440340,1287528608,1224713392,1223594844,1223986732,1240071464,1230999136,1262605680,1282206100,1290880376,1316633416,1324741564,1348317644,1345348256,1376209456,1385979752,1386243152,1410909096,1428395916,1440503172,1440811196,1446676576,1464393584,1478100716,1488525288,1507159696,1516152544,1527745032,1544919620,1558298680,1555315096,1561825648,1572703664,1591137648,1605860500,1616379128,1632021660,1648607360,1677584984,1682231116,1698338164,1709921396,1732644476,1747091410
 "93000","Great Lakes",3,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",102703832,104088432,105144480,107478656,108561148,109708096,110124528,112391500,114526220,114093476,115027124,114588312,116933424,116211712,115949684,115973856,116485416,118151836,118327204,118567588,119524028,120466384,121180124,123791044,124588980,126844864,129136896,129710120,131152392,132173204,133395728,134255380,137184024,138242228,138614052,139361436,142315836,142034204,142070524,143272732,144751988,145139028,145472132,145225592,138862116,139160060,138552876,139102896,138583616,141041948,142085380,142128504,131018028,131205872,133098044,132692640,136095280,136765832,136780484,138906832,156385132,157427272,157432336,158194756,161023664,161626920,162585424,164573140,166156264,167565164,169104736,170464388,171002604,171899496,173106596,175389116,177953564,179089804,180726240,182244060,185993412,185937088,187319048,187814296,192017578,193803625
 "93000","Great Lakes",3,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",51446484,52158220,52692556,53860664,54574932,55203108,55464800,56685472,57793428,57693368,58204244,57999968,59166424,58889672,58888156,59004440,59591788,60510940,60643964,60750880,60923924,61244300,61489788,62699096,62892528,63916744,64960132,65230976,66093912,66647640,67215288,67646984,69641640,70325900,70634000,71023684,72953912,72939848,73030180,73631220,74709900,74975476,75105396,74999980,71940568,72035296,71804880,72193080,71737044,73005724,73616824,73617216,59643696,59745640,60540280,60483532,61454868,61797836,61940460,62829304,80888920,81646580,81867556,82336292,84476736,84827640,85270228,86274724,87521492,88256556,89042824,89732968,90669212,91071216,91635380,92768672,94577628,95140432,96029764,96817648,100074524,100125028,100925904,101224524,103641419,104558327
 "93000","Great Lakes",3,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",51257348,51930212,52451924,53617992,53986216,54504988,54659728,55706028,56732792,56400108,56822880,56588344,57767000,57322040,57061528,56969416,56893628,57640896,57683240,57816708,58600104,59222084,59690336,61091948,61696452,62928120,64176764,64479144,65058480,65525564,66180440,66608396,67542384,67916328,67980052,68337752,69361924,69094356,69040344,69641512,70042088,70163552,70366736,70225612,66921548,67124764,66747996,66909816,66846572,68036224,68468556,68511288,71374332,71460232,72557764,72209108,74640412,74967996,74840024,76077528,75496212,75780692,75564780,75858464,76546928,76799280,77315196,78298416,78634772,79308608,80061912,80731420,80333392,80828280,81471216,82620444,83375936,83949372,84696476,85426412,85918888,85812060,86393144,86589772,88376159,89245298
 "93000","Great Lakes",3,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",2961904,2990984,3072748,3053560,3340220,3402232,3478124,3574500,3643960,3763968,3841428,3917968,4006160,4085148,4114508,4151664,4117464,4094084,4146700,4222644,4311592,4377768,4517048,4483936,4838080,4845572,4974444,5049256,5190408,5303812,5427704,5465368,5596264,5649892,5621268,5761304,5533844,5781604,5821856,5960236,6160540,6280636,6317508,6680560,5419436,5471240,5482516,5541204,5281728,5341976,5383012,5400208,5209612,5338144,5352856,5357036,5580548,5633384,5649696,5681696,5432996,5400444,5406204,5402008,5713968,5819476,5894816,5939216,6323936,6388192,6391084,6435952,6489936,6522344,6703192,6708700,6923524,6920028,6888452,7077304,7718072,7956284,7965524,8027964,8099507,8202269
 "93000","Great Lakes",3,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",816709217,829903453,840393473,859993761,868750439,879951195,887027155,910471759,934852797,939933373,950841457,951160265,971737056,969794524,972187816,972628108,973253196,987397000,991687420,997965776,994515764,1004410544,1012138204,1032649764,1027570084,1046772804,1062748556,1069889792,1061089464,1069428584,1079951696,1086885612,1106756704,1114034468,1118265972,1126705072,1147997824,1146777876,1145501632,1152013556,1160829180,1159690444,1155285716,1148983576,1091270712,1089906024,1090916372,1106509772,1097697248,1126905708,1145503732,1154152080,1190825000,1198873836,1220572456,1218012652,1245694724,1254847304,1255112364,1277683960,1277443780,1288476344,1288785064,1293883828,1309083888,1322293272,1331834680,1348525772,1356320216,1366568060,1382205968,1394270244,1390802428,1396448496,1406300260,1422457232,1434830460,1444209352,1458183872,1473440604,1499309644,1504250312,1518984640,1530135064,1548726405,1561490054
 "93000","Great Lakes",3,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",239681404,243901396,244961132,241934044,236280644,236843636,238847788,244760140,251129752,256522804,260184512,259200984,258699628,255128060,251390356,247643544,241143952,242950580,240631276,243350916,244998028,242265388,242873972,244967628,244598712,247571240,248205656,261553860,252036524,258692048,260546780,273794880,279833588,288901784,292865040,295634320,298611180,310951680,313808948,315741632,321958800,319353104,321993540,312225000,292148060,284076216,275948380,270969848,269314628,273799136,277007780,288178312,301075152,306403880,309955360,322132896,330438612,337584572,331510564,364395436,326031072,329523832,336370268,341072688,352217240,365207800,374143100,379396460,382681312,393559288,397582512,394645152,396864312,399359624,401883828,405171164,412797356,415867844,418581244,431276036,443072140,452034016,459572240,464659036,460144224,468114328
