GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "15000","Hawaii",8,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",32257802,32387486,32613562,32865670,32999839,33278931,34046003,34305407,34819495,35631911,35889355,36387371,36926172,37021100,37427104,37441756,38275172,38785040,39112416,39646448,39997884,40466588,40979648,41719980,42546260,43465328,44406980,45490932,46030764,47012644,47442156,48739740,49728524,50392660,51144560,51538616,52334756,53149440,53795136,54412980,55307312,57027684,56157360,55747280,55375384,55946380,55641364,55796996,56044172,56717536,57652948,58301908,59440424,59716952,60103024,60918096,61729260,62474616,62227308,63392484,62620684,62991672,63486440,64167604,65368048,66465164,67413836,68137444,69073716,70131576,70848124,71484452,72133812,72651052,73095784,73633948,75047692,75174380,75845172,76690708,77764588,78374056,79044096,79701792,80545190,81360809
 "15000","Hawaii",8,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1358222,1362104,1366024,1370057,1373766,1377349,1381370,1385519,1389309,1392980,1396892,1400734,1403935,1406841,1409341,1411253,1412720,1414056,1416061,1418303,1419999,1421568,1423337,1424933,1426161,1427384,1427825,1427172,1426025,1424705,1423887,1423158,1422063,1420930,1420274,1419726,1418629,1417422
 "15000","Hawaii",8,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41263,41640,42205,42554,43268,43356,43510,43968,44432,44850,44547,45257,44604,44775,45047,45469,46271,47003,47607,48042,48643,49334,49776,50167,50579,50898,51194,51594,52627,52765,53266,53888,54684,55157,55654,56139,56777,57401
 "15000","Hawaii",8,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",23968110,23976146,24153522,24377046,24537263,24748327,25456895,25561387,25907767,26546799,26708923,27207143,27775692,27842328,28414020,28220348,29070648,29577108,30068752,30631956,30974488,31557120,31989056,32522388,32960276,33619000,34497360,35117844,35604044,36256076,36725572,37504980,37940316,38300216,38858684,39261228,39480256,39600328,40066728,40402756,40835776,40873576,40584980,40427716,39956336,40257248,40037252,40418720,40291992,40672556,41296064,41551284,42064996,42102056,42655840,42990372,43862624,44421996,44554064,45144152,45489480,45703736,45807228,46283552,46952980,47372236,47842976,48372364,49330484,49791980,50214116,50799692,51074208,51279628,51564788,51917088,53078896,53156696,53701244,54091048,54775536,55203472,55650100,56257176,56913020,57285086
 "15000","Hawaii",8,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2672160,2659468,2669540,2682948,2691276,2708496,2775940,2783596,2816960,2879080,2899740,2959836,3015884,3026508,3085368,3063484,3158112,3214432,3270360,3334580,3420576,3484748,3514212,3545660,3588668,3620820,3700416,3758852,3825804,3899684,3957740,4054252,4156588,4212552,4287872,4332616,4397268,4407296,4463016,4502324,4555076,4544820,4517268,4509588,4439980,4490648,4463856,4509484,4624500,4680636,4752776,4769700,4458392,4447296,4496136,4506156,4553236,4611348,4638040,4729480,5375296,5423084,5420188,5431340,5390708,5420548,5463744,5533944,5630776,5686336,5713440,5761692,5795144,5808196,5839068,5882848,6003808,6024996,6102240,6144548,6260972,6306964,6351176,6418544,6537205,6573474
 "15000","Hawaii",8,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1343008,1337472,1342984,1351080,1359992,1369964,1407588,1408460,1422012,1454548,1462896,1494460,1524396,1531004,1562248,1548952,1599848,1621000,1642208,1666240,1692536,1718116,1734500,1759820,1796112,1825896,1874868,1909472,1942288,1974992,1996704,2039516,2099020,2126108,2164460,2190628,2243264,2259828,2295824,2320464,2360780,2360924,2347408,2345656,2317184,2332592,2306452,2306336,2328440,2331120,2349752,2342092,1907804,1898948,1917288,1932640,1941760,1966556,1970784,1987060,2573268,2586988,2597748,2627744,2700116,2717520,2740748,2779560,2847736,2883636,2907084,2940496,2996436,3011220,3029356,3053040,3129296,3136004,3172964,3191420,3290596,3315464,3335836,3373168,3440486,3457280
 "15000","Hawaii",8,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1329152,1321996,1326556,1331868,1331284,1338532,1368352,1375136,1394948,1424532,1436844,1465376,1491488,1495504,1523120,1514532,1558264,1593432,1628152,1668340,1728040,1766632,1779712,1785840,1792556,1794924,1825548,1849380,1883516,1924692,1961036,2014736,2057568,2086444,2123412,2141988,2154004,2147468,2167192,2181860,2194296,2183896,2169860,2163932,2122796,2158056,2157404,2203148,2296060,2349516,2403024,2427608,2550588,2548348,2578848,2573516,2611476,2644792,2667256,2742420,2802028,2836096,2822440,2803596,2690592,2703028,2722996,2754384,2783040,2802700,2806356,2821196,2798708,2796976,2809712,2829808,2874512,2888992,2929276,2953128,2970376,2991500,3015340,3045376,3096719,3116194
 "15000","Hawaii",8,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "15000","Hawaii",8,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",21295950,21316678,21483982,21694098,21845987,22039831,22680955,22777791,23090807,23667719,23809183,24247307,24759808,24815820,25328652,25156864,25912536,26362676,26798392,27297376,27553912,28072372,28474844,28976728,29371608,29998180,30796944,31358992,31778240,32356392,32767832,33450728,33783728,34087664,34570812,34928612,35082988,35193032,35603712,35900432,36280700,36328756,36067712,35918128,35516356,35766600,35573396,35909236,35667492,35991920,36543288,36781584,37606604,37654760,38159704,38484216,39309388,39810648,39916024,40414672,40114184,40280652,40387040,40852212,41562272,41951688,42379232,42838420,43699708,44105644,44500676,45038000,45279064,45471432,45725720,46034240,47075088,47131700,47599004,47946500,48514564,48896508,49298924,49838632,50375815,50711612
 "15000","Hawaii",8,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",7215424,7314212,7370644,7368528,7287152,7344800,7418440,7546496,7712520,7840236,7912832,7926852,7848564,7783484,7701484,7619972,7588020,7609496,7505264,7517032,7541936,7442184,7524712,7725748,7979204,8220304,8314132,8703648,8680360,8905836,8900460,9476232,9942864,10325208,10467724,10530864,10826200,11385144,11525736,11628648,12009208,12061560,12400296,12266304,11906644,11813156,11634148,11465708,11416412,11556924,11645564,11964072,12155032,12311076,12397368,12797464,12853196,13099316,12869680,13492848,12834156,12927276,13130428,13286148,13549296,13932328,14228704,14428672,14456288,15033532,15303668,15331716,15589668,15803380,15915320,16027604,16278184,16241296,16326432,16758380,17127000,17407992,17668368,17773948,17662479,17976602
