GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "19000","Iowa",4,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",71963794,72572718,74095046,74678030,73984832,74536764,75428332,77373608,78807599,80224863,81416371,81320867,82120100,82685848,82991412,83102860,83778440,84396172,84917940,85494728,85088064,85903460,86802464,88013920,91710540,93013500,93587892,95733224,94564704,96186956,97338688,98163968,100959592,102165268,102834760,104360696,107753320,109444184,110111404,112249660,115296064,118514456,116072244,115140292,111457508,112652696,112519140,113882648,113792064,115767884,117025088,118404420,123684128,124295628,126522596,127739708,130165988,132229560,131110100,134430964,133722484,134441664,135207288,134482476,136023628,139384864,140308380,141496616,142420484,143532664,145472244,145725772,144469124,144939928,146211724,146024444,148636768,148837392,148540392,150750248,155176792,157102412,158248704,162261056,163964324,164900400
 "19000","Iowa",4,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3044938,3048780,3053218,3057507,3060634,3064020,3067695,3070609,3072640,3074762,3078848,3083782,3087029,3090755,3095491,3100185,3103670,3107357,3111630,3115294,3117367,3119838,3123199,3126280,3128196,3130349,3133713,3137233,3139664,3142059,3145559,3149027,3151585,3154398,3158074,3161511,3163931,3166587
 "19000","Iowa",4,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37371,37972,38328,38726,40411,40566,41244,41601,42363,43005,42584,43593,43318,43498,43679,43379,43827,44856,45092,45420,45686,46006,46578,46613,46183,46302,46658,46546,47342,47369,47222,47872,49238,49804,50109,51324,51823,52075
 "19000","Iowa",4,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",52184894,52475578,54174398,54918434,54475812,55086472,55847764,57065420,58345351,59198755,59746099,59587199,60125860,60537760,61032840,60616036,61191684,61545268,62259864,62755768,62667676,63645416,64722900,65860904,69393712,70373304,70982784,72252300,71627880,72749652,73971384,73962212,75904592,76421160,76444384,77569556,79963276,80778420,80953172,82741204,84840132,84719180,84217708,84131492,79874652,80256076,80946216,82588040,81707612,83469568,84189744,84877048,88138160,88262836,90156916,90414672,92580164,94045416,93373876,94702868,97519596,98144148,98499884,97581152,98382192,100559300,100641728,101268696,101927156,101872400,103340488,103756976,102160480,102055772,103362588,102991704,104754348,105035940,104252472,105454992,108370184,109159544,109210192,112205560,113264100,113567948
 "19000","Iowa",4,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",6183520,6193492,6383424,6396540,6455592,6506860,6569856,6699004,6758912,6804416,6855672,6803048,6924712,6957640,7006804,6977984,7029860,7116276,7151616,7173156,7302692,7375588,7492932,7596920,7679748,7763116,7899104,7988824,8073772,8173756,8338384,8386144,8588136,8682068,8673964,8791272,8951856,9087432,9134860,9306552,9423828,9486720,9626444,9645560,9428040,9416952,9412608,9445544,9599896,9744664,9775892,9834948,8975640,9046304,9178576,9166236,9299340,9389840,9393432,9454756,10729212,10747628,10821600,10850864,11023716,11101252,11143308,11186652,11324088,11294808,11384416,11512740,11715176,11789936,11978304,12041748,12129908,12166120,12154920,12347376,12538368,12705364,12780024,12770696,13002110,13134933
 "19000","Iowa",4,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",3201400,3204328,3301216,3305504,3337644,3362760,3394892,3460740,3485444,3513796,3541656,3520084,3590500,3618300,3652328,3641164,3681164,3724792,3742284,3748728,3798484,3829420,3892572,3955864,4007236,4061068,4142648,4199356,4259776,4315720,4399772,4419412,4542096,4593752,4588896,4648592,4756808,4835188,4853352,4931088,5000992,5037696,5107304,5125736,5036848,5027316,5019880,5022324,5053296,5103688,5109608,5135064,4130820,4174876,4248004,4273616,4325716,4382820,4391856,4397244,5658372,5660676,5701072,5718324,5858528,5905452,5932932,5962656,6082224,6069844,6110836,6156956,6267744,6273872,6348904,6367952,6443668,6463444,6461612,6571680,6771456,6879032,6925416,6927200,7063591,7131682
 "19000","Iowa",4,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",2982120,2989164,3082208,3091036,3117948,3144100,3174964,3238264,3273468,3290620,3314016,3282964,3334212,3339340,3354476,3336820,3348696,3391484,3409332,3424428,3504208,3546168,3600360,3641056,3672512,3702048,3756456,3789468,3813996,3858036,3938612,3966732,4046040,4088316,4085068,4142680,4195048,4252244,4281508,4375464,4422836,4449024,4519140,4519824,4391192,4389636,4392728,4423220,4546600,4640976,4666284,4699884,4844820,4871428,4930572,4892620,4973624,5007020,5001576,5057512,5070840,5086952,5120528,5132540,5165188,5195800,5210376,5223996,5241864,5224964,5273580,5355784,5447432,5516064,5629400,5673796,5686240,5702676,5693308,5775696,5766912,5826332,5854608,5843496,5938519,6003251
 "19000","Iowa",4,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",662684,709208,692660,714044,773956,797376,787036,824168,873548,862560,881724,905012,898928,903572,890808,926164,919096,938448,948036,965144,962508,982884,970060,972396,974704,991960,1000700,987864,908452,900904,894476,922192,831128,840856,827592,864136,1057308,1069784,1080192,1108528,1142684,1163076,1161984,1129156,1155924,1146100,1144840,1151452,1158504,1185888,1202468,1202528,1308260,1323940,1300200,1291576,1231812,1210468,1207296,1268228,1207596,1218880,1209872,1205560,1047068,1033804,1031204,1078988,960760,1000448,1014268,996616,1036476,1046444,1028784,1079856,1376392,1415868,1466732,1464356,1415764,1402732,1415880,1436748,1479092,1499192
 "19000","Iowa",4,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",46664058,46991294,48483634,49235938,48794176,49376988,50064944,51190584,52459987,53256899,53772151,53689163,54100076,54483692,54916844,54564216,55080920,55367440,56056284,56547756,56327492,57252712,58200028,59236380,62688668,63602148,64084380,65251340,64462560,65476800,66527476,66498260,68147584,68579948,68598012,69642420,72068728,72760772,72898504,74543180,76558988,76395536,75753248,75615088,71602536,71985224,72678448,74293948,73266220,74910792,75616320,76244628,80470780,80540472,82278540,82540012,84512636,85866044,85187740,86516340,87997980,88615400,88888156,87935848,88405544,90491852,90529624,91161032,91563828,91578040,92970340,93240852,91481780,91312280,92413068,92029812,94000832,94285688,93564284,94571972,97247580,97856912,97846048,100871612,101741082,101932207
 "19000","Iowa",4,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",15609772,15835488,15841116,15571316,15191340,15122360,15175776,15875328,15877012,16184272,16670996,16449348,16682892,16525368,16396588,16247752,15968208,16046144,15854180,15938500,15944760,15720596,15739752,15879620,15871776,16097192,16146876,16937924,16173048,16475176,16481000,17143224,17521448,18009632,18301172,18641408,19189376,20143432,20449380,20601896,21198296,21072736,21329524,20883904,20290820,19843024,19345464,18938188,19069740,19268908,19526004,20204616,21185372,21723828,22191688,23072484,23786000,24328056,23991580,25814220,23388092,23439076,23746868,23968768,24636680,25374816,25883132,26163692,26337100,27153532,27491776,27365000,27679004,27982668,28263868,28590612,29247900,29461652,29675000,30589444,31388608,31976472,32481932,32805320,32489688,33070422
