GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "16000","Idaho",7,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",28053834,28360686,28696522,29182710,29843193,29978589,30371609,31191581,31969008,32751332,32899624,33544388,33838184,34183572,34055196,34172044,34648152,34874200,35311232,35888208,35801380,36067368,36645784,37096012,38190988,39037348,39426244,40324340,40630696,41407048,42144860,43190064,45051124,46110368,46243328,47240416,48634128,49072724,49129936,49655408,49857720,51568900,50170476,49224568,48646736,48471232,48275672,48514264,49034444,49760472,50619052,51372368,52474108,52821112,53362188,53673092,54886760,55674912,55863484,58134192,57143220,58239740,58800192,59168740,60041580,61433232,62298792,63534596,64723624,65452768,66556004,66568552,67289896,68217792,68996220,69274252,70776520,71888396,72626596,74129084,75682084,76518868,77239580,78608684,79702923,81132252
 "16000","Idaho",7,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1565677,1569198,1572635,1576110,1579048,1582131,1585446,1588562,1591235,1593948,1597750,1602091,1605659,1609438,1614191,1619487,1624160,1628955,1634300,1639666,1644231,1648967,1655679,1663806,1671325,1678944,1687652,1696977,1705702,1714371,1723507,1732530,1741063,1749712,1758904,1768088,1776712,1785445
 "16000","Idaho",7,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31318,31711,32187,32594,33231,33386,33658,33787,34493,34929,34964,36286,35589,36186,36427,36535,36968,37713,38120,38748,39364,39693,40199,40010,40261,40631,40883,40822,41494,41933,42139,42787,43469,43732,43913,44460,44860,45441
 "16000","Idaho",7,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",20255446,20446034,20734130,21241950,21870845,21988177,22329137,23041149,23720768,24342292,24275428,24876412,24880892,25085436,25110720,25001824,25485176,25652112,26154764,26564968,26151736,26248160,26608256,26843424,27781804,28416756,28735964,29141240,29355420,29768832,30482772,30995556,32369464,33101136,33003956,33980460,34946232,34883980,34740204,35170084,34976580,34969556,34616452,34107328,33453596,32829900,33000464,33377300,33301588,33888704,34321376,34640596,34865872,35018752,35473832,35307376,35844636,36045580,36517420,37120748,38086644,39004980,39200972,39534336,39932336,40590496,40981856,41964096,42807004,42760792,43490120,43491544,43975964,44650348,45175232,45003016,45830832,46827192,47250276,48095452,48912820,49348020,49665780,50727356,51451939,52195275
 "16000","Idaho",7,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2446028,2466816,2491924,2527576,2567320,2581448,2616224,2698320,2801224,2848004,2834456,2904920,2895772,2906408,2892660,2880448,2933708,2956216,2994328,3030416,3077208,3076108,3113968,3136392,3225860,3290712,3342068,3381788,3495116,3535220,3626992,3698516,3888980,3993120,3986508,4121248,4177264,4183200,4176576,4237724,4224228,4243140,4235840,4198752,4121348,4101664,4143140,4172188,4276184,4325324,4339276,4326800,3950304,3931932,3956132,3943548,4000988,4035372,4063532,4081484,4602328,4662140,4669396,4736996,4803060,4808492,4850332,4962936,5031504,5037224,5099860,5111656,5214564,5338100,5390840,5397388,5522640,5643108,5711432,5815308,5913892,5950364,6006376,6099276,6217753,6294521
 "16000","Idaho",7,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1161500,1172360,1185776,1206640,1233412,1243180,1261656,1301948,1347608,1371752,1364140,1400456,1398560,1408260,1404300,1399596,1431772,1439892,1459068,1477564,1495984,1496620,1517908,1532692,1578576,1615300,1642692,1664820,1723988,1743320,1785888,1816900,1918408,1971036,1965288,2034480,2074436,2083728,2085560,2118096,2124604,2140712,2138456,2121696,2089532,2069536,2076720,2069316,2082192,2086692,2091808,2095540,1690636,1702048,1726212,1733392,1748044,1765904,1779428,1780024,2299520,2332128,2343744,2386620,2451836,2455724,2476728,2535440,2584692,2587676,2619860,2624668,2692528,2753372,2777244,2775008,2851660,2912640,2950184,3007320,3101912,3128416,3160936,3215364,3279803,3319194
 "16000","Idaho",7,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1284528,1294456,1306148,1320936,1333908,1338268,1354568,1396372,1453616,1476252,1470316,1504464,1497212,1498148,1488360,1480852,1501936,1516324,1535260,1552852,1581224,1579488,1596060,1603700,1647284,1675412,1699376,1716968,1771128,1791900,1841104,1881616,1970572,2022084,2021220,2086768,2102828,2099472,2091016,2119628,2099624,2102428,2097384,2077056,2031816,2032128,2066420,2102872,2193992,2238632,2247468,2231260,2259668,2229884,2229920,2210156,2252944,2269468,2284104,2301460,2302808,2330012,2325652,2350376,2351224,2352768,2373604,2427496,2446812,2449548,2480000,2486988,2522036,2584728,2613596,2622380,2670980,2730468,2761248,2807988,2811980,2821948,2845440,2883912,2937950,2975327
 "16000","Idaho",7,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",433608,441536,451408,456408,499504,495372,514040,532188,539416,518316,520080,519180,515104,526756,509064,513736,503268,500428,496272,502496,495060,510540,519524,520808,505316,522416,521484,529932,504888,510432,510064,526808,482224,478184,496408,498640,481404,503860,520652,535896,552208,555992,571740,567248,654740,662180,649784,653308,709372,719488,730344,737440,856024,860228,872900,890756,1080388,1094392,1101452,1116760,1120772,1123384,1137256,1141024,1208444,1219164,1245260,1258856,1178032,1196104,1205796,1205652,1242988,1233336,1243416,1284612,1321412,1340512,1363120,1385124,1410152,1422648,1453456,1452680,1514385,1537767
 "16000","Idaho",7,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",18243026,18420754,18693614,19170782,19803029,19902101,20226953,20875017,21458960,22012604,21961052,22490672,22500224,22705784,22727124,22635112,23054736,23196324,23656708,24037048,23569588,23682592,24013812,24227840,25061260,25648460,25915380,26289384,26365192,26744044,27365844,27823848,28962708,29586200,29513856,30357852,31250372,31204640,31084280,31468256,31304560,31282408,30952352,30475824,29986988,29390416,29507108,29858420,29734776,30282868,30712444,31051236,31771592,31947048,32390600,32254584,32924036,33104600,33555340,34156024,34605088,35466224,35668832,35938364,36337720,37001168,37376784,38260016,38953532,38919672,39596056,39585540,40004388,40545584,41027808,40890240,41629604,42524596,42901964,43665268,44409080,44820304,45112860,46080760,46748571,47438521
 "16000","Idaho",7,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",6251052,6360760,6402808,6357152,6285796,6286820,6296256,6416472,6509932,6612336,6747288,6792800,6842784,6835860,6783032,6695540,6640804,6654488,6616416,6762812,7025412,7058144,7231444,7454128,7564640,7706056,7758672,8163792,8203432,8487920,8558376,9111848,9519716,9850496,9971472,10056992,10236276,10675668,10726876,10717724,10898396,10731696,10800208,10466804,9877748,9588536,9299288,9104464,9212480,9372000,9525936,9896872,10358788,10549264,10710444,11172060,11724136,12109096,11882456,13381828,11865624,12027272,12294304,12391416,12686092,13124692,13462664,13708720,13965208,14630616,14913516,14826052,14998992,15198764,15415564,15700252,16266672,16452780,16586732,17169556,17599764,17910380,18196468,18387472,18165895,18578830
