GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "25000","Massachusetts",1,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",199716935,205755015,209193859,211046795,213944928,216856416,222399092,228419460,239685330,241260766,248734258,251332438,256766572,255469576,253951104,254153144,252904272,255294448,254357992,255078656,256498492,257609404,261465424,264341812,267000336,272564300,276081224,278204336,278249596,282593772,287097256,294629520,302276816,306554972,308279380,312966020,318525448,321466148,324026508,328427056,332678676,339667484,336104352,334915036,327352768,332221300,333087064,335421208,339842572,346707032,352094316,355049188,359358588,367824876,366810020,368977180,375453932,380804424,378958928,392820296,380366424,384137908,386392532,389870828,395182716,400679272,409059496,417101960,423265512,431297132,434990568,438855920,439664712,444558732,450805040,452644560,459758088,464597060,470859404,477984276,488066516,492372676,497289000,501330360,512379797,517161648
 "25000","Massachusetts",1,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6543636,6557013,6573347,6585977,6596300,6607053,6620156,6633438,6645028,6656713,6670773,6684834,6695604,6707173,6720851,6734439,6745679,6757255,6768944,6778396,6784669,6791646,6800554,6809038,6815228,6821955,6831596,6842038,6850214,6858355,6868862,6879209,6887740,6896881,6907367,6916900,6925001,6933824
 "25000","Massachusetts",1,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51935,52876,53564,53910,54479,55672,55408,55624,56501,57206,56809,58763,56808,57273,57492,57892,58583,59296,60432,61534,62386,63504,63964,64452,64512,65166,65988,66156,67116,67742,68550,69482,70860,71391,71994,72479,73990,74585
 "25000","Massachusetts",1,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",153962875,159781735,163237979,165291107,169050508,171859684,177239480,182517212,193138998,192491406,199673218,201311374,205936312,203062564,202250844,201314784,201016060,202727800,202228516,201984028,201090228,202253772,206579064,209590936,212694076,218201636,221694000,219713960,220595892,221759228,226176108,229401720,234076228,236100836,236260628,241852424,245996116,247044724,248776308,252632280,254514572,255550428,253462424,254310924,247396748,250893976,253730528,257618800,259603436,266617676,271126232,271366308,270655068,278807216,277190836,276820684,281708104,284873984,285506436,291685268,289912924,293366608,293817704,296072472,298818960,300087988,305313748,312664576,316802580,321672416,322915360,327615936,326813932,330382696,337039072,337674368,343001008,348428236,353728788,358053980,365765636,366581604,369550552,372375764,384296888,385570143
 "25000","Massachusetts",1,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",16403232,17018664,17338784,17478452,17775920,17990940,18519752,18947276,19995560,19756476,20540456,20719136,21074704,20760132,20641584,20599808,20670532,20849288,20753788,20641708,20546644,20638864,21107960,21510204,22046444,22722276,23183512,23010748,23472324,23605392,23991600,24136156,24532208,24606228,24508632,25005060,25633072,25673684,25832720,26246096,26519056,26668356,26605412,26941012,25971984,26303188,26416676,26516804,26441160,26830632,27162120,27002028,24723296,25383240,25095856,24982072,25575912,25787640,25855720,26435096,29540900,30020844,30171692,30499952,31211824,31187352,31508308,32205444,32205484,32696168,32667168,33229972,33155968,33587480,34349968,34306748,34966708,35417564,35909012,36231448,37098112,37091056,37306180,37555948,39151291,39199039
 "25000","Massachusetts",1,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",8316520,8631172,8798920,8870928,9059364,9173056,9437632,9676408,10192324,10071696,10455508,10525528,10711464,10540288,10490628,10477756,10557004,10673716,10663152,10635792,10617236,10654060,10864952,10970144,11105368,11350368,11519332,11411312,11716244,11806848,12011736,12100108,12368572,12441396,12403804,12677228,13063720,13107508,13205560,13410560,13605716,13681672,13626292,13780020,13292724,13437748,13492708,13549180,13463392,13670360,13840824,13778676,11056336,11387264,11238776,11216284,11394440,11521256,11597912,11858684,15180016,15455096,15562332,15716716,16133764,16129628,16332068,16731296,16904948,17191976,17201880,17494024,17512204,17726616,18102932,18055340,18497484,18740724,18965692,19078248,19739404,19681612,19762920,19883368,20746209,20756367
 "25000","Massachusetts",1,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",8086712,8387492,8539864,8607524,8716556,8817884,9082120,9270868,9803236,9684780,10084948,10193608,10363240,10219844,10150956,10122052,10113528,10175572,10090636,10005916,9929408,9984804,10243008,10540060,10941076,11371908,11664180,11599436,11756080,11798544,11979864,12036048,12163636,12164832,12104828,12327832,12569352,12566176,12627160,12835536,12913340,12986684,12979120,13160992,12679260,12865440,12923968,12967624,12977768,13160272,13321296,13223352,13666960,13995976,13857080,13765788,14181472,14266384,14257808,14576412,14360884,14565748,14609360,14783236,15078060,15057724,15176240,15474148,15300536,15504192,15465288,15735948,15643764,15860864,16247036,16251408,16469224,16676840,16943320,17153200,17358708,17409444,17543260,17672580,18405082,18442672
 "25000","Massachusetts",1,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-3390976,-3625872,-3697320,-3693148,-3995848,-4052648,-4246464,-4446452,-4955344,-4883524,-5185764,-5174984,-5412716,-5193392,-5140096,-5041088,-5119456,-5131956,-5078096,-5023428,-5011208,-4996660,-5161144,-5194884,-5473164,-5655064,-5672596,-5552792,-5347984,-5319824,-5486540,-5551192,-5614316,-5693264,-5637816,-5843180,-5898844,-6006648,-6154380,-6382656,-6002516,-6146212,-6060496,-6101504,-5416892,-5454460,-5473340,-5544816,-5738624,-5896716,-6131192,-6219424,-6413856,-6820820,-6652512,-6708596,-7219868,-7332168,-7405716,-7562768,-7185492,-7342420,-7373788,-7464488,-6752884,-6749696,-7010700,-7247320,-7613920,-7803296,-7855568,-7988880,-8392996,-8487588,-8841076,-8833248,-8985412,-9176920,-9318128,-9501212,-10430748,-10456392,-10585220,-10649588,-11129117,-11046483
 "25000","Massachusetts",1,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",134168667,139137199,142201875,144119507,147278740,149816096,154473264,159123484,168188094,167851406,173946998,175417254,179448892,177109040,176469164,175673888,175226072,176746556,176396632,176318892,175532376,176618248,180309960,182885848,185174468,189824296,192837892,191150420,191775584,192834012,196697968,199714372,203929704,205801344,206114180,211004184,214464200,215364392,216789208,220003528,221993000,222735860,220796516,221268408,216007872,219136328,221840512,225557180,227423652,233890328,237832920,238144856,239517916,246603156,245442468,245130016,248912324,251754176,252245000,257687404,253186532,256003344,256272224,258108032,260854252,262150940,266794740,273211812,276983176,281172952,282392624,286397084,285264968,288307628,293848028,294534372,299048888,303833752,308501648,312321320,318236776,319034156,321659152,324170228,334016480,335324621
 "25000","Massachusetts",1,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",40124928,41118252,41520384,41114276,40500316,40819312,41338396,42438976,44351904,45646544,46622876,47450860,47837404,47922628,47433604,46513748,45454696,45352200,44628312,45182960,46508536,45960648,46041552,46266268,46202576,46600436,46659448,49943984,48527728,50472300,51203180,55105268,57312480,59977992,60961856,61244680,61710036,64240248,64539540,64825072,65927628,65503860,66259880,64194688,60064232,58729796,57223324,56253104,56268524,57259444,57965712,60328976,63267712,64472020,65172044,67740996,70286296,72075808,70167472,77826408,69952000,70958012,72858208,74125364,76832500,80024408,82240596,83468272,84233656,87339200,88622944,88101080,89184376,90237872,91164048,92220336,94427536,95107600,95698380,98920924,101736844,103853444,105698448,106913264,105715254,107926701
