GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "24000","Maryland",2,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",159379436,162829436,165465392,167797640,170676877,171911285,175032369,178571549,185026894,187649210,191202838,194142546,197521688,199456292,200045852,201803452,204457516,207073820,208384484,210720708,212131108,215378560,219146760,222283576,226441700,230661020,233374028,238356704,238687520,243073700,247174456,251761152,254543440,257191732,259724492,262434308,265046240,268741836,269698640,272596864,277559828,283941140,281638128,280853484,275441636,279646656,280029080,282419364,282677944,287961352,291117968,296122396,301373892,304905456,308649564,309789372,313242768,313881800,314267156,319531768,313007984,313741612,313991820,316324492,319398196,324338448,328598632,331008016,337389740,340951064,343900140,346056444,349557608,353082760,355935056,359227156,360105052,362146540,365118260,370933356,377588412,381334676,385095752,387296600,392376820,397082842
 "24000","Maryland",2,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5767329,5781147,5795804,5809393,5821139,5832664,5845715,5858525,5870070,5881090,5892787,5903285,5911072,5919005,5928704,5938512,5946324,5953907,5962868,5971362,5977231,5983179,5989807,5995286,5998708,6002324,6008144,6014414,6018494,6022284,6027909,6033099,6036528,6040255,6045781,6051011,6054206,6057622
 "24000","Maryland",2,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),49014,49810,50229,50973,51772,52276,52799,52878,53363,53371,53331,54128,52953,53006,52961,53267,53714,54475,55107,55433,56446,56985,57414,57721,58272,58824,59242,59728,59833,60134,60571,61483,62551,63132,63697,64005,64811,65551
 "24000","Maryland",2,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",105597184,108386432,110313724,112837440,115273153,115753533,117898905,120104781,123964214,125550230,128651642,130542282,133281204,134590752,135914660,137069876,139705456,141747292,143234224,144714096,144989780,148106140,151005696,152926584,155746420,158864540,161075404,163497828,163838904,166595364,170533176,172340188,174265372,175263916,176979828,179521316,180256048,181474184,180823100,183484840,187589312,188355588,188607856,189183840,185516964,188201872,189675572,192612696,191861932,195863656,197540456,200732888,202441240,205110128,208620272,207623664,211841000,210846592,212282044,214101136,214285288,214358864,213667300,214510636,216916888,219145804,221615416,222673732,228114064,229747652,232524204,234949392,237823728,240471436,242522816,244613364,244189844,245541460,247150504,251530496,254090056,256307552,257700056,258842940,262975196,265778017
 "24000","Maryland",2,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",11620900,11894964,12078888,12326896,12590408,12583992,12767308,12942024,13255808,13363696,13740992,14003776,14390844,14581976,14735136,14875732,15161644,15324272,15439996,15539912,15596384,15948384,16248072,16479628,16869824,17165584,17400140,17617156,17731364,17978068,18408348,18637764,19058036,19235708,19470140,19753280,20010840,20173412,20175124,20586416,20845740,20982280,21065012,21142860,20693756,20974044,21031108,21240328,21411164,21796588,21844904,22019028,20047648,20144000,20364788,20176472,20756864,20621368,20771472,20907804,23679216,23629012,23454636,23465724,23799208,23989260,24270620,24497696,24990596,25260716,25538208,25745372,25688340,25872436,26049536,26271328,26364232,26535212,26724976,27195248,27600864,27838124,27954716,28063480,28736340,29026767
 "24000","Maryland",2,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",5926960,6072544,6169596,6305040,6465436,6469500,6568688,6652332,6797564,6854484,7039580,7174252,7378704,7486164,7569280,7638204,7806620,7891136,7963544,8034524,8053928,8228700,8362160,8436616,8556340,8667376,8768764,8891960,9020004,9173220,9399244,9502888,9754452,9834988,9953704,10101960,10304604,10416192,10419976,10624816,10780020,10853088,10891652,10939860,10761068,10888580,10902332,10971664,10949024,11085924,11086948,11163388,8915760,8956660,9041164,8961508,9130392,9087096,9196756,9276784,12096280,12127396,12089072,12119788,12395388,12489904,12618064,12709388,12996316,13113116,13242732,13344392,13415384,13519064,13614876,13747312,13889084,13991736,14102564,14335376,14716292,14833728,14887952,14944172,15329228,15479385
 "24000","Maryland",2,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",5693940,5822420,5909292,6021856,6124972,6114492,6198620,6289692,6458244,6509212,6701412,6829524,7012140,7095812,7165856,7237528,7355024,7433136,7476452,7505388,7542456,7719684,7885912,8043012,8313484,8498208,8631376,8725196,8711360,8804848,9009104,9134876,9303584,9400720,9516436,9651320,9706236,9757220,9755148,9961600,10065720,10129192,10173360,10203000,9932688,10085464,10128776,10268664,10462140,10710664,10757956,10855640,11131888,11187340,11323624,11214964,11626472,11534272,11574716,11631020,11582936,11501616,11365564,11345936,11403820,11499356,11652556,11788308,11994280,12147600,12295476,12400980,12272956,12353372,12434660,12524016,12475148,12543476,12622412,12859872,12884572,13004396,13066764,13119308,13407112,13547382
 "24000","Maryland",2,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",15432160,15500184,15908844,15832020,16205820,16476376,16920776,17384396,18894980,18783152,18828668,19453464,19567556,19898300,19907316,20096872,19759708,20159932,20350484,20660560,20520492,20942964,21216788,21712340,21982060,22327132,22743708,23130312,23211676,23574756,23739488,23903656,22842076,22839620,22985512,23129152,23209756,23305728,24102732,23840228,22945332,22790060,23107032,23463832,22787544,23258880,23331628,23550936,23081964,23717348,23828856,23897332,23135244,23217224,23440256,23320684,22603032,22907656,22822188,23431104,22720692,22901544,22756032,23230360,21846100,21921016,22034296,22546368,22526432,23008180,22913100,22906500,22596144,22643900,22697236,23016876,23641096,23586220,24247756,24075328,25618248,25556952,26344232,26437876,26701054,26976634
 "24000","Maryland",2,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",109408444,111991652,114143680,116342564,118888565,119645917,122052373,124547153,129603386,130969686,133739318,135991970,138457916,139907076,141086840,142291016,144303520,146582952,148144712,149834744,149913888,153100720,155974412,158159296,160858656,164026088,166418972,169010984,169319216,172192052,175864316,177606080,178049412,178867828,180495200,182897188,183454964,184606500,184750708,186738652,189688904,190163368,190649876,191504812,187610752,190486708,191976092,194923304,193532732,197784416,199524408,202611192,205528836,208183352,211695740,210767876,213687168,213132880,214332760,216624436,213326764,213631396,212968696,214275272,214963780,217077560,219379092,220722404,225649900,227495116,229899096,232110520,234731532,237242900,239170516,241358912,241466708,242592468,244673284,248410576,252107440,254026380,256089572,257217336,260939910,263727884
 "24000","Maryland",2,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",33873548,34632868,35028568,34899620,34827080,35147444,35594580,36439952,37668512,38487500,39060896,39516396,39655072,39640724,39353868,38928540,39281484,39300948,38785168,39004260,39825600,39454944,39848876,40732444,41797172,42768332,43022784,44951176,44008292,44940536,45047272,47783792,49572036,51450088,52129036,52284052,52959688,55025268,55403232,55728300,57041488,56905116,57800852,56511076,53367704,52599684,51631248,50878024,50803436,51409544,51888688,53549724,55400484,56310116,56824228,58588772,59302832,60038828,59057300,61675024,57915112,58045636,58716332,59326108,60840540,62543240,63816560,64678732,65300956,66845076,67336940,66817844,66795644,66980748,67255564,67779008,68982224,69594976,70169024,71990672,73630552,74929848,76017688,76702052,76143095,77212009
