GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "23000","Maine",1,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",30423328,31073980,31506548,31869784,31964401,32446913,33444993,33346633,34479073,35115113,35492973,35817933,36711284,37140504,37155808,37542596,37860488,38239452,38586140,38970460,39452500,39833308,40497720,41373484,41530520,42106100,42533940,43325136,42510780,43090732,43590020,44602568,45300076,45670768,45748376,46014872,46738704,47306484,47574136,47807324,48538600,50093048,49395404,49175540,48368504,49495352,49470920,49735440,49750300,50242472,50712632,50616504,51994952,52111932,52537432,53053384,53092332,53693812,53223080,53950864,52935244,53158732,53390388,53901216,54344272,55337000,55986332,56932448,56749332,57745348,58327888,58968308,58917536,59637632,59824400,60408820,61311792,61603124,62443612,63335324,64478464,65226444,65918732,66192920,67463243,68273374
 "23000","Maine",1,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1328742,1327990,1327902,1328238,1328058,1328032,1328239,1328298,1327984,1327713,1328002,1328417,1328114,1328043,1328667,1329585,1329963,1330420,1330740,1330479,1329501,1328716,1329037,1329999,1330416,1330958,1332026,1333214,1333893,1334574,1335651,1336649,1337229,1337925,1338986,1339971,1340497,1341123
 "23000","Maine",1,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37442,37833,38190,38108,39151,39240,39554,39941,39980,40441,40078,40613,39857,40028,40183,40540,40861,41594,42072,42791,42685,43460,43887,44337,44285,44808,44912,45311,45965,46159,46751,47384,48218,48752,49230,49399,50327,50908
 "23000","Maine",1,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",20724412,21286336,21722392,22139624,22239825,22775581,23779029,23426209,24258085,24603609,24807181,24977929,25780372,26067420,26229520,26381280,26781800,27064964,27375368,27445644,27667700,27892332,28314616,29173240,29129196,29559784,30013896,30247760,29713352,30016412,30379292,31090176,31570968,31877276,31949180,32014812,32427376,32532796,32507196,32596008,33060472,32964612,32999320,32942280,31923148,32512372,32906568,33365568,33240628,33817148,34162660,33779316,34075936,33947752,34265740,34395616,34764896,35113580,34833236,34930952,35253436,35326092,35309892,35583068,35860140,36210256,36497184,37345288,36996768,37734624,38144544,38862196,38445636,38940088,38999492,39522876,40217612,40435868,41097048,41534616,42136304,42547832,42936276,42910396,43926322,44362961
 "23000","Maine",1,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2465000,2526472,2571836,2611504,2602264,2658108,2769032,2704560,2788144,2803188,2826628,2843088,2947700,2961432,2948144,2939652,2967800,2973488,2985408,2967884,3010404,3025456,3060416,3140520,3160864,3194164,3246216,3269308,3276572,3303596,3327532,3381972,3490880,3542052,3554548,3573768,3671600,3692632,3699256,3724380,3805732,3795556,3810648,3798000,3658504,3719740,3743416,3772156,3788152,3841020,3876364,3816408,3507392,3484688,3516352,3530404,3585680,3633164,3603948,3618388,4182392,4189468,4175884,4185180,4200156,4225200,4263768,4394016,4356568,4482136,4530168,4609008,4573092,4624640,4617628,4677208,4745808,4774268,4848096,4897696,5003544,5049516,5093036,5079456,5245728,5293656
 "23000","Maine",1,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1237372,1268820,1293248,1314776,1315376,1344876,1400784,1367972,1403464,1412288,1425500,1438304,1501264,1518364,1524336,1529628,1561552,1572612,1586616,1583580,1603932,1613664,1635860,1684772,1697756,1722088,1753120,1771516,1780552,1797584,1809472,1837904,1908152,1936928,1945604,1954512,2017472,2030632,2033372,2043316,2092612,2086568,2093204,2089192,2022232,2053916,2064892,2074028,2064432,2086708,2106420,2077912,1701452,1699960,1721360,1736668,1751584,1774136,1758324,1753808,2285700,2284392,2276980,2285440,2316800,2331288,2348076,2415280,2398344,2466428,2494584,2544212,2552644,2590180,2591648,2625016,2679456,2693500,2736780,2762116,2854212,2880888,2905592,2899760,2997140,3022718
 "23000","Maine",1,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1227628,1257652,1278588,1296728,1286888,1313232,1368248,1336588,1384680,1390900,1401128,1404784,1446436,1443068,1423808,1410024,1406248,1400876,1398792,1384304,1406472,1411792,1424556,1455748,1463108,1472076,1493096,1497792,1496020,1506012,1518060,1544068,1582728,1605124,1608944,1619256,1654128,1662000,1665884,1681064,1713120,1708988,1717444,1708808,1636272,1665824,1678524,1698128,1723720,1754312,1769944,1738496,1805940,1784728,1794992,1793736,1834096,1859028,1845624,1864580,1896692,1905076,1898904,1899740,1883356,1893912,1915692,1978736,1958224,2015708,2035584,2064796,2020448,2034460,2025980,2052192,2066352,2080768,2111316,2135580,2149332,2168628,2187444,2179696,2248588,2270938
 "23000","Maine",1,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",496984,511152,526884,539704,569004,575520,581740,611288,694304,685272,703980,721080,725260,711512,704872,708040,669824,680580,675896,680504,642132,650948,661312,671900,659928,677636,698648,692968,673280,685604,698224,699820,706924,704196,713992,764804,711664,729948,719748,730296,709696,705680,700792,706696,683140,682256,692452,693208,699648,732864,739928,745316,779288,808552,804360,792792,817088,816092,827068,867188,857528,871772,873076,879176,905144,925476,923944,957988,964572,987108,985280,1013784,982828,995240,1014988,998108,988752,999352,1031252,1024976,1044160,1034176,1043804,1046140,1098586,1107737
 "23000","Maine",1,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",18756396,19271016,19677440,20067824,20206565,20692993,21591737,21332937,22164245,22485693,22684533,22855921,23557932,23817500,23986248,24149668,24483824,24772056,25065856,25158264,25299428,25517824,25915512,26704620,26628260,27043256,27466328,27671420,27110060,27398420,27749984,28408024,28787012,29039420,29108624,29205848,29467440,29570112,29527688,29601924,29964436,29874736,29889464,29850976,28947784,29474888,29855604,30286620,30152124,30708992,31026224,30708224,31347832,31271616,31553748,31658004,31996304,32296508,32056356,32179752,31928572,32008396,32007084,32277064,32565128,32910532,33157360,33909260,33604772,34239596,34599656,35266972,34855372,35310688,35396852,35843776,36460556,36660952,37280204,37661896,38176920,38532492,38887044,38877080,39779180,40177042
 "23000","Maine",1,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",6556892,6668788,6696436,6615464,6508884,6515848,6545980,6642444,6873184,7020548,7120964,7212164,7230884,7243820,7204640,7136156,7050284,7087832,7046732,7147596,7353044,7342616,7402048,7504876,7546720,7602920,7563608,8016480,7499596,7585888,7579444,7889596,8059880,8291932,8406152,8478572,8591224,8909652,8973868,8990468,9110768,9050252,9161208,9004600,8594068,8487716,8347336,8238716,8176376,8270940,8341504,8611808,8912272,9074600,9165592,9445308,9491192,9613240,9384744,9930052,9155684,9188336,9339880,9496788,9785724,10145420,10371416,10463012,10413400,10687348,10823812,10826788,11038628,11199376,11304740,11377316,11512700,11528784,11570000,11909844,12244320,12494272,12704692,12838828,12717919,12939063
